 	a87	a10	a87	a79	a5	a34	a83	a90	a92	a0	a21	a18	a75	a25	a98	a92	a85	a61	a21	a31	a0	a75	a61	a62	a83	a93	a13	a18	a62	a47	a83	a66	a9	a99	a97	a3	a38	</S>
la	0.0295675	0.0382817	0.0465404	0.0310247	0.019352	0.0398064	0.057419	0.0772176	0.0575068	0.0632365	0.0396327	0.0559101	0.0292788	0.0216582	0.0197608	0.0204596	0.017663	0.0190682	0.01509	0.0140725	0.0124688	0.00886747	0.00852074	0.0088005	0.00829677	0.00793191	0.0150802	0.016527	0.0198159	0.0185197	0.0156012	0.0170569	0.0201999	0.0188249	0.0251136	0.0138271	0.0135857	0.0384152
parole	0.00137257	0.00422884	0.0131428	0.0170303	0.0188435	0.0504555	0.0824689	0.124843	0.0980188	0.0771929	0.0360113	0.0588848	0.0458579	0.032361	0.0405386	0.0517488	0.0575084	0.024035	0.0600925	0.024973	0.0261207	0.0154125	0.00623042	0.00358	0.00469184	0.00203358	0.00234216	0.000907596	0.000706674	0.00128822	0.000471187	0.00125387	0.00111678	0.00315524	0.0020288	0.00147217	0.00471865	0.00286108
qu'	0.101774	0.0560992	0.0674049	0.0369969	0.037382	0.0452079	0.0505283	0.0770595	0.0862227	0.0566744	0.0418511	0.0428916	0.025402	0.0219346	0.0146357	0.0129741	0.00568504	0.016037	0.00970083	0.0205974	0.0177689	0.00979505	0.00759525	0.00335492	0.0045144	0.0029335	0.00358821	0.00335806	0.00734716	0.0104078	0.00851978	0.00555162	0.00713788	0.0142967	0.0179248	0.0105135	0.0252161	0.0131177
il	0.0322335	0.0151898	0.0127703	0.0088526	0.0102208	0.00592108	0.00815569	0.00720306	0.00856298	0.0144442	0.0196689	0.0136902	0.0150712	0.0124777	0.0120599	0.0113041	0.00797504	0.00569119	0.00514653	0.00881003	0.0120515	0.0105796	0.025066	0.00922112	0.021336	0.0168078	0.00723984	0.0172963	0.0123929	0.0541326	0.0803441	0.0420381	0.0956471	0.0668753	0.0864831	0.0851507	0.0637939	0.0580953
m'	0.0810402	0.0342354	0.0286475	0.0130308	0.0126896	0.0144113	0.0258024	0.0146566	0.0181077	0.021049	0.0286455	0.0133557	0.0203249	0.0194786	0.0304676	0.0262336	0.0170717	0.0187668	0.0233309	0.0288797	0.0165919	0.0164269	0.0229208	0.0141796	0.017321	0.0104751	0.00873196	0.0124524	0.00836424	0.0204651	0.0161273	0.0169866	0.0319108	0.0396782	0.0537524	0.0489125	0.0634577	0.09102
adressée	0.0311663	0.0294513	0.037553	0.025621	0.0327248	0.013714	0.0191479	0.0156708	0.0207841	0.0204122	0.021164	0.0171249	0.0162544	0.0176479	0.0257725	0.0271402	0.0165476	0.0251168	0.0334161	0.0359085	0.0355029	0.0394219	0.0222947	0.00927967	0.0141289	0.00620168	0.00600372	0.00901668	0.0103566	0.0303147	0.0187023	0.0218898	0.0198846	0.0711552	0.0450394	0.0420334	0.0727698	0.0436658
m'	0.0215543	0.0280153	0.0339138	0.0302142	0.032544	0.0232389	0.0203138	0.0231178	0.0295507	0.0161504	0.022609	0.0317261	0.028477	0.0253309	0.0312519	0.0279521	0.0151949	0.0276996	0.0344225	0.0310539	0.0465392	0.0535122	0.0529063	0.0284761	0.0231926	0.0125629	0.0121491	0.00935113	0.00889284	0.0245265	0.0154363	0.0146017	0.014933	0.0346801	0.0209913	0.0231495	0.0328467	0.0369216
a	0.0316972	0.0426997	0.0455259	0.0505869	0.0613575	0.0322515	0.0270905	0.0224383	0.0371417	0.0263524	0.0372699	0.0409253	0.0350338	0.0278151	0.0356816	0.0259536	0.0129872	0.0177425	0.0185214	0.0130224	0.0161005	0.019458	0.0212593	0.0103158	0.0162769	0.00589287	0.00298703	0.00574701	0.0074568	0.0281735	0.0144393	0.0145616	0.0132411	0.0379804	0.032998	0.0295539	0.0351748	0.0462888
frustré	0.0291848	0.0214258	0.0252876	0.01892	0.0193115	0.0186604	0.0186827	0.0228669	0.0295049	0.0336417	0.0337721	0.0533213	0.0507906	0.0363327	0.0247374	0.0217632	0.0110117	0.0114221	0.011645	0.0194094	0.0160189	0.0173865	0.034001	0.0235407	0.0201249	0.0124103	0.012713	0.0198493	0.00900557	0.0366595	0.0370411	0.035583	0.0326058	0.044127	0.0299103	0.0411083	0.0256207	0.0406025
</S>	0.03011	0.0252335	0.0276367	0.0226294	0.0276707	0.0275168	0.0300578	0.0305945	0.0284237	0.0237802	0.0313403	0.0265259	0.0263444	0.0256142	0.0227731	0.022262	0.0153043	0.0194443	0.0139363	0.0153632	0.0151271	0.0173234	0.0296835	0.0228467	0.0204858	0.0148539	0.0187298	0.0230757	0.0186618	0.0434046	0.0453057	0.0457964	0.0351256	0.0356799	0.0253154	0.0342333	0.0236375	0.0381526
