 	a66	a87	a10	a87	a97	a99	a50	a96	a88	a75	a6	a79	a69	a90	a94	a44	a13	a47	a88	a71	a9	a87	a97	</S>
j'	0.0688009	0.0630307	0.0532723	0.0385315	0.0275762	0.0211327	0.0142865	0.00821937	0.0103779	0.0122417	0.0126253	0.00802075	0.00612964	0.0112817	0.0110454	0.0122319	0.0127572	0.0230902	0.0355372	0.101979	0.127298	0.0948033	0.0962508	0.129479
ai	0.0838691	0.0494901	0.0922889	0.11206	0.0545386	0.0403761	0.0476053	0.0319603	0.032875	0.0228746	0.0234844	0.0310644	0.0342745	0.0393451	0.0282531	0.0194541	0.0347378	0.0342977	0.031604	0.0272841	0.0272362	0.0253788	0.0308118	0.0448356
oublié	0.023468	0.0282704	0.0283268	0.0307412	0.020238	0.0332886	0.0455592	0.0419657	0.0449668	0.0523876	0.0337716	0.0358615	0.0269059	0.0200459	0.0405484	0.0399548	0.0724773	0.0526412	0.0615608	0.0321625	0.0289173	0.0559772	0.094864	0.0550993
de	0.0747093	0.0404538	0.0407385	0.0286145	0.044792	0.0440068	0.0395901	0.0355886	0.0309937	0.0329765	0.106414	0.0711278	0.0408228	0.0307437	0.0262053	0.0332932	0.0430393	0.0465347	0.0388642	0.0323433	0.0266913	0.0265321	0.0202362	0.0446883
l'	0.0914031	0.0719929	0.0510273	0.0480713	0.0470238	0.0551642	0.05059	0.0549054	0.0557045	0.0622122	0.0482949	0.0229434	0.00812129	0.0135743	0.0143986	0.0171086	0.0233587	0.0392311	0.0368312	0.0250694	0.0390417	0.0413043	0.0358415	0.0467859
argent	0.0372896	0.0319709	0.0184606	0.0128341	0.0214903	0.023167	0.0249375	0.0391721	0.0422547	0.0531699	0.0296693	0.0374843	0.0226093	0.0165461	0.0129199	0.0395132	0.0333373	0.0597255	0.0810233	0.0933911	0.110692	0.0931072	0.0384337	0.0268011
à	0.139362	0.0899045	0.0808915	0.0728845	0.0568401	0.0516659	0.0176536	0.030697	0.0241375	0.0161926	0.00916818	0.00785597	0.00298008	0.00436249	0.00440389	0.0132421	0.0185465	0.0483753	0.042975	0.0409687	0.0589807	0.059714	0.0562495	0.051948
la	0.0712716	0.04437	0.0269007	0.0227021	0.0263402	0.0205761	0.00585743	0.00980413	0.0164675	0.0211602	0.0283487	0.0264599	0.0141806	0.0150028	0.0124785	0.0279178	0.0280086	0.0752462	0.0762898	0.0573382	0.0645754	0.110515	0.0960264	0.102162
maison	0.0599802	0.0378259	0.0310795	0.0316852	0.0232449	0.0153114	0.00882709	0.0105375	0.0126675	0.0167722	0.0284461	0.026159	0.00584465	0.00389304	0.00472081	0.0173553	0.0196688	0.0465288	0.0446781	0.0651963	0.0720691	0.103149	0.126631	0.187728
</S>	0.0767169	0.0498244	0.0320862	0.0238171	0.028726	0.0209208	0.00457413	0.00546337	0.00714096	0.00491763	0.00606471	0.00275993	0.000982864	0.000867246	0.00255383	0.0080068	0.0108764	0.049738	0.0449009	0.0642398	0.104821	0.122769	0.141367	0.185866
