 	a23	a87	a23	a83	a76	a79	a56	a75	a5	a43	a75	a85	a37	a61	a21	a5	a43	a75	a79	a7	a84	a11	a70	a75	a21	a47	a83	a9	a30	a10	a87	a23	a87	</S>
cueille	0.0493009	0.0529044	0.052959	0.0683504	0.0790725	0.118474	0.0694356	0.0444042	0.0291083	0.0197792	0.0217978	0.0140516	0.0125157	0.012004	0.0128914	0.0100943	0.0106234	0.0124068	0.00972988	0.00788139	0.00683395	0.00901545	0.0122469	0.0168359	0.0161649	0.0153123	0.0292812	0.0196712	0.0223201	0.027483	0.0254217	0.0258034	0.0241035	0.0417213
de	0.0113895	0.0157416	0.0120102	0.023162	0.0247618	0.0304983	0.0350097	0.0334291	0.0294798	0.0388507	0.0169786	0.0206923	0.0216842	0.0232017	0.0197777	0.0218997	0.0269414	0.0292545	0.0274819	0.0433387	0.0432797	0.0349886	0.0383471	0.0360894	0.0371122	0.0476785	0.0386974	0.0314711	0.0347727	0.0275465	0.0346332	0.0271769	0.0360662	0.026557
l'	0.052514	0.02227	0.0171861	0.00826815	0.0141943	0.0135742	0.0237619	0.0367152	0.0411998	0.0524303	0.0573392	0.047566	0.0288811	0.0287534	0.0206664	0.0277008	0.0182825	0.0247752	0.015073	0.0164681	0.0202995	0.0195205	0.0175094	0.0290215	0.0252439	0.0213661	0.0202547	0.0188032	0.0284013	0.0433297	0.0366041	0.0402151	0.0627296	0.0490816
oseille	0.0818019	0.0634272	0.105969	0.0510479	0.0473713	0.0334506	0.0284202	0.0245384	0.0232737	0.0199615	0.030104	0.0244859	0.0307401	0.018214	0.0279123	0.0338533	0.055164	0.0523136	0.0593226	0.0394714	0.0233998	0.0197105	0.0127011	0.00988067	0.0109288	0.00641171	0.00876687	0.00488638	0.00579229	0.00885803	0.00605641	0.00640007	0.00665471	0.0187102
dans	0.0737487	0.065835	0.0758757	0.0912416	0.0700704	0.0370967	0.0390804	0.0427438	0.0278137	0.0201748	0.0184084	0.0156718	0.0108009	0.0166583	0.0130438	0.0140779	0.0151342	0.0142444	0.0211479	0.0250924	0.0202737	0.0201963	0.0178854	0.0131193	0.0121885	0.0108361	0.015372	0.0139366	0.0133578	0.0216209	0.0245424	0.02733	0.0412654	0.0401149
ce	0.0903921	0.0363994	0.0167361	0.0213009	0.0165939	0.0101878	0.0185125	0.0197224	0.0193996	0.0218677	0.00889007	0.0118124	0.0116383	0.0395838	0.0165729	0.0163124	0.0107168	0.0143358	0.00784354	0.0238316	0.0294616	0.0431614	0.034123	0.0658941	0.0404507	0.0268444	0.0277639	0.0219834	0.029022	0.0486077	0.0523527	0.057713	0.0592508	0.0307214
champ	0.105321	0.053868	0.0350666	0.0355813	0.0300227	0.0220534	0.0269459	0.0185564	0.0145375	0.0128321	0.00764508	0.0126558	0.0207677	0.0275153	0.0165618	0.0153735	0.00968857	0.0150848	0.0138807	0.017346	0.0245157	0.0553047	0.0305384	0.0588548	0.032354	0.0294999	0.0311934	0.0332779	0.0280472	0.0462986	0.038713	0.0357845	0.0269749	0.0173384
s'	0.0312666	0.0258176	0.0196287	0.0226183	0.0283103	0.0283242	0.0366592	0.0225895	0.017473	0.0122202	0.00356717	0.00274658	0.0037088	0.0144056	0.00437763	0.00492061	0.00347542	0.00279638	0.00293679	0.00674832	0.011888	0.018518	0.0179549	0.0420774	0.0248272	0.0425665	0.0412592	0.0525851	0.0603456	0.0865088	0.0782732	0.0943377	0.0931602	0.0411073
il	0.0483826	0.0496787	0.0385042	0.0371646	0.0512964	0.0406693	0.0606995	0.0540585	0.038867	0.0260617	0.0109343	0.0131547	0.0169826	0.0195119	0.0127903	0.0150911	0.0124576	0.0109929	0.011642	0.0105525	0.00982511	0.0131953	0.0181985	0.0230154	0.0157038	0.0117762	0.0175854	0.0179886	0.0269894	0.0432224	0.0424171	0.0459911	0.0639734	0.0706257
te	0.0309339	0.0347802	0.0281501	0.0286775	0.0509193	0.0478309	0.0519983	0.0367382	0.0268955	0.0254174	0.0126013	0.0106726	0.0120197	0.012853	0.00985115	0.0139086	0.00987128	0.00680208	0.0060829	0.0106682	0.0127305	0.0134548	0.0212288	0.0247113	0.022951	0.0208163	0.0237244	0.0280441	0.0344593	0.0429334	0.0475125	0.0531966	0.0626313	0.123933
plait	0.0320776	0.0376053	0.0283153	0.0276732	0.045294	0.0443062	0.0495374	0.0296855	0.0192744	0.0172696	0.0114013	0.0095687	0.010712	0.00989215	0.00771483	0.0108364	0.00796786	0.00551571	0.005335	0.00828808	0.0127818	0.0141453	0.0216017	0.0235867	0.0239566	0.0258935	0.0301412	0.0368864	0.0391779	0.0436112	0.0559867	0.0614532	0.0682842	0.124223
</S>	0.0182855	0.0165376	0.0106718	0.0169383	0.0157684	0.0177475	0.0228853	0.0106252	0.00597082	0.00505011	0.00357084	0.00271568	0.00363792	0.00421977	0.00294645	0.00409755	0.00384692	0.00381649	0.00451654	0.00545391	0.00738883	0.00835249	0.0133331	0.0197028	0.0319271	0.052378	0.0835679	0.0835285	0.0766535	0.0789741	0.0812099	0.0733225	0.0875587	0.1228
