 	a87	a10	a87	a10	a87	a23	a87	a40	a30	a35	a26	a38	a26	a98	a38	a94	a90	a25	a38	a75	a41	a25	a57	a38	a75	a14	a73	a57	a87	</S>
ce	0.145249	0.141837	0.0980849	0.0844453	0.0524446	0.0460689	0.0295003	0.0191885	0.0138331	0.0101866	0.0106795	0.0109854	0.0187988	0.0181089	0.0255859	0.0328085	0.0228029	0.00843157	0.0120009	0.00988391	0.0151909	0.0268001	0.025086	0.0245678	0.017147	0.0184629	0.0133026	0.0172623	0.0162351	0.0150203
n'	0.0153334	0.030264	0.0204549	0.0637556	0.0849737	0.034725	0.0663006	0.0283234	0.0154413	0.0475362	0.0190731	0.0270587	0.0444195	0.0378421	0.0405864	0.133765	0.0858544	0.0741515	0.0342942	0.0299587	0.0126861	0.00990629	0.00772759	0.00314544	0.00325257	0.00234575	0.0043854	0.00350324	0.00790774	0.0110283
est	0.0379931	0.0231653	0.0237871	0.0264718	0.0302494	0.0324618	0.0317016	0.0604219	0.042717	0.0658992	0.0838784	0.117722	0.097175	0.0764374	0.0635261	0.049126	0.03068	0.0162546	0.0101542	0.00550775	0.00301011	0.00227381	0.00195944	0.00356332	0.00375377	0.00585454	0.00719685	0.00728428	0.0159037	0.0238708
pas	0.0491714	0.0241122	0.0298571	0.02756	0.0244201	0.0176557	0.0319508	0.0352981	0.0327368	0.0315775	0.0286618	0.0495047	0.0494073	0.035145	0.0221434	0.0237282	0.0226112	0.0450499	0.0356382	0.0358791	0.0269566	0.0303936	0.0290417	0.050557	0.0335175	0.0243825	0.0286015	0.0242665	0.0414131	0.0587615
ainsi	0.156635	0.112157	0.0874027	0.0707745	0.0492259	0.0399051	0.0369413	0.0209699	0.0150267	0.012903	0.0118693	0.0176283	0.0113978	0.00973779	0.0224127	0.0150611	0.0114715	0.0177889	0.0152165	0.0167866	0.0174883	0.0195559	0.026381	0.02382	0.0175565	0.0239057	0.0227831	0.0250714	0.0326692	0.0394567
qu'	0.071716	0.0537664	0.045856	0.0362694	0.034757	0.0446492	0.0358599	0.021315	0.0142343	0.00487798	0.00698253	0.00839012	0.0102412	0.00586776	0.00802724	0.00654654	0.00521768	0.00837981	0.00936899	0.0102963	0.0194739	0.0224069	0.0223856	0.0239259	0.0400631	0.0616085	0.0485655	0.0595334	0.0959364	0.163482
il	0.0648837	0.0382566	0.0277099	0.0239143	0.0238991	0.0333992	0.0275377	0.0205856	0.0152491	0.0079072	0.0109619	0.00985763	0.0147625	0.00932651	0.0104368	0.0124859	0.00670772	0.0071049	0.00649823	0.0066558	0.0109343	0.01614	0.0192366	0.0272702	0.0451604	0.0722212	0.0587035	0.064232	0.095361	0.212601
faut	0.0337916	0.0274797	0.0200233	0.0166746	0.0147634	0.0110884	0.00879455	0.00669748	0.00436139	0.00474811	0.0108277	0.0138702	0.0364983	0.0572367	0.0727784	0.0348207	0.0568073	0.0495223	0.0261786	0.0318611	0.0286887	0.0573707	0.0467715	0.0320475	0.0272692	0.0239601	0.0426494	0.0651627	0.0516373	0.0856191
faire	0.0371713	0.029166	0.0200386	0.0147477	0.00997586	0.00825245	0.00616112	0.00392028	0.00400753	0.00233819	0.00922842	0.0059961	0.0209028	0.0246877	0.0418005	0.0192774	0.022395	0.0218886	0.011464	0.0185524	0.0252006	0.0361268	0.0364233	0.0515526	0.056583	0.0689605	0.0796058	0.0977494	0.0981211	0.117705
</S>	0.0307257	0.0243384	0.0179552	0.0128501	0.00995443	0.00757284	0.00602094	0.0033982	0.00242045	0.00131382	0.00224105	0.00288049	0.00717241	0.019136	0.0320016	0.0248657	0.0257379	0.0237364	0.0174754	0.0279159	0.0322457	0.0425555	0.0649412	0.0508527	0.0540006	0.0630691	0.096958	0.127343	0.0788904	0.0894308
