 	a66	a87	a23	a87	a10	a87	a23	a18	a83	a93	a90	a44	a62	a47	a62	a21	a85	a79	a56	a75	a85	a92	a37	a43	a31	a62	a88	a9	a87	a23	a87	</S>
les	0.0494117	0.0574367	0.0500806	0.0319882	0.0700834	0.0317573	0.0335883	0.0485613	0.048285	0.0257722	0.0131453	0.0141803	0.0105343	0.0134828	0.0153477	0.0174636	0.0137627	0.0151863	0.0189402	0.0120388	0.0121024	0.0196395	0.0290562	0.0653262	0.0637537	0.0300573	0.0371151	0.031875	0.0194296	0.0307911	0.0236055	0.0462019
gorilles	0.00936078	0.0131321	0.0181747	0.0143685	0.0160905	0.0247361	0.0261325	0.029793	0.0420734	0.0511351	0.125318	0.137287	0.0765099	0.0796931	0.0589429	0.0440209	0.0436115	0.0275198	0.0187192	0.00863269	0.0087626	0.011765	0.00801104	0.00852165	0.0080172	0.00678914	0.00704591	0.013532	0.0141678	0.0156972	0.0240865	0.00835193
sont	0.0908109	0.0859149	0.0719095	0.039674	0.0295551	0.0450494	0.0531746	0.0486658	0.0490864	0.0348908	0.0423623	0.0324852	0.0247379	0.0169246	0.0165204	0.0186881	0.0169442	0.0205886	0.0187452	0.0175608	0.0125958	0.0231251	0.0119224	0.0164516	0.0154799	0.00624471	0.0137699	0.0190531	0.0123205	0.0368409	0.0409445	0.0169628
en	0.0156248	0.0195793	0.0170361	0.0161	0.0162512	0.0194981	0.0309973	0.0152652	0.0335133	0.0393968	0.0627922	0.112532	0.128217	0.100718	0.0673831	0.0513515	0.0326206	0.0237328	0.0220589	0.0209839	0.0103332	0.0126384	0.010212	0.0136733	0.0181788	0.0230493	0.0134591	0.0165998	0.0135495	0.00642435	0.00774622	0.00848312
train	0.0238501	0.0241315	0.0194589	0.0157119	0.0304993	0.0211441	0.0239565	0.0198595	0.0322256	0.0352398	0.0621279	0.0995634	0.102668	0.0898121	0.0535312	0.0591803	0.0406933	0.0352855	0.0301305	0.031209	0.0208002	0.023602	0.0137543	0.0176012	0.0140805	0.0108977	0.0094836	0.011777	0.00667155	0.00690374	0.00589922	0.0082504
de	0.0451217	0.0304448	0.0315587	0.020043	0.0226285	0.0217952	0.0198846	0.022296	0.0299083	0.060468	0.0660389	0.0492017	0.0486165	0.0404288	0.0296459	0.016409	0.00852377	0.012777	0.0165112	0.0182856	0.019436	0.0396904	0.0540519	0.0398352	0.0343614	0.0123939	0.0266189	0.0239224	0.0167875	0.038561	0.0288224	0.0549319
lécher	0.0231962	0.0191495	0.0133186	0.0128963	0.0130712	0.010195	0.0221529	0.0197185	0.0219831	0.0313827	0.0849613	0.0875271	0.0938795	0.0786178	0.074312	0.0493756	0.0430505	0.0428808	0.0290204	0.0258874	0.0219983	0.0281233	0.0279841	0.0161726	0.015518	0.00767835	0.00945916	0.00924931	0.00410256	0.0172946	0.0149901	0.0308533
le	0.0627294	0.041183	0.0224503	0.0139043	0.00959025	0.0133778	0.0195642	0.0186428	0.0183498	0.0176006	0.0222682	0.0219849	0.0230085	0.0224468	0.0201522	0.015802	0.0175226	0.0152184	0.025284	0.0264418	0.0245999	0.0363646	0.0396671	0.0510107	0.0755221	0.0571011	0.0575597	0.0579336	0.0260944	0.0451886	0.0383517	0.0430846
miel	0.0592683	0.0489714	0.0418472	0.0197064	0.0176553	0.0252834	0.027614	0.0223995	0.0186859	0.0142505	0.0100451	0.013926	0.0152019	0.0125742	0.015466	0.012893	0.015111	0.0157475	0.0337711	0.0298258	0.0295347	0.0469718	0.0324192	0.0455766	0.0682031	0.0490711	0.0370627	0.051941	0.0305252	0.0486662	0.0344497	0.0553354
</S>	0.061468	0.0372496	0.0282443	0.0170814	0.0136025	0.0126047	0.0108597	0.0158267	0.00982452	0.00645157	0.0040585	0.00444997	0.00480034	0.00853183	0.0148091	0.00583096	0.00383062	0.00456787	0.00687217	0.00683271	0.00613722	0.0119391	0.0212878	0.0227984	0.0408095	0.0419242	0.0588678	0.101149	0.0759565	0.108841	0.10771	0.124782
