 	a87	a79	a5	a61	a70	a75	a92	a34	a90	a15	a85	a5	a18	a75	a5	a37	a75	a85	a5	a47	a62	a88	a38	a11	a70	a61	a75	a5	a43	a75	a37	a26	a53	a4	a13	a40	a75	a47	a5	a61	a47	a83	a93	a70	a98	a85	a21	a6	a36	a26	a57	a87	a23	a87	a23	a87	a23	a87	a23	a99	a87	a30	</S>
quand	0.0323984	0.0500782	0.0416828	0.0659642	0.0434526	0.0445513	0.0260767	0.0141926	0.0206559	0.0507483	0.0356117	0.0536103	0.0297221	0.0516425	0.0202408	0.014406	0.0136533	0.0118598	0.00749223	0.0114331	0.0192934	0.0132437	0.0187586	0.0136651	0.0135801	0.011409	0.0101782	0.0138539	0.010513	0.00820016	0.0044426	0.00504524	0.00666962	0.00728559	0.00916315	0.00964764	0.0087521	0.00537765	0.0146299	0.00908405	0.00778426	0.00751621	0.00750906	0.00760033	0.00927756	0.0062635	0.00861517	0.00845149	0.0104527	0.00432782	0.00399732	0.00230461	0.00273801	0.00274767	0.00612311	0.00299346	0.004667	0.00364769	0.00421456	0.0049863	0.00633793	0.00683427	0.0183442
un	0.0103059	0.00709777	0.00838715	0.0117656	0.0139957	0.0188351	0.0199342	0.0183947	0.0268905	0.0394255	0.0397399	0.0572696	0.0193126	0.0318771	0.0139244	0.019885	0.0213335	0.0129136	0.00858342	0.00986012	0.00808966	0.017147	0.0116855	0.0147666	0.0142118	0.0128305	0.0112883	0.0140396	0.0130741	0.0125804	0.012429	0.00922068	0.0109043	0.009004	0.0070391	0.00536981	0.00334356	0.00424041	0.00242021	0.00287834	0.00609886	0.00820551	0.00631411	0.0114874	0.00751574	0.0149239	0.0129334	0.0167075	0.0230876	0.0252809	0.024328	0.0209851	0.014483	0.0153755	0.0175712	0.016156	0.0146749	0.0232485	0.0205743	0.0198391	0.0201602	0.0278503	0.025905
mouton	0.0142934	0.0139487	0.0104777	0.0142346	0.0182009	0.0252535	0.0248216	0.0515897	0.0473797	0.0663936	0.0901193	0.130207	0.0509692	0.0706658	0.041645	0.0405291	0.0191848	0.0166621	0.0167347	0.0110068	0.00874923	0.00779627	0.00726184	0.00825149	0.00775425	0.0127092	0.00445313	0.00555218	0.00806583	0.00909553	0.00851348	0.00682751	0.00742001	0.00745838	0.00743438	0.00692748	0.0111152	0.0160906	0.00517536	0.0068169	0.0078772	0.00462438	0.00512379	0.00382735	0.0024981	0.00305788	0.00321904	0.0023765	0.00200147	0.00163545	0.00091402	0.000914952	0.000709102	0.00102578	0.00177912	0.00114592	0.00170846	0.00210815	0.00196676	0.00275959	0.00279693	0.00414858	0.0039959
donne	0.0524166	0.0145458	0.00900514	0.00744392	0.00925923	0.00788893	0.00988705	0.00834052	0.0196181	0.0248183	0.0479361	0.0320858	0.0336671	0.0226491	0.0178821	0.0106129	0.00575837	0.00751486	0.00815871	0.010483	0.0165195	0.0108307	0.0116915	0.0181949	0.0145045	0.0210934	0.010277	0.0140096	0.0149275	0.0201323	0.00795204	0.00980192	0.00745007	0.00776939	0.0109913	0.00735772	0.0128541	0.0187594	0.0166494	0.0124509	0.0197811	0.0124838	0.0125215	0.0160256	0.0115431	0.00813697	0.00896792	0.00934685	0.0101294	0.00595749	0.00450263	0.00443924	0.00792589	0.010949	0.0405128	0.0132799	0.0278312	0.0192305	0.0315119	0.0255912	0.0218742	0.0280526	0.0252166
des	0.068839	0.0382665	0.0160046	0.0129306	0.0179483	0.0158048	0.0135356	0.0138666	0.0182034	0.0191586	0.0210232	0.0167454	0.0118609	0.00781471	0.00756297	0.00797769	0.00887464	0.0104382	0.00963026	0.0158284	0.0209706	0.0203337	0.0202007	0.0214546	0.021592	0.0314183	0.0279341	0.0253936	0.0280503	0.030262	0.0233407	0.0227588	0.0213923	0.0267017	0.023917	0.0137851	0.013545	0.0165335	0.0210622	0.0126111	0.0122679	0.00920448	0.00672861	0.0108319	0.0100995	0.0061245	0.00722525	0.00615067	0.00307083	0.00269379	0.00292926	0.0054628	0.0059902	0.00784023	0.010667	0.00916835	0.0128866	0.00788894	0.0127358	0.00989957	0.012119	0.0127506	0.0196923
coups	0.0283367	0.0232709	0.0128787	0.0141072	0.0150913	0.0162019	0.010851	0.00908461	0.0151705	0.0172448	0.014927	0.0132993	0.0331954	0.016091	0.0193647	0.0139675	0.0144798	0.015408	0.0159037	0.0171177	0.0179602	0.0197973	0.024652	0.0199089	0.0229095	0.0257728	0.0253118	0.0265516	0.0225871	0.025697	0.021024	0.0205876	0.0215181	0.0245727	0.0201614	0.0146386	0.015818	0.021503	0.0309914	0.0248063	0.0222504	0.0139259	0.0135071	0.0139979	0.0177249	0.00976878	0.0118599	0.0100327	0.00806881	0.00727417	0.00482428	0.00418238	0.00417964	0.0045374	0.0055896	0.0054898	0.00740687	0.00617519	0.00682561	0.00635448	0.0105304	0.0093295	0.0134032
de	0.0245516	0.0113169	0.00871557	0.0107953	0.00719165	0.00560856	0.00501412	0.00451329	0.00448468	0.00682772	0.00466516	0.00551826	0.00280672	0.00430257	0.0037471	0.0106149	0.0102059	0.0160847	0.0169985	0.0176635	0.0181499	0.0397569	0.0279066	0.0415156	0.0446735	0.0480785	0.0229609	0.0338599	0.0454487	0.0477336	0.0370825	0.0237802	0.0268404	0.0365062	0.0297714	0.0195344	0.00922845	0.00991301	0.0121275	0.00647348	0.00953519	0.00611276	0.00424736	0.00629503	0.00623281	0.00978364	0.0156947	0.0187004	0.00829874	0.00966984	0.00866457	0.00759425	0.00396318	0.00767358	0.0123906	0.00800568	0.0131098	0.0120634	0.00954646	0.00960274	0.0171696	0.0152904	0.0173869
cornes	0.03847	0.0145171	0.00787467	0.00601572	0.00563254	0.00425421	0.00444082	0.00515861	0.00683521	0.00818941	0.00741347	0.00795105	0.00505212	0.00559285	0.00710719	0.00806595	0.00536173	0.0153773	0.0194042	0.0162923	0.0242455	0.0249332	0.0171126	0.0234532	0.0203869	0.0261597	0.0156116	0.0181624	0.0177845	0.0217268	0.00809147	0.00854903	0.00837985	0.00632574	0.00819861	0.00748698	0.00928671	0.0077504	0.0144256	0.0146689	0.0185733	0.0138529	0.0144038	0.0132117	0.00958511	0.00999024	0.0109003	0.0117801	0.0112591	0.0113137	0.0136163	0.00936903	0.00861109	0.00830364	0.0102534	0.0145391	0.0272665	0.0328476	0.0324832	0.0511478	0.0621084	0.057923	0.044914
aux	0.0513928	0.0261312	0.0113902	0.00867938	0.011279	0.0064088	0.00506197	0.00534638	0.00788985	0.00535811	0.00434409	0.00405367	0.00245254	0.003041	0.00375244	0.00584485	0.00446543	0.0134436	0.0165957	0.0156098	0.0233588	0.0317541	0.0176109	0.0226104	0.0216861	0.0327233	0.0191253	0.022369	0.0253188	0.0266547	0.0105125	0.0129866	0.0113842	0.00854644	0.0124127	0.0130189	0.0134269	0.00787865	0.0220347	0.0153513	0.0149017	0.0149815	0.0120483	0.0116418	0.0105927	0.00967091	0.00787559	0.0102403	0.0106896	0.00750611	0.0130288	0.00854616	0.00599841	0.00643559	0.0111922	0.00896115	0.0230792	0.0303046	0.0273304	0.0338217	0.0481158	0.0451498	0.0445825
gens	0.0331073	0.0178778	0.00874653	0.00641566	0.00867204	0.00456259	0.00396602	0.00412708	0.00664004	0.00757624	0.00504439	0.00681333	0.00536215	0.00563081	0.00767466	0.00846674	0.00705872	0.0151189	0.0166458	0.0171231	0.0224319	0.0179294	0.0120798	0.0206922	0.0184973	0.0247429	0.0132762	0.0177291	0.018034	0.0236661	0.00903396	0.0141012	0.0129091	0.00744875	0.0120624	0.0134572	0.0133311	0.0103864	0.0140451	0.0115593	0.0123645	0.0109331	0.00890034	0.00995991	0.0100205	0.0152548	0.0102008	0.0116459	0.00819305	0.00870306	0.0141888	0.00817809	0.00805356	0.00882556	0.0104937	0.0139877	0.0244554	0.0384664	0.0330378	0.0374659	0.0545338	0.0573065	0.0807873
dans	0.0297122	0.0232866	0.0157042	0.0149454	0.015649	0.00881673	0.0042158	0.00371446	0.00633736	0.00751793	0.00507458	0.00718952	0.00851823	0.00919826	0.0118054	0.0144112	0.012043	0.0204284	0.021691	0.0189174	0.0237622	0.0248148	0.0147876	0.0176511	0.0212893	0.0209938	0.0153533	0.0189765	0.0183825	0.019213	0.00707796	0.0112644	0.0127759	0.00813376	0.0110923	0.0129767	0.0137173	0.00847643	0.0152645	0.0132249	0.0132444	0.0116144	0.0113004	0.00967367	0.0130491	0.0123681	0.00788828	0.0123297	0.0115133	0.0122843	0.0143732	0.00658762	0.00562098	0.00431179	0.00621923	0.00658727	0.0148496	0.025147	0.0214748	0.030437	0.0498993	0.0573544	0.0734674
le	0.0192814	0.0169908	0.0134262	0.0111236	0.00904661	0.00476205	0.00210121	0.00162411	0.00286466	0.00406039	0.00231467	0.00441866	0.00453466	0.00554502	0.00752771	0.0102632	0.0113405	0.0171111	0.0198906	0.0207226	0.0240063	0.0268531	0.0200723	0.0199663	0.0231612	0.0229675	0.019736	0.0213926	0.0224001	0.0215664	0.00906572	0.0121287	0.0141653	0.0124388	0.0158726	0.0165691	0.0116292	0.00707124	0.0146	0.0115436	0.0115555	0.0103865	0.0072606	0.00890068	0.0116848	0.0160528	0.0125132	0.0197191	0.011986	0.0165816	0.0221558	0.0107463	0.00911131	0.00944895	0.0111024	0.0119696	0.0227385	0.0308752	0.0282321	0.0279101	0.0368803	0.0415055	0.0745273
village	0.0189284	0.00947905	0.011057	0.00654699	0.00461874	0.00244932	0.00150541	0.00109677	0.0012302	0.00212106	0.00189653	0.00511009	0.00847492	0.0171727	0.0208807	0.0230386	0.0187791	0.0215714	0.023103	0.0233355	0.0246867	0.0190113	0.0155413	0.0215808	0.0218525	0.0193573	0.0166793	0.0191824	0.0204161	0.0200549	0.00713967	0.0115066	0.0131872	0.0128906	0.0191542	0.0160914	0.0138472	0.0101543	0.018627	0.013873	0.0137899	0.0158366	0.00928339	0.0112205	0.018449	0.0223339	0.0166163	0.0205649	0.0145008	0.0184268	0.0148492	0.00770658	0.00780203	0.00845201	0.00888795	0.0099449	0.0187279	0.021291	0.0228501	0.0312372	0.0326159	0.0485258	0.0488582
il	0.0239455	0.0251723	0.0258389	0.0178183	0.0130449	0.00752144	0.00335146	0.00304763	0.00537856	0.00666429	0.00328823	0.0075094	0.00459348	0.00935852	0.0104769	0.0253514	0.0250929	0.0190814	0.0255973	0.0332571	0.0285746	0.0378369	0.0375783	0.0247667	0.0204467	0.0179077	0.0247126	0.0259787	0.0234884	0.0183116	0.010933	0.0108296	0.0134179	0.0169869	0.0181353	0.0182712	0.010575	0.00739697	0.0130557	0.00850159	0.00884836	0.0109543	0.00556005	0.00629138	0.0135304	0.0103881	0.00841848	0.017265	0.0211345	0.0274794	0.0205561	0.0103422	0.00710624	0.0075343	0.00701884	0.00492988	0.00816792	0.00640588	0.00694001	0.0142296	0.0140275	0.0482108	0.0315654
faut	0.0504043	0.043665	0.0312357	0.0161075	0.0143041	0.00589816	0.002668	0.00223412	0.00430902	0.00656493	0.00406898	0.00594429	0.00780411	0.0122074	0.014112	0.0189976	0.0196621	0.0235736	0.0290018	0.0327436	0.0321043	0.0379224	0.0400509	0.0301369	0.0285775	0.0257295	0.0319111	0.0258655	0.0259176	0.019042	0.0152224	0.0154727	0.0160856	0.0223395	0.0193905	0.0199796	0.0110735	0.0116686	0.0163357	0.0128687	0.0164176	0.0159117	0.00588598	0.00726335	0.0102267	0.00792651	0.00677947	0.0118897	0.010551	0.0151725	0.00790967	0.00321328	0.00285864	0.00306522	0.00365767	0.00217298	0.00434642	0.00343	0.00351161	0.00597408	0.00748878	0.0233401	0.0178065
