 	a87	a23	a87	a23	a40	a56	a66	a75	a6	a44	a13	a54	a47	a41	a37	a93	a70	a34	a56	a70	a98	a47	a37	a11	a75	a47	a44	a98	a41	a37	a6	a27	a57	a40	a75	a47	a36	a57	a87	a23	a99	a38	a94	a15	a56	a11	a62	a21	a85	a37	a75	a85	a47	a73	a44	a38	a90	a25	a56	a11	a75	a96	a83	a62	a83	a38	a21	a62	a21	a88	a21	a12	a88	a71	a9	a87	a23	a87	</S>
quand	0.0157865	0.0205876	0.0223674	0.0174177	0.0133343	0.029602	0.0368352	0.0304087	0.0258119	0.0207349	0.0332361	0.011962	0.0166384	0.0220918	0.0155563	0.0225303	0.0207884	0.0214527	0.0130041	0.0107652	0.0116729	0.010118	0.00931257	0.00810907	0.00725053	0.00558903	0.0052757	0.00596404	0.00532441	0.00721173	0.00836162	0.00731672	0.00481541	0.00970268	0.00922657	0.00646804	0.00718267	0.00787867	0.010019	0.0122302	0.0180408	0.00737269	0.00749876	0.00759972	0.0083159	0.0135519	0.0123589	0.0153543	0.0137542	0.0180254	0.0117479	0.0150206	0.0210815	0.0239813	0.0202473	0.0186233	0.0107727	0.0177852	0.0113015	0.0173717	0.0115397	0.0109443	0.00735754	0.00854218	0.00938873	0.00303575	0.00252179	0.00212007	0.00210572	0.00275745	0.0036954	0.00602165	0.00883011	0.00345574	0.00492614	0.0043793	0.00920941	0.00699073	0.0224322
ils	0.00852464	0.00649958	0.00670116	0.0063248	0.0071379	0.00518763	0.00759645	0.0160423	0.00691571	0.0120791	0.0143661	0.0118387	0.00766473	0.0104099	0.0097589	0.0127553	0.017491	0.00940557	0.0112849	0.0104655	0.00794342	0.00986932	0.0129177	0.0149396	0.0153347	0.0147369	0.02464	0.0130917	0.0160281	0.0231085	0.0288676	0.0200906	0.0202686	0.0295999	0.0203206	0.0188861	0.0199257	0.00784503	0.0183992	0.0115378	0.010791	0.00456525	0.00814034	0.00813946	0.00711943	0.0106914	0.0188581	0.0147481	0.0185267	0.0222108	0.0142868	0.0167961	0.015249	0.0148859	0.00744146	0.0053231	0.00388942	0.00691573	0.00477619	0.00615773	0.00522465	0.00568375	0.00420028	0.00639678	0.00805543	0.00770577	0.0109073	0.0137337	0.0244293	0.0228747	0.0275281	0.0158465	0.0165669	0.0118005	0.00956146	0.0104531	0.00952804	0.0124103	0.0107804
n'	0.0246945	0.0097835	0.0140791	0.012494	0.015625	0.0123786	0.0244955	0.0302708	0.0244462	0.0259687	0.0148015	0.0149631	0.00749085	0.00808676	0.00592551	0.0079681	0.0103507	0.00748464	0.0113953	0.00812102	0.0067354	0.00808212	0.00946273	0.011322	0.0118154	0.0119171	0.0216284	0.0138576	0.0150898	0.0184358	0.025534	0.0113793	0.0149179	0.0168102	0.0132036	0.0170046	0.0295378	0.0109947	0.0227011	0.0165122	0.00894699	0.00698443	0.0072033	0.00660748	0.0104101	0.00936016	0.0114128	0.0113454	0.0127356	0.0120461	0.0100608	0.0208792	0.0235995	0.0358297	0.0197713	0.0180438	0.01834	0.0168929	0.016553	0.0165524	0.0156317	0.00692106	0.00585828	0.00645941	0.00460699	0.00190793	0.00220031	0.00170731	0.00281036	0.00270755	0.00444406	0.00429001	0.0110953	0.00616492	0.00333602	0.00502467	0.00774271	0.00693423	0.00881715
avaient	0.0242962	0.0108439	0.00901333	0.00646067	0.00384164	0.00303173	0.00465663	0.0034279	0.0049837	0.0040392	0.00873976	0.00650461	0.00585949	0.00778996	0.00652789	0.00594263	0.00713466	0.00442719	0.00528332	0.00514044	0.00410055	0.00504498	0.00573915	0.00742218	0.00965089	0.00963773	0.0130118	0.00830321	0.0100308	0.0140996	0.0117905	0.010983	0.00842703	0.011928	0.00798837	0.0127578	0.00735474	0.00639081	0.00782959	0.00828819	0.00727533	0.00632115	0.0051717	0.00700153	0.00953902	0.00815528	0.00855481	0.0111935	0.011076	0.00835488	0.00656621	0.0129296	0.0286139	0.024452	0.0199471	0.0165038	0.0133798	0.0265235	0.0208964	0.0242073	0.0227651	0.0121982	0.0115587	0.0110238	0.0206413	0.010294	0.0103997	0.0136536	0.0100356	0.0186245	0.0248333	0.0299265	0.0578133	0.034226	0.0246772	0.0307584	0.0184391	0.0188585	0.0238867
pas	0.0175979	0.0119136	0.0100216	0.00814116	0.0039966	0.00330762	0.00363103	0.00266558	0.00349944	0.00191275	0.00248483	0.00630383	0.0124683	0.0111371	0.0148365	0.0102053	0.0123437	0.0141484	0.0178349	0.0114146	0.0180754	0.0150604	0.0134109	0.0138888	0.0163768	0.0238834	0.0150613	0.017655	0.0143268	0.018861	0.0194418	0.0146515	0.0194568	0.0183881	0.0172169	0.0182025	0.0109732	0.0245383	0.020191	0.0298081	0.0266113	0.025296	0.0166986	0.0183705	0.0226501	0.0175418	0.0145761	0.0131868	0.0149141	0.013861	0.0195379	0.0142202	0.0125372	0.0142314	0.00753116	0.00977339	0.00911334	0.0105162	0.0115685	0.0170958	0.0197458	0.0129078	0.0120686	0.0136448	0.0165071	0.00990934	0.0136049	0.00449677	0.00246449	0.00295789	0.00350131	0.00165491	0.00209234	0.00352177	0.00427224	0.00535892	0.00929166	0.00700027	0.00583528
encore	0.0100329	0.00693003	0.00618247	0.00686949	0.0114074	0.00636886	0.00647646	0.0089515	0.00665779	0.00576765	0.00448424	0.00486616	0.0058256	0.00519035	0.00568641	0.00777847	0.0100266	0.00978133	0.0197704	0.0153811	0.0192944	0.0153177	0.0193513	0.0229603	0.0301223	0.0260274	0.0208237	0.0272695	0.027137	0.0469791	0.0297664	0.0306644	0.0248089	0.0319078	0.0317799	0.0159822	0.0148813	0.0233679	0.0209359	0.0242964	0.0111187	0.0137175	0.0147908	0.0208538	0.0172802	0.0298983	0.0228086	0.027968	0.0121441	0.0134244	0.00803476	0.00541876	0.00578863	0.00567887	0.00493521	0.00539608	0.00415765	0.00416765	0.00486524	0.00588084	0.00517439	0.00444566	0.00368126	0.00450124	0.00711571	0.00549464	0.004618	0.00292452	0.0022537	0.00351615	0.00474599	0.00322691	0.0063447	0.00666442	0.00614492	0.00581512	0.00615192	0.00502004	0.00572371
d'	0.0105043	0.00422082	0.00351927	0.00221809	0.0015898	0.000594795	0.00090973	0.00192361	0.00117377	0.00121312	0.00267661	0.0024923	0.00384449	0.00290253	0.005007	0.00575933	0.0101312	0.0090515	0.0173264	0.012173	0.0135268	0.0154958	0.0213035	0.0236767	0.0293331	0.0211308	0.0270713	0.0234219	0.0298793	0.0267059	0.0277875	0.0188354	0.021569	0.0191995	0.0169877	0.0212688	0.015175	0.0210567	0.0218796	0.0307144	0.011121	0.0134314	0.0172344	0.0256552	0.0244185	0.030383	0.0343586	0.0368452	0.0206317	0.0253428	0.0128867	0.0142939	0.0241926	0.0245327	0.0107977	0.0169461	0.00679511	0.0066792	0.00560142	0.00644356	0.00656194	0.00309894	0.00216428	0.0025925	0.00577439	0.00218577	0.0026829	0.0032662	0.00161411	0.00352095	0.00799981	0.00321309	0.00853278	0.00819601	0.00648915	0.00464426	0.00669275	0.00409468	0.00283407
enfants	0.025683	0.0126723	0.0085777	0.00503532	0.00210278	0.000600828	0.00074797	0.00156478	0.000806231	0.000678695	0.00139227	0.00163612	0.00269403	0.00237501	0.0067619	0.00779134	0.01728	0.0118126	0.0203386	0.0164135	0.0231871	0.0183011	0.0193315	0.0247914	0.0353088	0.0250041	0.0224607	0.0238281	0.0356952	0.0268559	0.0332716	0.0202324	0.019339	0.0192016	0.0227694	0.0194608	0.0119793	0.0341589	0.0172742	0.0338211	0.0194186	0.0113335	0.0162378	0.025721	0.0189492	0.034087	0.0225065	0.0252082	0.0140672	0.0277069	0.0137908	0.0091587	0.0113295	0.011778	0.00554158	0.00794454	0.00364347	0.00362759	0.00374788	0.0035773	0.00460926	0.00216881	0.001806	0.00221476	0.00383578	0.00335041	0.0013855	0.00218999	0.00225413	0.00553996	0.00815537	0.00380798	0.00436181	0.00485888	0.00555646	0.0055132	0.00678953	0.00543145	0.0035585
la	0.0372802	0.0212346	0.0171292	0.0117589	0.00315562	0.00121683	0.00100522	0.00125323	0.0012897	0.00113335	0.00180855	0.00320334	0.00379251	0.00438977	0.0087866	0.00886573	0.0154982	0.0142208	0.0155876	0.0123516	0.017435	0.0145431	0.0134122	0.0179055	0.0247277	0.0161962	0.0169656	0.0149789	0.0262913	0.0142076	0.0211642	0.0106145	0.0128668	0.00897071	0.0136691	0.0174989	0.0114341	0.0300862	0.0205911	0.026781	0.0216664	0.016297	0.0175121	0.0190543	0.0176	0.0215866	0.0147156	0.0142954	0.0121875	0.017835	0.0167473	0.0167152	0.0122427	0.0133539	0.00921043	0.0134935	0.00956796	0.00947698	0.0111383	0.00971562	0.011247	0.00696326	0.00752128	0.00975879	0.0100847	0.0134588	0.00523249	0.00422565	0.00525954	0.00763585	0.0109381	0.00533238	0.00660876	0.00917895	0.0114731	0.0120305	0.0129603	0.0103411	0.0100365
femme	0.0173319	0.00590542	0.00702192	0.00590405	0.00291734	0.00175908	0.00153459	0.00275825	0.00293908	0.00338958	0.00529023	0.0118319	0.0095817	0.00709172	0.0142879	0.00965171	0.0160928	0.0155878	0.0196641	0.0146626	0.0212358	0.020491	0.0200711	0.0240222	0.0332614	0.0168334	0.0257578	0.0158438	0.0260319	0.0131855	0.0151151	0.0107536	0.0152002	0.00645578	0.00737346	0.0118961	0.0123549	0.0235229	0.023715	0.0203546	0.0198736	0.0231962	0.0192607	0.018986	0.018146	0.0170556	0.0193172	0.0186688	0.013551	0.0172794	0.0171985	0.0144504	0.0165721	0.0173422	0.011761	0.0178751	0.0153415	0.0139454	0.0129347	0.0119698	0.0126659	0.0106795	0.0108028	0.0107001	0.00729756	0.00589923	0.0038723	0.00317767	0.00450988	0.00506721	0.00640836	0.00512212	0.00587258	0.00579827	0.0043926	0.00513859	0.00782469	0.00581008	0.00555598
