 	a66	a99	a87	a97	a99	a40	a73	a44	a70	a90	a98	a92	a85	a44	a26	a94	a70	a0	a11	a61	a47	a75	a98	a44	a84	a53	a93	a66	a9	a87	a99	a87	a23	a87	a10	a87	a23	a87	</S>
les	0.0486776	0.0784128	0.0670231	0.0770578	0.0449563	0.0929129	0.0732702	0.0563925	0.0442038	0.0310957	0.0645406	0.0513284	0.0284925	0.0143949	0.0143487	0.0129091	0.0125045	0.0126817	0.0156069	0.0110847	0.0135378	0.0109253	0.00939987	0.0118437	0.0110576	0.00588085	0.00837734	0.00729308	0.00753842	0.00541433	0.00480442	0.00479314	0.00646115	0.00462547	0.00741461	0.00565713	0.00562353	0.00505843	0.0123993
soldats	0.00373405	0.00729863	0.00772721	0.0108954	0.016259	0.0336933	0.0545622	0.0472094	0.0958365	0.103024	0.0848555	0.0920423	0.0972231	0.101048	0.0853239	0.0508685	0.017827	0.0107475	0.0228873	0.0100933	0.0114247	0.00202014	0.00344724	0.00363646	0.00473961	0.00373621	0.00186561	0.00111882	0.00125013	0.000944426	0.000964623	0.00131223	0.00105264	0.00102601	0.00135491	0.00163654	0.00159663	0.00183764	0.00187911
ont	0.0336371	0.0205588	0.0183956	0.0252489	0.0274852	0.0416088	0.024667	0.0499197	0.0429403	0.0647364	0.0370578	0.0457112	0.0377408	0.0542452	0.0364355	0.0376086	0.0257933	0.028404	0.0207583	0.0236841	0.0201511	0.0315911	0.0234705	0.0279317	0.014397	0.00839771	0.0123926	0.00805742	0.00710782	0.0084004	0.0101594	0.0106946	0.0156957	0.0183883	0.0155922	0.0227005	0.0149828	0.0204096	0.0128428
surpris	0.0213316	0.0218241	0.0186768	0.0143832	0.0155749	0.011242	0.00872478	0.0179043	0.0215887	0.0282464	0.0371707	0.0423721	0.057513	0.10681	0.0628811	0.0482183	0.0302481	0.0391555	0.0372166	0.0282438	0.0426788	0.0248264	0.0159921	0.00726746	0.0058268	0.00521265	0.00703845	0.00909579	0.00873547	0.0150089	0.0175384	0.0271798	0.0292848	0.0291133	0.0211426	0.0173047	0.0152528	0.0171116	0.0150628
des	0.078518	0.038437	0.0182237	0.0186022	0.0125406	0.0153094	0.0116001	0.0100015	0.0153558	0.0165663	0.0298992	0.0270946	0.0327929	0.0215322	0.0202219	0.0183458	0.0221276	0.019848	0.0220643	0.0273485	0.0333156	0.0307682	0.027149	0.0158075	0.0147914	0.0132375	0.0177294	0.0161417	0.0131465	0.0145931	0.020896	0.0267272	0.0449864	0.0365147	0.0341635	0.0417707	0.0384059	0.032607	0.0508193
voleurs	0.0610265	0.0329483	0.0225133	0.0247152	0.0230966	0.0219186	0.0148801	0.0119929	0.0122507	0.0132345	0.0249176	0.0419015	0.0355255	0.0322158	0.0404198	0.0354466	0.0258526	0.0158908	0.0207691	0.0273709	0.0374145	0.0298516	0.0259901	0.0217823	0.0386895	0.0297938	0.0441819	0.0261888	0.0181408	0.0140253	0.0148948	0.0143359	0.0217241	0.0154211	0.0221713	0.0207629	0.0212753	0.0200228	0.0244465
dans	0.0833005	0.0650561	0.0602567	0.0494319	0.0552963	0.0199732	0.0137923	0.0266569	0.0264663	0.0102853	0.0206406	0.016709	0.0114817	0.0100068	0.0127271	0.0139561	0.0217306	0.0135145	0.0124271	0.0142633	0.0136093	0.0094217	0.00660137	0.00512641	0.010953	0.0109362	0.0112106	0.0103953	0.0158209	0.00881943	0.0188175	0.0172016	0.026338	0.0263125	0.0303454	0.0393987	0.0438349	0.0479751	0.0889096
la	0.0348633	0.0318294	0.0199299	0.0216546	0.0227795	0.00981832	0.00494078	0.00552832	0.00758078	0.0101306	0.00970743	0.0153186	0.0123824	0.0105457	0.00937244	0.0161211	0.0159802	0.00969837	0.0167085	0.0285542	0.0255995	0.0256954	0.0354042	0.026904	0.0287773	0.0234136	0.0309946	0.0249447	0.0329328	0.0264177	0.0370106	0.0360084	0.0677056	0.0542194	0.039639	0.0477872	0.0392613	0.0547234	0.0291166
nuit	0.0211699	0.0207812	0.0133059	0.0156519	0.015542	0.0140763	0.00853021	0.00882559	0.008866	0.00782272	0.00741092	0.00993436	0.00579976	0.00402862	0.00476654	0.00977468	0.0169488	0.0148084	0.0300197	0.0463771	0.0450664	0.0375306	0.0480144	0.037957	0.04061	0.024373	0.0311215	0.0353211	0.0458231	0.0265834	0.0380184	0.0255555	0.0545291	0.0473034	0.0448042	0.0425849	0.0338283	0.0359184	0.0206166
</S>	0.0482136	0.0212802	0.014622	0.010776	0.00864222	0.00430302	0.00367573	0.00351901	0.00337426	0.00187176	0.00344146	0.00334022	0.00166769	0.00121312	0.00213258	0.00444686	0.00743695	0.00582693	0.00768529	0.0114908	0.00720761	0.00670661	0.00522628	0.00851534	0.00746206	0.00688648	0.00603235	0.00731391	0.0190655	0.0155908	0.0245849	0.0341099	0.077081	0.0654035	0.107158	0.125787	0.0956542	0.112632	0.0986226
