 	a66	a87	a23	a18	a44	a36	a37	a61	a0	a24	a31	a21	a5	a37	a92	a37	a43	a0	a75	a79	a15	a44	a98	a92	a12	a18	a62	a21	a47	a62	a47	a88	a71	a9	a99	a87	a23	a83	a9	a83	a9	a38	a5	a18	a36	a26	a57	a87	a23	a87	a23	a87	</S>
de	0.0506895	0.0443399	0.0453212	0.0467505	0.0462327	0.0500098	0.049112	0.0339681	0.0222128	0.0152641	0.00786598	0.00674107	0.00564993	0.00946321	0.00360352	0.00336938	0.00285365	0.0077275	0.00411403	0.00664433	0.0165277	0.0153406	0.025298	0.0268648	0.0267714	0.0306655	0.0311448	0.0279563	0.0242739	0.0161578	0.0158901	0.0153716	0.0249002	0.0167686	0.0228765	0.00894647	0.0120332	0.00617145	0.00511189	0.00536598	0.00560889	0.00462562	0.00900082	0.0096998	0.0131422	0.0106059	0.0090912	0.0101137	0.017216	0.012574	0.0163932	0.0149043	0.0306543
la	0.00625264	0.0152687	0.0280841	0.0325516	0.0200531	0.012752	0.0183378	0.0133286	0.0148722	0.0219881	0.0326574	0.0375847	0.0220174	0.0373171	0.0493007	0.044505	0.0630786	0.068151	0.0548503	0.0429961	0.0415014	0.0370013	0.0266251	0.0197168	0.0148686	0.021455	0.0119303	0.0150783	0.0117773	0.00907452	0.00845344	0.00499912	0.00464472	0.00460366	0.00487342	0.0052824	0.00487428	0.00368972	0.00348728	0.0030362	0.00442911	0.00315728	0.0104713	0.00969266	0.0110593	0.00926312	0.00973785	0.00750973	0.00828615	0.00878756	0.00798107	0.0106548	0.00604999
manière	0.0505903	0.0369666	0.0371624	0.0226348	0.0226048	0.0257197	0.0257219	0.0188854	0.0209012	0.0149234	0.00972419	0.0126834	0.0128728	0.0289258	0.0139473	0.0138848	0.0120067	0.029745	0.00931135	0.0140662	0.00676495	0.0117018	0.0147422	0.0124877	0.013229	0.0161301	0.0634744	0.0307841	0.0972364	0.0454298	0.0565403	0.0317906	0.0160904	0.0260222	0.0316806	0.00925335	0.0154962	0.00556694	0.00562186	0.0025236	0.0030331	0.00128853	0.00278242	0.00330296	0.00410615	0.00423186	0.00270356	0.00485993	0.00358286	0.0074432	0.00756669	0.00622198	0.00303219
qu'	0.0219641	0.00762345	0.00606206	0.00454923	0.0034883	0.00348309	0.00574252	0.00776828	0.00660371	0.00584591	0.0148824	0.0132761	0.0214844	0.0340667	0.0281635	0.0416158	0.0271553	0.0273374	0.0359439	0.0451706	0.0343823	0.060609	0.0253488	0.0414005	0.029673	0.053229	0.0236102	0.0393269	0.0214347	0.0286877	0.0285933	0.0159154	0.0171576	0.0495105	0.0102863	0.0229747	0.0122558	0.00429717	0.0236783	0.0141503	0.00356529	0.00509696	0.00260401	0.00428748	0.00376367	0.00390359	0.0033029	0.00562502	0.00509706	0.00740144	0.00984145	0.0208532	0.00590982
elle	0.0307908	0.00943111	0.0068658	0.00551563	0.00425035	0.00237529	0.00385016	0.00625892	0.00851616	0.00592305	0.010477	0.00943906	0.00934368	0.0111792	0.0278	0.0350937	0.0186752	0.0339889	0.0199873	0.0369369	0.0271013	0.073271	0.0402982	0.0452829	0.0349279	0.0498824	0.026655	0.0364694	0.026825	0.0241905	0.021129	0.0118571	0.0107169	0.037626	0.0131184	0.0177236	0.0166445	0.0129465	0.0413338	0.0264007	0.0124801	0.014116	0.00937983	0.00705951	0.00905674	0.00815312	0.00556872	0.0046582	0.00472483	0.00826479	0.00747722	0.0154656	0.00249724
fait	0.0128421	0.00507786	0.00272559	0.00111151	0.00203199	0.00245601	0.00190843	0.00315086	0.00427472	0.00244002	0.0120065	0.00741669	0.0110752	0.0119072	0.0192764	0.0205016	0.0109378	0.0138469	0.0108276	0.0409212	0.0374385	0.055876	0.0439021	0.0588212	0.083764	0.123641	0.0613171	0.0698779	0.0379721	0.0168458	0.0143488	0.0064981	0.00585703	0.0123738	0.00734254	0.00724896	0.00666358	0.00641383	0.0122152	0.00790624	0.00454078	0.00712303	0.00682976	0.00763087	0.00907454	0.00936703	0.00559819	0.00772687	0.0118116	0.0145181	0.0191819	0.0174519	0.00608581
goûter	0.0147277	0.0118064	0.00783754	0.00309916	0.00494554	0.00711124	0.00398017	0.00427222	0.00390237	0.00427713	0.010446	0.00890384	0.0122152	0.00848872	0.0139914	0.0147792	0.0135034	0.0100741	0.0183257	0.0228525	0.0315287	0.0383551	0.0442161	0.086343	0.0627641	0.125181	0.037968	0.0756923	0.0277495	0.0165238	0.0121874	0.00514027	0.00728155	0.0076754	0.0048037	0.00724223	0.00504445	0.00464284	0.00792039	0.00754199	0.00280183	0.00435584	0.00595388	0.0104305	0.0116243	0.0147997	0.007352	0.0142433	0.0211528	0.0173611	0.0315531	0.0260162	0.0170141
ses	0.0301837	0.0293545	0.0230701	0.011156	0.0138675	0.0135022	0.00888712	0.0043022	0.00520248	0.00449395	0.00752535	0.00809548	0.0103455	0.0109785	0.00872378	0.0121073	0.00987575	0.0103671	0.0248911	0.0270816	0.0484201	0.0474668	0.0439906	0.043956	0.029148	0.0326858	0.013001	0.0193927	0.00707316	0.00403844	0.00282814	0.00218854	0.00308977	0.00370823	0.00205362	0.00294203	0.00217456	0.00347301	0.0143382	0.0105145	0.00653245	0.00688869	0.0120794	0.0209747	0.0294874	0.0360183	0.0308435	0.0298999	0.0329332	0.0349789	0.0475641	0.074424	0.026881
plats	0.0425134	0.0350937	0.0369748	0.0188813	0.0227147	0.0169058	0.014587	0.00644962	0.00788762	0.00675632	0.00908335	0.0110427	0.0097094	0.00895396	0.0201471	0.0243818	0.0160297	0.0160529	0.0214096	0.0236378	0.0428785	0.0410115	0.0339888	0.0329263	0.0436657	0.0356854	0.0213803	0.0168143	0.0111629	0.00897271	0.00744857	0.00546517	0.00739238	0.0111164	0.00491519	0.00958561	0.00491536	0.00881867	0.0261973	0.018371	0.00801963	0.0095284	0.00943741	0.0102476	0.011681	0.0140786	0.0117335	0.01192	0.0222025	0.0148828	0.0332696	0.0474853	0.0335892
aux	0.0578804	0.0304685	0.0216518	0.0151742	0.0140088	0.0109282	0.0146891	0.0142252	0.0112431	0.00987232	0.0136342	0.0128568	0.0127837	0.0125038	0.0147082	0.0278375	0.0169382	0.014515	0.0289774	0.0250077	0.0471778	0.0400254	0.036957	0.0275174	0.0331543	0.0219523	0.0200336	0.0179604	0.0143839	0.0116099	0.0112121	0.00997171	0.011423	0.0217201	0.0102395	0.00946867	0.0047477	0.00617055	0.0201293	0.0101936	0.00744296	0.010775	0.00843407	0.0101824	0.0101691	0.0135404	0.01343	0.010788	0.0124505	0.0164992	0.0376143	0.0592899	0.0234318
