 	a57	a87	a23	a79	a94	a98	a85	a36	a11	a75	a5	a96	a85	a44	a11	a96	a88	a44	a11	a75	a85	a6	a11	a75	a5	a96	a62	a83	a12	a75	a85	a44	a98	a15	a94	a70	a54	a36	a66	a99	a30	a87	a23	a87	a97	a87	a23	a99	a97	</S>
ma	0.0159004	0.0202169	0.0221722	0.0199125	0.0259239	0.0385543	0.0470822	0.0658422	0.032964	0.0499617	0.0622366	0.0582636	0.0249	0.0251646	0.0143974	0.0141499	0.0119408	0.00746132	0.00868903	0.00935909	0.00872449	0.00969672	0.0120992	0.0115907	0.0099939	0.00925039	0.0130241	0.0174998	0.0209748	0.0163682	0.0157297	0.0126278	0.0214246	0.0334326	0.0136031	0.0147345	0.0121263	0.0133871	0.0142338	0.014707	0.00939078	0.0106156	0.0191194	0.0158364	0.0131062	0.0106824	0.00935883	0.0151552	0.0111596	0.0152541
femme	0.00179206	0.00447974	0.0133916	0.0149536	0.105248	0.0984084	0.154953	0.152444	0.120049	0.0661817	0.06555	0.0328972	0.025375	0.0138132	0.00982385	0.00903243	0.00637859	0.00470639	0.00505989	0.00538696	0.00493676	0.00370828	0.00448207	0.00475336	0.00249928	0.00420307	0.00232861	0.00223064	0.00527679	0.00556273	0.00592497	0.00353367	0.00486479	0.0046901	0.00377678	0.00300678	0.0016515	0.00140487	0.00138282	0.00179603	0.00188192	0.000649562	0.00196902	0.00194473	0.00148841	0.000882212	0.00104224	0.00203681	0.00275509	0.00341192
a	0.0128004	0.0094353	0.00842422	0.01038	0.0143236	0.0188214	0.0357525	0.0800583	0.0973845	0.0726752	0.0808337	0.0453952	0.0371474	0.0182815	0.0150423	0.0231488	0.0272489	0.027739	0.0327547	0.0343191	0.0346566	0.0238811	0.021492	0.0227136	0.0110395	0.00520547	0.00443889	0.00301882	0.00239497	0.00221868	0.00305161	0.0045461	0.00470235	0.00572085	0.00409068	0.00723023	0.00507109	0.00692417	0.00535627	0.00621117	0.00853813	0.00816441	0.0103411	0.0111544	0.0136761	0.00840255	0.0117532	0.0140813	0.0180335	0.00992561
fait	0.0218168	0.0093421	0.00546757	0.00494092	0.00637072	0.00716465	0.0120512	0.0135548	0.0413075	0.0204035	0.0208191	0.0247767	0.0242597	0.017216	0.0156691	0.023257	0.0254255	0.0382566	0.0647717	0.0569756	0.0334426	0.0428578	0.0226488	0.0196049	0.0189991	0.0160579	0.0158861	0.0160078	0.0181525	0.018216	0.0173826	0.0193428	0.0240097	0.017743	0.0161792	0.0125302	0.0148857	0.0172588	0.0121981	0.0162595	0.00692022	0.0134285	0.0104364	0.0140908	0.0228854	0.0169744	0.0171847	0.0186721	0.0166691	0.0192291
moisir	0.0323456	0.0181172	0.0139626	0.0139807	0.0168393	0.021684	0.0305372	0.0263226	0.0339761	0.0204503	0.0144139	0.0147694	0.0294806	0.0256041	0.0217747	0.0313061	0.0232392	0.026875	0.0485275	0.0362117	0.0390252	0.0541298	0.0338331	0.0427608	0.0414152	0.0326266	0.0341632	0.0258675	0.0157449	0.0156658	0.0164546	0.0114316	0.0212584	0.0159309	0.0099172	0.00781064	0.00685614	0.00689313	0.00487122	0.00713248	0.00322248	0.00408973	0.00506113	0.00608321	0.00735794	0.00493705	0.00502067	0.00443267	0.00742726	0.00816148
le	0.0247097	0.00876188	0.00925943	0.0089828	0.0132994	0.00959757	0.0102115	0.0102346	0.00956546	0.00972637	0.0145768	0.0210867	0.0490359	0.0480098	0.0511287	0.0733299	0.0541292	0.0646056	0.0502195	0.0393501	0.0536423	0.0384756	0.0297357	0.031224	0.0298615	0.0205588	0.015936	0.019997	0.00861963	0.007531	0.00607411	0.00554407	0.0067347	0.00785855	0.00411078	0.00615771	0.00628801	0.00605382	0.0042562	0.006203	0.0038199	0.00522611	0.00565091	0.00800826	0.0143487	0.00841212	0.00930264	0.0120766	0.0154504	0.0230211
maïs	0.0128062	0.00464127	0.00477042	0.00493463	0.00441336	0.00467758	0.00424508	0.00423362	0.00574584	0.00709191	0.00875748	0.0129877	0.0229138	0.0206044	0.0191332	0.0263961	0.0180966	0.0239953	0.0195307	0.0180336	0.0196349	0.0191376	0.0197554	0.0170669	0.0147379	0.0113207	0.0119182	0.0110217	0.00762515	0.00570433	0.00842694	0.00842857	0.0107929	0.0129755	0.0131225	0.0170246	0.0266593	0.0212848	0.0237606	0.0241815	0.0286285	0.0362536	0.0331936	0.0327976	0.0648538	0.0431937	0.0633269	0.0519895	0.0364639	0.0567101
pour	0.0202811	0.0107036	0.00732167	0.00823578	0.0095443	0.01169	0.0119941	0.0120789	0.0165604	0.0146766	0.0170502	0.0209148	0.0355633	0.0342021	0.0365969	0.0400614	0.0289643	0.0348752	0.03153	0.0347432	0.0282754	0.03278	0.0309423	0.0216811	0.022102	0.0149466	0.0209582	0.0197616	0.0118614	0.0109746	0.00790967	0.00759279	0.00778867	0.00712846	0.00591717	0.00762411	0.0154113	0.0145993	0.0120329	0.0144812	0.0155608	0.0165286	0.0259968	0.019566	0.0253332	0.0187889	0.0310196	0.0247002	0.0218336	0.0483155
la	0.0198389	0.0120053	0.00785446	0.00727637	0.00502255	0.00515965	0.00413405	0.00364612	0.00484947	0.00720576	0.0103748	0.0163806	0.0243924	0.025934	0.0230027	0.0327464	0.0228869	0.0226896	0.0192228	0.0173353	0.0176378	0.0159347	0.0170731	0.0131124	0.011683	0.00747971	0.00933159	0.0120084	0.00756934	0.00615889	0.00686106	0.0085633	0.0117739	0.016986	0.0157079	0.0167861	0.0281134	0.0261413	0.0228758	0.028579	0.0210905	0.0303177	0.029377	0.0307242	0.0454242	0.0504907	0.05386	0.0441504	0.0548211	0.0474095
préparation	0.0387479	0.0266305	0.0150591	0.0111555	0.00860874	0.00856716	0.00715545	0.00447561	0.00590139	0.00735548	0.0114243	0.017755	0.0260919	0.0271467	0.0198625	0.0232686	0.0167855	0.0175211	0.0153306	0.0158748	0.0149008	0.0153982	0.0157547	0.013476	0.0145443	0.014122	0.0170003	0.0246232	0.0242532	0.0192713	0.0303187	0.0188464	0.0379408	0.0289452	0.0184887	0.0145915	0.0148813	0.0129297	0.0188004	0.0213062	0.0119032	0.0116797	0.0196953	0.0144544	0.0173328	0.0187409	0.0256443	0.0511146	0.0571734	0.0571505
de	0.030262	0.0258218	0.0235465	0.0179391	0.0115982	0.00898124	0.00810805	0.00620478	0.00964584	0.0110733	0.016741	0.0248281	0.0322077	0.0304874	0.0254943	0.0276621	0.0219248	0.020952	0.0160158	0.0150517	0.013599	0.0107011	0.0103457	0.011041	0.0131288	0.0125485	0.0165397	0.0205208	0.0165496	0.0124282	0.0204399	0.012874	0.0206274	0.0196807	0.0140661	0.0171978	0.0174094	0.0158179	0.0150703	0.0174479	0.00829596	0.0124424	0.0197692	0.0181146	0.0229646	0.0212842	0.0268352	0.0346151	0.0473124	0.095787
l'	0.0338551	0.0228977	0.018771	0.0139138	0.0101973	0.0107263	0.00977787	0.00834499	0.0131356	0.0120608	0.0161898	0.0187799	0.0291965	0.0267894	0.0248242	0.0294055	0.0249003	0.0248944	0.0213739	0.0175994	0.0182188	0.0129855	0.0129735	0.0188203	0.0210939	0.0166285	0.0226411	0.0256614	0.0182618	0.0142515	0.0171706	0.019015	0.0221703	0.0214961	0.0154706	0.0180994	0.0138469	0.0140197	0.0116601	0.0139315	0.00681346	0.0104865	0.0130137	0.0137177	0.0225803	0.0203083	0.0282524	0.038478	0.0572918	0.0530074
alcool	0.0302975	0.0143607	0.0106263	0.0090138	0.00681135	0.00792018	0.00902569	0.00964253	0.0125313	0.022527	0.0314898	0.0369408	0.0469717	0.0438434	0.0393015	0.0439296	0.0330795	0.0236726	0.0210844	0.0163647	0.0174686	0.0100164	0.00898387	0.01172	0.013292	0.0103675	0.0198837	0.022327	0.0188667	0.0142048	0.021385	0.0154598	0.0235303	0.0170386	0.0099658	0.0114415	0.0095254	0.0108237	0.00803789	0.010283	0.00603967	0.00925297	0.0117321	0.0134128	0.0209232	0.0178078	0.024184	0.03688	0.055193	0.0505184
indigène	0.0151523	0.00492964	0.00377713	0.00350176	0.00264612	0.0038998	0.00585702	0.00781121	0.00682621	0.0100696	0.0112429	0.0153331	0.0260354	0.0194578	0.0166414	0.0307958	0.0268954	0.0200377	0.0217677	0.0148505	0.019156	0.00980991	0.0104826	0.0152285	0.0145077	0.00681773	0.0151201	0.0213851	0.0137632	0.00805476	0.00906338	0.0118789	0.0146228	0.0227686	0.0161361	0.0294615	0.0295582	0.0268021	0.0259061	0.0307388	0.0223143	0.0347213	0.0290492	0.0330487	0.0484677	0.03686	0.0383563	0.0336339	0.0517161	0.053042
</S>	0.0217783	0.00980313	0.00527208	0.0044095	0.00242984	0.0042404	0.00617362	0.00855509	0.00937136	0.013588	0.0127202	0.0144744	0.0199305	0.016039	0.0201914	0.0214444	0.0154978	0.0113806	0.0129374	0.0121661	0.00812256	0.00558669	0.00745249	0.0105492	0.0163078	0.0100196	0.027996	0.0280484	0.027306	0.0232736	0.0205853	0.0282327	0.0291139	0.0338437	0.0247598	0.0323198	0.0311461	0.0302212	0.0221434	0.028565	0.0163175	0.0237381	0.0179914	0.0239687	0.0365897	0.0317866	0.0259002	0.0446165	0.0590547	0.0320401
