 	a66	a87	a23	a44	a54	a6	a0	a75	a47	a92	a37	a56	a34	a56	a34	a62	a75	a85	a6	a37	a21	a85	a79	a44	a54	a47	a37	a26	a57	a87	a23	a87	</S>
la	0.0409349	0.0680994	0.0606766	0.0897345	0.083201	0.0927395	0.0801195	0.0338079	0.0265264	0.0138788	0.0153584	0.0133334	0.0137453	0.0138443	0.0129842	0.0135134	0.0138044	0.0148378	0.0203131	0.0327615	0.0200775	0.0250105	0.0203498	0.01716	0.00966503	0.0127012	0.00857044	0.0153196	0.0104513	0.0138865	0.0196436	0.0319428	0.0410074
femme	0.00760804	0.0269019	0.0398376	0.0860852	0.105386	0.113773	0.0579558	0.109473	0.0832636	0.0738471	0.0820628	0.0580513	0.0511462	0.0332026	0.021906	0.0156467	0.0122811	0.0111525	0.00209094	0.000680638	0.0019415	0.000866018	0.00114034	0.000880074	0.00045888	0.000637014	0.000249173	0.000332155	0.000219287	0.000163539	0.000218609	0.000191005	0.000349589
de	0.027645	0.0309571	0.0491865	0.0583343	0.0455595	0.045545	0.0766503	0.100025	0.0981867	0.0469281	0.0687561	0.090388	0.0537036	0.0745461	0.0378269	0.0315146	0.0148755	0.0161233	0.00164957	0.00138134	0.00171575	0.00159453	0.00171413	0.00116348	0.00119519	0.00215618	0.00172173	0.00198649	0.002324	0.00344881	0.00540755	0.00334206	0.00244749
son	0.0228541	0.0155908	0.012146	0.0129073	0.0141891	0.0126455	0.022752	0.0386124	0.0526905	0.0558204	0.0683179	0.0555572	0.0670169	0.0706845	0.0440429	0.0431319	0.0395297	0.0225211	0.0160366	0.0155145	0.014879	0.0135844	0.0257383	0.0223935	0.0293767	0.0226465	0.0174049	0.0228046	0.0148071	0.0365646	0.0341292	0.0269963	0.0161139
oncle	0.0225436	0.0166017	0.0143679	0.0179529	0.0211582	0.0184497	0.0281741	0.0175738	0.0182285	0.0125944	0.0174988	0.0316382	0.0282176	0.068607	0.0757741	0.0829143	0.0748596	0.0421842	0.047369	0.0311064	0.0212172	0.0139265	0.0103679	0.0167055	0.0171619	0.018146	0.0133842	0.0161774	0.0160086	0.0382256	0.0362739	0.0559891	0.0386023
est	0.024751	0.0147713	0.0155208	0.0150153	0.0157899	0.0194637	0.0697748	0.065633	0.0717351	0.0562236	0.0607609	0.0649332	0.0592951	0.0471938	0.034093	0.0354599	0.0230052	0.0163452	0.0191238	0.0149788	0.00947837	0.00906461	0.0121606	0.0140407	0.0160725	0.020911	0.0167647	0.0182291	0.0272188	0.0315763	0.031931	0.0253557	0.023329
devenue	0.0322248	0.0153516	0.0156896	0.0156921	0.0180965	0.0176851	0.0244409	0.0233312	0.0139583	0.0118922	0.0137889	0.0207794	0.0160442	0.0266963	0.0206917	0.0219347	0.0178483	0.0133289	0.0159487	0.0154043	0.0145742	0.0148698	0.0173394	0.021625	0.0300791	0.0370347	0.0855594	0.04262	0.065258	0.0785339	0.0796774	0.0844743	0.057527
pour	0.0839363	0.0542396	0.0476482	0.0253179	0.0217181	0.0210106	0.0405253	0.0292705	0.0201402	0.00912978	0.0110698	0.00946222	0.00901602	0.00989348	0.0130235	0.0142726	0.0149149	0.0131209	0.0196218	0.0185897	0.0172994	0.0193435	0.0337446	0.0258409	0.031566	0.0348281	0.0535759	0.0310787	0.0405879	0.0557753	0.063269	0.0557866	0.0513828
elle	0.0438345	0.0252627	0.0209157	0.0186806	0.0130609	0.00929832	0.0126027	0.0160826	0.0223952	0.0265895	0.0295075	0.0326594	0.0322746	0.0315003	0.0313857	0.0324293	0.0333732	0.0389498	0.0404402	0.0374854	0.0350236	0.0334579	0.0472239	0.048275	0.0388956	0.0354439	0.0236779	0.0390192	0.02034	0.0403002	0.0508902	0.0223455	0.016379
une	0.062875	0.0539599	0.0373063	0.0326137	0.023864	0.0176601	0.0179744	0.0250036	0.0277618	0.0341393	0.0379647	0.067843	0.0502598	0.0641154	0.0448808	0.0449161	0.0467464	0.0495862	0.0208762	0.0220393	0.0325098	0.0158512	0.0176361	0.0196893	0.012899	0.0144857	0.010874	0.0146569	0.01182	0.0149361	0.0169016	0.0139478	0.0214064
rivale	0.0755017	0.0499418	0.0419868	0.0392716	0.0398398	0.0400063	0.04499	0.0442229	0.0391873	0.038363	0.0465665	0.0722989	0.0485426	0.0551757	0.0458993	0.0461057	0.0383896	0.0472738	0.00946182	0.00882431	0.0136228	0.00630181	0.00597787	0.00764971	0.00809494	0.00939794	0.00791079	0.00824981	0.00833547	0.00938379	0.0126255	0.014234	0.0163661
</S>	0.0360269	0.0320183	0.0304117	0.0315205	0.0252607	0.012237	0.0126634	0.00957125	0.0135243	0.00793361	0.0114384	0.0116913	0.0107854	0.0109739	0.00930453	0.00893549	0.0113851	0.0138963	0.0288881	0.0358721	0.0221311	0.0298321	0.0409016	0.0422181	0.0351582	0.0450218	0.0357443	0.0531684	0.0586796	0.057628	0.0591777	0.0808125	0.0751881
