 	a66	a87	a23	a4	a11	a75	a56	a75	a21	a56	a90	a93	a4	a53	a90	a94	a56	a43	a75	a6	a36	a75	a41	a43	a62	a47	a96	a90	a75	a5	a36	a27	a82	a87	a23	a99	a97	a87	</S>
pendant	0.0446621	0.0589319	0.0699373	0.0876592	0.0911658	0.0708996	0.044683	0.0287954	0.0288163	0.0193358	0.0188254	0.0102612	0.00753993	0.0052717	0.00478894	0.00562533	0.0114306	0.018416	0.0229972	0.0223476	0.0123617	0.0117543	0.0134148	0.0131989	0.0201498	0.0125277	0.0141811	0.0197177	0.021093	0.0122716	0.0144191	0.0187743	0.0186145	0.0129023	0.0206959	0.0187542	0.0237892	0.0136467	0.0353428
la	0.00739549	0.0100175	0.0101481	0.0126106	0.0114333	0.0208147	0.0262732	0.0329177	0.0390448	0.0577695	0.101316	0.0601515	0.0638395	0.0540293	0.0693416	0.0593388	0.0366152	0.0513624	0.0376482	0.0654188	0.0124201	0.0170984	0.0171477	0.00578827	0.00549486	0.00468915	0.00678212	0.00872873	0.00663954	0.00358368	0.00682457	0.0100493	0.00323388	0.0054412	0.0117413	0.0122163	0.0130203	0.0192812	0.00233299
saison	0.0313334	0.0188015	0.0112905	0.0111417	0.0133736	0.0262716	0.0397215	0.0401515	0.0632438	0.0556817	0.05679	0.0536011	0.0477039	0.0350992	0.0283679	0.0271748	0.0131552	0.0109731	0.0104495	0.00515291	0.00888546	0.0100359	0.0105279	0.00838675	0.00947996	0.0135352	0.0175055	0.0227886	0.0201993	0.00786776	0.0427626	0.0404961	0.035894	0.0338244	0.0447378	0.0405557	0.0153393	0.0109497	0.00674974
sèche	0.0177102	0.00577042	0.0052798	0.00349709	0.00552978	0.00818285	0.0123527	0.0308997	0.0217393	0.0619244	0.0435484	0.0614559	0.168824	0.111362	0.123261	0.0725472	0.0325957	0.0153579	0.012718	0.00942986	0.0165308	0.0129531	0.010564	0.00882641	0.00786069	0.006785	0.00733688	0.00767685	0.00829155	0.00731334	0.0132676	0.0112543	0.0136301	0.00758485	0.00857114	0.0117424	0.0057261	0.00614559	0.00395423
l'	0.0315052	0.0257077	0.0332665	0.0299589	0.0252731	0.0249929	0.0218269	0.0112443	0.00977402	0.013564	0.00759497	0.0147853	0.0204987	0.0243521	0.0254325	0.038973	0.0414988	0.0479328	0.0557208	0.0593419	0.0685239	0.0462242	0.0437734	0.053119	0.038173	0.0357582	0.0220533	0.0179256	0.0183564	0.0169415	0.012981	0.0131236	0.0109809	0.00607606	0.00871897	0.00901975	0.00370066	0.00316518	0.00814079
oranger	0.0222436	0.022343	0.0220177	0.0234906	0.0296479	0.0327125	0.0274936	0.0301797	0.0190336	0.0159836	0.0115973	0.0172447	0.0187611	0.0221188	0.0189138	0.0247108	0.0143308	0.0148186	0.0223615	0.0212475	0.0368444	0.0464605	0.0548941	0.0534642	0.0580066	0.0651684	0.0445211	0.0402007	0.030258	0.0104187	0.0123832	0.0171282	0.0156645	0.00739975	0.0167356	0.0161789	0.017928	0.00746952	0.017625
perd	0.0292942	0.0299483	0.0281335	0.0303175	0.02699	0.0335158	0.0294193	0.0318578	0.0280316	0.0381688	0.0270383	0.0453002	0.0390342	0.0426411	0.0284445	0.0280272	0.0179207	0.0128275	0.00603343	0.00865369	0.00903227	0.0138051	0.0120135	0.0173136	0.0151309	0.0237763	0.0189118	0.0228467	0.0202018	0.0194826	0.0292436	0.0375052	0.0193177	0.0259113	0.0418509	0.0431143	0.0247367	0.0139844	0.030224
ses	0.0628752	0.0314006	0.0193531	0.0108963	0.0127662	0.0128838	0.0134145	0.0145872	0.0373174	0.0474636	0.0523119	0.0349574	0.0175335	0.0163339	0.00824006	0.00483996	0.0104783	0.0165618	0.00999705	0.00890964	0.00676213	0.0107273	0.0111835	0.0194351	0.0197657	0.0302027	0.0254355	0.0298688	0.0334117	0.0437922	0.0377704	0.0381922	0.0344873	0.0351102	0.0280995	0.0311814	0.0323845	0.0498121	0.0392563
feuilles	0.0485583	0.0305199	0.0186665	0.009692	0.0133183	0.0119563	0.0136609	0.0156818	0.0505135	0.0608718	0.0708399	0.0468243	0.0233441	0.0219683	0.0113182	0.00632762	0.0141919	0.0200781	0.0117431	0.0112669	0.00984172	0.0151939	0.0130934	0.0230424	0.0198908	0.027784	0.0286167	0.0304311	0.0261508	0.0251873	0.0294628	0.0340559	0.0285258	0.0296554	0.0324294	0.030714	0.0285462	0.0392549	0.0167817
</S>	0.0542376	0.0279877	0.018081	0.00902889	0.00987384	0.00898736	0.00763429	0.00664767	0.0144845	0.0156899	0.0236932	0.00983484	0.00468258	0.00397373	0.00254836	0.00188412	0.00307419	0.00316538	0.00223139	0.00256368	0.00224995	0.00624926	0.00742071	0.0112258	0.0124405	0.0143627	0.0217605	0.026171	0.0319989	0.0361256	0.0690066	0.0688529	0.0450984	0.0769084	0.0660798	0.0760539	0.0834182	0.0765939	0.0376788
