 	a84	a87	a23	a87	a23	a9	a53	a93	a34	a61	a62	a88	a71	a54	a47	a6	a7	a34	a75	a25	a79	a7	a75	a85	a47	a98	a47	a36	a47	a36	a25	a79	a94	a93	a70	a88	a71	a38	a54	a36	a2	a57	a10	a87	a23	a99	a97	</S>
les	0.0204463	0.0186745	0.0215556	0.0266403	0.0191986	0.0283707	0.0175955	0.0353464	0.0791651	0.103319	0.0993655	0.0596505	0.0638586	0.0365321	0.0331463	0.0300346	0.0229873	0.0190045	0.0113521	0.0110872	0.00805989	0.00452661	0.00696974	0.00816028	0.00921015	0.00531341	0.0114692	0.0080667	0.00888115	0.0115419	0.011009	0.00754978	0.0181526	0.0166699	0.0107885	0.00609701	0.0034285	0.00456646	0.00457087	0.00579891	0.00561866	0.00634846	0.00527508	0.00659856	0.00810916	0.00725036	0.00893157	0.0237071
singes	0.00257538	0.0042324	0.00394778	0.00501184	0.00714217	0.0105738	0.00842329	0.0111782	0.0428393	0.151489	0.0797981	0.0807071	0.0697092	0.0893031	0.0408838	0.0149316	0.0116963	0.0223843	0.0146106	0.0325982	0.0223975	0.0217435	0.0287856	0.0458462	0.0285453	0.0117823	0.0242729	0.0079481	0.0147486	0.00712148	0.0055973	0.00756965	0.00430929	0.0034572	0.00547528	0.0051827	0.00714207	0.00588087	0.00359449	0.00602793	0.00643281	0.0022718	0.00172749	0.00342493	0.00272453	0.00273033	0.00574066	0.00348398
ikoli	0.0212031	0.012701	0.0155485	0.0223145	0.0274372	0.0290039	0.0209859	0.0279272	0.0356717	0.0224035	0.0244144	0.0200939	0.0262223	0.0425629	0.0285781	0.0293955	0.0311678	0.0201947	0.0270981	0.0295089	0.0400294	0.043979	0.0356977	0.0213596	0.0227243	0.0376059	0.0342645	0.0243981	0.024499	0.0248396	0.0201266	0.0168582	0.0109228	0.00828365	0.00741444	0.00563376	0.00445243	0.00472289	0.00877468	0.00901392	0.0113049	0.00883337	0.00730103	0.00650081	0.00919138	0.00949079	0.0127134	0.0146307
ne	0.0323028	0.0450342	0.0143951	0.0118021	0.0107288	0.00792156	0.00868093	0.00608205	0.0112312	0.00924977	0.0102079	0.0120953	0.0130263	0.012666	0.0130216	0.0260404	0.0291593	0.0517601	0.0391113	0.0656584	0.0320399	0.0456244	0.0700771	0.0413726	0.0286465	0.0314614	0.00907972	0.0284277	0.038282	0.0161588	0.0167512	0.0186911	0.0130266	0.0136842	0.0190861	0.0157724	0.00881598	0.0145601	0.0130121	0.0128171	0.00946258	0.0117024	0.00982466	0.0124561	0.00896385	0.00998886	0.0105502	0.00948924
se	0.0423763	0.0544562	0.0349835	0.0323235	0.033972	0.0123823	0.00742375	0.00581063	0.00369148	0.00276895	0.00333994	0.00504679	0.00698828	0.0100617	0.0199422	0.0398378	0.0279969	0.0335519	0.0513663	0.0631393	0.0463594	0.047713	0.0507521	0.0478197	0.0354981	0.0314391	0.015722	0.0271424	0.0182865	0.0142788	0.0120712	0.0138023	0.0107234	0.0201698	0.0196853	0.0297887	0.00652031	0.00558311	0.00806784	0.00636455	0.00491212	0.00510932	0.00518984	0.00372233	0.00623485	0.00422211	0.00509815	0.00626391
trouvent	0.0150051	0.0124384	0.00887479	0.0121325	0.0124661	0.00838948	0.00554162	0.00643904	0.00759107	0.00731416	0.00839968	0.0103405	0.0124566	0.0118383	0.0288716	0.046134	0.0578254	0.0612311	0.074736	0.0717935	0.0673274	0.0554572	0.0507603	0.0335126	0.0271308	0.0193399	0.0183811	0.016054	0.012204	0.0136039	0.0147707	0.0137271	0.0136092	0.0168918	0.015942	0.0157244	0.00918722	0.00819838	0.00903028	0.0134573	0.0145202	0.00995175	0.00836353	0.00760712	0.010755	0.00948533	0.00694097	0.00824756
plus	0.0285938	0.0219301	0.020779	0.0145233	0.0120122	0.010931	0.0118766	0.010635	0.00979915	0.0083116	0.00973091	0.0101441	0.0124697	0.0187808	0.0245667	0.0226118	0.0266378	0.0278208	0.0289257	0.0367522	0.0335574	0.03415	0.028403	0.023699	0.0267501	0.0219568	0.0188923	0.0155329	0.0076718	0.00869272	0.00562161	0.00754713	0.00748355	0.0124855	0.0135425	0.0213232	0.0153673	0.0271188	0.0273736	0.0460598	0.0377068	0.0223258	0.0260748	0.0252301	0.0316976	0.0237753	0.0135809	0.0485472
dans	0.0206613	0.012567	0.00825142	0.0070669	0.00639898	0.00548429	0.00385317	0.0035266	0.00498039	0.00413553	0.00596506	0.00692572	0.0111269	0.0118433	0.0161261	0.0336761	0.056521	0.0422619	0.0521695	0.055107	0.0468129	0.0431523	0.0493683	0.0389935	0.0362438	0.0272581	0.015692	0.0180743	0.0116083	0.0106893	0.0124136	0.0283304	0.0150362	0.0159101	0.0134829	0.017346	0.0112591	0.0111835	0.0185303	0.0221291	0.0232643	0.0204381	0.017053	0.0208133	0.023045	0.0262338	0.0163742	0.020616
les	0.0610841	0.0416798	0.0312399	0.0185798	0.0132395	0.0210252	0.0260611	0.029471	0.0322696	0.0252399	0.0177932	0.0156481	0.0225224	0.0249875	0.0199446	0.0243895	0.0313925	0.0182192	0.0210232	0.0170302	0.0129864	0.010087	0.0107004	0.00957736	0.0146697	0.0112044	0.00810255	0.0119844	0.00586124	0.00606317	0.00498771	0.0102124	0.0136317	0.0180821	0.0169444	0.0117482	0.00843175	0.00863671	0.0100285	0.0171556	0.0146997	0.0232385	0.0327072	0.0314953	0.0414842	0.0360468	0.0349589	0.0514333
forêts	0.0284741	0.0219539	0.015898	0.0127011	0.0152978	0.0120436	0.011489	0.0130644	0.0131749	0.0113869	0.00605844	0.00508736	0.00667489	0.00618257	0.0060459	0.0200227	0.0369722	0.0252298	0.0293438	0.026068	0.0221651	0.0186413	0.0207521	0.0159534	0.0198043	0.0146423	0.0121404	0.020147	0.0113733	0.0174464	0.013985	0.0156197	0.0177947	0.0251522	0.0283515	0.0173222	0.0122611	0.0147763	0.0156911	0.0184978	0.0190248	0.0345139	0.040594	0.0448478	0.0331995	0.0509595	0.0527961	0.048378
de	0.0409866	0.0283028	0.0231033	0.021115	0.0172198	0.0175571	0.0246193	0.0169541	0.0148274	0.0141527	0.0113726	0.0116668	0.0173965	0.00729299	0.00859571	0.0160516	0.019429	0.011073	0.0126522	0.00852717	0.0068452	0.00553244	0.00636588	0.0088072	0.0136181	0.00836566	0.0152841	0.00845544	0.00545923	0.00646124	0.00310767	0.00411121	0.00734542	0.0134753	0.0148448	0.0157207	0.0200701	0.0207081	0.0310538	0.0448264	0.0450763	0.0357956	0.0411035	0.0476338	0.0585575	0.0472372	0.0444701	0.0767726
boundji	0.023215	0.0153972	0.0115509	0.0108226	0.0101016	0.0084909	0.0111361	0.00861651	0.00747334	0.00834697	0.00758845	0.00702845	0.0109292	0.00567151	0.00639644	0.0191382	0.0336373	0.0247982	0.0294058	0.0251098	0.0221352	0.0198717	0.0217683	0.0224912	0.0247298	0.0190696	0.0183354	0.017867	0.0122701	0.0197899	0.0114076	0.0121368	0.0165085	0.0253639	0.0238197	0.0211165	0.0154736	0.0193269	0.0253986	0.0298576	0.0289403	0.0403559	0.0375402	0.0416008	0.0367373	0.053448	0.0455893	0.0321957
</S>	0.0185953	0.00984247	0.00725209	0.00887783	0.00953943	0.00832286	0.00791842	0.00904498	0.0091153	0.010454	0.00788584	0.00928575	0.0121979	0.00708087	0.00982607	0.0238441	0.032845	0.026717	0.0315864	0.0214702	0.0203157	0.0150892	0.0157894	0.0186335	0.0222295	0.0150538	0.0198272	0.0148002	0.0113215	0.0171734	0.0115159	0.0123957	0.0155004	0.0224042	0.0252976	0.0305243	0.0242115	0.0256527	0.0315339	0.0407753	0.0389703	0.0393764	0.0394955	0.0423295	0.0357725	0.0458761	0.0357249	0.0307084
