 	a66	a87	a23	a87	a23	a13	a50	a88	a50	a61	a90	a79	a7	a54	a47	a37	a44	a38	a10	a87	a23	a87	</S>
j'	0.0681909	0.0345448	0.0234943	0.0187247	0.0184366	0.0181855	0.0136823	0.0121956	0.0116014	0.00857694	0.0108146	0.0131937	0.0109297	0.0176539	0.0339934	0.0272247	0.0386389	0.101234	0.0962199	0.118658	0.0795224	0.116401	0.107883
ai	0.0502768	0.0313123	0.0504382	0.0504844	0.0410779	0.0241234	0.0575684	0.0559783	0.0604006	0.0674691	0.048783	0.0513067	0.0566734	0.039808	0.0428885	0.0499659	0.0424437	0.0230988	0.0281506	0.0305638	0.0326079	0.0338231	0.0307572
un	0.0156728	0.0145209	0.0228425	0.0233107	0.0148666	0.0144555	0.0266861	0.0275167	0.0307664	0.047228	0.0624167	0.0480331	0.0664409	0.0486876	0.0556176	0.0921707	0.0580272	0.0601097	0.0567475	0.0628449	0.0596803	0.0546613	0.0366962
fusil	0.022939	0.0236431	0.0226392	0.0231223	0.0275439	0.0436187	0.0497669	0.113827	0.156183	0.105402	0.123298	0.0580862	0.0295869	0.0314776	0.0141068	0.0269371	0.0347548	0.020951	0.0151229	0.0130454	0.0137669	0.00617436	0.0240078
pour	0.111773	0.111273	0.0958675	0.0947736	0.0858281	0.0791859	0.0796196	0.0369785	0.0299513	0.0260969	0.0328279	0.0200599	0.0154831	0.0243371	0.0164823	0.0155548	0.0178198	0.0104062	0.014691	0.0151044	0.0149462	0.0142847	0.0366556
la	0.101918	0.0721964	0.0901347	0.061218	0.0485129	0.0320175	0.0341966	0.022871	0.0172398	0.0173639	0.0362278	0.0482182	0.0404317	0.0447727	0.0453891	0.0304163	0.0377935	0.0212862	0.0273838	0.0387843	0.036664	0.0368624	0.0581007
chasse	0.0811302	0.0793306	0.0782785	0.0618139	0.0550449	0.0356019	0.0357666	0.0176051	0.0157786	0.0147702	0.0181863	0.0188147	0.016345	0.0218605	0.0264526	0.0356506	0.0482524	0.0584388	0.0587389	0.0728127	0.0667249	0.0576914	0.0249106
aux	0.0877788	0.0483632	0.0377402	0.0205125	0.0118019	0.00638236	0.00783801	0.00172411	0.00173906	0.00202731	0.00377344	0.0108213	0.0112597	0.0229423	0.0334051	0.0402288	0.046217	0.0410117	0.0460885	0.109198	0.0931022	0.139032	0.177012
éléphants	0.0548564	0.0399252	0.0434951	0.0414018	0.0461167	0.0326574	0.0259181	0.0129897	0.0121146	0.00830561	0.0110072	0.00810429	0.0116068	0.0161479	0.0248469	0.0297799	0.0265009	0.0364892	0.0612059	0.104586	0.0963956	0.114629	0.14092
</S>	0.148654	0.0815699	0.0720785	0.0628956	0.0483894	0.0253905	0.0241657	0.00741845	0.00817128	0.00998764	0.0144145	0.0127272	0.016955	0.0243514	0.0302514	0.042583	0.0480306	0.0255623	0.0296108	0.0478861	0.045937	0.0649962	0.107974
