 	a87	a23	a83	a76	a94	a58	a25	a38	a76	a20	a76	a73	a57	a87	a23	a79	a20	a14	a35	a14	a94	a98	a53	a20	a14	a41	a24	a41	a96	a66	a62	a47	a93	a90	a76	a90	a13	a38	a41	a24	a32	a25	a87	a23	a87	</S>
a	0.017248	0.0457723	0.024165	0.0294	0.0234254	0.0253222	0.0240902	0.0244839	0.010624	0.0109754	0.00697285	0.00523882	0.00506191	0.0053185	0.0036698	0.00309349	0.00511046	0.0047867	0.00334511	0.00270023	0.00540012	0.0171093	0.0111463	0.0192426	0.0203541	0.0313262	0.042329	0.0402286	0.0539533	0.107712	0.107233	0.076165	0.0256343	0.0141873	0.00867901	0.0096763	0.0121457	0.0155273	0.01498	0.0117655	0.0141839	0.013137	0.0136169	0.00944091	0.00808993	0.0159322
son	0.00308484	0.0016706	0.00305338	0.00857108	0.00743931	0.0107342	0.0144699	0.0159385	0.0198731	0.0380859	0.041	0.0674794	0.0351986	0.0513296	0.0576732	0.0471711	0.0674165	0.0799108	0.06712	0.0703512	0.0368118	0.0272885	0.0271264	0.0218469	0.0239997	0.0258134	0.0277877	0.0134075	0.00913833	0.00662838	0.00546474	0.00392482	0.00519934	0.00298508	0.0032157	0.00408615	0.00464308	0.00356141	0.0034584	0.00288957	0.00372451	0.00330693	0.00507108	0.00511588	0.0086135	0.00731983
tour	0.0193185	0.0121137	0.0127334	0.0113172	0.00852461	0.00944291	0.00746656	0.00743451	0.00678681	0.00743648	0.00660371	0.0120977	0.0165379	0.0187222	0.0232877	0.044052	0.0391907	0.0284864	0.0332356	0.0439287	0.0233086	0.0112577	0.0373399	0.0498963	0.0815852	0.119551	0.0771733	0.0168038	0.00792529	0.00726611	0.00279387	0.00158783	0.00143428	0.000703101	0.000890544	0.000663021	0.000960825	0.00160235	0.00202683	0.0049304	0.00994915	0.0216884	0.0308516	0.0337103	0.0538798	0.031503
son	0.0390797	0.0323781	0.0472503	0.0292641	0.0293587	0.0390058	0.0297037	0.0230816	0.0498152	0.0414969	0.0194298	0.0509927	0.0381461	0.0388655	0.0343491	0.0202759	0.0226688	0.00934608	0.0179106	0.0335599	0.0165024	0.01011	0.00716831	0.00585007	0.00757087	0.013442	0.0103311	0.0124271	0.00739549	0.00583756	0.00875237	0.00622312	0.00714512	0.00664482	0.00727139	0.00619949	0.0103884	0.0162114	0.0177131	0.0180878	0.0201449	0.0323987	0.0350381	0.0242042	0.0218698	0.0190936
frère	0.0248133	0.0359183	0.0410708	0.0273573	0.0335367	0.0311377	0.0309884	0.0289509	0.0510334	0.0446745	0.040029	0.0574693	0.0411959	0.0705455	0.0487789	0.0494639	0.0660085	0.0377394	0.0258404	0.0281153	0.0152498	0.010278	0.00912731	0.0114423	0.00328459	0.00500213	0.00309658	0.0033975	0.00210575	0.00896307	0.00705375	0.00638589	0.0113127	0.00893214	0.00722672	0.00617931	0.00429391	0.00391606	0.00254585	0.00305904	0.00360824	0.00933506	0.0122399	0.00751683	0.00980759	0.00997254
l'	0.0374095	0.035388	0.0236413	0.0126468	0.0127789	0.013317	0.0150003	0.013855	0.0211728	0.0250487	0.0229746	0.0316205	0.0337969	0.0360172	0.035216	0.0429541	0.0729526	0.046579	0.0421493	0.0347288	0.0232063	0.0155683	0.0165799	0.0238923	0.0214278	0.0154059	0.00720143	0.00601046	0.00407606	0.00702651	0.00749865	0.00546803	0.00583985	0.00503435	0.00327636	0.00220145	0.00204225	0.00372335	0.00361236	0.00715373	0.0106967	0.0273159	0.0378763	0.0317131	0.026181	0.0707243
a	0.0180556	0.0165501	0.0139118	0.0125398	0.0118643	0.0163469	0.0137691	0.0138201	0.0211192	0.0227472	0.0253739	0.0218941	0.027237	0.0223401	0.0209896	0.0357959	0.0368635	0.0412592	0.0493644	0.0496256	0.0270212	0.0251592	0.0334094	0.0323218	0.0374809	0.026461	0.0258395	0.0232588	0.0123159	0.0131262	0.0194334	0.016355	0.0226658	0.0145919	0.00833013	0.00312607	0.00100874	0.00172238	0.00122099	0.0037998	0.00607342	0.017476	0.0275583	0.017611	0.0247732	0.0663925
mal	0.016779	0.0117175	0.00960062	0.00682404	0.00537426	0.00732383	0.00530709	0.0055724	0.0100519	0.0136816	0.0134486	0.0198897	0.0218071	0.0240617	0.0212602	0.033387	0.0279781	0.0349675	0.0433661	0.0364669	0.0176354	0.02122	0.0180749	0.015168	0.013009	0.0128116	0.0200362	0.0141698	0.00718951	0.00680964	0.0142039	0.00878773	0.022859	0.0190758	0.0203939	0.0193898	0.0146575	0.0248592	0.0210325	0.0256543	0.0265148	0.0393011	0.053981	0.0356686	0.0491165	0.089515
reçu	0.0155462	0.0198134	0.0148155	0.0100576	0.00959732	0.0107997	0.00713006	0.00976099	0.0109224	0.0151227	0.0118316	0.0166792	0.0171433	0.0231875	0.0182943	0.0324156	0.0283384	0.0483961	0.037441	0.0231539	0.0138368	0.0189349	0.0175966	0.0113265	0.00998948	0.0146532	0.0347792	0.022613	0.0142764	0.00837547	0.0196005	0.0103683	0.023778	0.0215884	0.0299847	0.0261709	0.0289714	0.0369343	0.0343774	0.0221062	0.0197503	0.0251857	0.034016	0.0189449	0.0196198	0.0817748
</S>	0.0725556	0.0375533	0.0198632	0.0182306	0.00394518	0.0086689	0.00489484	0.00434008	0.00419239	0.00686286	0.00377007	0.00456588	0.0038013	0.00616921	0.00678107	0.00325657	0.00677039	0.00377919	0.00550501	0.00632369	0.0126236	0.0384404	0.0165329	0.0170415	0.0178679	0.0164243	0.0180298	0.0182594	0.0144243	0.03328	0.0255034	0.025825	0.0254609	0.0211439	0.012798	0.0114697	0.0120444	0.0262345	0.0261264	0.0354856	0.0398931	0.0438509	0.0575974	0.0550193	0.0604309	0.0863629
