 	a87	a23	a5	a37	a6	a37	a21	a5	a21	a47	a61	a34	a93	a70	a13	a62	a47	a96	a37	a26	a38	a3	a87	a23	a87	</S>
cette	0.0439476	0.0448352	0.053122	0.0431683	0.0508627	0.0433389	0.0506276	0.0383964	0.0277476	0.025237	0.021432	0.0156613	0.0276768	0.0279742	0.0268669	0.0298914	0.0467309	0.0492159	0.0639561	0.0745815	0.0675109	0.0375854	0.0187291	0.0187793	0.0231207	0.0290042
manière	0.0134316	0.0281216	0.100296	0.200021	0.196905	0.112608	0.0631907	0.0458719	0.0204145	0.0127837	0.0124541	0.00762475	0.00568669	0.0125581	0.0104874	0.0103938	0.00618826	0.0046232	0.0064645	0.00681396	0.0114149	0.0159752	0.0168667	0.0128108	0.0392833	0.0267099
de	0.0517385	0.0275695	0.0143549	0.0232809	0.0473703	0.0367308	0.0531027	0.0573655	0.0567499	0.0481087	0.0404465	0.0223625	0.0256128	0.0167426	0.0166421	0.0132366	0.0279939	0.0322988	0.0409303	0.0619145	0.05194	0.0422787	0.05446	0.0474912	0.0636986	0.0255794
goûter	0.0389767	0.0243514	0.00929216	0.00606189	0.00744605	0.0315698	0.0901456	0.0865488	0.121682	0.116866	0.113372	0.0747028	0.0422066	0.0483273	0.0208476	0.0120423	0.0121818	0.0155747	0.0255992	0.0148549	0.0134732	0.0122251	0.0138137	0.0110914	0.0192544	0.0174924
la	0.0725295	0.0673023	0.0661691	0.0554966	0.0492836	0.0773865	0.0730225	0.0436686	0.0385485	0.0218068	0.026462	0.0251987	0.0160308	0.0221452	0.0182827	0.0147602	0.0207434	0.0285886	0.0463449	0.0307917	0.0296037	0.0300574	0.0184574	0.0171907	0.0364256	0.0537029
nourriture	0.055036	0.0249118	0.0166442	0.0132718	0.0166728	0.0223615	0.019871	0.0107493	0.00875096	0.00588384	0.00784974	0.0102374	0.00940952	0.0235603	0.032994	0.014366	0.0233006	0.0308844	0.0915719	0.0663362	0.0562643	0.0895906	0.0824339	0.0822731	0.091482	0.0932926
c'	0.0438861	0.0238784	0.0206009	0.0248373	0.0549149	0.077014	0.0536031	0.0261396	0.0292738	0.0316529	0.0323141	0.0426836	0.0330048	0.0544436	0.0447262	0.0274973	0.0289802	0.0301432	0.0453912	0.0376428	0.0334084	0.050497	0.0440266	0.0409234	0.0362479	0.0322687
est	0.0463486	0.0380771	0.0241485	0.019392	0.0165293	0.0126941	0.0244825	0.0187999	0.0231693	0.0223665	0.0114644	0.0208499	0.026718	0.0423945	0.0564619	0.0396475	0.0499689	0.057543	0.0879639	0.0611998	0.0571415	0.0553817	0.0350357	0.0547587	0.0515687	0.0458943
de	0.0612131	0.0417879	0.0290253	0.0172592	0.0118752	0.00811174	0.0147821	0.00914491	0.00828017	0.0068565	0.00392121	0.00740949	0.00592017	0.00909607	0.0158583	0.0117934	0.025295	0.0337354	0.0883557	0.0680155	0.0596855	0.0778229	0.0780492	0.102386	0.116329	0.0879908
l'	0.0492328	0.0292707	0.0182422	0.00477118	0.00219228	0.00228096	0.00505816	0.00499905	0.00593131	0.00606653	0.00589621	0.00513512	0.00566857	0.00647798	0.0131141	0.0169822	0.0383661	0.0436713	0.0659171	0.0609007	0.103556	0.0750016	0.0881609	0.0847991	0.0940653	0.164242
avidité	0.0385177	0.0371036	0.0327211	0.014857	0.00829678	0.0130834	0.0168885	0.0149481	0.0163742	0.015917	0.0139041	0.00851188	0.00935001	0.0113321	0.0142957	0.00990631	0.0187094	0.0257348	0.0493647	0.0534796	0.0863428	0.0633482	0.0852164	0.087332	0.083922	0.170543
</S>	0.0367547	0.0200865	0.0212908	0.0151341	0.00933108	0.00627496	0.00839703	0.00724623	0.00839147	0.00829721	0.00889107	0.00988032	0.0186112	0.0167749	0.0253766	0.0170154	0.0232467	0.0282669	0.0444612	0.0506229	0.0787663	0.0850215	0.0895737	0.102645	0.104728	0.154914
