 	a87	a10	a87	a23	a10	a87	a30	a53	a90	a44	a34	a61	a34	a93	a75	a34	a21	a37	a98	a5	a47	a0	a90	a57	a90	a93	a70	a34	a62	a34	a93	a34	a90	a56	a34	a21	a47	a83	a9	a62	a83	a62	a83	a9	a10	a87	a23	a87	</S>
c'	0.0156035	0.0129322	0.0142976	0.0199222	0.0167069	0.0272446	0.0465294	0.0481895	0.0579262	0.0558643	0.0602363	0.0591209	0.0623806	0.0482109	0.0276021	0.0181152	0.0137791	0.0135152	0.0151376	0.0113631	0.00947674	0.00704897	0.00622848	0.00604369	0.00673328	0.0146892	0.00971145	0.0100938	0.0142409	0.00860158	0.00956524	0.00644853	0.00573568	0.00541006	0.00532954	0.00583332	0.00559326	0.00553618	0.0106407	0.0150436	0.015703	0.024538	0.0248422	0.0200797	0.0259171	0.0183129	0.018549	0.0128971	0.0264791
est	0.0167482	0.012761	0.0179018	0.014771	0.0151337	0.0327459	0.0406599	0.0357808	0.0388518	0.0167908	0.0188703	0.0192531	0.0134289	0.011592	0.0169252	0.0112661	0.0130503	0.00995951	0.00815384	0.00824436	0.00821825	0.0114855	0.00910159	0.0114135	0.0115893	0.00497289	0.0135935	0.0145004	0.0140433	0.0164092	0.0152581	0.019275	0.0252836	0.0336011	0.0348896	0.0273984	0.036948	0.0329425	0.0326036	0.0509194	0.0262105	0.030346	0.0209696	0.0278884	0.0210513	0.0184173	0.0199232	0.0208954	0.016963
lui	0.0635699	0.0508532	0.0441008	0.0353999	0.0241961	0.00751944	0.00903983	0.00942915	0.00711515	0.0118845	0.0134402	0.0127974	0.0181166	0.0168415	0.0192075	0.0222157	0.0142946	0.0191751	0.0231957	0.0202571	0.0139595	0.0106121	0.0147847	0.0118309	0.00914575	0.0109151	0.0135293	0.0122279	0.0160466	0.0179	0.0252278	0.0269774	0.0185044	0.0143577	0.0151287	0.00520738	0.00800281	0.00675036	0.00622833	0.00962295	0.00864102	0.0139476	0.0127173	0.02774	0.0216528	0.0438222	0.0338401	0.0844572	0.0435726
qui	0.0264504	0.0123942	0.00917373	0.0106122	0.00850551	0.00407565	0.00440346	0.0033222	0.00244504	0.00338277	0.00379758	0.00262294	0.00634458	0.00841269	0.00938626	0.00922274	0.0121125	0.0133671	0.0157616	0.0159344	0.0197682	0.0242208	0.0339596	0.0286442	0.0223135	0.0400841	0.0372269	0.0332906	0.0378556	0.0497683	0.0673628	0.059027	0.0334752	0.0253113	0.0160239	0.00789821	0.0110046	0.00863704	0.00948397	0.0123638	0.0230473	0.0287344	0.0250724	0.027117	0.0306027	0.0235912	0.0270251	0.032361	0.0230017
a	0.0312568	0.013149	0.00751746	0.00347997	0.00284131	0.00291348	0.00316098	0.00220903	0.00230579	0.00219197	0.00279745	0.00285293	0.00464873	0.0108925	0.0191934	0.0122053	0.0297433	0.0365703	0.0290617	0.0269137	0.0350638	0.0255964	0.0279765	0.0208054	0.0135717	0.0209908	0.0257413	0.0163458	0.025165	0.0329753	0.0471208	0.039967	0.0275619	0.0177599	0.0247888	0.0147772	0.0351637	0.0293859	0.0303616	0.0511977	0.052961	0.0331868	0.0167878	0.0155202	0.0221344	0.011834	0.0137796	0.016111	0.00946368
embourbé	0.0192994	0.0136631	0.015294	0.0104905	0.0121424	0.00870533	0.00980009	0.0103496	0.012074	0.0140897	0.0204169	0.0179789	0.0294818	0.0415501	0.0353827	0.028111	0.038233	0.038566	0.0311991	0.0308589	0.0417236	0.0768795	0.071491	0.0625755	0.0461376	0.0404866	0.0329678	0.024617	0.0226735	0.0234095	0.0157517	0.0174071	0.0145004	0.00753188	0.00592721	0.00427188	0.00532547	0.00584103	0.0032139	0.00532676	0.0043545	0.00447279	0.00248568	0.00311198	0.00416084	0.00294923	0.00324093	0.0034172	0.00606164
le	0.0328023	0.0174491	0.0103797	0.00539538	0.00452787	0.00516785	0.00980357	0.0078859	0.010587	0.0121841	0.0117274	0.0115699	0.0128701	0.0120325	0.0109473	0.0213617	0.0203977	0.0411234	0.0359945	0.0307744	0.0387078	0.041519	0.0349373	0.0269644	0.0185657	0.0270776	0.0211368	0.0196858	0.0267196	0.0295279	0.0483941	0.0311089	0.0335798	0.0247352	0.0200725	0.020095	0.0178155	0.0159125	0.013828	0.0225285	0.0125115	0.0196594	0.0176332	0.0261884	0.0160092	0.0173613	0.0117309	0.0145873	0.00642547
véhicule	0.0158023	0.00967548	0.0059473	0.00426971	0.0033017	0.00314084	0.0048916	0.00459544	0.00516926	0.0103678	0.0133897	0.0133804	0.0258893	0.0284164	0.0329891	0.0433083	0.0486415	0.0490491	0.0535293	0.0561199	0.0568406	0.0555926	0.0385242	0.0295582	0.0201714	0.0222832	0.0233308	0.0264372	0.0301895	0.0296136	0.0344878	0.0226868	0.0229741	0.020788	0.0126196	0.0139254	0.00941798	0.010451	0.00946684	0.00961567	0.00741104	0.00724656	0.00747323	0.0071224	0.00683086	0.00894497	0.00641873	0.00828487	0.00941833
à	0.0358516	0.0173212	0.0167016	0.0134939	0.0127674	0.00639449	0.0121681	0.0109749	0.00951263	0.00917186	0.00858363	0.0117879	0.0130782	0.0185849	0.0153495	0.0181142	0.0254531	0.0265457	0.0351792	0.0292065	0.0217085	0.0195715	0.0185428	0.0128193	0.0127497	0.0130236	0.0117601	0.0113069	0.0116581	0.00713944	0.00856704	0.00845161	0.00889678	0.00879323	0.0118893	0.0115717	0.0156728	0.0211301	0.0225104	0.0312107	0.0304276	0.0380957	0.0420318	0.0350088	0.0365116	0.0579357	0.0365238	0.0544561	0.0337946
l'	0.0239572	0.00917963	0.0119008	0.0145459	0.012517	0.00491264	0.010875	0.00760516	0.00574068	0.00692997	0.00450584	0.00621981	0.00837753	0.0107874	0.00879568	0.0103817	0.0164996	0.0155599	0.0227346	0.0220758	0.0159386	0.0170798	0.0150004	0.00961136	0.00924477	0.0100346	0.0103142	0.00957265	0.0110335	0.00855105	0.00818045	0.00848672	0.0102947	0.0089483	0.0140435	0.0139294	0.0189974	0.0230116	0.0230334	0.0303884	0.039686	0.0637765	0.0574873	0.0503335	0.0497427	0.0672746	0.0520219	0.0614554	0.0484255
entrée	0.00833595	0.00504517	0.00476876	0.00701779	0.00817566	0.00509338	0.00961842	0.00699078	0.00758337	0.00928912	0.00876095	0.00817461	0.0117531	0.0139405	0.0129007	0.0149527	0.0202913	0.0221211	0.0244595	0.0241014	0.0188733	0.0192993	0.0148529	0.00736281	0.00842773	0.00971607	0.0240106	0.025396	0.0256801	0.0282621	0.025892	0.0184947	0.0263528	0.0227969	0.0220189	0.0193301	0.0290158	0.0442691	0.0312613	0.0344363	0.0385566	0.0472418	0.034497	0.0336955	0.0333059	0.0411573	0.0276	0.0297651	0.0250575
d'	0.0157002	0.00633512	0.00319628	0.00275026	0.00199042	0.00040423	0.00112155	0.000918361	0.00123761	0.00167054	0.00168458	0.00162204	0.00495749	0.0058118	0.00520439	0.00557175	0.0102074	0.0140939	0.0242928	0.0252542	0.0111661	0.0119272	0.0127486	0.00357159	0.00182043	0.00259646	0.00568062	0.00356624	0.00568932	0.00539005	0.00548216	0.00493568	0.00725434	0.00486462	0.00956835	0.00931535	0.0185391	0.0168648	0.0195586	0.0312096	0.0390113	0.057244	0.0488039	0.0592314	0.0689787	0.0935866	0.103507	0.110198	0.0936647
ekyembe	0.00783089	0.0024288	0.001224	0.00172051	0.00168039	0.000515494	0.0014217	0.00127391	0.00196858	0.00462789	0.00435736	0.00412762	0.0109112	0.0104316	0.00684636	0.00798897	0.0118006	0.0157753	0.0317088	0.0322024	0.0137677	0.0199406	0.0212878	0.00789845	0.00532248	0.00514943	0.00988981	0.0059308	0.00931651	0.00733827	0.00708609	0.00786663	0.0110058	0.0062944	0.0139217	0.0123042	0.0218069	0.0224213	0.0235159	0.0331006	0.0342809	0.0498804	0.0495772	0.0484905	0.0584083	0.0845232	0.0794594	0.100643	0.0687297
</S>	0.0129783	0.00687287	0.00331707	0.00209721	0.0013972	0.00113827	0.00107678	0.00119039	0.00145959	0.00177269	0.00207912	0.00429098	0.00647784	0.00767708	0.00832263	0.00978604	0.0139202	0.0199178	0.0224719	0.0246363	0.0173301	0.0171652	0.0234674	0.0161468	0.00765762	0.00749686	0.0094356	0.00660769	0.00861274	0.00657646	0.00649105	0.0106085	0.0125786	0.0101094	0.0144035	0.016915	0.0344966	0.0287548	0.0358477	0.0571593	0.0781195	0.0823663	0.0893169	0.0791568	0.0622433	0.0402214	0.0257032	0.0254495	0.0166819
