 	a66	a87	a23	a30	a93	a75	a21	a61	a24	a75	a25	a92	a79	a7	a98	a15	a98	a47	a36	a0	a43	a75	a85	a47	a36	a2	a40	a85	a92	a12	a75	a85	a6	a37	a61	a62	a88	a71	a25	a38	a90	a98	a85	a47	a36	a98	a47	a6	a36	a2	a57	a87	a23	a87	a23	a87	</S>
le	0.0171475	0.0285766	0.016358	0.0175463	0.0314104	0.0447699	0.0627942	0.0451161	0.0371889	0.0354376	0.0271439	0.0204708	0.0266368	0.0255544	0.0229638	0.0187059	0.0297358	0.0208545	0.0240774	0.0199664	0.0158074	0.0122284	0.0142241	0.0155615	0.0111162	0.012602	0.035186	0.0172959	0.0112123	0.0235342	0.0229387	0.0111708	0.0137522	0.0102159	0.0123726	0.00968647	0.00584754	0.00266154	0.00872929	0.00684917	0.00826884	0.00483255	0.0055488	0.00482228	0.0060351	0.00647958	0.00657897	0.00975591	0.0184304	0.0110226	0.0137775	0.00785696	0.0123028	0.00832261	0.0070512	0.00727191	0.0161948
village	0.0268431	0.0166556	0.0314518	0.0452703	0.0334372	0.0484197	0.0975766	0.0685952	0.0342854	0.0316775	0.0481197	0.0614984	0.0390819	0.0337899	0.030014	0.0244048	0.0184323	0.0184909	0.0217387	0.0212138	0.0152219	0.0149453	0.0105112	0.0127468	0.00628822	0.00681998	0.00589102	0.00271376	0.00655595	0.00190064	0.010406	0.00666648	0.00573843	0.00235528	0.00421978	0.0415647	0.02371	0.00503634	0.00141882	0.00702393	0.00578874	0.006956	0.00328102	0.0183682	0.00618286	0.00286363	0.00264658	0.00107998	0.00106743	0.000838843	0.00222308	0.000719039	0.00107985	0.000934536	0.000891124	0.0014295	0.000918089
est	0.0217457	0.0131585	0.0238286	0.0315867	0.0482355	0.0485713	0.0765518	0.0349037	0.0499577	0.0596511	0.0695873	0.0750502	0.0579098	0.0530228	0.0319359	0.0154415	0.0188251	0.0497288	0.0326365	0.0335218	0.0243671	0.0220141	0.012438	0.0128244	0.00710828	0.00498333	0.00425031	0.00632488	0.00934245	0.0042243	0.00481807	0.00374277	0.00674295	0.00269843	0.00169795	0.00195448	0.00345319	0.000937866	0.000992517	0.00143813	0.00109075	0.00116823	0.000466065	0.00111029	0.000601144	0.000439047	0.000636669	0.000506923	0.000841276	0.000732413	0.00095749	0.000942546	0.00123202	0.00194064	0.00199794	0.00164668	0.00148603
dans	0.0130454	0.00539182	0.007528	0.00665014	0.00361666	0.00516533	0.00787726	0.00820569	0.0106281	0.0142435	0.011662	0.0220271	0.025565	0.0199647	0.018187	0.0238034	0.0283315	0.0209358	0.018183	0.0206875	0.0182562	0.0149662	0.0184822	0.0100396	0.0166361	0.0138739	0.0134554	0.0128055	0.0150562	0.0189464	0.0268345	0.0254029	0.0322843	0.0276926	0.0195418	0.0180141	0.0138813	0.0125519	0.0118248	0.00937464	0.00803118	0.00758493	0.00763561	0.00553346	0.00797465	0.0120909	0.0125566	0.0198714	0.0154898	0.0271458	0.0222424	0.0350694	0.0394569	0.0334298	0.0294191	0.0425512	0.0322974
un	0.011498	0.0103224	0.0129551	0.00896952	0.00539389	0.0098233	0.0112587	0.0118374	0.0159456	0.0106126	0.0129313	0.0232997	0.0172131	0.0225713	0.0247481	0.0284164	0.0400429	0.031393	0.0315642	0.0401849	0.0329156	0.0254327	0.0218048	0.026567	0.024431	0.0220394	0.0310931	0.0331174	0.0428075	0.0293866	0.0361716	0.0340541	0.0258305	0.0205154	0.0159869	0.0171596	0.00820697	0.00774257	0.0064148	0.00589551	0.00293061	0.00359679	0.00447453	0.00230814	0.00514305	0.00433782	0.0061601	0.012151	0.00867922	0.00759752	0.00983418	0.0110659	0.0163127	0.012592	0.0102709	0.0157567	0.0182343
silence	0.0072979	0.00512506	0.00468813	0.00423699	0.00414743	0.00379159	0.00430374	0.00823878	0.0161209	0.0169149	0.013863	0.0151439	0.00937803	0.0199293	0.021348	0.0224824	0.0313903	0.0285171	0.0215376	0.0342709	0.0298839	0.0245848	0.0130001	0.0197667	0.0185663	0.0138221	0.0112501	0.0190062	0.0292446	0.0179949	0.0116159	0.0216328	0.0314354	0.0245899	0.0113548	0.0309357	0.0163728	0.0136663	0.0161507	0.0227975	0.0154769	0.0158792	0.0125466	0.0120127	0.0158856	0.0117495	0.0134425	0.0163452	0.0179437	0.0130234	0.015407	0.0200691	0.0204689	0.0333617	0.0242985	0.0283929	0.0232989
tendu	0.00605225	0.00334309	0.00357422	0.00230293	0.00374475	0.00719971	0.00734901	0.00735952	0.0175691	0.0171826	0.0131142	0.0185005	0.0119818	0.0194583	0.0262837	0.0137546	0.0332273	0.0266157	0.0480075	0.0370467	0.0306466	0.0327777	0.0419437	0.0428674	0.0358751	0.0383375	0.0363254	0.0390701	0.0353785	0.032896	0.021863	0.026421	0.0235278	0.0186936	0.0154279	0.0216678	0.00881705	0.00584972	0.00919742	0.0101894	0.00608248	0.00640504	0.00574892	0.00327071	0.00452505	0.00387398	0.00490401	0.00504682	0.00695936	0.00594255	0.00881838	0.0099276	0.0152387	0.0122161	0.0177639	0.0134486	0.0183878
aujourd'	0.0143405	0.0097874	0.00982489	0.00914754	0.00886314	0.00976723	0.00773149	0.00739722	0.0121442	0.015804	0.0136006	0.0131116	0.0173051	0.0188467	0.027048	0.0239618	0.0363456	0.026444	0.0421367	0.0294739	0.0276456	0.0294502	0.0302331	0.0327865	0.0306846	0.04373	0.0315113	0.0284553	0.0289848	0.0220406	0.0120522	0.0192582	0.0156812	0.0163805	0.0174074	0.0219317	0.0192145	0.0132689	0.0168191	0.0133712	0.0105523	0.0114466	0.00667213	0.00551948	0.00632826	0.00781145	0.00869017	0.00766955	0.0142772	0.00853266	0.00884928	0.00676571	0.0120146	0.00926403	0.0159189	0.0125321	0.0231674
hui	0.0535404	0.0618051	0.0928129	0.0501582	0.0209522	0.0183612	0.023396	0.0198786	0.0175953	0.0188011	0.0228184	0.0428759	0.0334523	0.019207	0.0207257	0.0160202	0.0281504	0.0306113	0.0237773	0.0152058	0.0166963	0.0127828	0.0152255	0.0167471	0.0195241	0.0133681	0.0193388	0.0144514	0.0136412	0.0126124	0.00695187	0.0106761	0.00939136	0.00847609	0.00776371	0.0135025	0.00613411	0.00738427	0.00675976	0.00916527	0.0073909	0.00980048	0.0115245	0.0148512	0.00881663	0.00277588	0.00200113	0.0042786	0.0101387	0.00457697	0.00801577	0.0121227	0.00663952	0.00803779	0.00706499	0.00669166	0.00453447
parce	0.0115778	0.0114412	0.0117475	0.00796881	0.00580869	0.00578509	0.00562761	0.00746976	0.0109791	0.0106886	0.0142979	0.0204908	0.0172472	0.0199371	0.0229345	0.0310516	0.0398841	0.024697	0.0428447	0.0246497	0.0280397	0.029866	0.0345972	0.031732	0.0389929	0.0384278	0.0295546	0.0197167	0.0273476	0.0145429	0.0134111	0.0162271	0.0123489	0.0109507	0.0102182	0.0152376	0.0143364	0.00991662	0.0100645	0.0113963	0.00788715	0.00810838	0.0029828	0.00441954	0.0037154	0.00516197	0.00683531	0.00721928	0.00629904	0.00553872	0.0197805	0.0211776	0.024902	0.0176703	0.0248307	0.0289502	0.0404674
