 	a66	a82	a84	a62	a61	a90	a98	a85	a6	a36	a61	a75	a85	a37	a85	a6	a85	a6	a37	a85	a36	a26	a61	a41	a36	a26	a10	a24	a11	a75	a98	a85	a37	a21	a12	a96	a56	a96	a66	a94	a26	a66	a38	a9	a82	a30	a82	</S>
ingobha	0.0400368	0.0555634	0.0494177	0.0538903	0.0454655	0.0609604	0.0623264	0.05575	0.0458148	0.0338445	0.0203021	0.0136212	0.00983004	0.00961014	0.0165401	0.00908691	0.0115367	0.0159894	0.0132962	0.0132338	0.00828098	0.00816009	0.00990277	0.0203804	0.0104731	0.0136917	0.0107048	0.0228463	0.022154	0.0202405	0.0211991	0.0211591	0.021136	0.0147798	0.0148732	0.0119981	0.00686162	0.00828526	0.00741888	0.00529486	0.00497191	0.00435401	0.00572933	0.0054984	0.00793651	0.0188273	0.0100246	0.026701
haït	0.0187769	0.025361	0.0290699	0.0229064	0.0217876	0.0255291	0.0330204	0.0300826	0.0481498	0.090807	0.055973	0.037878	0.0405217	0.0340953	0.0571663	0.0537131	0.0544578	0.0332297	0.0256567	0.0323036	0.0160625	0.0295428	0.0233351	0.0226657	0.0152884	0.0120558	0.00917735	0.00912242	0.00824317	0.0125711	0.00854659	0.00646766	0.0049731	0.00263338	0.004489	0.00400333	0.00338665	0.00250022	0.00145526	0.0019768	0.00179253	0.00185279	0.00384761	0.00225983	0.00232534	0.00488106	0.00872998	0.00532841
les	0.0150554	0.0153775	0.0156804	0.0147303	0.024637	0.0327735	0.0214033	0.0393224	0.0539581	0.0561122	0.0558651	0.0626542	0.0289026	0.0388508	0.0325064	0.0266503	0.045061	0.0413485	0.0643244	0.0361049	0.0259209	0.0209802	0.0110241	0.0176535	0.0150174	0.0140796	0.0124596	0.00899642	0.00899404	0.00574231	0.00316971	0.00339131	0.00151843	0.00163047	0.00231864	0.0015471	0.00127094	0.0023685	0.00283397	0.00219055	0.00437001	0.00518316	0.0109816	0.00918668	0.0162244	0.0237126	0.0221765	0.0237391
enfants	0.0331265	0.0233891	0.0132087	0.0079636	0.00476218	0.00648355	0.00738781	0.00556418	0.00689215	0.00607529	0.00638596	0.00443738	0.00711468	0.00572574	0.00761747	0.0059729	0.0101846	0.0114361	0.0103244	0.0140896	0.012656	0.0232765	0.0254641	0.0193698	0.0255356	0.0252095	0.0186573	0.0128868	0.0217834	0.0302145	0.0255786	0.0311434	0.0576203	0.0578596	0.0528277	0.0526008	0.0357241	0.0214244	0.0273575	0.0296224	0.0256947	0.0335894	0.0254263	0.0293735	0.0208276	0.0176553	0.019036	0.0234431
des	0.0542376	0.0222553	0.018327	0.0121163	0.00738856	0.00684264	0.00688772	0.00525798	0.00440124	0.00371468	0.00381101	0.0024013	0.0051688	0.00327492	0.00561746	0.00679035	0.00749879	0.011602	0.0131927	0.0165378	0.0261455	0.0432296	0.0468034	0.0326905	0.029869	0.0367832	0.0316546	0.0226716	0.0251371	0.0330756	0.0428646	0.044548	0.0529878	0.051675	0.0391091	0.0381008	0.0364981	0.0407795	0.0232846	0.0129711	0.0120771	0.0104906	0.00844414	0.009115	0.0101829	0.00535378	0.00484393	0.0112897
autres	0.0570469	0.0404896	0.0262104	0.0166898	0.0127978	0.0163076	0.0175233	0.0105094	0.00969873	0.00795079	0.0124081	0.0109791	0.0114689	0.00997723	0.00956253	0.00978362	0.0105145	0.0116946	0.0115795	0.0110192	0.0219118	0.0201104	0.0342904	0.0124892	0.0274772	0.0348801	0.0236067	0.0156784	0.0207244	0.0306095	0.0467115	0.0503036	0.0574505	0.0401745	0.0337594	0.0274019	0.0278083	0.0249274	0.0195497	0.0111737	0.0102577	0.0108549	0.012122	0.0133844	0.0105836	0.0145991	0.00695162	0.0159961
parce	0.0568435	0.0380406	0.0250522	0.0126696	0.0131228	0.0174755	0.0102616	0.0121872	0.0104375	0.00941002	0.0116989	0.0223273	0.0196072	0.0227761	0.0212061	0.034079	0.0292199	0.02735	0.020351	0.0151836	0.0315774	0.0292531	0.0481098	0.0185944	0.0444188	0.0530524	0.038398	0.0348535	0.0324992	0.033825	0.0225638	0.0289677	0.022022	0.0134346	0.0131333	0.00874888	0.00528713	0.0121636	0.0140045	0.00522401	0.00519378	0.00632311	0.00595065	0.00732047	0.00453245	0.00992092	0.00631344	0.0150145
qu'	0.0367465	0.0315348	0.030453	0.0292662	0.0224932	0.0195014	0.0163136	0.0220514	0.02684	0.0320952	0.0282259	0.0280227	0.0323362	0.0289922	0.0355185	0.0366796	0.0302392	0.033602	0.0348513	0.0346868	0.0266226	0.0397042	0.0355916	0.0423765	0.0286999	0.0252235	0.018572	0.0155652	0.012959	0.0122616	0.0163638	0.0143201	0.0109877	0.00872644	0.00729158	0.00527967	0.00457196	0.00699544	0.00439835	0.00316614	0.00406695	0.0058859	0.0089052	0.0112076	0.00928424	0.00937617	0.00872576	0.0124213
elle	0.0515902	0.0366806	0.0245279	0.0168288	0.0113781	0.00949285	0.00755411	0.00908879	0.00985757	0.00988879	0.00768108	0.00830506	0.00999754	0.0110215	0.0142588	0.014132	0.0137492	0.0157148	0.0152323	0.0161357	0.0274652	0.0313588	0.0454629	0.0365404	0.0283485	0.041512	0.0284598	0.0284668	0.0289925	0.0289427	0.0384418	0.0325687	0.026091	0.026554	0.02758	0.0227393	0.0217794	0.0230796	0.0116967	0.00906535	0.00979016	0.0117404	0.0145415	0.017396	0.0169487	0.0157092	0.0178965	0.0177166
est	0.0391567	0.0308002	0.0214513	0.0119196	0.0123745	0.0171235	0.00783459	0.0104363	0.0085944	0.00666586	0.00482459	0.0042203	0.00484503	0.00467307	0.00791887	0.00655826	0.00594704	0.00713677	0.00806254	0.0114682	0.0175382	0.0198024	0.0308133	0.0357278	0.0339432	0.042314	0.0315946	0.033538	0.0297355	0.0329737	0.0324779	0.0234925	0.0204385	0.0181947	0.0231378	0.0191875	0.0148673	0.0186008	0.0121759	0.0121367	0.0108197	0.0219714	0.0289458	0.0448274	0.0334966	0.0427431	0.034365	0.0481289
stérile	0.0380445	0.0218505	0.01652	0.00811388	0.0135304	0.015926	0.00809902	0.0160029	0.0149485	0.0159749	0.0159148	0.01381	0.0171182	0.0129045	0.0153068	0.0167451	0.0125802	0.0166673	0.0144292	0.0123074	0.0103815	0.0158506	0.0219997	0.031696	0.025583	0.026673	0.0248647	0.0356079	0.0296478	0.0272611	0.0250434	0.0225656	0.0243819	0.0244822	0.0287732	0.0223681	0.0180993	0.0248413	0.010059	0.00840021	0.0100386	0.0136643	0.0214044	0.0344382	0.0330656	0.0354189	0.0353411	0.041255
