 	a66	a87	a23	a38	a94	a20	a79	a76	a15	a79	a85	a5	a23	a94	a96	a66	a43	a56	a12	a47	a21	a6	a36	a2	a57	a87	a23	a13	a53	a20	a94	a76	a25	a69	a93	a4	a94	a43	a75	a92	a85	a6	a37	a79	a7	a84	a87	a23	a87	</S>
la	0.0160385	0.031516	0.0138371	0.0216763	0.022009	0.0317607	0.0270498	0.0418817	0.0162242	0.0204543	0.0329021	0.0435698	0.0798208	0.0419706	0.0239747	0.0206395	0.0189756	0.0224052	0.0184486	0.0111687	0.00939853	0.00940425	0.011415	0.0124113	0.0177335	0.0196809	0.0101771	0.0167212	0.0116993	0.0162316	0.0131333	0.0174949	0.0122372	0.00848521	0.0133117	0.00658232	0.00669871	0.0105604	0.00862164	0.00677128	0.00775262	0.0138047	0.0148279	0.0164765	0.0223351	0.0141224	0.0139156	0.026743	0.0234869	0.0514428
hotte	0.00423447	0.0107646	0.0097527	0.0185032	0.04076	0.0615812	0.115171	0.0493375	0.0233132	0.0219119	0.0228339	0.0150636	0.0312604	0.0159436	0.0100453	0.00780223	0.0196348	0.0143481	0.0208811	0.0587443	0.0376374	0.0262034	0.0148968	0.00983822	0.0174994	0.0239227	0.0309714	0.0536793	0.0380412	0.0361092	0.0606139	0.0238061	0.0135959	0.00858739	0.00437223	0.00412353	0.00276065	0.0023167	0.00133267	0.00239316	0.00171506	0.0024918	0.00164456	0.000986486	0.00153145	0.000958284	0.00109407	0.000862397	0.00278033	0.00134767
en	0.0236879	0.0233932	0.0245634	0.0229514	0.0359691	0.0540092	0.207113	0.0712505	0.08542	0.167608	0.122017	0.0115771	0.0143261	0.00428276	0.00493784	0.00462749	0.0100393	0.0103951	0.00441085	0.00606498	0.0158997	0.00702394	0.00299195	0.00149104	0.00352819	0.00275247	0.00207646	0.00289457	0.00180168	0.00819781	0.00712391	0.00929403	0.00512596	0.00448519	0.00180182	0.0010133	0.000707569	0.00042844	0.000411512	0.000712269	0.000768842	0.00154098	0.000736667	0.00163751	0.000964357	0.00139273	0.00108474	0.000848439	0.00130988	0.00131079
question	0.0266637	0.010832	0.00921856	0.0102212	0.0204004	0.013122	0.0325352	0.0160175	0.0164973	0.0106382	0.0107324	0.0075063	0.0110515	0.013525	0.0120371	0.0132878	0.0196304	0.0115537	0.0109002	0.0168817	0.0166936	0.0188508	0.0300361	0.0353988	0.031217	0.0584168	0.0617854	0.0629653	0.0654164	0.0717746	0.0355377	0.0198733	0.0118052	0.00877691	0.00820535	0.00979322	0.01147	0.0112063	0.00657549	0.0192975	0.0253402	0.0208858	0.0131367	0.0106592	0.00859197	0.00806166	0.00805151	0.00615375	0.00586871	0.00490265
est	0.0279028	0.040725	0.0476986	0.0547774	0.0501968	0.0263477	0.0432114	0.0105172	0.00913055	0.0244358	0.0286696	0.0482845	0.0405632	0.0403621	0.0389182	0.0475215	0.0318498	0.0313023	0.0245021	0.0225638	0.0281386	0.0188174	0.0154865	0.0143659	0.0152062	0.0151719	0.00844257	0.0137711	0.0100662	0.0143188	0.0144179	0.0144831	0.0209127	0.0132418	0.00840142	0.00935152	0.0140951	0.00852173	0.0038578	0.0059133	0.00299117	0.00455666	0.00275874	0.00313183	0.00752629	0.00502658	0.0042042	0.00349994	0.00493682	0.00490564
cassé	0.0215984	0.0161433	0.0145315	0.00930754	0.011314	0.01369	0.0176163	0.0214735	0.0200489	0.0285361	0.0360615	0.0529805	0.0430277	0.055173	0.062682	0.0643657	0.0485301	0.052314	0.0414612	0.0412475	0.0423257	0.0256464	0.0218951	0.0203503	0.0215426	0.0190452	0.0130261	0.0148011	0.0153514	0.0109583	0.013258	0.0145808	0.0150143	0.00919042	0.00878029	0.00690725	0.00900601	0.00478001	0.00434798	0.00336101	0.00327396	0.00205114	0.00177508	0.00258699	0.00336697	0.00265012	0.00372426	0.00353256	0.0035069	0.00726095
prends-la	0.0197171	0.0146224	0.0118157	0.00773363	0.00587382	0.00488337	0.00646772	0.0136666	0.0227679	0.0262683	0.0179286	0.0350075	0.0337804	0.0632144	0.0428537	0.0586135	0.0440298	0.0675464	0.0386793	0.024886	0.038248	0.0215504	0.0246415	0.0247048	0.0327106	0.0289728	0.0199822	0.0219269	0.0178503	0.00915795	0.00820328	0.00837176	0.00550164	0.00771947	0.0105096	0.00720021	0.00903413	0.00724225	0.00827829	0.00799559	0.0104116	0.00884642	0.00694544	0.0155418	0.0109236	0.0148434	0.0128737	0.0133273	0.00866092	0.0174681
et	0.0121115	0.00559008	0.00588125	0.00316232	0.00287732	0.00280125	0.00401003	0.00690107	0.0125346	0.0141785	0.0129796	0.0281532	0.0197863	0.050012	0.075185	0.0614247	0.0715725	0.0473376	0.0380704	0.0186964	0.0332317	0.0259906	0.0311667	0.0279687	0.0368379	0.0451784	0.0283889	0.0341588	0.0368211	0.0293822	0.018517	0.0209085	0.0155662	0.0141688	0.013173	0.0105998	0.0148287	0.00921889	0.00705399	0.00633842	0.00667838	0.00382774	0.00286824	0.00481778	0.00438161	0.00446558	0.00539256	0.00515401	0.00468378	0.00496632
ramène-la	0.0192871	0.0229644	0.0195636	0.016842	0.0143572	0.0103651	0.0160879	0.0178307	0.0198804	0.0280986	0.021109	0.0688666	0.0551599	0.0893705	0.0565129	0.0547449	0.0378495	0.0426475	0.0298736	0.0186054	0.0168012	0.0139598	0.0105318	0.00962233	0.0142424	0.0123909	0.00910165	0.010598	0.013547	0.00729507	0.00653493	0.00750314	0.00694811	0.00609297	0.00813655	0.00684629	0.00676161	0.00909952	0.00609062	0.0054298	0.0071526	0.00946447	0.00886201	0.0146394	0.019757	0.0171573	0.0168406	0.0134111	0.0169091	0.028256
</S>	0.0177127	0.0251088	0.0180639	0.0197263	0.0138569	0.00861329	0.0131166	0.0125691	0.0166288	0.0233181	0.0129439	0.0424484	0.0335219	0.0534193	0.0360633	0.0367831	0.0324757	0.0340166	0.0282398	0.0200414	0.0185669	0.0170534	0.0162397	0.0143094	0.0203496	0.0178069	0.014461	0.0157328	0.0220056	0.0089087	0.0087543	0.00893521	0.00757755	0.00813333	0.0102105	0.00813521	0.00692573	0.00679681	0.00354186	0.00583392	0.0078701	0.0132556	0.00692993	0.02234	0.0381578	0.0257756	0.0219403	0.0338701	0.0193583	0.071556
