 	a23	a87	a23	a79	a20	a73	a35	a30	a26	a38	a41	a24	a83	a38	a62	a21	a41	a14	a30	a2	a57	a87	</S>
il	0.0273221	0.0255714	0.0315807	0.0501576	0.0401081	0.0419152	0.108934	0.106073	0.0777713	0.111688	0.0602214	0.0362809	0.0159593	0.00699311	0.00599487	0.00266487	0.00139511	0.013051	0.0265127	0.040162	0.0629508	0.0517534	0.0549389
casse	0.0213335	0.0203543	0.017018	0.0234329	0.0243229	0.0206452	0.0315047	0.0216564	0.0198754	0.0342371	0.0489732	0.0588033	0.0383511	0.0410134	0.0481491	0.0289552	0.0346852	0.0142487	0.0333621	0.101687	0.0794624	0.0923975	0.145531
les	0.0428028	0.0371487	0.0303501	0.0324492	0.0297252	0.0178441	0.0294919	0.0371699	0.0327065	0.0381124	0.0229208	0.0274857	0.0500879	0.0857043	0.104658	0.0795028	0.0328368	0.0413428	0.0347755	0.0540086	0.0466103	0.0430201	0.0492451
noix	0.0255058	0.0206274	0.0101929	0.0129108	0.0312213	0.0222481	0.0127642	0.0172057	0.019464	0.0894206	0.0736488	0.0801153	0.0620542	0.0581669	0.0652884	0.0742879	0.0749782	0.0782241	0.0895422	0.034993	0.0186108	0.0166966	0.0118326
de	0.0308719	0.015673	0.0202405	0.0166059	0.0296277	0.0296587	0.0222405	0.03181	0.0386225	0.0520646	0.0309727	0.027601	0.0315488	0.0343793	0.0414291	0.0427677	0.0396919	0.0930334	0.0886045	0.1009	0.0540244	0.0408773	0.0867544
palme	0.0307094	0.0218883	0.0165216	0.0169906	0.0329418	0.0237156	0.0207027	0.023744	0.0275216	0.0509706	0.0748664	0.0678187	0.0568598	0.0410568	0.0376109	0.0455557	0.0562845	0.122731	0.0744357	0.067648	0.0405578	0.0209651	0.0279035
pour	0.0629476	0.038323	0.0369233	0.0193532	0.0290736	0.0209961	0.0243185	0.029512	0.0380269	0.0567004	0.061643	0.0601526	0.049957	0.0509249	0.0323883	0.0167111	0.011683	0.0292943	0.0287908	0.0475799	0.083373	0.0659633	0.105364
extraire	0.0275212	0.0163418	0.0106375	0.00617133	0.00833882	0.00379522	0.00445362	0.00453472	0.00634884	0.00945931	0.0190001	0.0345859	0.0820461	0.090515	0.0668568	0.0432694	0.0392246	0.0366994	0.0698741	0.101828	0.11221	0.108539	0.0977489
les	0.0459101	0.0314494	0.0185773	0.0118862	0.0108333	0.00572343	0.00442513	0.00427886	0.00490407	0.00734718	0.0118708	0.0156591	0.0400661	0.0681936	0.0627208	0.0461248	0.0417078	0.0635547	0.0751423	0.108317	0.0752397	0.114148	0.13192
amandes	0.0360304	0.035278	0.0216544	0.0163171	0.014473	0.00540992	0.0063504	0.00497735	0.00455263	0.0100143	0.0224743	0.0463946	0.148509	0.148276	0.13365	0.0544254	0.0402042	0.0505066	0.0433673	0.0340094	0.0259764	0.0381048	0.0590452
</S>	0.0263405	0.0170343	0.0140533	0.0104797	0.00638401	0.00441062	0.0075682	0.00683793	0.0050592	0.00555659	0.0107218	0.0173016	0.0397351	0.0592844	0.0811497	0.0332923	0.016326	0.0781239	0.0719757	0.0908229	0.0538001	0.065355	0.278387
