 	a15	a66	a87	a23	a94	a70	a18	a38	a54	a36	a7	a20	a44	a35	a37	a70	a99	a66	a9	a99	a87	a23	a97	a87	</S>
pendant	0.113645	0.0757654	0.0364764	0.0298233	0.0176842	0.012142	0.0124746	0.0107268	0.0121447	0.012968	0.0182113	0.0179173	0.0169644	0.0148067	0.0173612	0.0221268	0.0479362	0.0522524	0.0723041	0.0860308	0.0666712	0.0470863	0.0583959	0.0414086	0.0866766
la	0.0198652	0.0171126	0.0109726	0.0104369	0.0111138	0.0132689	0.019572	0.060711	0.113226	0.176917	0.160547	0.0515693	0.0493087	0.0648136	0.0375578	0.0340847	0.0108124	0.00508869	0.00813664	0.0126673	0.019109	0.0210857	0.0248995	0.0315258	0.0155983
grande	0.0560115	0.0240212	0.0174877	0.0190768	0.0149915	0.025037	0.0259323	0.0302816	0.0292187	0.0455935	0.0641879	0.0376999	0.030155	0.0432859	0.0866525	0.0635548	0.0798981	0.0664152	0.0518075	0.0325223	0.0564056	0.0606661	0.018306	0.0145728	0.00621873
saison	0.0338426	0.0159593	0.0169134	0.0112878	0.0131798	0.0201619	0.014017	0.0104571	0.0149353	0.0298235	0.0369077	0.0477186	0.0262307	0.0304912	0.0589187	0.0475228	0.0661756	0.0684847	0.0657667	0.0827577	0.0847891	0.0689482	0.0547056	0.0352934	0.0447115
des	0.0135718	0.0191688	0.0208283	0.0192041	0.0159839	0.0148858	0.0135451	0.0191933	0.0532409	0.0790555	0.0959761	0.0704876	0.0492083	0.0478557	0.0835656	0.0418091	0.0378428	0.0361329	0.0459635	0.0390263	0.0357628	0.0416087	0.0408011	0.039191	0.0260909
pluies	0.0425826	0.0626471	0.0631763	0.0422551	0.0276238	0.0220398	0.0223409	0.0165141	0.0387332	0.0479297	0.0514715	0.0522917	0.0527861	0.0368419	0.0613553	0.0483954	0.0381582	0.0351718	0.0375115	0.0333856	0.0296825	0.0305599	0.0426844	0.0295213	0.0343404
les	0.0935394	0.0872406	0.0586093	0.0550484	0.0402673	0.0295582	0.0239993	0.0134624	0.0136049	0.0138476	0.0123923	0.0149622	0.0219909	0.0134501	0.020749	0.0174982	0.0186648	0.0256582	0.0391729	0.0438066	0.0457082	0.0658786	0.0708414	0.0626049	0.0974443
forêts	0.0701412	0.0635756	0.0410173	0.0438901	0.0281441	0.0233453	0.0265198	0.017182	0.0176823	0.0175434	0.0175092	0.0174025	0.0191213	0.0262761	0.0335641	0.0336542	0.0313132	0.0261893	0.0343084	0.040118	0.0410569	0.0486105	0.0976295	0.0934247	0.090781
marécageuses	0.0548006	0.0317153	0.0242794	0.0189678	0.0158274	0.0123006	0.0143038	0.00921269	0.00790624	0.00660077	0.00543024	0.00508037	0.00912603	0.0109775	0.0135878	0.0154522	0.0227931	0.0301111	0.0427306	0.0701124	0.0588156	0.0561596	0.129753	0.117315	0.216641
deviennent	0.037144	0.0257716	0.0229333	0.0213215	0.0229547	0.0226418	0.017171	0.00925012	0.00628787	0.00569926	0.00576721	0.00565219	0.00891823	0.0123656	0.0169124	0.0188082	0.0267865	0.0369368	0.0514575	0.0925599	0.0811865	0.0837412	0.12371	0.101783	0.142239
inondées	0.0864982	0.0596551	0.0546914	0.058477	0.0549246	0.0320011	0.0259951	0.00952748	0.0047635	0.00395012	0.00337782	0.00389925	0.0181946	0.0140739	0.0180394	0.0211011	0.0231311	0.0225352	0.0260367	0.03716	0.0395306	0.0584374	0.0829966	0.0888403	0.152162
</S>	0.0483423	0.0274662	0.0194271	0.0127795	0.0095017	0.00789993	0.00502324	0.00415858	0.00434099	0.00390851	0.00586434	0.00431256	0.00843546	0.0079549	0.019299	0.0212813	0.0358647	0.0620681	0.0709286	0.0935758	0.102842	0.0850066	0.127147	0.1228	0.0897713
