 	a66	a87	a23	a83	a9	a75	a85	a6	a85	a92	a34	a12	a96	a34	a75	a85	a47	a37	a47	a6	a36	a2	a57	a87	a23	a87	</S>
les	0.0535146	0.0652563	0.0935158	0.0836591	0.0588597	0.0497829	0.0653218	0.05707	0.0532959	0.0555572	0.0195374	0.0370028	0.0327964	0.0404624	0.0316329	0.026262	0.0232341	0.0133489	0.016743	0.0178723	0.0180637	0.0145861	0.0172708	0.0120999	0.0111777	0.0122955	0.019781
habits	0.0129295	0.0298799	0.0478964	0.0362836	0.0472891	0.0420247	0.115913	0.147434	0.10178	0.139341	0.0979187	0.0539737	0.0291895	0.0199585	0.00350914	0.00150608	0.00264557	0.0038808	0.00351265	0.0029901	0.00391444	0.00473743	0.018267	0.00811522	0.00469415	0.0164634	0.00395245
de	0.0822114	0.0652464	0.0455736	0.0359055	0.0329482	0.0269651	0.028543	0.0368562	0.026911	0.0242315	0.0298841	0.0160524	0.0245055	0.0443793	0.0324918	0.0120496	0.0258755	0.0279369	0.0276541	0.0211658	0.0349801	0.0580639	0.0632234	0.053918	0.0393719	0.067897	0.0151591
cet	0.0339678	0.0246242	0.0184806	0.0148159	0.0143421	0.0119366	0.0186664	0.0188983	0.0194823	0.0311063	0.0257619	0.0298657	0.0378281	0.0170528	0.0159724	0.0221879	0.0470816	0.0511733	0.0446481	0.0640972	0.0877285	0.0391882	0.0460069	0.0686651	0.0393741	0.0719032	0.0851446
enfant	0.0498615	0.0681435	0.0812728	0.0577272	0.0484775	0.0351921	0.0358964	0.0253652	0.0275938	0.0347693	0.0409597	0.057682	0.052157	0.0463185	0.0209262	0.0204196	0.023297	0.035411	0.0195754	0.0409703	0.0289822	0.0131051	0.026577	0.0332718	0.0234545	0.035027	0.0175663
sont	0.0518005	0.0391778	0.0306605	0.029729	0.034712	0.0345648	0.0438617	0.0370711	0.0446007	0.0606385	0.0391627	0.0411838	0.0334793	0.0319916	0.0369556	0.0391863	0.041632	0.0366048	0.0347	0.0313191	0.033283	0.0384251	0.0323019	0.0260431	0.036962	0.0280168	0.0319363
infestés	0.0421764	0.0377555	0.034452	0.0285232	0.0257861	0.0286851	0.030915	0.0254945	0.0291037	0.0309588	0.023731	0.0299214	0.0269465	0.029743	0.0260607	0.0288621	0.0369453	0.0439659	0.0486994	0.0768781	0.063666	0.0460674	0.0426684	0.0451879	0.0448529	0.0433206	0.0286333
des	0.0789922	0.0661467	0.044318	0.0331029	0.0242481	0.0230339	0.0229284	0.0208185	0.0252458	0.0345778	0.0191034	0.0218134	0.02	0.017788	0.015074	0.0130474	0.0220819	0.0302539	0.0405939	0.0633972	0.0532349	0.0669538	0.0619461	0.0467696	0.0429434	0.0529158	0.0386713
poux	0.0662591	0.0933533	0.067625	0.0388897	0.0272922	0.0241846	0.0206591	0.0184933	0.0177339	0.0200114	0.0190147	0.0263362	0.0303245	0.0306044	0.0311027	0.0130902	0.0220359	0.0252484	0.0232992	0.0413384	0.0558329	0.0526242	0.0799322	0.0431029	0.0376516	0.039944	0.0340159
</S>	0.0574831	0.046239	0.0379005	0.0251684	0.0167011	0.0157146	0.0213432	0.0244465	0.0266246	0.0179437	0.00546745	0.0120226	0.0116636	0.0120808	0.027427	0.0180724	0.0350161	0.031338	0.0412859	0.0498781	0.0871992	0.08143	0.106544	0.0539221	0.0368839	0.0521136	0.0480905
