 	a66	a87	a97	a87	a97	a87	a97	a87	a79	a69	a56	a98	a47	a36	a37	a21	a85	a15	a79	a15	a47	a36	a37	a26	a38	a94	a70	a94	a43	a75	a47	a37	a6	a36	a2	a57	a97	a87	a97	a99	a97	</S>
la	0.0195611	0.0182273	0.0198194	0.0175613	0.0137906	0.0139096	0.0130738	0.0156888	0.0126363	0.0244198	0.0444096	0.0823557	0.0942064	0.082908	0.0723461	0.0415109	0.0332344	0.0168047	0.00801749	0.01117	0.00554473	0.00492407	0.00313046	0.00271805	0.0063438	0.00913942	0.0056672	0.00321097	0.00463162	0.012507	0.0177351	0.0240369	0.0224586	0.0304092	0.0287267	0.0234247	0.0198944	0.0201652	0.0197725	0.0207128	0.0186613	0.0405342
bonne	0.00192105	0.00225038	0.0034168	0.00607499	0.00314803	0.00714069	0.0102056	0.0114515	0.0103923	0.0139208	0.0200476	0.0531909	0.0693771	0.0756843	0.101238	0.114082	0.0746236	0.0907569	0.0532906	0.0551877	0.0506504	0.0632971	0.0307682	0.0184931	0.0325466	0.00913141	0.00339307	0.00127737	0.00123188	0.00119602	0.00096877	0.00182952	0.00115731	0.000819453	0.00064837	0.000724029	0.000598637	0.000728769	0.000817911	0.000366047	0.000993464	0.000961371
qualité	0.00876562	0.00498034	0.00429033	0.00575204	0.00505931	0.0115368	0.01853	0.0140066	0.0122803	0.0110328	0.0150425	0.022517	0.0292403	0.0466988	0.0273048	0.0537403	0.0298171	0.0261189	0.0192149	0.0727784	0.0480952	0.0816248	0.0818985	0.0930526	0.115075	0.0764081	0.0205675	0.00271271	0.00232264	0.001159	0.00274339	0.00348846	0.00445153	0.00364738	0.00391204	0.00290681	0.00246844	0.0020034	0.00292275	0.00310868	0.00373174	0.00299213
de	0.0337101	0.0250069	0.0259901	0.0213248	0.0315403	0.0340772	0.0418518	0.0347425	0.0344467	0.0240049	0.0112997	0.0107126	0.013975	0.0152796	0.0202185	0.0146046	0.0183349	0.0143027	0.0315765	0.0492364	0.0571082	0.0586479	0.0635765	0.0410053	0.0262066	0.0276942	0.0219744	0.026949	0.0191607	0.0120712	0.0152557	0.0116869	0.0157691	0.0129701	0.0088333	0.010508	0.010151	0.0089577	0.00991266	0.00619384	0.00918364	0.0199484
sa	0.0403259	0.0330919	0.0249416	0.026245	0.027803	0.0281537	0.0253607	0.0262898	0.0373262	0.0317689	0.0241934	0.017015	0.0104159	0.00936628	0.0108011	0.0101784	0.0120482	0.0213824	0.0499985	0.040053	0.0503205	0.0373097	0.0421554	0.0423281	0.0321031	0.0265947	0.022706	0.015878	0.0103907	0.0159364	0.0109791	0.011101	0.0120439	0.0116376	0.0111798	0.013672	0.0189342	0.0150663	0.0237089	0.0139986	0.0180608	0.0371364
marchandise	0.0254918	0.0219662	0.0118949	0.0113312	0.0128258	0.0137168	0.0128267	0.0127624	0.0206097	0.0243409	0.025912	0.0199535	0.0169327	0.0159944	0.0193924	0.00596557	0.0145467	0.0291039	0.0746622	0.051999	0.0917555	0.0542457	0.0536137	0.0723552	0.0264883	0.0165258	0.0110629	0.0101217	0.00763942	0.00859134	0.0099458	0.0177093	0.0174252	0.0162926	0.0179746	0.0173313	0.0204825	0.0130827	0.0184988	0.0129956	0.0139485	0.0296848
a	0.0227189	0.0212268	0.0140461	0.010913	0.0102605	0.00883921	0.00657455	0.00641237	0.0131714	0.0196394	0.0392443	0.0383591	0.0568106	0.0833767	0.0757324	0.0352494	0.0513258	0.0389899	0.0359908	0.0210606	0.0252432	0.0127753	0.00783528	0.00384421	0.00485796	0.00337651	0.00468405	0.00399404	0.00666886	0.0061581	0.0168429	0.0173268	0.0161284	0.0168373	0.0331299	0.022159	0.0301487	0.0187527	0.0300599	0.0249264	0.0324984	0.0518103
causé	0.0336332	0.0204146	0.00870763	0.00946149	0.00896224	0.0088287	0.00612612	0.0074848	0.012604	0.0154026	0.0137419	0.0122217	0.0150475	0.0237603	0.031068	0.0162232	0.0199824	0.0173597	0.027317	0.0279532	0.0296551	0.0256325	0.0327631	0.0277638	0.0347673	0.026541	0.0284679	0.0223071	0.0327214	0.0225006	0.0353309	0.0175297	0.0298823	0.027852	0.0375872	0.0216886	0.0327009	0.0223186	0.0344003	0.0284519	0.0388103	0.0540272
la	0.0333841	0.0408971	0.0285371	0.0232702	0.0216887	0.0150661	0.0116923	0.0115919	0.0184314	0.0207625	0.0196862	0.024366	0.0294656	0.0452262	0.0489696	0.0370104	0.0178552	0.010314	0.00799717	0.00688266	0.00609771	0.00429618	0.00452174	0.00362335	0.00574307	0.00529865	0.00595693	0.0040369	0.00639799	0.00558493	0.0184504	0.00935163	0.0150808	0.0170051	0.0294914	0.0259437	0.0313649	0.0322053	0.0469758	0.049554	0.0596352	0.14029
mévente	0.0250892	0.0330774	0.0227425	0.0212037	0.0188855	0.0117657	0.0100443	0.0114298	0.0156694	0.021636	0.0177829	0.0229321	0.0218283	0.0305231	0.0348847	0.0264262	0.021387	0.0168322	0.0196654	0.0145149	0.0215723	0.0192756	0.0223516	0.0183638	0.0164793	0.016576	0.0169629	0.0178561	0.0192455	0.0249429	0.0273419	0.0205095	0.0265788	0.024903	0.0228423	0.0235987	0.0261249	0.0225364	0.0267935	0.0309732	0.0329728	0.102879
de	0.0432954	0.0475688	0.0339209	0.026913	0.0224952	0.0134648	0.0114804	0.0100543	0.0111334	0.0162675	0.0242211	0.0364056	0.0372362	0.0329292	0.0406865	0.0182264	0.0140564	0.0110443	0.00934238	0.00683418	0.00586659	0.00388378	0.00360979	0.00233697	0.00297639	0.00388198	0.00658493	0.0060927	0.00734429	0.00824287	0.0212836	0.0100494	0.0173638	0.0160437	0.026003	0.0259637	0.0274862	0.033066	0.0487724	0.0582644	0.0665828	0.130725
la	0.0512776	0.0465481	0.0370712	0.0428342	0.0344631	0.0241922	0.0220133	0.0209547	0.0213051	0.0274871	0.0289852	0.0264759	0.0208896	0.018052	0.0255437	0.0167494	0.0174757	0.0154571	0.0154842	0.00898523	0.00884436	0.00727513	0.00824515	0.00767558	0.00745499	0.00883642	0.0094796	0.0131361	0.0130779	0.0156867	0.0161636	0.00958656	0.00723828	0.0101258	0.0147313	0.0142459	0.020558	0.0184389	0.0299757	0.031827	0.0396728	0.165479
mienne	0.0211629	0.0175945	0.0219872	0.0193079	0.0235245	0.0256513	0.0258497	0.0244548	0.0273802	0.032498	0.0255602	0.0239201	0.0135511	0.00874291	0.00856733	0.0100682	0.0161163	0.0130187	0.0148199	0.0100207	0.015115	0.0143876	0.0154376	0.0149309	0.0149467	0.0147042	0.015591	0.0269081	0.0345406	0.033334	0.0416058	0.0292579	0.0274278	0.0250792	0.0219905	0.030331	0.0359965	0.0307885	0.0368458	0.0377233	0.0301599	0.0691016
</S>	0.0236633	0.0161841	0.0186616	0.0242689	0.0243132	0.0298541	0.0197889	0.0218225	0.0315614	0.0404641	0.0464315	0.0393702	0.0306844	0.0201404	0.0193128	0.0148228	0.02052	0.0166985	0.0179245	0.0156922	0.020451	0.0173636	0.0131678	0.0101327	0.0146422	0.00818756	0.00988833	0.0142659	0.0303067	0.02126	0.0213417	0.0132034	0.0141232	0.0177618	0.0229377	0.0203728	0.0312975	0.0201747	0.0359165	0.031389	0.0424597	0.0771769
