 	a66	a87	a97	a87	a23	a83	a50	a70	a53	a4	a93	a96	a83	a70	a90	a69	a4	a44	a37	a96	a11	a43	a11	a70	a54	a37	a70	a83	a54	a7	a44	a70	a66	a90	a69	a4	a93	a70	a13	a62	a90	a54	a37	a70	a99	a44	a58	a82	a87	a97	a87	a23	a87	a23	a87	a23	a87	</S>
je	0.0174391	0.0334545	0.0270966	0.0280089	0.0249148	0.0195345	0.0325331	0.0374451	0.0359695	0.0417261	0.0287289	0.0410358	0.0449179	0.0450364	0.0297855	0.0299756	0.0215147	0.019735	0.018944	0.0168992	0.012766	0.0176099	0.0198245	0.0268463	0.014012	0.00965057	0.00461533	0.0079704	0.00614487	0.00689512	0.00886367	0.00814564	0.0134682	0.0198996	0.0246695	0.021117	0.0297001	0.0140047	0.00791173	0.00634467	0.00494513	0.00559244	0.00569709	0.00661517	0.00499573	0.00878061	0.00473971	0.00520589	0.00574238	0.00507132	0.00412789	0.0076837	0.00607337	0.00737287	0.00641385	0.00763618	0.00723772	0.0209139
m'	0.0131306	0.0101504	0.00954583	0.00663034	0.00877589	0.0115584	0.00637622	0.00973559	0.0108211	0.0143262	0.0125883	0.0218563	0.0224147	0.0328914	0.0203621	0.024506	0.0329419	0.0141976	0.0122751	0.0139892	0.0150392	0.0138347	0.0136235	0.0174053	0.0146938	0.0182983	0.0203403	0.022556	0.022966	0.037896	0.0334432	0.045899	0.026251	0.018033	0.0212706	0.0168862	0.0110908	0.00671463	0.0102871	0.0104622	0.0127606	0.0190881	0.0183908	0.0175917	0.0111253	0.015767	0.0135172	0.0121173	0.013415	0.015938	0.0205023	0.016108	0.0160836	0.0160815	0.0178814	0.0185248	0.0196408	0.0194022
en	0.0163102	0.00832189	0.00821914	0.00831296	0.00714737	0.00669058	0.00634859	0.00839214	0.00967203	0.0193357	0.00977605	0.0148225	0.0133495	0.0167706	0.0134262	0.0260575	0.0354827	0.0205422	0.0290887	0.0203144	0.0206452	0.0214914	0.0146907	0.029904	0.0244228	0.0408708	0.0602047	0.0473868	0.042234	0.0664251	0.0388151	0.0329635	0.0172324	0.0112048	0.00666136	0.00457921	0.00372288	0.00158793	0.00226331	0.00144015	0.00222238	0.00479276	0.00538341	0.00720656	0.00993563	0.0107307	0.0126307	0.0136917	0.00774136	0.0089335	0.0132249	0.00931678	0.0150454	0.0150663	0.0134901	0.0211912	0.0200074	0.0222623
vais	0.044468	0.0229112	0.0570594	0.0319876	0.0193274	0.015524	0.0148825	0.0218515	0.0101417	0.00326793	0.00314274	0.00359005	0.0052984	0.00448742	0.00523038	0.00623167	0.00558444	0.00565836	0.00537618	0.00862502	0.00874118	0.00982186	0.0148402	0.0173538	0.0144528	0.0181874	0.024288	0.0214976	0.0263192	0.0176216	0.0200229	0.022358	0.023036	0.0193196	0.0268564	0.0320489	0.0336525	0.0439982	0.0341281	0.0512483	0.0684774	0.0277539	0.0118087	0.0114014	0.00469215	0.00457499	0.00463063	0.00766227	0.00857316	0.00609358	0.00418559	0.00836392	0.00582647	0.00647806	0.00620874	0.00934574	0.0129009	0.0165839
chercher	0.0383521	0.0218078	0.0323681	0.0334801	0.0230223	0.0172625	0.0172919	0.0241137	0.0189225	0.00894522	0.00806534	0.00746751	0.00698715	0.00561769	0.00979494	0.0105158	0.011739	0.00864977	0.0161797	0.0192474	0.0266065	0.0257786	0.0206613	0.0341999	0.0351461	0.0392847	0.0376315	0.0449717	0.0494847	0.0289718	0.0267254	0.0246638	0.0189798	0.015532	0.0129205	0.016271	0.0180382	0.0164465	0.00986114	0.00768152	0.00809435	0.0113561	0.0057277	0.00787867	0.0040829	0.00352945	0.00507103	0.00622542	0.00397871	0.00598965	0.00471966	0.00823061	0.00657367	0.00942692	0.0103487	0.0176636	0.0165586	0.0148571
le	0.0228153	0.0152311	0.0129277	0.00770856	0.00940205	0.00766294	0.00733555	0.0114384	0.0152041	0.0128687	0.0150751	0.0212922	0.0165897	0.0153743	0.0135292	0.0100587	0.0187925	0.0132432	0.0201251	0.0360322	0.0259261	0.0361293	0.0408107	0.0751367	0.0847414	0.0821132	0.0552596	0.0343149	0.0426285	0.0277473	0.0180396	0.0132095	0.0114905	0.0101499	0.00718405	0.00729785	0.00638358	0.00630392	0.00571878	0.00418968	0.00326333	0.00516638	0.00313188	0.00411598	0.00280286	0.00472699	0.00465432	0.00444268	0.00341929	0.00657946	0.0044937	0.00705379	0.00551625	0.00799896	0.00967344	0.0101374	0.0096229	0.00571882
notable	0.0232071	0.0102692	0.00842546	0.00548085	0.00450479	0.00314893	0.00406011	0.00424838	0.00357326	0.0029428	0.00277755	0.00311083	0.00290098	0.00247437	0.00288145	0.00481396	0.00851907	0.00533533	0.0150536	0.0284802	0.0320629	0.0357884	0.0354597	0.0482234	0.0658607	0.0742224	0.0629253	0.0520109	0.055349	0.0737934	0.0502958	0.0326244	0.026912	0.0239449	0.0208606	0.0166378	0.0112	0.00807683	0.0108432	0.00261981	0.0030609	0.00416501	0.00321426	0.00346787	0.00542127	0.0048125	0.00644067	0.0062399	0.0045121	0.00756777	0.00480827	0.00881852	0.0059052	0.00879978	0.00863429	0.0135488	0.0106492	0.0040139
car	0.0293491	0.0156256	0.0143137	0.0131101	0.0105931	0.00711688	0.0108493	0.0129065	0.00999742	0.0111103	0.00934281	0.00831191	0.00780065	0.0114854	0.0141581	0.0159924	0.0202091	0.0182661	0.027269	0.0360414	0.0415425	0.0414364	0.0406597	0.0501565	0.0326248	0.0279355	0.0207698	0.0147523	0.0127774	0.0132244	0.0106426	0.0106938	0.0108486	0.0123803	0.0126041	0.00690554	0.00666606	0.00729865	0.0052169	0.00370462	0.00347935	0.00888942	0.00916211	0.00765493	0.0110818	0.0104536	0.0142298	0.0171776	0.0109307	0.0127318	0.0136378	0.0154971	0.0137855	0.0255773	0.0240333	0.0325893	0.04114	0.0412594
on	0.0329207	0.022872	0.0190196	0.00995683	0.0156304	0.0087186	0.00704798	0.00591224	0.00788074	0.0148783	0.0158237	0.0217562	0.0121935	0.0124219	0.0140724	0.0182888	0.0267207	0.022094	0.0195033	0.0189759	0.0260885	0.0292821	0.0241218	0.0278811	0.0273571	0.0215515	0.0127486	0.0119998	0.00884396	0.0113853	0.00809745	0.00760826	0.00745556	0.00991947	0.0123489	0.00750826	0.0109405	0.0109049	0.0102683	0.00850345	0.0109872	0.0249774	0.0151876	0.0151525	0.0138703	0.0185366	0.0257577	0.0271403	0.0244661	0.0219196	0.0207856	0.0287062	0.0150965	0.0250374	0.0297748	0.0263971	0.0249908	0.00971366
a	0.0278277	0.0249482	0.0346958	0.0279603	0.0202241	0.00707944	0.0120914	0.00774478	0.00745365	0.00897558	0.00778491	0.013061	0.00620663	0.00799888	0.0098988	0.0157818	0.0165425	0.0119212	0.0205789	0.0201671	0.0254055	0.0324705	0.0270531	0.0352366	0.0347752	0.0297884	0.0248349	0.0215611	0.0230695	0.0262485	0.0282554	0.0299053	0.0209021	0.0214871	0.024598	0.0186341	0.0197986	0.0146269	0.0164572	0.0108291	0.0133929	0.0117909	0.00820248	0.00550701	0.00613134	0.00592973	0.0100702	0.0109937	0.00967276	0.00728884	0.00869362	0.0132928	0.00858781	0.0157121	0.0128228	0.0170194	0.0235732	0.0164387
besoin	0.033386	0.0209448	0.0278328	0.0188496	0.0115383	0.00437454	0.0105964	0.00701111	0.0056928	0.00759334	0.0065519	0.0107708	0.00717848	0.00700262	0.00948315	0.0133211	0.0169509	0.0127941	0.021915	0.0297495	0.0304015	0.0315413	0.02673	0.0323687	0.0412278	0.0298009	0.0191705	0.0232105	0.0232889	0.021992	0.0219251	0.0228364	0.0151829	0.015323	0.0163564	0.0154692	0.0131118	0.012595	0.013111	0.0119204	0.0216661	0.0219469	0.0110154	0.0106435	0.00540884	0.00663874	0.0106243	0.00913572	0.00577174	0.00692252	0.00691634	0.013654	0.00712193	0.0209235	0.019931	0.0290014	0.0374089	0.034169
de	0.023212	0.0186311	0.0185552	0.0101122	0.0132866	0.0102896	0.00576931	0.00552563	0.00768251	0.0156804	0.0211373	0.0300456	0.0201272	0.0157626	0.0141673	0.015026	0.0225645	0.0213154	0.0222652	0.0269674	0.0204436	0.0234065	0.0178042	0.0212312	0.0267682	0.0211719	0.0107193	0.0152335	0.0113602	0.0119976	0.0104643	0.0105521	0.00770057	0.0128668	0.0129624	0.0106161	0.0108049	0.0113999	0.0065203	0.00817191	0.00778239	0.0180691	0.0136846	0.0153052	0.00977584	0.0231278	0.0259139	0.0235714	0.0235695	0.0184522	0.0211928	0.0286958	0.0192455	0.0299707	0.0291686	0.0273341	0.0281591	0.016663
lui	0.0204995	0.0356003	0.0420777	0.0398255	0.0376274	0.0206935	0.0300877	0.0119485	0.0154164	0.0112419	0.0162437	0.0187783	0.0127938	0.0130212	0.0100705	0.00997736	0.0120132	0.0122972	0.0123478	0.0126257	0.0106261	0.0107428	0.0101563	0.013167	0.011543	0.00954409	0.00765598	0.0063779	0.00660598	0.00787285	0.00667919	0.00635585	0.00464096	0.00595859	0.00667345	0.0064641	0.00678464	0.0119583	0.0141366	0.016292	0.016736	0.0144368	0.0146172	0.0126503	0.00887613	0.0144694	0.021539	0.0188742	0.0231811	0.0137967	0.0197699	0.0283047	0.0229518	0.0386329	0.0289275	0.036164	0.04249	0.0481593
