 	a66	a87	a23	a30	a70	a93	a4	a93	a90	a98	a47	a7	a90	a56	a47	a96	a88	a21	a85	a92	a37	a98	a47	a36	a2	a57	a87	a23	a87	</S>
cet	0.0398836	0.0546915	0.0645901	0.054237	0.0495768	0.0388261	0.0349101	0.0310424	0.0161663	0.0260628	0.0276906	0.0392014	0.034029	0.039888	0.0254384	0.0241604	0.0130651	0.0249971	0.031732	0.0190446	0.0148119	0.0239953	0.0172796	0.0196945	0.0233382	0.020906	0.0302725	0.0392295	0.0232693	0.0979699
homme	0.00713256	0.00811964	0.0112021	0.0128288	0.0116146	0.00920243	0.0274219	0.0310867	0.0693334	0.094721	0.0922562	0.110592	0.0825424	0.0885722	0.0931679	0.0601393	0.0723776	0.04483	0.0311046	0.00624327	0.00669258	0.00449436	0.00216076	0.00335828	0.00381233	0.00296738	0.00298151	0.0044686	0.00385872	0.000716581
traîne	0.0394756	0.0411036	0.0464785	0.0491007	0.0647751	0.097097	0.112962	0.0451696	0.0498491	0.0100612	0.0211942	0.0234336	0.0242363	0.01476	0.0101424	0.00634989	0.0136501	0.0116516	0.013798	0.0231001	0.0228968	0.0330693	0.0334145	0.0295818	0.0256468	0.0368049	0.034773	0.0332234	0.0247624	0.00743866
derrière	0.064348	0.0476939	0.0284437	0.0243823	0.0157544	0.0123674	0.00616961	0.00567029	0.00495517	0.00712517	0.0118879	0.0296351	0.0276433	0.0268865	0.030642	0.0229266	0.0297621	0.0170484	0.0253055	0.0372386	0.028265	0.0363608	0.035042	0.0252227	0.0357096	0.0510247	0.0623829	0.0801345	0.105344	0.0646275
lui	0.05851	0.04577	0.0358964	0.0293484	0.0206789	0.0255295	0.0335158	0.0460861	0.0427622	0.0808599	0.0885129	0.0807128	0.053163	0.0647721	0.0590274	0.0394627	0.0234284	0.026209	0.0188909	0.0111229	0.00522775	0.0118337	0.00708805	0.00573371	0.00919115	0.00883364	0.0134382	0.0133602	0.0237497	0.0172846
un	0.0250715	0.0253728	0.0201377	0.021562	0.0262477	0.04318	0.0644583	0.0852618	0.0444838	0.0489787	0.06129	0.0455772	0.0351063	0.0299329	0.0250234	0.01719	0.0207179	0.0109203	0.0110747	0.0198603	0.0168937	0.0273387	0.0341826	0.0293867	0.0216946	0.0366469	0.0333253	0.0189631	0.0601494	0.039972
lot	0.0358042	0.0361146	0.0291599	0.0355845	0.0420565	0.0581832	0.0477358	0.0380796	0.0444572	0.0275683	0.0295224	0.0284983	0.0182624	0.0206412	0.0215604	0.0117649	0.0164886	0.0174689	0.0247625	0.0330197	0.0323008	0.03414	0.0415831	0.0390154	0.0381128	0.0453069	0.0434367	0.0367024	0.0427188	0.02995
de	0.0277241	0.0263666	0.011095	0.00870665	0.0127207	0.0280284	0.0208329	0.0174511	0.014043	0.0150536	0.0119978	0.00928094	0.0036332	0.00536037	0.0131658	0.00941501	0.0097606	0.0188921	0.0374743	0.0504217	0.0396074	0.049071	0.0714239	0.0654879	0.0608757	0.0797196	0.0834114	0.0485244	0.0827546	0.0677001
bambous	0.0308588	0.0242232	0.0136583	0.0137952	0.0139301	0.0142883	0.0149646	0.0122362	0.00886227	0.0130609	0.0145553	0.0141497	0.0184075	0.0227161	0.0276657	0.0310235	0.0417501	0.0445627	0.0501894	0.0466683	0.0467186	0.0305086	0.0624446	0.0516179	0.0448355	0.0752784	0.0548628	0.0327528	0.0936522	0.0357624
</S>	0.0162191	0.0159455	0.00997553	0.00970387	0.0135156	0.0135342	0.0096807	0.00735613	0.00612181	0.00669299	0.0044018	0.0041824	0.00303561	0.00422086	0.00738597	0.00758188	0.00792662	0.015152	0.026634	0.0384714	0.0472292	0.0571547	0.0775972	0.0892653	0.079159	0.0870597	0.0923162	0.0784135	0.0764523	0.0876151
