 	a66	a87	a23	a50	a83	a50	a56	a96	a93	a70	a44	a93	a75	a37	a75	a98	a15	a7	a40	a47	a36	a75	a85	a92	a6	a36	a37	a66	a82	a3	a10	a87	a23	a87	a23	</S>
un	0.054426	0.0626466	0.047271	0.0254615	0.0322913	0.0377983	0.0273794	0.0424237	0.0307139	0.0274251	0.0285893	0.022119	0.0366167	0.0241845	0.0215468	0.0187158	0.0145013	0.0196979	0.0326894	0.0448263	0.0422414	0.030715	0.0168279	0.0238962	0.00967175	0.00973803	0.0180044	0.0172117	0.0278212	0.0221057	0.0310362	0.0159808	0.0188423	0.0189708	0.0126929	0.0329198
serpent	0.00469157	0.00688412	0.00807832	0.00290881	0.00429373	0.0128897	0.0336846	0.0668558	0.121387	0.115722	0.0791222	0.0796346	0.0616287	0.0894686	0.0892925	0.0762173	0.0453407	0.0345896	0.0152365	0.0117811	0.0155387	0.00781498	0.00370094	0.00382956	0.00112149	0.0011019	0.000888379	0.000564862	0.000364475	0.00032356	0.000469026	0.000370467	0.00113478	0.000810957	0.00137535	0.000883198
est	0.0157062	0.0451528	0.0696139	0.0311244	0.0389869	0.0507207	0.0817933	0.0571102	0.0925833	0.0709921	0.0813889	0.0723216	0.0323544	0.0568913	0.0335792	0.0249892	0.0499513	0.0144026	0.0147567	0.0122787	0.00657328	0.0055931	0.0033789	0.0037064	0.00263392	0.00304739	0.00316577	0.00282864	0.00310753	0.00316255	0.00196099	0.00229801	0.00308421	0.00211491	0.00476509	0.00188152
entré	0.0639163	0.0247637	0.024025	0.0144264	0.0113341	0.0135045	0.0200431	0.0105218	0.0240904	0.0294294	0.0684163	0.0474074	0.0626184	0.080349	0.0551683	0.0471736	0.0203127	0.0160801	0.0207493	0.0131339	0.0163749	0.0173149	0.0221189	0.0205735	0.0119608	0.0200277	0.014548	0.0169604	0.0128022	0.0170214	0.0228755	0.0359938	0.0373278	0.0220351	0.0357453	0.00885579
dans	0.0736219	0.0425468	0.0281356	0.0106728	0.0142706	0.0182112	0.0115269	0.00923382	0.0159268	0.025664	0.0445199	0.0680071	0.100939	0.0726601	0.0614632	0.0537863	0.0362984	0.0235769	0.0313915	0.0148486	0.0181067	0.0156722	0.0137728	0.0161263	0.00831009	0.0189138	0.0111792	0.0160243	0.0142845	0.0167349	0.0205197	0.0234234	0.0167822	0.0104237	0.016449	0.0059758
l'	0.0663809	0.0348186	0.0256614	0.00931035	0.0164317	0.0217322	0.0140698	0.0134899	0.0228314	0.0390646	0.0479278	0.0524989	0.054273	0.0523024	0.0444775	0.036482	0.0258573	0.0342723	0.0371895	0.0184052	0.0214581	0.0231362	0.0168662	0.0209583	0.0174201	0.019524	0.018053	0.0210615	0.0190687	0.0280031	0.0336968	0.0267017	0.0252817	0.0169657	0.0123693	0.0119589
étang	0.0341355	0.023322	0.0208485	0.0130492	0.0114931	0.0136793	0.00988105	0.00643358	0.00642831	0.0127608	0.01639	0.0398432	0.045877	0.0696309	0.0972756	0.0708938	0.0698763	0.0603484	0.0619642	0.0536108	0.0281484	0.0446896	0.028223	0.0274518	0.0134877	0.0187527	0.0216624	0.016905	0.0268682	0.00948052	0.00619524	0.00657371	0.004496	0.00382883	0.00403737	0.0014582
et	0.0316424	0.025785	0.0221798	0.00950455	0.0117746	0.0136958	0.0111975	0.0109754	0.0201469	0.0331548	0.0330346	0.0520895	0.026533	0.0527489	0.046845	0.0412563	0.0445005	0.0581342	0.0975502	0.0551242	0.0293734	0.0481484	0.0337993	0.0252961	0.0152536	0.0268652	0.0197886	0.0150143	0.0307942	0.0160144	0.0118567	0.00853529	0.00809981	0.00628968	0.00512387	0.00187395
tous	0.0294887	0.0307697	0.0220935	0.011251	0.0108622	0.0106509	0.00687137	0.00702768	0.0087148	0.00661949	0.0132649	0.0130136	0.0121511	0.0179712	0.0170564	0.026571	0.0244193	0.0299155	0.0418339	0.0373362	0.0323247	0.0411526	0.0332002	0.0359311	0.0303489	0.0350041	0.0491254	0.0570174	0.05055	0.0515057	0.0510562	0.0478205	0.0480839	0.0271576	0.0217353	0.010104
les	0.0200594	0.0188759	0.0154238	0.00977218	0.0125203	0.0114944	0.00740151	0.00683172	0.00840278	0.00933061	0.0143336	0.015259	0.0146707	0.019342	0.0140395	0.0218798	0.0151562	0.0172897	0.0203117	0.0172547	0.0184438	0.0251931	0.0257737	0.0344224	0.0349427	0.0288911	0.0511951	0.0566793	0.0594002	0.0591332	0.085655	0.047385	0.0578396	0.0526113	0.0222215	0.0505638
pêcheurs	0.0262667	0.0239485	0.0213313	0.0170547	0.0229468	0.0207088	0.0139666	0.0104185	0.0108987	0.0147597	0.0218939	0.0249368	0.02794	0.0347282	0.0250282	0.0364772	0.0271794	0.030242	0.0307123	0.0243965	0.0279259	0.0352426	0.0339322	0.0437885	0.0333644	0.0267839	0.0374133	0.0330529	0.0327967	0.0256785	0.0393081	0.0306285	0.0308008	0.0397758	0.0179383	0.0457349
à	0.0607219	0.0348341	0.0215473	0.02172	0.0233828	0.0262359	0.0210999	0.0151641	0.0149794	0.0180392	0.0168701	0.0138685	0.0191507	0.0174566	0.0179585	0.0159941	0.0139465	0.0138632	0.0142938	0.0104329	0.016557	0.0292013	0.0288371	0.0444729	0.0288739	0.0278974	0.0438778	0.0353622	0.0486199	0.0334399	0.0431866	0.0295339	0.0275839	0.0536966	0.0264981	0.0708019
l'	0.0787448	0.0515377	0.0342768	0.0299959	0.0268399	0.0281334	0.019244	0.0127821	0.0119538	0.0168093	0.0163227	0.0143491	0.020284	0.0179239	0.0210849	0.0159725	0.0154373	0.0155529	0.0154531	0.0134735	0.0187992	0.0286644	0.0298383	0.0471891	0.0266911	0.0353151	0.0370571	0.0267533	0.0386522	0.0253544	0.0259616	0.0308283	0.0246142	0.0397082	0.0264387	0.061963
écope	0.0614445	0.0537534	0.0492463	0.0497566	0.0389245	0.0323378	0.0252223	0.0215454	0.0202031	0.0227951	0.023915	0.0179793	0.0287151	0.0252571	0.0222504	0.0252881	0.0260969	0.0327844	0.0346517	0.0268022	0.0386808	0.0518725	0.0407127	0.0434085	0.0203514	0.0220782	0.0270603	0.013928	0.0154101	0.00936006	0.00919359	0.0108933	0.0128353	0.0205638	0.0123321	0.0123501
ont	0.0674761	0.046553	0.043192	0.0390917	0.0275851	0.0322485	0.0222136	0.0217255	0.0177561	0.0235889	0.0203188	0.0168849	0.0256249	0.0217659	0.0218433	0.0218309	0.0208873	0.0248101	0.0266839	0.0190007	0.0261956	0.041544	0.0393313	0.0413178	0.0269013	0.0385207	0.0331204	0.0217671	0.0214686	0.0209004	0.0181894	0.0216111	0.0234841	0.0246427	0.0245742	0.01535
pris	0.0467707	0.0285535	0.0340316	0.0338525	0.0195989	0.0263086	0.026469	0.0218249	0.0209543	0.0242564	0.0293683	0.0210948	0.0295876	0.0328385	0.0340316	0.0358553	0.0360172	0.0366931	0.030979	0.0206204	0.0301956	0.0409394	0.0381939	0.028399	0.023082	0.0308282	0.0225214	0.015691	0.0243694	0.0202406	0.0148351	0.0271014	0.0226219	0.02086	0.0290102	0.0214047
fuite	0.0324335	0.020158	0.0250828	0.023282	0.0161719	0.0182331	0.0226032	0.0163386	0.0189645	0.0248351	0.0347776	0.0270535	0.0338834	0.0392179	0.038552	0.0435625	0.0405443	0.0433194	0.041081	0.0261096	0.033612	0.0339416	0.0324888	0.0252404	0.0226718	0.0266274	0.0200833	0.0170508	0.0273137	0.02323	0.0188318	0.028911	0.0235914	0.0220699	0.0288333	0.0292988
</S>	0.0539913	0.048163	0.0425806	0.0299152	0.0311737	0.0331236	0.0269803	0.023301	0.0146621	0.0136841	0.0192008	0.0137778	0.0186537	0.0157903	0.0171142	0.0191348	0.0177436	0.0225944	0.0251311	0.0238279	0.0269138	0.0268169	0.0261758	0.0238078	0.0248096	0.0270106	0.0226078	0.0180303	0.0274818	0.0298347	0.0307887	0.0336358	0.029939	0.0326359	0.0298988	0.0790691
