 	a66	a87	a23	a13	a38	a36	a54	a79	a7	a90	a15	a90	a94	a93	a4	a57	a38	a70	a66	a3	a99	a87	a23	a87	</S>
le	0.0565854	0.0899967	0.0456461	0.0264438	0.022815	0.0277277	0.0235287	0.0153023	0.0108831	0.0100789	0.0110126	0.00635704	0.00644159	0.0122428	0.0259186	0.0178849	0.0313243	0.110112	0.0813922	0.0846528	0.069784	0.0581747	0.0543149	0.0231824	0.0781974
guérisseur	0.0267412	0.0309185	0.0643746	0.0560057	0.0908716	0.173006	0.161094	0.10316	0.0514879	0.0191744	0.0140687	0.0122944	0.0251406	0.0391249	0.0368515	0.00795126	0.00601401	0.0118688	0.00996953	0.0131134	0.00653842	0.0104356	0.00877227	0.0159079	0.00511466
l'	0.0418604	0.0485479	0.0452639	0.0555995	0.072192	0.0484557	0.0629543	0.110025	0.102031	0.0394325	0.0575872	0.0418217	0.029892	0.016498	0.012126	0.0154539	0.0136772	0.011174	0.0163136	0.0173389	0.0212165	0.0293835	0.0269528	0.0333464	0.0308558
a	0.0168304	0.0102616	0.00604683	0.00810032	0.0120792	0.019707	0.045658	0.0542292	0.0668131	0.0820356	0.0528293	0.126549	0.0862398	0.0442362	0.0315303	0.0224215	0.0160524	0.0324144	0.0567647	0.0457242	0.0441206	0.0301156	0.0202838	0.0231255	0.0458315
massé	0.0258219	0.0244606	0.0209079	0.0147257	0.0150805	0.017074	0.0455489	0.142561	0.176801	0.12675	0.0950359	0.120057	0.0458171	0.0301297	0.00832664	0.00951359	0.00838812	0.00586491	0.00745483	0.00655476	0.0100906	0.00785009	0.00549798	0.00977908	0.0199071
avec	0.0459863	0.0397439	0.0282277	0.0273411	0.0310239	0.0251352	0.0213647	0.0165676	0.0123808	0.00944366	0.0109925	0.0130495	0.0176342	0.0251566	0.0216931	0.0329758	0.0317166	0.044676	0.0621664	0.0645053	0.0749999	0.0552396	0.0565568	0.0417709	0.189652
la	0.0318473	0.0310473	0.0299827	0.0324994	0.0331392	0.0318957	0.0313848	0.0303857	0.0287181	0.0267912	0.0214369	0.0265827	0.0253953	0.0274896	0.0192429	0.0314592	0.0370541	0.0380984	0.0434723	0.0466066	0.0485848	0.0751511	0.0702958	0.0775034	0.103935
plante	0.0423153	0.0353896	0.0272651	0.0251154	0.0334799	0.0185337	0.0194354	0.012783	0.0107264	0.0114789	0.0055742	0.0158621	0.0147661	0.0173124	0.00900614	0.0175297	0.0367199	0.0231124	0.0363114	0.0465919	0.0568628	0.123713	0.126971	0.149154	0.0839901
otuunyu	0.05992	0.0529527	0.0290409	0.0361404	0.0352598	0.0190637	0.0145408	0.00856765	0.0118752	0.00710302	0.00708291	0.00538046	0.00506145	0.010382	0.00762643	0.00750891	0.018921	0.0191583	0.0350908	0.0425681	0.0789939	0.15001	0.0984786	0.108232	0.131042
</S>	0.0265608	0.0315917	0.0180416	0.0154004	0.0141796	0.00903487	0.00766661	0.00400979	0.00357248	0.00228237	0.00208812	0.00278281	0.00258124	0.0080177	0.0110855	0.0103602	0.0181829	0.0333769	0.0527036	0.0669991	0.0816404	0.162518	0.109418	0.111695	0.19421
