 	a66	a87	a23	a87	a97	a18	a50	a96	a70	a93	a75	a5	a12	a96	a12	a18	a23	a75	a6	a36	a27	a11	a70	a88	a13	a38	a62	a83	a94	a99	a54	a37	a70	a13	a70	a83	a71	a9	a99	a3	a97	a87	a97	a87	a23	a87	a97	</S>
j'	0.0265818	0.039079	0.0477153	0.0362545	0.013878	0.0183509	0.0354764	0.0237437	0.0419465	0.0311855	0.0233926	0.0216342	0.0221554	0.0207726	0.0200885	0.0170555	0.0243042	0.0140324	0.0134429	0.0172352	0.0165531	0.0125479	0.0170804	0.0188751	0.0128864	0.0203118	0.0173129	0.0210465	0.0212286	0.0269982	0.0213297	0.0240906	0.0132902	0.00912941	0.0165593	0.0147078	0.0149694	0.0191585	0.0218471	0.0200538	0.0225592	0.014858	0.0138816	0.0167627	0.0181597	0.0137883	0.0101197	0.0215691
ai	0.0382739	0.0248908	0.026969	0.0168188	0.0319034	0.015007	0.0300621	0.031829	0.0240187	0.0232738	0.0261765	0.0211779	0.0242783	0.0131125	0.0221764	0.0217868	0.0339017	0.0328711	0.0321279	0.0379872	0.0474728	0.030171	0.0329397	0.0370234	0.0302834	0.0228012	0.0367862	0.024132	0.0162087	0.0149283	0.00738028	0.00768226	0.00971282	0.0118696	0.0108027	0.00949365	0.0103012	0.00867729	0.00924606	0.00812224	0.00843265	0.0104696	0.00895418	0.00906879	0.010346	0.0110189	0.0136737	0.0133586
décollé	0.0316756	0.0138818	0.0131231	0.0122236	0.0116995	0.0108883	0.0147107	0.0132492	0.0150687	0.0165358	0.016578	0.014113	0.027703	0.0181622	0.020918	0.0268302	0.0361758	0.0339263	0.0329476	0.0251085	0.0291311	0.0197999	0.0170284	0.0184705	0.0180346	0.0161269	0.0247567	0.0242602	0.0155448	0.00961398	0.00964277	0.0100663	0.00767096	0.013173	0.0105756	0.0199164	0.0214572	0.0170923	0.0234111	0.0295558	0.0240097	0.031544	0.0221014	0.0336342	0.0350755	0.0340927	0.0327472	0.0259479
la	0.0630666	0.0283231	0.0233734	0.0211568	0.0172165	0.0183395	0.0107208	0.0133143	0.0164395	0.0129971	0.0231279	0.0158822	0.0252136	0.0198827	0.0231606	0.0244321	0.0300324	0.0275049	0.0261006	0.0215135	0.0183378	0.0205216	0.0166425	0.0151287	0.0197278	0.0176985	0.0314237	0.0291355	0.0154663	0.0225612	0.0203094	0.010277	0.00946438	0.0130248	0.00736648	0.0147763	0.0153348	0.0103588	0.0150721	0.0117166	0.0122247	0.0221623	0.0149402	0.02773	0.0202313	0.0215187	0.0201601	0.0648904
feuille	0.0268053	0.0209915	0.0291324	0.0317339	0.02795	0.0427691	0.041083	0.0400911	0.0448332	0.0360248	0.0876696	0.0524112	0.0399486	0.062736	0.0422808	0.0390981	0.0263154	0.0362598	0.0225171	0.0440794	0.0316813	0.0317464	0.0120485	0.0142046	0.0167181	0.00914482	0.00887162	0.00666672	0.00641712	0.00252713	0.00340294	0.0026129	0.0022706	0.00191396	0.00132867	0.00187302	0.002458	0.00171387	0.00245864	0.00137092	0.00182594	0.00275364	0.00766672	0.00397384	0.00535304	0.00671741	0.00875936	0.00678963
de	0.187075	0.0724185	0.0288832	0.0205675	0.00778692	0.0151802	0.015095	0.0089612	0.0103021	0.0077669	0.0139651	0.0150903	0.0272641	0.0271922	0.0286345	0.0215829	0.0367702	0.0210981	0.0227813	0.0143335	0.0104605	0.0120738	0.0124358	0.0197827	0.0301628	0.0194791	0.0387968	0.0273264	0.0135696	0.00725968	0.0136244	0.00609932	0.00344195	0.00523632	0.00347082	0.00742082	0.00784798	0.00728543	0.00632224	0.00494458	0.00720924	0.0117733	0.0152055	0.0113522	0.0197927	0.0248451	0.0390925	0.0109397
papier	0.0657989	0.0291628	0.0169529	0.0146097	0.00801994	0.0109272	0.00990693	0.00862059	0.0106377	0.0138189	0.020299	0.0330503	0.053849	0.0558248	0.0381698	0.0450084	0.0335483	0.0315841	0.0221049	0.0249788	0.0173307	0.0160286	0.0128582	0.0112977	0.0115459	0.00652333	0.0160275	0.00938063	0.0083748	0.010804	0.0199215	0.0131702	0.00936606	0.01471	0.00698012	0.0159813	0.0269115	0.0204967	0.0101729	0.00934731	0.013119	0.0155618	0.0240298	0.0159637	0.0264285	0.0332456	0.039815	0.0177344
qui	0.0601814	0.0201799	0.00916544	0.00629994	0.00657579	0.00668741	0.00604582	0.00924419	0.0189013	0.0148078	0.0178872	0.019247	0.0259423	0.0228103	0.0177495	0.0163137	0.0146202	0.00873154	0.00903765	0.00823362	0.00694207	0.00700063	0.00567205	0.00794984	0.00622771	0.00901063	0.0177593	0.0213941	0.0140355	0.00558673	0.01061	0.0116826	0.00632193	0.00748087	0.00863343	0.0196874	0.0282303	0.0340476	0.0253096	0.0271828	0.059197	0.0293504	0.0396535	0.0387756	0.0585246	0.0598981	0.0649008	0.0502729
était	0.0235717	0.0125443	0.00724706	0.00433702	0.00484083	0.00439268	0.00376391	0.00513608	0.00605917	0.00611511	0.0064007	0.00845402	0.012488	0.0112576	0.0148174	0.0111692	0.0150274	0.00909863	0.0111587	0.00942672	0.00650678	0.00688639	0.00794821	0.00713486	0.00776643	0.0196102	0.0211158	0.0375133	0.0268058	0.0259891	0.0390865	0.0366721	0.0227679	0.0211662	0.0194112	0.0277682	0.0345594	0.0329586	0.0223383	0.0190991	0.0487636	0.0463111	0.0399493	0.0348819	0.04253	0.0546546	0.0724594	0.0300393
sur	0.0296363	0.0138549	0.00651223	0.00363819	0.00432224	0.00401612	0.00286705	0.00522356	0.00738585	0.00473983	0.0068856	0.00659145	0.00941924	0.00886466	0.0110633	0.00732793	0.00999004	0.00725659	0.00859968	0.00597014	0.00458216	0.00798308	0.00990621	0.0160159	0.0208561	0.029918	0.0295809	0.0511932	0.0292491	0.0334855	0.0444677	0.0415618	0.0200606	0.0302526	0.0195319	0.0202143	0.0451365	0.0333179	0.0147902	0.0176176	0.0383456	0.0347032	0.0235299	0.0282471	0.0486767	0.0376713	0.0672786	0.0376613
