 	a66	a87	a10	a87	a10	a97	a87	a97	a79	a47	a37	a43	a75	a5	a36	a75	a21	a47	a61	a34	a93	a34	a62	a61	a75	a56	a98	a85	a47	a36	a37	a92	a56	a96	a44	a13	a38	a9	a99	a97	a87	a97	a87	a97	</S>
notre	0.0200809	0.0325949	0.0575482	0.0240967	0.0329438	0.0257746	0.0242634	0.0298546	0.0409277	0.0455774	0.0607085	0.0470928	0.0279377	0.0336867	0.0161374	0.0099064	0.0170707	0.0160961	0.00927146	0.00854716	0.0127213	0.011011	0.0124167	0.0108655	0.0100675	0.00930832	0.00812975	0.00628818	0.0116044	0.00823299	0.00775475	0.0307477	0.0187594	0.0205164	0.0386338	0.0161192	0.0175939	0.0261957	0.0200913	0.0286726	0.0160841	0.017766	0.0191073	0.0137815	0.0274136
père	0.00489986	0.00904297	0.0191532	0.0187746	0.0385651	0.035444	0.0483676	0.0528252	0.0478657	0.114154	0.0745702	0.072608	0.0537067	0.0480912	0.0340977	0.0152357	0.0132979	0.0128367	0.00856988	0.010237	0.00986018	0.00503669	0.0067908	0.0170447	0.0362357	0.0476329	0.0273091	0.0150793	0.0217342	0.0150597	0.0067008	0.010538	0.00840703	0.00517781	0.00391357	0.00364969	0.00201164	0.00257884	0.00294611	0.00248091	0.0022169	0.00281207	0.00260094	0.00477182	0.00506783
a	0.0267355	0.0290853	0.0268509	0.0273374	0.0349105	0.0314329	0.0281552	0.0361664	0.0184455	0.0362361	0.0367772	0.0276678	0.0172475	0.0141329	0.0184432	0.00845025	0.00958971	0.0352452	0.0177072	0.0248733	0.0409886	0.0322352	0.047497	0.0304348	0.0404901	0.0233851	0.0347407	0.040771	0.0178526	0.00834293	0.0331226	0.0102313	0.0106315	0.00868284	0.0109265	0.00988519	0.00884882	0.00883221	0.0116715	0.0136878	0.00805648	0.00789414	0.00605614	0.0197946	0.00945054
cueilli	0.0140029	0.00822264	0.00345766	0.0049645	0.00457709	0.00656038	0.0062498	0.0104264	0.00814994	0.00948671	0.00530733	0.00531312	0.00610267	0.00566139	0.0247721	0.0141651	0.0109913	0.0366802	0.0232183	0.0184347	0.0165784	0.0308806	0.0336038	0.0308349	0.0605385	0.0433015	0.0490669	0.0480537	0.0353688	0.0176868	0.025545	0.020715	0.0140278	0.0146869	0.0199131	0.0153582	0.0240317	0.0225427	0.0340355	0.0391209	0.0315893	0.0349116	0.0406371	0.0355515	0.0346757
du	0.0466602	0.0343363	0.0209806	0.025847	0.0269399	0.0331856	0.0249914	0.0350316	0.0266617	0.0366882	0.0214401	0.0271579	0.0476565	0.03339	0.0391727	0.0434157	0.0247002	0.0357048	0.0451404	0.0349578	0.0296432	0.0383605	0.0274012	0.020519	0.0181631	0.0117064	0.0106053	0.0116268	0.0155099	0.00997558	0.0197122	0.0104479	0.0097496	0.00854067	0.00500806	0.00326036	0.0034364	0.0031159	0.00576126	0.00335968	0.0062932	0.00998088	0.0150516	0.0103271	0.0283858
koko	0.00895232	0.00592373	0.0033467	0.00461996	0.00599926	0.00605514	0.00707263	0.0109811	0.00939924	0.0160757	0.0219715	0.0235184	0.023037	0.0201842	0.0336856	0.025873	0.0211104	0.0396014	0.0635886	0.0706402	0.0709937	0.0709942	0.0585396	0.0368506	0.0381478	0.0264884	0.0273104	0.0286688	0.030581	0.0212987	0.0384526	0.0242673	0.0264108	0.0155968	0.0117204	0.00367308	0.00314388	0.00337281	0.00381562	0.00317241	0.00488377	0.0065271	0.00566065	0.0106964	0.00709692
aux	0.0210681	0.010686	0.00565264	0.00553147	0.0048869	0.00490604	0.00311072	0.00604752	0.00364362	0.00623056	0.00568435	0.0119101	0.018151	0.0248023	0.0387799	0.0672052	0.0453296	0.0568197	0.0547303	0.0424834	0.05209	0.0458679	0.0271388	0.0159005	0.0121445	0.0111345	0.012503	0.0112609	0.0120652	0.00788898	0.0136615	0.0102759	0.00999804	0.0123724	0.0166681	0.0102206	0.0142199	0.0236658	0.0205408	0.0169638	0.0175301	0.0269417	0.0329035	0.0636579	0.0647262
feuilles	0.0222481	0.0138067	0.00805444	0.00832845	0.00834784	0.00748082	0.0103521	0.021223	0.0162804	0.0194083	0.016385	0.0145485	0.00861472	0.00907362	0.0138916	0.0127289	0.0129532	0.0308434	0.0239506	0.0238009	0.0418907	0.0429132	0.0410803	0.0410817	0.0262198	0.0299423	0.0378845	0.0358821	0.0335157	0.0228248	0.0484198	0.0310755	0.0116468	0.00994542	0.0200647	0.00763099	0.0102552	0.0176646	0.0106965	0.0169431	0.0222081	0.0271068	0.0270667	0.068348	0.0153723
larges	0.0776763	0.0528091	0.0219068	0.0115367	0.00977448	0.00956853	0.00500483	0.0106331	0.00622503	0.00490851	0.00385909	0.0110606	0.0066929	0.00910996	0.0178696	0.0238909	0.0193368	0.0173357	0.0154761	0.0105656	0.0171234	0.0106961	0.00801205	0.00871106	0.00674676	0.00498593	0.00388705	0.00426887	0.00665922	0.00383132	0.0244827	0.0144682	0.0132222	0.0178992	0.0213824	0.0212121	0.0247166	0.0423094	0.0386282	0.0355944	0.0429317	0.0627979	0.0683923	0.0851582	0.066642
lorsqu'	0.02942	0.0223713	0.0158035	0.0132365	0.00747659	0.00478642	0.00342095	0.00515005	0.00265659	0.00151489	0.00166792	0.00271059	0.00292459	0.00511529	0.0129836	0.0137659	0.0150341	0.016535	0.0139281	0.0147177	0.0175818	0.0124536	0.0116504	0.0101222	0.00765435	0.0069461	0.0135052	0.0151413	0.0160568	0.011349	0.0228318	0.0118097	0.0126866	0.0137663	0.0121612	0.00723968	0.0117237	0.0264806	0.0193532	0.0287487	0.0513269	0.0856462	0.0838586	0.12978	0.154907
