 	a66	a87	a23	a99	a83	a88	a71	a62	a21	a12	a62	a88	a93	a70	a61	a21	a5	a37	a26	a82	a87	a99	a97	a87	a23	a87	</S>
j'	0.065956	0.0632114	0.0647292	0.0290773	0.0264414	0.017924	0.0118549	0.0102398	0.00772472	0.00352752	0.00334616	0.00542732	0.00419675	0.00434555	0.00551153	0.0137476	0.0471123	0.0612971	0.0822811	0.0915636	0.0887009	0.0471844	0.0489843	0.0360942	0.0490151	0.0280442	0.0824618
ai	0.0787408	0.0528761	0.0591306	0.0444873	0.0483248	0.0496903	0.0452108	0.033701	0.0619531	0.0535298	0.0429166	0.0473594	0.0484546	0.0396026	0.0339796	0.0241081	0.0310077	0.033617	0.029466	0.0227057	0.0178422	0.0178386	0.0160701	0.0136196	0.0142618	0.0179075	0.0215982
quitté	0.0303227	0.0299394	0.0284574	0.036184	0.0372436	0.0296789	0.0480029	0.0553524	0.0628398	0.0389484	0.0450259	0.0802504	0.035666	0.0365492	0.0168987	0.0240806	0.0171584	0.0138575	0.017562	0.0222016	0.0256734	0.0311512	0.0412115	0.0550872	0.0400892	0.0651666	0.0354011
le	0.109513	0.0398004	0.0294952	0.0276945	0.0231592	0.0256514	0.019442	0.0176135	0.0171105	0.0152008	0.0110716	0.0103855	0.010735	0.0120961	0.0220029	0.0322827	0.0283668	0.0331654	0.0417301	0.0399302	0.0478299	0.0477669	0.0550269	0.0602111	0.0583407	0.0797226	0.0846547
village	0.0596498	0.0461169	0.0424685	0.0520816	0.0367467	0.0390797	0.05207	0.0522789	0.0615513	0.0557942	0.057835	0.037795	0.0207061	0.0254691	0.0136292	0.00988792	0.0187113	0.019565	0.029866	0.0155351	0.0220085	0.0363527	0.0358665	0.0366589	0.0336799	0.0604375	0.0281586
à	0.0875299	0.065484	0.0557486	0.0517323	0.0321324	0.0316406	0.0357281	0.0336157	0.0212624	0.0267199	0.0235437	0.0145218	0.00913596	0.0160062	0.0147717	0.00889953	0.023563	0.030777	0.0352869	0.023959	0.0249763	0.045806	0.0557574	0.056952	0.065842	0.0548701	0.0537376
cause	0.0869254	0.0432077	0.0377116	0.0370617	0.0208335	0.0194138	0.0192802	0.0221551	0.0187234	0.0317525	0.028041	0.0384222	0.03057	0.0536169	0.0351841	0.0399976	0.037812	0.0478411	0.0469418	0.0327887	0.0389054	0.0309265	0.0422836	0.0464746	0.0462985	0.0386082	0.0282228
de	0.0836982	0.034805	0.0285119	0.0174624	0.0109796	0.00626593	0.00570944	0.00592135	0.00836155	0.00773502	0.00641965	0.00988049	0.0142738	0.0188384	0.0247576	0.0328314	0.0387489	0.0380966	0.0520557	0.0409433	0.0341252	0.0736502	0.0785168	0.094788	0.0724496	0.068714	0.0914602
toi	0.0582041	0.0291968	0.0262093	0.0167383	0.0119013	0.00633194	0.00648648	0.00673357	0.00792238	0.00673097	0.00667408	0.00759948	0.0112234	0.0137055	0.0169712	0.0202523	0.024934	0.0248921	0.0441539	0.0281477	0.0344244	0.0687042	0.0833896	0.0851601	0.0890868	0.101702	0.162524
</S>	0.0322323	0.02114	0.016571	0.0153023	0.00976716	0.00660232	0.00644867	0.00661393	0.00643433	0.00734417	0.00783932	0.00832089	0.0115392	0.012922	0.014391	0.0229759	0.0211634	0.0209845	0.0369122	0.0331817	0.0352471	0.0834603	0.111044	0.113619	0.115392	0.0875472	0.135005
