 	a23	a87	a10	a87	a23	a99	a20	a73	a94	a98	a71	a9	a38	a76	a41	a12	a62	a88	a70	a90	a76	a69	a58	a84	a87	a40	a73	a32	a90	a32	a90	a82	a10	a53	a4	a13	a82	a87	</S>
les	0.0497053	0.0257091	0.0113677	0.0321882	0.025421	0.0391805	0.0672295	0.0747025	0.057921	0.0502303	0.032553	0.0301692	0.0252751	0.0223926	0.0166326	0.0361387	0.0203467	0.0332464	0.0266715	0.0234358	0.0204524	0.0122209	0.00669439	0.00665131	0.0087743	0.00733695	0.00710863	0.00622233	0.0105586	0.0169464	0.0101034	0.0112291	0.0184153	0.0161081	0.0212313	0.0186432	0.0232618	0.0229172	0.0546079
uns	0.00398262	0.0121437	0.011918	0.0156442	0.018533	0.0653442	0.0654949	0.042693	0.043476	0.0249401	0.0244013	0.0277267	0.0239919	0.0385247	0.0432546	0.027004	0.0161402	0.0257192	0.0262019	0.0427967	0.033615	0.0520501	0.0282924	0.0352301	0.0476079	0.0523637	0.0513458	0.0203239	0.0101739	0.00489927	0.007669	0.014286	0.00448069	0.00276836	0.00303686	0.009629	0.00505699	0.00943178	0.00780832
sont	0.0511133	0.0652813	0.0428857	0.0254942	0.0191989	0.0185874	0.0187825	0.0109518	0.0217829	0.0279275	0.0360358	0.0265472	0.0362342	0.0215041	0.0341895	0.0542248	0.04096	0.0396924	0.0416751	0.0722956	0.0521774	0.033202	0.0156929	0.0128668	0.0186855	0.0185924	0.00740114	0.00830444	0.00768077	0.00298186	0.00537574	0.00580537	0.0109624	0.0100447	0.0143736	0.0185843	0.0127489	0.0236391	0.0155165
allés	0.0016414	0.00238792	0.00228318	0.00255478	0.00413087	0.00923024	0.00486518	0.00833445	0.0103324	0.00909264	0.0121388	0.0308425	0.0253904	0.0447211	0.0369079	0.0322467	0.0356939	0.0300914	0.0355181	0.0578554	0.0660853	0.0756516	0.0851713	0.0823626	0.0603755	0.0488017	0.0214011	0.0317256	0.0231702	0.0314343	0.0230188	0.013199	0.00713684	0.0100915	0.00905049	0.00433721	0.00391104	0.00365692	0.0031596
à	0.0152047	0.010575	0.0102663	0.0107703	0.0146512	0.013942	0.0113083	0.0150725	0.0264921	0.0251748	0.0266123	0.0416207	0.0437436	0.0388344	0.0436551	0.0308274	0.0326488	0.0223762	0.020657	0.0198102	0.0165526	0.0186334	0.022234	0.0277774	0.0169903	0.0170123	0.0170012	0.0204768	0.0198419	0.0253117	0.0203277	0.0221972	0.0258475	0.0339806	0.0430623	0.031118	0.0406503	0.0556893	0.0510524
la	0.0427185	0.0278759	0.0199593	0.0177967	0.0153603	0.0120039	0.0144226	0.0102128	0.0135808	0.0197208	0.0183872	0.0326457	0.0273093	0.028057	0.0277359	0.0225849	0.023724	0.0240446	0.0279643	0.0279843	0.0275337	0.0226327	0.0198869	0.0166509	0.0138337	0.0175323	0.0148968	0.0164185	0.0209709	0.0217688	0.0229378	0.0297851	0.030461	0.0357438	0.055685	0.0410061	0.0435915	0.0532801	0.0412955
pêche	0.024622	0.0240393	0.0100725	0.0107529	0.0152965	0.0163672	0.0164283	0.00832696	0.0104287	0.0180199	0.019428	0.0138277	0.0185058	0.0135134	0.0141991	0.0142713	0.016722	0.0130273	0.0160653	0.0168997	0.0210868	0.0164391	0.0190442	0.0286304	0.0304017	0.0388873	0.0343347	0.0423971	0.0511428	0.0332101	0.0331374	0.0178327	0.0376473	0.0493008	0.0700509	0.0521558	0.0521397	0.04632	0.0150274
et	0.0380679	0.0351267	0.0202071	0.0207604	0.0310192	0.0562461	0.0332582	0.0110699	0.0164931	0.0217782	0.0307569	0.0208836	0.0263857	0.0215749	0.0117728	0.0126551	0.0165543	0.0258485	0.0271024	0.0287729	0.0276138	0.00729453	0.00444444	0.0052785	0.00605614	0.00642743	0.00683014	0.0112405	0.0248706	0.0230554	0.0172844	0.0228558	0.0323664	0.0433181	0.0503695	0.0422966	0.0314664	0.0541334	0.0764642
les	0.029333	0.0166942	0.0139644	0.0133626	0.0103258	0.0228448	0.0177981	0.00856059	0.0075682	0.00766463	0.0108291	0.0131494	0.0188048	0.0211044	0.0167697	0.0166552	0.0238684	0.0387619	0.0573155	0.0550361	0.0657434	0.0392415	0.0267931	0.0170857	0.0179566	0.0140458	0.0120923	0.0162027	0.0229134	0.0261463	0.0176394	0.0289436	0.0449106	0.0348309	0.0361882	0.0398816	0.0269829	0.0358096	0.0561817
autres	0.0467842	0.0178909	0.0184618	0.0158792	0.0149778	0.0248383	0.0232047	0.0131647	0.0133823	0.0118018	0.0146111	0.0171407	0.0175897	0.0207048	0.0145784	0.0109367	0.016046	0.0243247	0.0365567	0.0366643	0.0417791	0.0226095	0.0178456	0.0160408	0.0156514	0.016747	0.0150526	0.0190283	0.0295291	0.038363	0.0313911	0.0476802	0.0495542	0.0391857	0.0373818	0.0326238	0.0241055	0.0353154	0.0605773
