 	a66	a87	a23	a13	a57	a44	a4	a13	a53	a56	a21	a47	a88	a31	a88	a9	a24	a31	a88	a32	a94	a56	a25	a79	a92	a6	a0	a11	a38	a10	a87	a23	a87	a23	a87	a23	a87	a23	a97	</S>
tous	0.0625642	0.0928822	0.116788	0.0822976	0.104985	0.0989135	0.0330458	0.0359709	0.0278868	0.0162904	0.0147277	0.0152615	0.0155825	0.0212314	0.00903233	0.011075	0.00964107	0.00414304	0.00577588	0.00642582	0.00389743	0.00762122	0.00459097	0.00422562	0.00512788	0.00588148	0.0130836	0.0129708	0.0109566	0.0118279	0.0121606	0.0131625	0.0127157	0.00938203	0.00838349	0.0115642	0.0107974	0.0147379	0.0128831	0.029508
les	0.0106725	0.0101605	0.0133195	0.00931	0.0191439	0.00792396	0.0103338	0.00929945	0.00787009	0.00676891	0.00471343	0.00807897	0.0114771	0.0112096	0.0212658	0.021112	0.0384463	0.0326048	0.0342395	0.0371485	0.0263492	0.0287298	0.0289701	0.0246773	0.0422868	0.0454401	0.030074	0.0283527	0.0296846	0.0340446	0.0289319	0.0493933	0.0354113	0.0398049	0.0479038	0.0396953	0.0391321	0.0278387	0.0331309	0.0150499
biens	0.0273889	0.0105814	0.00843144	0.0077793	0.00678331	0.00645665	0.016366	0.0196833	0.0425421	0.0677778	0.0676799	0.0608574	0.0805327	0.0546662	0.064759	0.0403584	0.0531932	0.030362	0.0334302	0.0228402	0.0235622	0.0199851	0.0196507	0.013868	0.0144243	0.0118678	0.0138002	0.00912266	0.0143143	0.00754256	0.00476822	0.00761973	0.00774007	0.0109083	0.00980068	0.0143777	0.0216008	0.0165785	0.0294244	0.00657421
du	0.048213	0.045168	0.0336245	0.0429233	0.0228979	0.0163744	0.0302584	0.0290552	0.036268	0.0256769	0.0153978	0.0499981	0.0426766	0.0538837	0.0355784	0.030118	0.0237021	0.0313394	0.0232895	0.0266469	0.0148576	0.0127094	0.0085415	0.00581426	0.00672905	0.00940828	0.0184781	0.0112871	0.0121595	0.0121503	0.00974429	0.0105496	0.0152623	0.00822116	0.0124586	0.0193987	0.0167523	0.0258444	0.0303207	0.0762229
défunt	0.0198484	0.0185598	0.0242738	0.0247505	0.0242434	0.0209259	0.0212647	0.0179659	0.0217792	0.0628006	0.0917132	0.103253	0.106495	0.0980466	0.0429709	0.0483818	0.0265023	0.0328977	0.0217082	0.0217718	0.0125218	0.0129406	0.0115326	0.0055638	0.00420325	0.00416088	0.00470296	0.00447257	0.00457574	0.0056872	0.00487007	0.00552405	0.00610879	0.00663321	0.00811277	0.00812732	0.00854157	0.0103368	0.0103726	0.0108577
sont	0.0637148	0.0625181	0.0649204	0.0287941	0.0291426	0.0342766	0.0211228	0.0314885	0.0505996	0.0305672	0.0286548	0.0277925	0.0437559	0.0498403	0.0307971	0.0346664	0.0235429	0.0168452	0.0200665	0.0179601	0.015633	0.0139602	0.0221509	0.0102213	0.00601087	0.00809773	0.00771252	0.0098803	0.00661762	0.00899296	0.00530098	0.00897228	0.0108512	0.0116691	0.0178566	0.018434	0.0227102	0.0197832	0.0175914	0.0464872
hérités	0.0302461	0.0466665	0.0644979	0.0429909	0.0553605	0.0353681	0.0169268	0.0166731	0.0205772	0.00882934	0.00824337	0.00989769	0.0119199	0.0143481	0.0130213	0.0132814	0.01603	0.0122718	0.012519	0.0115629	0.010421	0.0117103	0.0124192	0.0117146	0.0116745	0.010329	0.0126418	0.0185423	0.00611253	0.0200602	0.0217571	0.0327789	0.0358347	0.0293346	0.0432967	0.0409216	0.0405758	0.0386208	0.048554	0.0814684
par	0.0403912	0.0321284	0.0361569	0.0406017	0.0448668	0.032104	0.0380405	0.0417999	0.0373696	0.0192217	0.0125316	0.0222486	0.0202642	0.0222391	0.0174569	0.0152219	0.01488	0.0133948	0.014433	0.0149789	0.0071869	0.00580557	0.00569941	0.00647285	0.0089155	0.0125914	0.0164138	0.0211722	0.0138219	0.0176028	0.0174285	0.0212729	0.021587	0.0223577	0.0277061	0.0355432	0.0384918	0.0400994	0.0649551	0.0645463
son	0.0404126	0.0275435	0.0257208	0.03004	0.0314668	0.0380157	0.0474248	0.050106	0.0477476	0.0451633	0.0391505	0.0291124	0.028922	0.0285568	0.0222122	0.0187665	0.0171459	0.0143029	0.016409	0.0136412	0.0091757	0.00639202	0.00466484	0.00797556	0.0145728	0.0171003	0.0183222	0.0182288	0.0181171	0.0190416	0.0182611	0.0217218	0.0166722	0.0261667	0.0184554	0.0239675	0.0270904	0.0316987	0.0349489	0.035566
épouse	0.0471733	0.0354603	0.0356523	0.0319559	0.0274996	0.0272981	0.0208579	0.0297297	0.0301016	0.0228222	0.0183897	0.0265268	0.0252366	0.0311479	0.0191827	0.0162071	0.0144287	0.011425	0.0110837	0.0102995	0.00896448	0.00527	0.00468608	0.00647182	0.00838147	0.00827016	0.0095549	0.0149519	0.0082955	0.0200505	0.0235858	0.0281558	0.0248236	0.02819	0.0344349	0.0432903	0.0460296	0.0511418	0.069131	0.0638416
</S>	0.0534724	0.0327055	0.0234882	0.0269362	0.0150286	0.00988216	0.00962107	0.00972816	0.00725023	0.0044928	0.00378703	0.00521568	0.00444809	0.0157607	0.011597	0.0166615	0.0139957	0.00581331	0.00668972	0.00860927	0.00265285	0.00318975	0.00235023	0.00529028	0.00775921	0.00647433	0.0088356	0.0165457	0.007272	0.026526	0.0322459	0.0477088	0.0441501	0.0428883	0.0526393	0.0673684	0.0582577	0.0654978	0.0914545	0.12571
