 	a23	a30	a53	a20	a14	a30	a44	a57	a38	a20	a35	a30	a35	a57	a11	a24	a9	a87	a23	a87	</S>
il	0.0573079	0.185051	0.0619018	0.104183	0.100207	0.0543114	0.0344884	0.0193158	0.0186674	0.0340097	0.0562964	0.0342837	0.0373507	0.0343965	0.0120115	0.0169603	0.0162143	0.0205544	0.0189177	0.0235366	0.0600346
construit	0.0170053	0.0235163	0.0491683	0.0675207	0.0767602	0.147348	0.10768	0.101532	0.0400099	0.0171405	0.0126893	0.00617416	0.0083717	0.0098503	0.0109894	0.0189497	0.0208214	0.0234599	0.0501897	0.0831113	0.107712
un	0.0326862	0.0280502	0.0176924	0.013408	0.0132767	0.0139032	0.00608875	0.0101581	0.0136846	0.00999664	0.0315856	0.0280569	0.0329642	0.0386722	0.0425704	0.118634	0.122735	0.160014	0.0895757	0.110414	0.0658334
abri	0.034998	0.0234987	0.0325666	0.0134715	0.0348396	0.0250607	0.0130096	0.0334585	0.0401646	0.0696962	0.119193	0.12746	0.160361	0.117278	0.0395636	0.0283464	0.0222558	0.0193034	0.018086	0.0140539	0.0133347
en	0.102463	0.0718609	0.0645173	0.0394749	0.0471392	0.0332166	0.0340612	0.0302155	0.0368282	0.0423764	0.0330842	0.0638793	0.0495689	0.033555	0.026632	0.0435753	0.0422225	0.0414483	0.0349529	0.0394085	0.0895195
brousse	0.180188	0.164885	0.170958	0.0574355	0.0322469	0.0335138	0.0280361	0.0163511	0.0109258	0.00903273	0.00999002	0.0143163	0.0180349	0.01418	0.0107283	0.0240984	0.0197412	0.0329434	0.0416027	0.0448275	0.0659641
pour	0.131239	0.129976	0.128537	0.0479683	0.0447736	0.0478609	0.0493004	0.0325392	0.0307842	0.0201813	0.0107564	0.0111825	0.00857424	0.00729872	0.0107189	0.0254229	0.0346255	0.0341275	0.0523895	0.0497939	0.0919504
la	0.0665439	0.0502832	0.0471115	0.0320774	0.0342298	0.0463551	0.0255815	0.0150534	0.0158515	0.00695538	0.0149554	0.0145957	0.0163688	0.019975	0.0242246	0.0432497	0.0519925	0.0609151	0.101159	0.116155	0.196367
récolte	0.0755662	0.110179	0.0535607	0.0368145	0.0332612	0.0330779	0.0153634	0.0153734	0.0196475	0.0228722	0.0344857	0.0417782	0.0262147	0.0287638	0.0239553	0.051867	0.0251825	0.0544403	0.0551085	0.0788571	0.163631
du	0.0616204	0.0539916	0.0343548	0.0273747	0.0456568	0.0685009	0.0411403	0.0345002	0.034579	0.0175378	0.0030226	0.00691907	0.0128852	0.0114692	0.0157492	0.0515323	0.0439568	0.0981032	0.0741847	0.109364	0.153557
vin	0.0250106	0.0319965	0.0140016	0.00893224	0.0168366	0.0295493	0.0287395	0.0329772	0.0505245	0.0485631	0.0571113	0.0915304	0.0622874	0.0290139	0.0185528	0.0470273	0.0314538	0.0607084	0.0428092	0.0627043	0.20967
</S>	0.020092	0.0343537	0.00728978	0.00949447	0.0163944	0.025429	0.0215617	0.0170428	0.0250147	0.0171877	0.012417	0.0219992	0.02736	0.063542	0.0431396	0.0463825	0.0616606	0.0877954	0.0877816	0.110178	0.243884
