 	a66	a87	a23	a38	a40	a36	a96	a66	a83	a79	a15	a79	a44	a12	a18	a83	a54	a79	a7	a54	a6	a37	a18	a54	a7	a84	a4	a70	a93	a96	a18	a71	a3	a87	a97	a40	a36	a2	a44	a4	a13	a62	a12	a96	a5	a37	a70	a54	a6	a36	a2	a57	a87	a23	a87	a23	a57	a3	a83	a9	a38	a36	a18	a88	a23	a18	a71	a25	a82	a58	a82	a3	a87	a23	a87	</S>
je	0.0188564	0.0303624	0.0244641	0.0197228	0.019331	0.0149857	0.0142414	0.0150322	0.0190537	0.0120486	0.0125423	0.00983235	0.00619606	0.0038467	0.00498083	0.00444863	0.00403823	0.00583132	0.00417825	0.00494374	0.00399845	0.00416469	0.00401508	0.00540268	0.00395614	0.00626429	0.00272577	0.00565682	0.0103895	0.0205225	0.028457	0.0175621	0.0203219	0.0205863	0.0257091	0.0227254	0.0314736	0.0267124	0.0199163	0.0234514	0.0396835	0.0437019	0.0148965	0.0218214	0.0174161	0.0141461	0.015185	0.018692	0.0194649	0.0173254	0.0255042	0.0181971	0.0258056	0.0163382	0.0132508	0.0143931	0.0113515	0.00764103	0.00553089	0.00459044	0.00309853	0.00320633	0.00446637	0.00599166	0.00516291	0.00662539	0.00345797	0.00317437	0.00395287	0.00280994	0.00549035	0.00429128	0.00373152	0.00622013	0.00638962	0.014047
garde	0.00958052	0.00739471	0.00776676	0.00778977	0.012641	0.0144528	0.0172221	0.0149154	0.0174628	0.0205104	0.0214129	0.023681	0.0144047	0.0230958	0.0208532	0.0231644	0.0188776	0.0186482	0.0152025	0.0180407	0.0154486	0.0126764	0.0109043	0.011148	0.0115645	0.010243	0.015281	0.0144638	0.0109953	0.0140297	0.0180959	0.0127885	0.017318	0.0129611	0.0144582	0.0117253	0.0102947	0.00989462	0.0152287	0.0187376	0.0201754	0.0223551	0.019598	0.0169492	0.0182034	0.0134319	0.0224188	0.010352	0.0101574	0.0107899	0.00978531	0.0147504	0.0156967	0.0132312	0.0146127	0.00786577	0.00550586	0.00588502	0.00469767	0.00376385	0.00334179	0.00439077	0.00732181	0.00950006	0.0112488	0.00791697	0.011871	0.0111927	0.00804254	0.00908896	0.00974609	0.0084531	0.0114609	0.00909471	0.0102955	0.0114343
rancune	0.0230879	0.0105081	0.00771463	0.00879801	0.0103645	0.0111608	0.0154474	0.00781126	0.00705814	0.0108016	0.0153376	0.0191964	0.0108798	0.0173813	0.0321989	0.0314325	0.0286071	0.021578	0.0153211	0.0289589	0.0327102	0.0261981	0.0149175	0.00764852	0.00863449	0.0101115	0.0204144	0.013191	0.0159055	0.0159746	0.0142731	0.01457	0.0219167	0.0228651	0.0195288	0.0167438	0.0193581	0.0169467	0.0194371	0.0194084	0.0184834	0.0160602	0.0155602	0.00914743	0.0101952	0.0113169	0.0177122	0.0161618	0.0147869	0.0155051	0.0114652	0.0126907	0.00747979	0.0167616	0.0126834	0.00843725	0.00663623	0.00501584	0.00542615	0.00450092	0.0031765	0.00448649	0.00189429	0.00145458	0.00168258	0.00170729	0.00216668	0.00428952	0.00330515	0.00445105	0.00394518	0.00589071	0.00805969	0.00815212	0.015049	0.0098654
contre	0.0236404	0.015784	0.00714179	0.00608554	0.00517099	0.00426402	0.00454749	0.00351704	0.00515041	0.00439929	0.00318956	0.00343663	0.0045803	0.00611061	0.00853208	0.0118003	0.0107895	0.010091	0.0119856	0.0274813	0.0149055	0.0193968	0.0362798	0.0268162	0.0230371	0.0150185	0.0166346	0.0104941	0.00910707	0.00790229	0.00954863	0.00715131	0.00774463	0.00839783	0.00810833	0.00558451	0.00990415	0.00780495	0.00545978	0.00607014	0.00805732	0.0110376	0.00681326	0.009613	0.0131285	0.0124691	0.0117362	0.0104633	0.0114097	0.0095125	0.0112154	0.0118432	0.0168164	0.0210532	0.0172648	0.0158418	0.0180314	0.0140855	0.0245755	0.0168561	0.0175635	0.0302484	0.0194737	0.0126687	0.0141644	0.00660128	0.00578729	0.0091345	0.00791798	0.0120172	0.0144223	0.032116	0.0193752	0.0289536	0.0362147	0.0284535
les	0.0221082	0.010499	0.00587286	0.00438296	0.00382547	0.00178309	0.00199664	0.00266618	0.00291916	0.00313313	0.00442303	0.00440935	0.00654696	0.0114045	0.00949296	0.0158504	0.0110688	0.021959	0.0156831	0.021648	0.0186765	0.0184762	0.0211125	0.0409382	0.013382	0.0200413	0.0195968	0.0189778	0.0196268	0.0190316	0.0286912	0.0207432	0.0287843	0.0261449	0.0217056	0.0100756	0.0205074	0.0112487	0.00698262	0.0104033	0.0203829	0.0410588	0.0274026	0.0384283	0.0399671	0.0420042	0.03005	0.0198048	0.0143096	0.00950615	0.0070412	0.0081508	0.00629269	0.00634942	0.00533277	0.00496186	0.00404575	0.00259636	0.00379791	0.00207699	0.00289677	0.00757723	0.00539136	0.00509187	0.00557783	0.00259225	0.00429796	0.00481263	0.00424291	0.00689527	0.00439746	0.00954077	0.00479053	0.00770322	0.00859804	0.00521423
habitants	0.0182844	0.0161729	0.0131361	0.00943903	0.00712894	0.0041824	0.00284385	0.00359604	0.00500514	0.00635069	0.00531463	0.00645655	0.00975182	0.0131861	0.0160087	0.017969	0.0156785	0.0221649	0.0214071	0.0245155	0.0251543	0.0231178	0.0292864	0.0333146	0.0167773	0.0320422	0.02266	0.0265346	0.0251331	0.0247274	0.0213176	0.0231662	0.0315019	0.0303485	0.022585	0.00815721	0.0240813	0.0092841	0.00997111	0.0122308	0.0178867	0.0281598	0.0264669	0.0278137	0.040344	0.0343836	0.0291137	0.0191402	0.011602	0.00741166	0.00447058	0.00414722	0.0034578	0.00276324	0.00205792	0.00207726	0.00201161	0.00158346	0.00368172	0.0015763	0.00170346	0.00256137	0.00182832	0.00152437	0.00258745	0.00227811	0.00164973	0.000793471	0.00165679	0.00227445	0.00300955	0.00352332	0.00335146	0.00452408	0.00272367	0.00387726
de	0.0114987	0.0122031	0.00828709	0.0075477	0.00469915	0.00247634	0.00162586	0.00152866	0.00237223	0.00436248	0.00400086	0.00642507	0.00477692	0.00884849	0.0144712	0.0190242	0.0190136	0.0233011	0.0181994	0.0250086	0.0261209	0.0143519	0.0292548	0.0261069	0.0137852	0.0184519	0.0406011	0.0293691	0.0365016	0.0143473	0.0208776	0.0204864	0.0293392	0.0322022	0.0228481	0.00960232	0.0310635	0.0154275	0.0114456	0.0226243	0.0269875	0.0233613	0.030339	0.0297588	0.0438502	0.0327992	0.0320819	0.0221112	0.0152461	0.00999097	0.00569606	0.00332039	0.00355643	0.00277205	0.00263902	0.00391623	0.00215215	0.00218526	0.00516811	0.00374321	0.00256904	0.00178017	0.000721457	0.00100489	0.00174158	0.00143531	0.00150963	0.00158626	0.00160127	0.00227736	0.00299821	0.0027154	0.00370555	0.0028631	0.00332897	0.0020083
ce	0.0220211	0.0111599	0.00585329	0.00342441	0.00321416	0.00204608	0.000925181	0.000947934	0.00188322	0.00388738	0.00302795	0.00598295	0.00351932	0.00496991	0.0111102	0.0102794	0.0132819	0.0173669	0.0241718	0.016769	0.0135735	0.00904886	0.0117672	0.0128717	0.0053806	0.0142027	0.0184063	0.0346566	0.0314394	0.0332048	0.0368349	0.0278364	0.0424987	0.04627	0.0255843	0.0224109	0.0409708	0.0189554	0.0219832	0.02305	0.0241547	0.0336611	0.0350157	0.0369586	0.0484876	0.0240924	0.0233007	0.0137326	0.00858527	0.00782694	0.00491466	0.0032889	0.00334709	0.00247402	0.00204106	0.00277784	0.00158115	0.0015503	0.00230096	0.00195848	0.00183117	0.00197463	0.000768567	0.00142986	0.00249846	0.00314595	0.00350946	0.00280606	0.0039219	0.00430148	0.0056174	0.00478913	0.00738395	0.00641016	0.0076048	0.00316896
village	0.0116685	0.00300372	0.00213092	0.00179476	0.00182012	0.0010388	0.000828274	0.000992314	0.00226693	0.00440563	0.00430785	0.0068111	0.00717902	0.0116223	0.0116811	0.0162403	0.0134801	0.0181105	0.0228364	0.0146881	0.0116003	0.0110479	0.0223854	0.0256782	0.0132953	0.0153033	0.0174068	0.0482471	0.0170762	0.0167235	0.0366422	0.0220844	0.0228675	0.0317043	0.0278907	0.00905832	0.0160693	0.0121799	0.0130441	0.0152548	0.0158614	0.0218961	0.0238854	0.0380185	0.0538393	0.0343797	0.0228828	0.0235825	0.0220668	0.0178241	0.016948	0.0138135	0.0147159	0.0146217	0.0127308	0.0103854	0.00607548	0.00788409	0.00677076	0.00515024	0.00423865	0.00458768	0.00257634	0.00159954	0.00177435	0.00154222	0.00146947	0.00148207	0.00187595	0.00244548	0.00358033	0.00415421	0.00662268	0.00378457	0.0065999	0.00586798
qui	0.0256262	0.0110368	0.00515683	0.00372751	0.00350262	0.00293752	0.00329545	0.00295112	0.00623227	0.00574698	0.00411954	0.00809353	0.00645387	0.00800968	0.0116112	0.013182	0.0140377	0.0161199	0.015292	0.0165664	0.0159001	0.0197575	0.0167121	0.0144792	0.0150163	0.0194031	0.0216068	0.0396724	0.0320645	0.0250609	0.0253921	0.0327306	0.0279237	0.0298576	0.0228778	0.0237728	0.0229685	0.0212799	0.0323232	0.0242385	0.0191462	0.0183067	0.0252266	0.0209926	0.0380252	0.0164611	0.0161535	0.0116849	0.0105784	0.0123313	0.00951631	0.00695985	0.00648967	0.00636838	0.00573437	0.00922072	0.00497532	0.00386808	0.00501005	0.0030673	0.00289863	0.0036941	0.000955779	0.000917316	0.00151931	0.00143805	0.00151228	0.00169305	0.00209635	0.00318355	0.00529489	0.00574687	0.0119894	0.0120443	0.018944	0.00921899
