 	a66	a87	a23	a99	a50	a0	a75	a93	a56	a90	a4	a75	a21	a61	a56	a43	a31	a0	a43	a75	a6	a36	a90	a4	a57	a82	a87	a23	a87	</S>
nous	0.0333959	0.0298672	0.0258606	0.0293441	0.0200128	0.0241266	0.0181397	0.0178603	0.0272715	0.0281856	0.0280828	0.02678	0.0258601	0.0306945	0.0229195	0.0217299	0.0191491	0.0326392	0.0466439	0.0484405	0.082917	0.0573926	0.054249	0.0401723	0.0383212	0.0385444	0.0267912	0.0183235	0.0307376	0.0555473
venons	0.01619	0.0152155	0.0213978	0.0142846	0.03446	0.0202403	0.0452577	0.0271356	0.0274485	0.0259496	0.0277712	0.0320835	0.0427174	0.0434708	0.0393991	0.0405556	0.0462459	0.0267689	0.016867	0.0226436	0.0342077	0.0330187	0.0497027	0.0351129	0.0517943	0.0456949	0.0444602	0.0438478	0.0403697	0.0356883
de	0.017739	0.0108088	0.00928331	0.0114168	0.0295754	0.0170468	0.0178118	0.0135069	0.0107867	0.0133082	0.0177861	0.0235972	0.0336379	0.0248238	0.0237573	0.0152435	0.0252064	0.0379486	0.0521638	0.0405011	0.0326639	0.0335834	0.0542178	0.0478959	0.0615609	0.0509947	0.0743271	0.0447857	0.0616045	0.0924165
couper	0.0412024	0.0268544	0.0349752	0.0405604	0.035644	0.0318666	0.0229426	0.0299349	0.040297	0.0708205	0.0895905	0.0709026	0.0408658	0.0476665	0.0416095	0.0456264	0.0476758	0.0360749	0.0207419	0.0365655	0.0263484	0.0158338	0.0144414	0.0145239	0.0140772	0.0122675	0.010549	0.0123914	0.0091478	0.0180023
des	0.0551807	0.0288558	0.026692	0.0245086	0.0225024	0.0187808	0.0115255	0.0125581	0.0108885	0.0126331	0.0148654	0.0112338	0.018744	0.0267569	0.0159485	0.0160742	0.0257404	0.0202267	0.0241853	0.033555	0.0302327	0.0367074	0.0344684	0.0420801	0.0615699	0.0374591	0.0678985	0.0680752	0.0760944	0.113958
lianes	0.0406116	0.0323935	0.026623	0.0306448	0.0198786	0.0240238	0.0124857	0.0352329	0.0227284	0.0543124	0.0451779	0.0311506	0.0384483	0.0222994	0.0285801	0.0214809	0.017218	0.0335171	0.0439323	0.0449435	0.0566785	0.082774	0.0659405	0.0421861	0.0295684	0.0367331	0.0138157	0.0223082	0.0137555	0.0105572
dans	0.12303	0.0787665	0.0716931	0.0570303	0.0620898	0.0534881	0.0280746	0.0241317	0.0199125	0.0259237	0.0211634	0.0143855	0.0164014	0.0165039	0.015948	0.0137567	0.0123711	0.0186199	0.0213379	0.0219831	0.0295868	0.0390263	0.0251899	0.0239545	0.0236625	0.0252858	0.0267328	0.0269107	0.031444	0.0315958
la	0.0676056	0.0382709	0.0400264	0.0171709	0.029596	0.0284921	0.0163202	0.013825	0.0105525	0.0121172	0.0105848	0.00919616	0.014719	0.0249598	0.0268137	0.0203975	0.0246998	0.0278516	0.0196371	0.0125894	0.0195859	0.036414	0.0423623	0.0610257	0.0430738	0.0430164	0.0534744	0.0465728	0.0792805	0.109768
forêt	0.042269	0.024172	0.0214921	0.0164452	0.0277358	0.026939	0.0177123	0.0140597	0.00828807	0.0165697	0.0185882	0.0213709	0.0262194	0.0399323	0.0401334	0.0349243	0.0425212	0.0343956	0.0258293	0.0300891	0.0412442	0.0553232	0.0530826	0.0780734	0.0352459	0.0540383	0.030996	0.0341916	0.0327134	0.0554049
</S>	0.0419929	0.0253453	0.024468	0.0234559	0.023876	0.018162	0.00834002	0.00809948	0.00570635	0.00605255	0.00602457	0.0055924	0.00669018	0.0106342	0.00733821	0.00744252	0.0139903	0.0121693	0.0114174	0.010687	0.0211177	0.0443185	0.0587316	0.0831382	0.0787569	0.0584674	0.0958903	0.105253	0.0915888	0.0852527
