 	a66	a87	a40	a30	a26	a38	a41	a61	a34	a56	a13	a93	a96	a34	a13	a61	a21	a18	a38	a21	a18	a75	a25	a69	a58	a82	a30	a38	a30	</S>
on	0.0749836	0.128238	0.133449	0.100375	0.0632649	0.0349455	0.0286501	0.0146786	0.0165781	0.0109272	0.00995441	0.0096669	0.00975141	0.0119758	0.0148023	0.00960358	0.00949546	0.0120482	0.00951238	0.012229	0.0167747	0.0315699	0.0217691	0.0241781	0.0249241	0.0368446	0.0264077	0.03338	0.0305903	0.0384319
lui	0.0194413	0.0201469	0.0289047	0.0410924	0.0495515	0.0195189	0.0289679	0.0235491	0.0428901	0.0297336	0.024177	0.0196523	0.0315611	0.0399608	0.0432075	0.0354415	0.0279133	0.0273633	0.0319003	0.0330435	0.0383851	0.0457486	0.0498263	0.0451539	0.0554366	0.0300704	0.0479682	0.028298	0.0251604	0.0159355
a	0.036881	0.0276188	0.0334504	0.0185579	0.0263181	0.0294104	0.0396404	0.0447197	0.0585876	0.0456077	0.0461367	0.0315651	0.0300386	0.0311382	0.0223121	0.0213911	0.017676	0.0228947	0.00875895	0.00694229	0.0106312	0.0260748	0.0383943	0.0609467	0.0474827	0.0245873	0.0405268	0.0405652	0.0628356	0.0483095
administré	0.055981	0.0373687	0.0472975	0.0266434	0.0186644	0.0302442	0.0383976	0.0522476	0.110536	0.0792292	0.0392765	0.0312258	0.0361491	0.0470894	0.0499987	0.0419894	0.0262869	0.0243333	0.0392329	0.0368759	0.0266795	0.0168593	0.0114018	0.00687804	0.00730687	0.0111593	0.00909532	0.011687	0.00956657	0.0202991
la	0.0959221	0.0630002	0.0298149	0.0264736	0.027126	0.0223801	0.0236775	0.0227947	0.0324341	0.0291812	0.0324429	0.0323663	0.0292255	0.0226834	0.0196359	0.0158364	0.0108984	0.0104154	0.0221471	0.0211677	0.0380449	0.0373974	0.0581113	0.0553799	0.0329954	0.0494184	0.0257288	0.0217136	0.0279245	0.0636625
poudre	0.0599461	0.0379264	0.0361996	0.0222335	0.02868	0.0332871	0.0366335	0.0466879	0.0547591	0.060726	0.125874	0.0924096	0.0458021	0.0273608	0.0204618	0.0233982	0.0232377	0.0171328	0.0103329	0.0108638	0.0130954	0.0201929	0.0159872	0.0150426	0.0156431	0.0204315	0.021077	0.0190195	0.0159723	0.0295853
noire	0.292158	0.13125	0.0705446	0.0467212	0.0361158	0.0190958	0.0149885	0.024235	0.0236858	0.0292851	0.0462122	0.0183442	0.0189924	0.0188184	0.0196398	0.024306	0.0343159	0.0291328	0.00949422	0.00875342	0.00990543	0.00641396	0.00524082	0.00460464	0.00442538	0.00960681	0.0110425	0.011558	0.00999538	0.0111179
là	0.2332	0.0888758	0.0314248	0.0282778	0.0215257	0.0186992	0.0200135	0.0290866	0.0393839	0.0336078	0.0344328	0.0173439	0.0185895	0.0314639	0.0323811	0.041834	0.049336	0.0485407	0.018794	0.0276608	0.0227063	0.0123702	0.0127417	0.0113827	0.00865843	0.016156	0.0139818	0.0146117	0.0157163	0.00720231
où	0.152418	0.0750915	0.108295	0.0494347	0.020701	0.0185216	0.0185262	0.0233948	0.033188	0.0236981	0.0205627	0.00798396	0.0124166	0.0226425	0.0511057	0.0336372	0.0394856	0.0327142	0.0180512	0.0185628	0.0141558	0.0116761	0.0132162	0.0181054	0.0153201	0.0231536	0.0293005	0.0337332	0.0386721	0.0222363
le	0.125698	0.0716006	0.0544863	0.029035	0.0113167	0.008363	0.00906674	0.0105191	0.0133561	0.0110221	0.0119209	0.0064746	0.00988212	0.0151186	0.0182987	0.0151958	0.0219134	0.0298121	0.0202947	0.0243692	0.0222758	0.0194194	0.0273162	0.0342548	0.0163545	0.0472295	0.0561718	0.0843491	0.111284	0.0636008
serpent	0.0714246	0.0335789	0.0136834	0.00650977	0.00258503	0.00198135	0.00316367	0.0047226	0.00571759	0.00611526	0.00672159	0.00342177	0.0074885	0.0152783	0.0135052	0.0155061	0.0289992	0.0358911	0.0176732	0.0249423	0.0335623	0.0480129	0.0557531	0.0781643	0.0481492	0.0596438	0.0644047	0.0975805	0.115203	0.0806165
l'	0.0988619	0.0427826	0.0222123	0.00646252	0.00262613	0.00167122	0.00228487	0.00537553	0.0057423	0.0089406	0.00731225	0.00522098	0.0121265	0.0217647	0.0219539	0.0164963	0.023799	0.0323239	0.0105906	0.0194676	0.0357013	0.0573672	0.065043	0.0730235	0.0609376	0.0648524	0.0785616	0.0798821	0.0733976	0.043218
a	0.0675951	0.0423921	0.0266928	0.0108864	0.00511269	0.00376271	0.00640999	0.0130043	0.0189025	0.0196225	0.0146772	0.00943474	0.0118005	0.0204547	0.0237203	0.0166947	0.0171671	0.0212857	0.0118791	0.017358	0.027101	0.0310141	0.0357213	0.0454929	0.0442476	0.0620139	0.0892979	0.101884	0.0774489	0.106926
mordu	0.0733546	0.0447885	0.0248209	0.0126652	0.00633554	0.00494834	0.00697068	0.0104572	0.0165198	0.0143636	0.0128393	0.007933	0.00713289	0.00870987	0.0104313	0.00727799	0.010559	0.0119053	0.011	0.0227869	0.0343804	0.045078	0.0383178	0.0662842	0.05396	0.066973	0.066122	0.0771672	0.054501	0.171417
</S>	0.0851627	0.0710866	0.0401665	0.0190734	0.0110688	0.00566065	0.00626268	0.00730243	0.00703527	0.00642887	0.0058156	0.00340208	0.00537198	0.00540074	0.00582319	0.00419729	0.00751453	0.00830685	0.0074486	0.0151854	0.0235239	0.0313255	0.0262815	0.0422904	0.0329678	0.0534914	0.0498136	0.0753956	0.074169	0.263027
