 	a66	a10	a38	a11	a93	a94	a40	a73	a44	a90	a96	a70	a96	a83	a54	a6	a37	a6	a43	a11	a38	a70	a61	a88	a71	a38	a13	a9	a10	a87	a79	a26	</S>
la	0.0611653	0.0595257	0.0401466	0.0551833	0.0582513	0.0413811	0.0736756	0.0528767	0.0363894	0.0181423	0.0168795	0.0181601	0.0241572	0.0222744	0.0293783	0.0217095	0.0242475	0.0170288	0.0161654	0.0142366	0.0123916	0.0170086	0.0184675	0.0143244	0.0194049	0.0220532	0.0185784	0.0189263	0.0184578	0.0231285	0.0301914	0.028925	0.0571678
mère	0.00171619	0.00401284	0.00398605	0.0210875	0.0171941	0.0254177	0.123019	0.136428	0.099972	0.0960345	0.139542	0.0654917	0.0643507	0.0263205	0.0198858	0.0267276	0.0301536	0.0225448	0.0215389	0.013361	0.0133849	0.00451855	0.00265918	0.00129945	0.00116648	0.00248054	0.000843439	0.00150119	0.00365182	0.00185526	0.00352087	0.00163803	0.00269566
a	0.0337415	0.0149083	0.0172212	0.0190175	0.0248338	0.042083	0.0630736	0.0653523	0.0522709	0.0400815	0.0635476	0.10196	0.0679751	0.0412636	0.0244621	0.0359931	0.0164912	0.0277399	0.0192154	0.0179859	0.0153682	0.0113897	0.00851652	0.00693916	0.0203961	0.0208	0.0150103	0.0200684	0.0232525	0.0211292	0.0180923	0.015842	0.0139784
gardé	0.00815895	0.0109922	0.00760263	0.0144776	0.0123505	0.0120929	0.0120193	0.0207923	0.0285743	0.055781	0.052913	0.0427297	0.0600385	0.0699869	0.0781082	0.0704166	0.0503436	0.0417184	0.0479263	0.0435456	0.052592	0.0243033	0.0177463	0.0308057	0.0165225	0.0113032	0.0113182	0.011715	0.0154467	0.0152099	0.0114919	0.00923421	0.0317425
du	0.0658995	0.0434406	0.0451624	0.0535796	0.0499512	0.0423074	0.0583519	0.0504849	0.0533457	0.0316301	0.0326181	0.0256509	0.0349758	0.0253131	0.0317147	0.0177725	0.014696	0.00605984	0.0131723	0.0115756	0.00742331	0.0104556	0.0142329	0.0166347	0.0337372	0.0135248	0.0179971	0.0261615	0.0179389	0.0189786	0.0179137	0.0219723	0.0753272
jus	0.0312729	0.0163936	0.0198181	0.0195615	0.0253144	0.0288287	0.0313914	0.0283906	0.029444	0.0323105	0.0349889	0.0599385	0.0544069	0.0666746	0.0572985	0.077031	0.0599853	0.0500418	0.045165	0.0282092	0.0211645	0.0192002	0.021472	0.0195462	0.0159422	0.0187558	0.0122478	0.010922	0.0161527	0.0164742	0.0127085	0.00852968	0.0104187
d'	0.0472067	0.0329711	0.0367129	0.0417146	0.0526989	0.0486862	0.0533311	0.0459781	0.0407961	0.0295695	0.0345942	0.0517796	0.0562399	0.0449679	0.0500744	0.0465483	0.0308949	0.0201492	0.0234139	0.0152247	0.0103956	0.0103662	0.0101442	0.00758577	0.0121144	0.0156898	0.0114089	0.0130112	0.021331	0.0259873	0.0208844	0.0159733	0.0215559
ananas	0.053827	0.0357999	0.0370297	0.0576955	0.0412986	0.0366673	0.0295862	0.031106	0.0301193	0.0273138	0.0218128	0.0219277	0.0271375	0.0208188	0.0265861	0.0275157	0.0193273	0.0204618	0.0219416	0.0234021	0.0109577	0.00953884	0.0132613	0.00905816	0.0223476	0.0193238	0.0247769	0.0273563	0.0334682	0.0451902	0.0493263	0.0466835	0.0773366
pour	0.0434704	0.0311333	0.0280957	0.0386539	0.0239831	0.0239896	0.0141307	0.0160118	0.0156311	0.015832	0.0175598	0.0185983	0.0198372	0.0158494	0.017002	0.0166807	0.0143601	0.0133809	0.015052	0.0171307	0.0104107	0.0106587	0.0182882	0.0168337	0.0422903	0.0393188	0.0426575	0.0372976	0.0657696	0.0851048	0.0773672	0.0517321	0.0858879
son	0.0234393	0.020422	0.0173887	0.025024	0.0129049	0.013954	0.00687954	0.00815217	0.00764829	0.00759297	0.0078837	0.0103166	0.0104456	0.00955163	0.00982269	0.00943783	0.00961984	0.0108529	0.0108371	0.0137474	0.0111069	0.0117122	0.0240542	0.0297744	0.0749236	0.0647383	0.0758527	0.0687824	0.0852869	0.0885211	0.0795832	0.0499858	0.0897571
enfant	0.0255011	0.0208685	0.0206022	0.0245865	0.0166347	0.0149122	0.010783	0.0153576	0.0182884	0.0185792	0.0219772	0.0281077	0.0282829	0.0260748	0.0257203	0.0263546	0.0274372	0.0251833	0.026144	0.0279	0.020727	0.0214011	0.0238107	0.0194559	0.0375011	0.0411083	0.0447751	0.0459706	0.0519107	0.062401	0.0662202	0.0405116	0.0749111
</S>	0.0469952	0.0364793	0.0345566	0.0303309	0.0219814	0.0230839	0.0202957	0.0181347	0.0150215	0.00757252	0.00861179	0.012356	0.0136949	0.0109967	0.00994926	0.00840959	0.00927185	0.00792774	0.0140841	0.0184759	0.0129927	0.0238476	0.0395913	0.0427189	0.0547922	0.0385897	0.0499395	0.0488277	0.0505416	0.0525481	0.0568598	0.0477824	0.112739
