 	a83	a66	a75	a92	a75	a79	a56	a92	a98	a15	a7	a90	a69	a53	a44	a70	a13	a9	a99	a87	a23	a87	a23	a87	</S>
le	0.0956907	0.0901567	0.0674084	0.0523759	0.0320797	0.0128402	0.00809426	0.00793642	0.0105851	0.0098192	0.0129309	0.00954262	0.00831453	0.00895215	0.0136498	0.0108885	0.0248347	0.0566327	0.0535141	0.0735071	0.0612636	0.0568905	0.0625014	0.0668213	0.0927694
guérisseur	0.0311233	0.0945524	0.134441	0.150107	0.123376	0.132978	0.0956493	0.0380681	0.0412076	0.0203893	0.0328308	0.0268591	0.0148472	0.00921144	0.00817999	0.00786073	0.0068389	0.00606675	0.00222252	0.00189328	0.00156486	0.00277803	0.00236476	0.0121042	0.0024859
est	0.0327637	0.0277652	0.0548007	0.0485635	0.0387255	0.0341919	0.0749402	0.178869	0.0832997	0.0508403	0.0344589	0.0467756	0.0179287	0.0172382	0.0135668	0.00617639	0.0123386	0.0200742	0.026457	0.0333879	0.0380562	0.0297925	0.0166991	0.0557606	0.00652996
en	0.0231877	0.0108724	0.0103073	0.00973915	0.012185	0.0188937	0.0377469	0.0389612	0.0788483	0.0896986	0.12079	0.0789788	0.0551597	0.0469425	0.0922401	0.0350436	0.0148469	0.022512	0.0224699	0.0355256	0.0266569	0.0321454	0.0303599	0.0295771	0.026312
train	0.0558016	0.05656	0.0434842	0.0236611	0.01534	0.0191319	0.0314371	0.0876777	0.14802	0.110334	0.140186	0.0714441	0.0427308	0.0198666	0.0408728	0.0137615	0.0114772	0.00788513	0.00645857	0.00899458	0.00908533	0.00888417	0.00946751	0.00929301	0.00814532
de	0.0406508	0.0213767	0.0268518	0.0161523	0.00959693	0.00711429	0.00384132	0.00223204	0.00247929	0.00323081	0.00198738	0.00247223	0.00307461	0.00494548	0.0189554	0.0182572	0.0296346	0.0785969	0.0943167	0.107964	0.0891782	0.113946	0.0932537	0.0845969	0.125294
masser	0.0946859	0.0599703	0.0675378	0.048801	0.0334158	0.0304849	0.0307172	0.0284806	0.0368508	0.0350984	0.0162227	0.014959	0.0185212	0.0105579	0.0172071	0.0167892	0.0295189	0.0467051	0.0445035	0.0545423	0.0415086	0.0575606	0.0553813	0.0447325	0.0652473
le	0.0674646	0.0431162	0.0428949	0.0308548	0.0176784	0.0110393	0.0103251	0.00812859	0.0178783	0.0290378	0.00885666	0.0150422	0.0110287	0.00784639	0.0230541	0.0282175	0.0506316	0.0695216	0.0998293	0.10131	0.0613548	0.0702037	0.0593487	0.0430354	0.0723009
malade	0.0476474	0.0325999	0.0398396	0.0397579	0.0222979	0.0126472	0.0132576	0.0143034	0.0254453	0.0181793	0.0127208	0.0124576	0.0120937	0.0126518	0.0163043	0.0142739	0.030518	0.0367873	0.0707	0.0902734	0.0843705	0.0976681	0.0866006	0.0955205	0.0610838
</S>	0.0345559	0.0255375	0.0304269	0.0270015	0.0147561	0.010124	0.0103444	0.0165199	0.0240441	0.0182852	0.0110932	0.0120715	0.00705156	0.00684278	0.00761302	0.016382	0.0316808	0.0593881	0.085365	0.0859952	0.0915515	0.0885639	0.0891142	0.0809753	0.114716
