 	a84	a10	a87	a23	a40	a6	a36	a37	a43	a11	a31	a88	a9	a83	a88	a0	a75	a21	a62	a88	a96	a62	a88	a71	a62	a47	a75	a6	a36	a26	a30	a87	a23	a87	a23	a97	</S>
notre	0.0402409	0.0663689	0.0762624	0.0874658	0.0720401	0.0712745	0.074098	0.0765348	0.0594467	0.0264286	0.0129069	0.0202183	0.0240221	0.0225893	0.0169848	0.0132225	0.0113667	0.0122578	0.00821169	0.00600052	0.00745693	0.00606523	0.00481923	0.00849895	0.00720147	0.00813057	0.00802765	0.00849934	0.00947773	0.0157333	0.0126878	0.0130462	0.0141802	0.0131523	0.0141871	0.0163995	0.0344953
père	0.00652591	0.0121869	0.0344276	0.0561234	0.159127	0.215699	0.21523	0.0959587	0.034148	0.0131232	0.0124435	0.00982221	0.0142687	0.0134904	0.0101185	0.014351	0.016866	0.00566427	0.0104194	0.00479353	0.00567701	0.00417677	0.00228203	0.00235316	0.00263665	0.0022963	0.00190475	0.00135982	0.000930969	0.00401969	0.00166659	0.00194268	0.00225949	0.00262845	0.00237824	0.00343779	0.00326281
a	0.0728701	0.0333378	0.0279249	0.0210824	0.05476	0.0455597	0.0774409	0.0998029	0.0316054	0.0125279	0.00888524	0.0115953	0.0108661	0.00884416	0.0115426	0.0383471	0.0149068	0.0220995	0.0209428	0.0306891	0.0261409	0.0176514	0.0141309	0.0174927	0.00652636	0.00852543	0.011272	0.0181441	0.0122386	0.0277736	0.0173894	0.0259247	0.0198963	0.0295128	0.0247589	0.0525045	0.0144865
des	0.0235401	0.0142851	0.0116055	0.00539061	0.0131978	0.0139157	0.016313	0.0128152	0.00852646	0.014648	0.0187264	0.0188102	0.0257165	0.0232181	0.0393047	0.0477772	0.039796	0.0434602	0.0573688	0.0790428	0.0720598	0.0411397	0.0286502	0.0224355	0.0113567	0.0122267	0.018059	0.0275892	0.0312644	0.0269731	0.0328751	0.0254513	0.0262216	0.030337	0.0229728	0.0168104	0.0261189
déchirures	0.0147693	0.0147246	0.00948189	0.00934623	0.0114401	0.0099484	0.00759705	0.00840255	0.00591283	0.01902	0.0223519	0.0186828	0.0198581	0.0191484	0.0841177	0.0706263	0.0660855	0.135869	0.0941557	0.0987141	0.0698455	0.0594944	0.0300768	0.0236015	0.00654566	0.00699411	0.0054739	0.00264807	0.00446419	0.00515838	0.00700229	0.00811862	0.00656155	0.00666444	0.00710472	0.00485464	0.00513859
au	0.0440273	0.010984	0.0103631	0.0119505	0.0103792	0.0148003	0.0154628	0.0172185	0.0154202	0.0227462	0.019704	0.0248092	0.0264225	0.0352077	0.0209511	0.0185309	0.0172405	0.0183749	0.016326	0.0133078	0.00853154	0.0106922	0.0118576	0.0386993	0.0478208	0.0541742	0.0466137	0.0356254	0.0365224	0.0343567	0.0390306	0.0513913	0.0423148	0.0454625	0.043894	0.0333272	0.0354591
niveau	0.00959915	0.00796507	0.00755964	0.00695546	0.025725	0.0288138	0.0295658	0.0370128	0.0425577	0.0430575	0.0279389	0.0329614	0.0251116	0.0317107	0.0576971	0.0832872	0.0298241	0.0874206	0.0415641	0.0858961	0.0609396	0.0311743	0.0144162	0.0317837	0.00974569	0.0143621	0.0123116	0.00673527	0.00565182	0.00968828	0.0101313	0.0117776	0.007419	0.0103901	0.00786983	0.00811219	0.00526764
des	0.0407737	0.0119018	0.00849826	0.0106464	0.00894084	0.00469567	0.00577135	0.00843069	0.00947269	0.0175314	0.0126458	0.0121752	0.0162315	0.0128588	0.034124	0.0463475	0.0271512	0.0381642	0.0370507	0.0336069	0.0263643	0.0383869	0.0332596	0.0498878	0.0305431	0.0394803	0.033709	0.0251913	0.0319595	0.03625	0.0322108	0.0404442	0.0360768	0.0381425	0.0371615	0.0401607	0.033753
articulations	0.0118705	0.00894826	0.0114329	0.00932071	0.00938475	0.0103241	0.0152868	0.0173374	0.0137981	0.0234596	0.0266721	0.0347945	0.0391404	0.0399022	0.0892524	0.0800743	0.0586869	0.0901381	0.068951	0.097447	0.0429932	0.0226511	0.0176079	0.0221462	0.00951237	0.00943649	0.0071457	0.00443107	0.00420542	0.01046	0.0111066	0.0113977	0.010561	0.0141342	0.0122968	0.0139763	0.019716
des	0.0778447	0.0392334	0.0253064	0.0198961	0.0136155	0.0110129	0.00897556	0.0107594	0.0081	0.0140956	0.0111297	0.0132679	0.00870543	0.00914265	0.015501	0.0254476	0.0227651	0.0151216	0.0160567	0.019521	0.0159236	0.0146776	0.0139389	0.0177114	0.0145483	0.0262195	0.0239015	0.0356603	0.0246568	0.0608629	0.054802	0.0651931	0.0446763	0.0501963	0.0431575	0.0493318	0.0590439
orteils	0.0318034	0.0192521	0.0272863	0.0222869	0.0152607	0.0121433	0.0118432	0.0169146	0.00686447	0.0102986	0.00950194	0.0146048	0.0219702	0.0181937	0.0163587	0.014458	0.0128252	0.0193353	0.0134164	0.0305147	0.0336078	0.0334675	0.0312768	0.0257834	0.023054	0.0283455	0.031281	0.0350839	0.0338377	0.0447418	0.0454391	0.0403507	0.048888	0.0507555	0.0462079	0.0437947	0.0589519
</S>	0.0501024	0.0544207	0.0548799	0.0515095	0.0310073	0.0153461	0.0100199	0.0216953	0.0164717	0.01211	0.00833336	0.0139409	0.0174726	0.0131383	0.0112966	0.00849813	0.0107592	0.00666237	0.00346992	0.00437747	0.00482884	0.00688496	0.00914238	0.0219246	0.0200122	0.0219025	0.0256903	0.0299862	0.0252469	0.0391601	0.0382951	0.0326787	0.042718	0.0437055	0.0385338	0.0457062	0.138072
