 	a66	a87	a23	a9	a10	a24	a62	a88	a62	a88	a75	a21	a47	a88	a90	a25	a79	a98	a85	a21	a75	a47	a62	a88	a70	a83	a9	a87	a23	a99	a97	</S>
nous	0.0545885	0.0443315	0.0281802	0.0241821	0.0171275	0.0225029	0.0172293	0.01512	0.00967477	0.0117092	0.0103487	0.0120146	0.0129244	0.0251916	0.03756	0.0337517	0.0600004	0.060257	0.0467069	0.0345362	0.0382282	0.0361197	0.0338375	0.0479009	0.0356778	0.0240353	0.0365079	0.0278925	0.0267033	0.0313243	0.0288643	0.0549711
sommes	0.0208553	0.0212886	0.035968	0.024912	0.0420777	0.047629	0.0537942	0.0483224	0.02988	0.0367128	0.0332275	0.0405596	0.0445984	0.018548	0.0190904	0.0180699	0.0308149	0.0292493	0.0201113	0.0167545	0.0194587	0.0228426	0.0159232	0.0180346	0.0233335	0.0403163	0.0295474	0.037962	0.0316252	0.0383652	0.0428014	0.0473261
neuf	0.0238272	0.0174556	0.0267779	0.0198438	0.0189939	0.0151525	0.0155576	0.0105611	0.0123769	0.0156412	0.016467	0.0223866	0.0233052	0.0163957	0.0175694	0.0150346	0.0115474	0.012754	0.0100349	0.0157484	0.0239123	0.0314048	0.0333037	0.0400625	0.0502735	0.0510926	0.0583505	0.0640634	0.0582027	0.0859738	0.0954855	0.0704437
personnes	0.03191	0.0186912	0.0188296	0.0188808	0.022747	0.0266916	0.0343852	0.0340974	0.0467412	0.039934	0.0517226	0.0396219	0.0482077	0.0515117	0.0379786	0.0390553	0.0349581	0.0459565	0.036849	0.0268348	0.0286915	0.026146	0.0518588	0.0499837	0.0327141	0.0211588	0.0195738	0.0166656	0.0144618	0.0130815	0.00721609	0.0128444
à	0.0331882	0.0277733	0.0260276	0.0330708	0.0303583	0.0462809	0.0382934	0.0292932	0.0471199	0.0433591	0.0475773	0.0452995	0.0311151	0.0264182	0.024701	0.0302605	0.0224706	0.0330669	0.0272396	0.0176892	0.0237469	0.0255998	0.037009	0.0351509	0.0330354	0.0388534	0.0319834	0.0300459	0.0250647	0.0198189	0.0170181	0.0220711
se	0.0713927	0.0438664	0.0550759	0.0615993	0.0549585	0.0604335	0.0550763	0.0192593	0.0163075	0.0204862	0.013669	0.0170491	0.0163324	0.0151821	0.0161372	0.01715	0.0164174	0.0187432	0.0191176	0.0263753	0.0314102	0.0304838	0.0393978	0.0404835	0.0407376	0.0387167	0.0253672	0.0285596	0.0299886	0.0215323	0.0201545	0.0185393
présenter	0.0226418	0.0225798	0.0217082	0.0278167	0.019189	0.0153472	0.0165085	0.00902011	0.00758358	0.0109272	0.0124515	0.0215404	0.0195665	0.0208576	0.0218601	0.0205907	0.020696	0.0223719	0.020337	0.0298867	0.0402274	0.0446189	0.0751277	0.102492	0.0670659	0.0782546	0.0817885	0.0331556	0.0273364	0.0284694	0.0221305	0.0158523
à	0.109323	0.0717106	0.0654237	0.043279	0.0260888	0.0142229	0.0246695	0.0116283	0.0171945	0.0102242	0.00832609	0.00902632	0.00618511	0.00518211	0.00679143	0.00413394	0.00516473	0.00282934	0.0055128	0.0109089	0.0171358	0.0209368	0.0168642	0.0390636	0.0507566	0.0627902	0.0606298	0.0599316	0.0627792	0.0663057	0.0510996	0.0338819
cette	0.0317349	0.0256728	0.0250609	0.0199065	0.0126858	0.00896934	0.00995317	0.00873545	0.0128315	0.0126412	0.0180079	0.0200077	0.0110594	0.0150513	0.0181599	0.0118868	0.0132292	0.00845248	0.0137075	0.0317749	0.0594523	0.0652807	0.056776	0.111412	0.0811651	0.0646364	0.053644	0.0380125	0.0345852	0.0521122	0.029554	0.0238413
réunion	0.0338918	0.0290217	0.0315216	0.0242946	0.0196001	0.0163181	0.0115177	0.00706427	0.00509268	0.00765496	0.00869656	0.0150049	0.0138318	0.0313808	0.0727612	0.029921	0.0446564	0.0304523	0.0237189	0.0535029	0.0500146	0.0519542	0.0511994	0.0532316	0.0406816	0.032151	0.0362908	0.026427	0.0253746	0.0457957	0.0366809	0.040294
</S>	0.0231879	0.012246	0.00856669	0.00700392	0.00462181	0.00399928	0.00593262	0.00261653	0.00307867	0.00310861	0.00268851	0.00201305	0.00196905	0.00384275	0.00890507	0.00450298	0.00723168	0.0045606	0.00889035	0.01749	0.0246847	0.040338	0.0266313	0.0402506	0.0443528	0.0860573	0.0977833	0.109172	0.0850992	0.0967593	0.0844709	0.127945
