 	a66	a87	a97	a87	a97	a40	a79	a37	a90	a15	a98	a15	a79	a44	a34	a61	a43	a0	a11	a90	a79	a56	a90	a79	a37	a75	a92	a61	a88	a71	a9	a97	a10	a83	a54	a79	a15	a69	a58	a53	a90	a79	a56	a11	a94	a79	a6	a7	a54	a36	a26	a82	a97	a84	a57	a97	a87	a97	</S>
les	0.0274048	0.032128	0.0265933	0.0205747	0.00862912	0.0238549	0.0171122	0.0161059	0.0204195	0.0209985	0.00925473	0.0188126	0.0286714	0.0562606	0.0182346	0.0382637	0.0581245	0.0617338	0.0258141	0.0332156	0.0172613	0.0164026	0.0188313	0.0309899	0.0357728	0.0445822	0.0449843	0.0327298	0.0236522	0.0208078	0.0173207	0.00965237	0.00528142	0.0046059	0.00365622	0.00303035	0.00229142	0.00348033	0.00237966	0.00193219	0.00314137	0.0070279	0.00447463	0.00638261	0.00518492	0.00320629	0.00474007	0.00630078	0.00501613	0.00267326	0.00447974	0.00390581	0.00328279	0.00443593	0.00401066	0.00397244	0.00580075	0.00309739	0.0170152
soldats	0.00175505	0.00283832	0.00411874	0.0107803	0.0226245	0.0361015	0.0396522	0.0357205	0.0307564	0.0345875	0.0491003	0.0460597	0.0494567	0.0402515	0.0683473	0.0262635	0.0630088	0.0422681	0.023302	0.0224171	0.0203255	0.0127222	0.0142332	0.0309416	0.0238456	0.0371664	0.0198246	0.011006	0.00738091	0.00615603	0.0116755	0.00833254	0.00950394	0.0103017	0.012427	0.0215094	0.0132205	0.0250202	0.00895777	0.00718327	0.00381053	0.00231801	0.00666969	0.00158098	0.00134577	0.00154034	0.00281764	0.00189112	0.00228706	0.0032155	0.00150226	0.000976518	0.00135478	0.00129391	0.000851129	0.00132278	0.00145703	0.0013508	0.00127031
l'	0.0174292	0.0152318	0.0088741	0.00793627	0.00602231	0.00946365	0.0105607	0.0283976	0.0130328	0.0226932	0.0618329	0.0360686	0.0530577	0.0549249	0.0793434	0.0203412	0.0351992	0.0160375	0.0124355	0.0228362	0.0232118	0.0157431	0.0102734	0.00886589	0.00597114	0.0236439	0.038814	0.0268117	0.0428552	0.0547769	0.0262755	0.0216809	0.0229148	0.015707	0.0113944	0.00966403	0.00855314	0.0086295	0.00745302	0.00307401	0.00251352	0.00456279	0.00262242	0.00437705	0.00322003	0.00385052	0.00474291	0.00483169	0.00501826	0.00240331	0.00287584	0.00270315	0.00437576	0.00480212	0.00494914	0.00747683	0.00470289	0.00656166	0.00537819
ont	0.0119497	0.00618395	0.00670178	0.00615713	0.0058053	0.00665808	0.00421257	0.0049776	0.00591454	0.00665103	0.0177013	0.0186629	0.0549531	0.0453491	0.0693429	0.0304184	0.0208196	0.0122075	0.0134891	0.0169889	0.0129082	0.0168005	0.0186412	0.0125416	0.0211819	0.0345989	0.0428222	0.0255376	0.0254057	0.0184154	0.0331927	0.0414999	0.038041	0.0384056	0.0386805	0.0281169	0.032694	0.0214533	0.0134077	0.015457	0.00706718	0.00485322	0.00808134	0.00837458	0.00984101	0.0122796	0.0126089	0.00498166	0.00342517	0.00313006	0.00238699	0.00228049	0.00392466	0.00504791	0.00385605	0.00439619	0.00299336	0.00233831	0.00318739
fait	0.014982	0.00643653	0.00837235	0.0059111	0.0111522	0.00739269	0.010084	0.00601113	0.00704357	0.00709521	0.00981869	0.011475	0.0259322	0.023833	0.0314647	0.0189919	0.00832308	0.0100543	0.0150321	0.0260109	0.0197039	0.0213757	0.0372351	0.0232569	0.0360422	0.0209997	0.0275331	0.0314545	0.0326147	0.0279368	0.0296681	0.0450942	0.0324821	0.029173	0.0296979	0.04181	0.0337623	0.0332963	0.0261991	0.0240346	0.0151836	0.0164468	0.01418	0.0106078	0.0112954	0.00998117	0.0136246	0.00871758	0.00573663	0.00362823	0.00169804	0.00165665	0.00261986	0.0035171	0.00279808	0.00303577	0.00190156	0.00161558	0.0029686
souffrir	0.017243	0.0105107	0.0101004	0.00594347	0.0087222	0.00672747	0.00802841	0.00563741	0.00391192	0.00536588	0.00650276	0.00900152	0.0211947	0.0198659	0.0285393	0.0324968	0.0172606	0.0169871	0.0243705	0.0313194	0.03161	0.0315782	0.0422236	0.0391211	0.0449853	0.0469081	0.040064	0.0430433	0.035176	0.0346164	0.0344978	0.0349479	0.0304465	0.0307279	0.0181972	0.0118184	0.00686705	0.00581785	0.00315919	0.00450374	0.00372158	0.00481262	0.00450719	0.00647836	0.0085242	0.0103586	0.0155742	0.00963536	0.00764922	0.00482602	0.00382157	0.00681435	0.00867241	0.00842625	0.0111697	0.0090219	0.00727614	0.0028888	0.00578258
dans	0.0233477	0.0170684	0.0133019	0.0145477	0.00898792	0.00636259	0.00926686	0.00736702	0.00229685	0.00429927	0.00321793	0.00396563	0.00742732	0.0122965	0.0131287	0.0150107	0.0101251	0.011552	0.0132107	0.0198955	0.0411084	0.0314546	0.0299283	0.0332389	0.0307223	0.0384663	0.0296266	0.0458271	0.0392051	0.0404527	0.0377548	0.0380558	0.0326861	0.0331166	0.0328438	0.0214849	0.0159455	0.0126472	0.00710973	0.00928117	0.00590567	0.00562976	0.00551747	0.00822323	0.00865773	0.0105837	0.0100089	0.00823755	0.00798483	0.00673541	0.00651903	0.0104655	0.0103815	0.0117326	0.0160287	0.0139253	0.0118659	0.00870909	0.0152561
la	0.0406129	0.0362097	0.0281437	0.0304144	0.021363	0.0117342	0.01666	0.0124717	0.00483134	0.00608718	0.00466332	0.0043846	0.00437149	0.00841196	0.00582762	0.0123877	0.00893751	0.0101553	0.0186979	0.0240563	0.0396276	0.0317371	0.0314789	0.032094	0.0319829	0.0339878	0.0345119	0.0333911	0.0287404	0.0248273	0.0317739	0.0223341	0.0179138	0.0192405	0.0181883	0.0135384	0.00904684	0.00857616	0.00336978	0.00895412	0.00619647	0.00689208	0.00598748	0.00746532	0.00785597	0.00830117	0.00738976	0.0122431	0.00920448	0.00740844	0.00957519	0.0106358	0.0131392	0.0117496	0.0149573	0.013918	0.0171433	0.0190997	0.025101
prison	0.0258131	0.0185663	0.0130072	0.0109963	0.0049959	0.00429437	0.0050212	0.00423365	0.00249327	0.00303066	0.00112685	0.00194163	0.00285856	0.00463676	0.0049495	0.00505746	0.00404656	0.00475812	0.00545719	0.0079291	0.0168028	0.0167423	0.0144846	0.0214471	0.0168863	0.0278344	0.0308148	0.0580243	0.054744	0.0587646	0.0616581	0.0414986	0.031101	0.0316147	0.0270877	0.0143234	0.0120957	0.0102723	0.00628851	0.00660472	0.00505098	0.00749826	0.0065288	0.0093775	0.011194	0.00807797	0.00860311	0.0114905	0.0102877	0.00675623	0.012739	0.0130073	0.0233343	0.0314857	0.0233882	0.0222064	0.0317756	0.0207981	0.0420969
parce	0.0498628	0.0220948	0.010575	0.00613722	0.00186021	0.00145679	0.00261215	0.00150519	0.00129786	0.00180183	0.000938343	0.00143204	0.00141785	0.00373305	0.00253262	0.00535257	0.00369923	0.00557051	0.00720494	0.0125763	0.0207026	0.0216811	0.0175112	0.0277773	0.0236047	0.0235481	0.0340526	0.023806	0.0213484	0.0224997	0.0197631	0.00909904	0.00753399	0.00794337	0.00985109	0.00835798	0.00555655	0.00557495	0.00394651	0.00504318	0.00457113	0.00581459	0.00623604	0.00961366	0.0113401	0.00935764	0.00785627	0.009846	0.00769316	0.0136871	0.0227146	0.0220722	0.0376215	0.0338803	0.0412269	0.0392808	0.0472577	0.0622501	0.144817
