 	a66	a87	a97	a87	a97	a13	a54	a79	a90	a56	a34	a70	a11	a75	a85	a21	a85	a47	a36	a2	a30	a97	a82	a97	a87	a97	a87	a97	</S>
je	0.105462	0.0494292	0.0390983	0.0266118	0.0249245	0.0151095	0.0191756	0.0217294	0.0319382	0.0265409	0.0147627	0.00834805	0.00608785	0.00677358	0.0142744	0.0277055	0.0446545	0.0428925	0.0867579	0.0338851	0.0339514	0.0234333	0.0329927	0.030962	0.0310322	0.0369837	0.0503609	0.042979	0.0711431
suis	0.0158486	0.0137363	0.0174683	0.0154512	0.0232213	0.0156511	0.00559676	0.00827005	0.0164128	0.0283175	0.043099	0.0535956	0.0509218	0.0247443	0.0243397	0.0226984	0.0361027	0.0339892	0.0448073	0.0519785	0.050492	0.0666974	0.0623804	0.0549725	0.0716622	0.0488797	0.0402426	0.0365331	0.0218899
en	0.00524031	0.00565353	0.00522084	0.00756386	0.00328482	0.00292278	0.00275529	0.00516492	0.00508859	0.0104099	0.0255786	0.0286457	0.0269651	0.0232838	0.00972783	0.0124354	0.0100629	0.0137091	0.0358293	0.0124147	0.0555477	0.119797	0.100772	0.112063	0.0741299	0.0769538	0.0533935	0.0603582	0.0950263
train	0.034045	0.0335345	0.0246659	0.0270535	0.0122856	0.0136824	0.0161857	0.0469626	0.0576282	0.133593	0.0923837	0.0736676	0.074797	0.0524263	0.0447339	0.0202552	0.018596	0.0258036	0.0168094	0.0106725	0.017495	0.0251803	0.0186563	0.0208668	0.0176685	0.0151431	0.0171326	0.0116374	0.0264381
de	0.14687	0.0618235	0.0409517	0.0296888	0.0148014	0.0124493	0.0137127	0.0154668	0.00564204	0.00403301	0.00973233	0.00726724	0.0167636	0.00803191	0.00706943	0.00975368	0.0115873	0.0147053	0.0192004	0.0157428	0.0245198	0.0487223	0.05383	0.0345313	0.0504559	0.0979471	0.0615887	0.052584	0.110528
manger	0.170216	0.0489707	0.0586253	0.071307	0.0693616	0.0645611	0.078085	0.0500651	0.0971241	0.056985	0.0415274	0.0326433	0.0257582	0.0219666	0.0299378	0.0231079	0.0107296	0.0128655	0.00772625	0.00369522	0.00202699	0.00269185	0.00179731	0.00172689	0.00251491	0.0022948	0.00351344	0.00410558	0.00406937
l'	0.0475568	0.0205895	0.018945	0.0226375	0.0235276	0.0161575	0.0249543	0.0381594	0.0249105	0.0205888	0.0444549	0.0496479	0.0467195	0.0417612	0.0612712	0.0790565	0.0489686	0.0577925	0.0664186	0.0368416	0.0304518	0.0450224	0.0214076	0.0216897	0.0161226	0.0158067	0.0231155	0.016324	0.0191004
igname	0.0257608	0.00978956	0.00755266	0.00716759	0.00907946	0.0128842	0.0247466	0.0302051	0.0251969	0.0324146	0.0723329	0.102362	0.136455	0.105875	0.0589374	0.0428173	0.0236911	0.0197247	0.031506	0.0179579	0.0170446	0.0350352	0.0193029	0.0266726	0.0148807	0.0155916	0.0218935	0.0187805	0.034341
yaa	0.0305684	0.0225699	0.0152867	0.0117574	0.0119989	0.0122188	0.0144921	0.0211197	0.0107983	0.0105144	0.0345203	0.0512359	0.0530583	0.0205106	0.0166777	0.0151641	0.0157024	0.0148969	0.0411715	0.0229456	0.0281941	0.0483491	0.0490986	0.0545647	0.0394259	0.0487768	0.0689753	0.0824706	0.132937
</S>	0.0279781	0.0163727	0.0122273	0.00850982	0.0080328	0.0115209	0.0187502	0.0260419	0.0189368	0.0158831	0.0316376	0.0248507	0.0207942	0.00803589	0.0104173	0.0109553	0.0127986	0.0105148	0.0306285	0.0144323	0.0284612	0.0385296	0.0403168	0.0385522	0.043189	0.0532851	0.0931931	0.124024	0.20113
