 	a66	a87	a97	a87	a97	a30	a4	a93	a96	a93	a90	a4	a90	a98	a47	a36	a90	a56	a43	a31	a88	a9	a53	a69	a58	a57	a82	a3	a97	a87	a97	a27	a57	</S>
cette	0.0526942	0.0588803	0.0403552	0.057593	0.0469689	0.0187382	0.0205296	0.0317853	0.0433453	0.0191924	0.0290173	0.0330118	0.0359094	0.0324101	0.0136622	0.0125716	0.00839614	0.00762633	0.00784543	0.0118178	0.0170885	0.0172279	0.0195294	0.0258762	0.059949	0.0272915	0.0381588	0.0289645	0.0322128	0.0220749	0.0236307	0.0270976	0.0236169	0.0549309
femme	0.00938433	0.00742444	0.00885125	0.027952	0.03847	0.0394946	0.0492613	0.0367303	0.0526025	0.0414519	0.0314354	0.0224156	0.0230597	0.0245042	0.0327475	0.0422726	0.0469896	0.0668974	0.0568551	0.0829606	0.0896699	0.0353706	0.0388714	0.018972	0.0156034	0.00731925	0.00618702	0.00325583	0.00490342	0.00459242	0.00480602	0.00684205	0.0074097	0.0144365
est	0.00995547	0.0166744	0.0131461	0.0150236	0.0129651	0.0104992	0.00725947	0.0163047	0.021287	0.0316963	0.0330828	0.0689607	0.102954	0.0913727	0.140341	0.0818536	0.0789716	0.0277016	0.00944329	0.0030016	0.0106995	0.00676325	0.011475	0.010731	0.00798268	0.0150553	0.00989306	0.0111926	0.018765	0.0277334	0.0236162	0.0120974	0.0291698	0.0123317
en	0.0044919	0.0057497	0.00740055	0.00433597	0.00453507	0.00443372	0.00699782	0.0086877	0.0077642	0.0106176	0.00839503	0.0124039	0.0388219	0.0739877	0.155393	0.174598	0.175178	0.0649308	0.0629145	0.0683241	0.0173437	0.0149161	0.0156003	0.0119154	0.00854798	0.0043805	0.00441368	0.00465025	0.00412839	0.00340864	0.00285531	0.00260788	0.00249324	0.0027764
train	0.00689779	0.00922775	0.0147013	0.0132435	0.0108179	0.013265	0.012549	0.0114646	0.0142489	0.0173105	0.0337305	0.0492229	0.0739907	0.114723	0.107161	0.0955175	0.0594017	0.0554659	0.0580202	0.0396416	0.0246743	0.0360474	0.0244683	0.0168421	0.0127396	0.0113208	0.00637482	0.00839056	0.00750309	0.00631842	0.00821729	0.0104997	0.00824236	0.00775953
d'	0.0154704	0.0123804	0.0103759	0.00668416	0.00406416	0.00413716	0.00442586	0.0208614	0.0322263	0.043257	0.0524669	0.016957	0.0214621	0.0223425	0.0114184	0.00931664	0.00554524	0.00464509	0.00243227	0.00495074	0.00672705	0.0122082	0.011803	0.0146831	0.0168756	0.0291846	0.0453993	0.0531712	0.0874766	0.103713	0.0989494	0.0690352	0.0626965	0.0826575
éplucher	0.0133652	0.0147372	0.0239434	0.0402434	0.0324955	0.0357755	0.0369204	0.045794	0.0454334	0.0672573	0.0688319	0.0561535	0.0687137	0.0591487	0.0357222	0.0279207	0.0258974	0.024732	0.0363717	0.0277963	0.0389418	0.0307849	0.0164265	0.0109369	0.00820081	0.0098431	0.00708732	0.00927052	0.0101671	0.0154823	0.0121061	0.00965291	0.0142198	0.0196267
les	0.038849	0.0151863	0.007448	0.00592151	0.00358244	0.00387148	0.00330358	0.00743674	0.00742077	0.0152906	0.0161877	0.0116951	0.0111138	0.0118011	0.00618124	0.00453843	0.00465376	0.00333071	0.00972973	0.0112798	0.0439036	0.047958	0.0617899	0.05712	0.0553175	0.0505061	0.0452333	0.0541861	0.039156	0.0418036	0.0593962	0.058387	0.0754054	0.111016
tubercules	0.0393234	0.0160305	0.00688247	0.00258257	0.00248555	0.00204329	0.00216415	0.00413304	0.00351199	0.00621548	0.00819564	0.0114478	0.0122025	0.0147375	0.0137534	0.0169584	0.0179722	0.014329	0.0251247	0.031061	0.06507	0.0797443	0.074189	0.0532568	0.0703522	0.0488132	0.0607003	0.0494003	0.0535686	0.0485346	0.0453443	0.03354	0.0341902	0.0321416
de	0.0604358	0.0418088	0.0229452	0.0146507	0.00740656	0.00582949	0.00360817	0.00757233	0.0052114	0.0118187	0.0106924	0.0145702	0.0126141	0.0173478	0.0115863	0.0118364	0.0132297	0.0122161	0.0259117	0.0251716	0.0377469	0.0557817	0.0370199	0.0223047	0.0353848	0.0274117	0.0435317	0.0514217	0.0439537	0.0417996	0.0474408	0.0684734	0.0816013	0.0696648
manioc	0.0588708	0.0412429	0.0259816	0.01719	0.00986027	0.00735721	0.00413195	0.00676219	0.00806113	0.00919055	0.00618058	0.00774521	0.00452074	0.00796764	0.00808738	0.0112728	0.0139584	0.0120791	0.0190726	0.0224491	0.0338806	0.0433714	0.0308459	0.0206162	0.0419121	0.0330112	0.0515467	0.0704663	0.0551413	0.0563343	0.0518396	0.0613855	0.0725554	0.0751112
</S>	0.0710517	0.0534701	0.0305167	0.0266327	0.0168439	0.010834	0.00713937	0.0165832	0.0108727	0.00713811	0.00226948	0.00281605	0.00328086	0.00531153	0.00407307	0.00453442	0.0038539	0.00321954	0.00860835	0.0121474	0.0255816	0.0221037	0.0222028	0.0184133	0.0370187	0.027016	0.0371703	0.0569608	0.0516971	0.0504961	0.0537817	0.079765	0.083672	0.132924
