 	a87	a10	a97	a87	a97	a87	a23	a44	a15	a92	a56	a93	a62	a93	a90	a98	a5	a18	a66	a62	a31	a88	a13	a38	a62	a70	a13	a99	a97	a87	a23	a53	a15	a5	a18	a62	a75	a25	a92	a43	a75	a85	a36	a26	a27	a54	a6	a36	a2	a57	a87	a3	a87	a97	</S>
cette	0.022919	0.0260422	0.025105	0.0218747	0.0402825	0.0319957	0.0429288	0.0240385	0.0198527	0.0176568	0.0137859	0.016247	0.0227772	0.0345864	0.0275701	0.0414961	0.0534248	0.0316913	0.0256288	0.033724	0.0212124	0.0323548	0.0446007	0.0264215	0.00622616	0.0192305	0.0129252	0.0122987	0.00649512	0.00835068	0.00881317	0.0114811	0.00995503	0.00747532	0.00703366	0.00399379	0.00427984	0.00506009	0.00632595	0.00776803	0.00524405	0.0102312	0.00719222	0.005234	0.00897536	0.00881962	0.0137775	0.0067778	0.00699271	0.0188542	0.0091575	0.0109929	0.0103277	0.0106664	0.0308276
jeune	0.00454918	0.00586036	0.00771096	0.0104636	0.0197136	0.0180351	0.0897378	0.047677	0.124033	0.154597	0.139459	0.0813135	0.0419131	0.02261	0.0350426	0.00505869	0.00383774	0.0049144	0.00915633	0.00499261	0.00305035	0.00582932	0.0111531	0.00496811	0.00531	0.00541683	0.00819882	0.00678281	0.00519161	0.00546276	0.00615514	0.00989448	0.0121827	0.0059349	0.00990797	0.00503809	0.00669385	0.00817838	0.00386989	0.00593507	0.00329881	0.00413017	0.00328769	0.00209579	0.00292329	0.00226182	0.00178982	0.000836294	0.000906807	0.00142677	0.00174945	0.00208349	0.00212531	0.00314503	0.002109
fille	0.0340319	0.0258844	0.0318491	0.0268962	0.0314191	0.0182326	0.0348456	0.0141413	0.0178977	0.0186012	0.0529177	0.0171846	0.0222437	0.0154967	0.0305327	0.0278115	0.0146796	0.0228543	0.0509424	0.0310396	0.0414307	0.0325231	0.030587	0.0203377	0.0497104	0.0231479	0.019811	0.0303373	0.0113398	0.0102485	0.00879303	0.0128998	0.0126453	0.00748722	0.00553333	0.00685733	0.00877929	0.00362587	0.0032549	0.00343809	0.00562421	0.00948506	0.0127025	0.00682463	0.0104366	0.0110595	0.00879488	0.00253216	0.0072945	0.0038695	0.00517215	0.00823033	0.00752905	0.0155099	0.00264546
est	0.028244	0.0180384	0.0127809	0.0106569	0.00776591	0.00559964	0.00602375	0.00510599	0.00370603	0.00391402	0.00445406	0.00311207	0.00699861	0.0212099	0.0337063	0.0369584	0.0306555	0.0191094	0.0290527	0.0224345	0.030527	0.0365188	0.0281589	0.033069	0.0345408	0.07407	0.0433725	0.0635221	0.0283479	0.0171393	0.0248489	0.0215164	0.023935	0.0174304	0.0131195	0.0205474	0.020198	0.0128733	0.0115329	0.0109655	0.00900144	0.0142543	0.00697003	0.00705213	0.00601547	0.00789353	0.00811027	0.00761542	0.00617325	0.00937839	0.00546697	0.00767276	0.00718839	0.00911151	0.0123359
indolente	0.00995409	0.00993553	0.0107272	0.0136608	0.0247362	0.026858	0.0172974	0.0202693	0.0332051	0.016405	0.0212497	0.0076599	0.00631543	0.00635724	0.0069598	0.0152752	0.014739	0.0169627	0.0127029	0.0141561	0.0168807	0.0132389	0.014237	0.0153226	0.0187394	0.0270685	0.0358013	0.0387387	0.0457726	0.0340213	0.0349312	0.0401184	0.0271864	0.0492216	0.0469455	0.0401795	0.0314926	0.0257374	0.020325	0.0171798	0.0112954	0.0139236	0.00664233	0.00546144	0.00645625	0.00691097	0.00684087	0.00560139	0.00371073	0.00928844	0.00533541	0.004711	0.00587389	0.00506655	0.0043165
en	0.014467	0.0113752	0.00922742	0.0077492	0.0065777	0.00520598	0.00322332	0.00246491	0.00240484	0.00165157	0.00191346	0.00299951	0.00726037	0.0199361	0.0206468	0.0349281	0.0534181	0.0478206	0.0564971	0.0483892	0.0451558	0.0598278	0.0471643	0.0332554	0.0153108	0.0269304	0.0307087	0.0257436	0.0266603	0.019251	0.0187755	0.0203397	0.0158672	0.0103478	0.00539981	0.00347844	0.00355966	0.00311208	0.00481073	0.00473286	0.00414395	0.00853088	0.00905993	0.00814924	0.011611	0.0127356	0.0203062	0.0299561	0.0182972	0.0162055	0.0141726	0.0118392	0.0108231	0.013509	0.0320722
effet	0.00649039	0.00289467	0.00266436	0.00255449	0.00295042	0.0035074	0.00178525	0.00252744	0.00291116	0.00251873	0.00154796	0.0020628	0.00224302	0.00511796	0.00742681	0.0116542	0.0157467	0.0103814	0.022691	0.0134288	0.0194016	0.0144158	0.0114069	0.0139721	0.0414108	0.0315832	0.0402587	0.0758485	0.0555742	0.044896	0.0428148	0.0506105	0.0379987	0.0373954	0.0305238	0.0505166	0.0525116	0.0302552	0.0374544	0.0174059	0.0153047	0.0191129	0.0195048	0.0109954	0.0111845	0.0102548	0.00887109	0.0142313	0.0074216	0.00467268	0.00547192	0.00409362	0.00391002	0.00356552	0.00204522
elle	0.0154825	0.00749261	0.00691537	0.00559458	0.00583847	0.00730779	0.00184305	0.00160473	0.00150939	0.00199782	0.00288919	0.0027322	0.00447933	0.0131081	0.0149631	0.0298826	0.0354511	0.0362596	0.0247679	0.0325731	0.0678283	0.0263555	0.0215167	0.025263	0.0370688	0.0427046	0.0265257	0.031902	0.0355822	0.0370308	0.038661	0.0396009	0.025087	0.041083	0.0278729	0.0223168	0.0210392	0.0136523	0.0228403	0.00676699	0.00653632	0.00785249	0.00754453	0.0064578	0.00797692	0.00847945	0.0118408	0.0120825	0.00777915	0.00660833	0.0075851	0.0100119	0.00723033	0.00995799	0.0186658
n'	0.0316216	0.0222188	0.0151936	0.0127532	0.00863782	0.00723148	0.0029705	0.00265591	0.00275886	0.00441272	0.00524984	0.0061443	0.0086911	0.0125942	0.0168741	0.0249479	0.0233027	0.0300196	0.024069	0.0253656	0.0305603	0.0277975	0.0282097	0.0275041	0.0265339	0.0295469	0.0223395	0.0183361	0.0182755	0.0211751	0.0171301	0.0176133	0.0146786	0.0132146	0.010733	0.00969057	0.0103302	0.0111543	0.0128284	0.0103531	0.0103928	0.013447	0.016575	0.0122463	0.0208418	0.0234986	0.0325387	0.0320215	0.02554	0.0281374	0.0250186	0.0223731	0.0243734	0.0275008	0.0197775
est	0.0170935	0.0192918	0.0177982	0.025194	0.0264129	0.0388325	0.010743	0.0121395	0.0146325	0.0116999	0.014033	0.0140401	0.0173342	0.022256	0.0256099	0.0343386	0.0348319	0.0349381	0.0278126	0.0310516	0.0366735	0.0222535	0.0228905	0.0211001	0.0182683	0.0210374	0.0182054	0.0162617	0.0142842	0.0159875	0.0173697	0.0193739	0.0174208	0.0151082	0.0147425	0.0117758	0.0118986	0.0128429	0.0137912	0.011093	0.0108733	0.0117173	0.011358	0.00930665	0.0120025	0.0124079	0.0167056	0.0148012	0.0108386	0.0127837	0.0110523	0.0156953	0.0136982	0.0161811	0.0181157
