 	a66	a87	a97	a10	a75	a5	a92	a56	a75	a92	a56	a75	a47	a37	a56	a75	a21	a12	a47	a88	a62	a56	a96	a47	a96	a98	a47	a36	a2	a57	a87	a23	a18	a99	a57	</S>
dans	0.0435103	0.0462331	0.0324352	0.0304987	0.0330006	0.0273415	0.0289533	0.0481358	0.0359608	0.0286549	0.0167054	0.0219034	0.0196018	0.0212079	0.0175329	0.0125512	0.0123332	0.0133691	0.0104062	0.00929004	0.0101547	0.0250258	0.020878	0.0250457	0.0253832	0.0233099	0.0268591	0.0222032	0.0234686	0.0202855	0.0221339	0.0454483	0.0429501	0.0598348	0.0416514	0.0557423
la	0.0251611	0.0281156	0.028969	0.0208577	0.0185907	0.0263355	0.0241961	0.0239352	0.0163591	0.0148811	0.0120027	0.0145236	0.0108874	0.0141015	0.0123765	0.0200544	0.0167778	0.0208964	0.0165781	0.0220895	0.013779	0.0170869	0.0198704	0.0215686	0.0326273	0.039674	0.0449633	0.0368119	0.0327216	0.037018	0.0555475	0.0491462	0.0525943	0.0544651	0.0536198	0.0508172
ville	0.0624678	0.0499725	0.0407987	0.0409131	0.0343118	0.0726863	0.0999243	0.128973	0.0783919	0.0745825	0.0499888	0.0333614	0.0226118	0.0176424	0.0137383	0.0123254	0.0132367	0.0104199	0.0189039	0.0232481	0.0108577	0.00718801	0.0088591	0.0085342	0.0101999	0.0115007	0.00869521	0.00727795	0.00713946	0.00347779	0.00410078	0.00323033	0.00175344	0.00251701	0.00321248	0.00295731
de	0.0620077	0.0412249	0.0261022	0.0284241	0.0239201	0.0286854	0.0256861	0.0162831	0.0144148	0.0124916	0.00763389	0.0068016	0.00966494	0.0103607	0.0139409	0.0180495	0.0100303	0.00844729	0.00863623	0.0171393	0.030037	0.017346	0.0177147	0.0217906	0.0173009	0.0195538	0.0242014	0.00992659	0.0167419	0.026459	0.0485442	0.0800683	0.0674664	0.0708715	0.0939017	0.0481314
boundji	0.0658146	0.0220514	0.0133581	0.00820024	0.00359654	0.00629842	0.0108618	0.0147505	0.0137278	0.0123305	0.0139032	0.0117084	0.0128963	0.0152473	0.014346	0.033665	0.0472336	0.0498985	0.0369898	0.0311563	0.0272083	0.0276625	0.0454488	0.0494715	0.0389003	0.0326898	0.0428321	0.00761137	0.0111915	0.026003	0.0318608	0.0373366	0.0408366	0.0373309	0.0796494	0.0259322
une	0.0605569	0.0264213	0.0145379	0.00770177	0.00279006	0.00183422	0.00213743	0.00166559	0.00150845	0.00137845	0.00154486	0.00212101	0.00516576	0.0120596	0.0158115	0.0278225	0.0221687	0.0292545	0.0195003	0.0350079	0.0962877	0.128121	0.0960647	0.117474	0.0907635	0.0340938	0.0585537	0.00904329	0.0104299	0.0106317	0.00982563	0.0128183	0.011906	0.00696363	0.0101217	0.00591315
gerbe	0.0821027	0.0530134	0.0466415	0.0418609	0.0128811	0.0106531	0.013219	0.00698694	0.00501404	0.00342489	0.00260207	0.00253539	0.00497858	0.0107887	0.0191386	0.0306424	0.0222694	0.0382242	0.0239878	0.0253085	0.0321466	0.0682815	0.0427685	0.0701437	0.0523098	0.0217359	0.03872	0.012003	0.0146497	0.0290636	0.0231852	0.0299506	0.0256597	0.0234185	0.0345564	0.0251342
d'	0.0165689	0.0110683	0.00819833	0.00470294	0.00598997	0.00384312	0.00342761	0.00385618	0.00298497	0.0028828	0.00238234	0.00304331	0.00343745	0.00426287	0.00449138	0.004463	0.00466458	0.00680242	0.00416433	0.00733381	0.0127463	0.0216699	0.0205016	0.0382219	0.0414915	0.0340382	0.0931382	0.0350828	0.0395275	0.0584845	0.0751337	0.103025	0.121522	0.0871923	0.0644325	0.0452233
arachide	0.0443996	0.0402851	0.0182881	0.00984676	0.010721	0.00723897	0.00716632	0.00949364	0.00774645	0.00733454	0.00510772	0.00791949	0.00799799	0.0112244	0.00890899	0.0118852	0.0119014	0.0164118	0.0114548	0.0148993	0.0247749	0.0357239	0.0307612	0.0467453	0.0389334	0.0200057	0.0421117	0.0181026	0.0255186	0.0613177	0.0560279	0.0660521	0.066108	0.0543306	0.0866294	0.0566254
coûte	0.0676262	0.0434394	0.0278958	0.0122079	0.0147051	0.0112296	0.0107332	0.0140263	0.00995709	0.00835538	0.00636377	0.00959263	0.00929693	0.0107602	0.0089813	0.00833572	0.00991706	0.0178937	0.0154995	0.0202682	0.0189659	0.0171382	0.0232738	0.028421	0.0258374	0.020221	0.032124	0.0137479	0.0244282	0.0549613	0.0526935	0.0590311	0.0567385	0.0569964	0.0999557	0.0783814
