 	a87	a40	a6	a21	a61	a93	a13	a93	a90	a96	a53	a56	a70	a75	a44	a90	a44	a98	a6	a11	a75	a47	a73	a44	a38	a4	a93	a35	a36	a57	a87	a23	a54	a36	a26	a57	a38	a75	a44	a13	a54	a47	a5	a61	a62	a47	a83	a18	a26	a57	a87	a23	a87	</S>
tout	0.0138581	0.0107697	0.0106833	0.0242644	0.042763	0.0453811	0.0410335	0.0334741	0.0475067	0.0593761	0.0665538	0.0592055	0.0635928	0.0540196	0.0346078	0.0213788	0.0200512	0.0110813	0.00860203	0.011349	0.0099187	0.00805831	0.0103649	0.0127697	0.0143986	0.0164881	0.0112413	0.0145142	0.0101985	0.0109541	0.00747995	0.0113056	0.0135281	0.00808489	0.0107451	0.0102753	0.0132398	0.00915113	0.0116006	0.0103733	0.00925678	0.0128146	0.00634842	0.00864786	0.0047203	0.0040504	0.00556463	0.00499625	0.00466426	0.0055107	0.00330517	0.00664623	0.00621101	0.0130213
en	0.0223259	0.0284801	0.0295698	0.0276421	0.031731	0.017583	0.0183536	0.0214532	0.0226839	0.0240618	0.0313743	0.0161266	0.0225723	0.0197249	0.0178813	0.0215645	0.0183047	0.0179074	0.0195534	0.0197881	0.0214466	0.0176557	0.0108655	0.0175941	0.018983	0.01772	0.0185215	0.0254578	0.0197495	0.0192533	0.0205257	0.0214059	0.0134235	0.0142874	0.0215773	0.0220305	0.0134861	0.019944	0.0153342	0.0110288	0.0143964	0.00933062	0.00853738	0.00935265	0.0107662	0.0171744	0.0171453	0.0230797	0.0146274	0.0155705	0.0111091	0.0130057	0.0112557	0.0156767
chantant	0.0548414	0.0500334	0.0413762	0.0683191	0.0529905	0.0469996	0.0298682	0.0146417	0.0184463	0.020741	0.0187894	0.0211761	0.0266758	0.0270118	0.0199095	0.022418	0.0294668	0.0570558	0.0153902	0.0209071	0.0235202	0.0180526	0.0150841	0.0129166	0.0166163	0.0116411	0.0222289	0.0210348	0.0227336	0.0191587	0.0205073	0.0168789	0.0204948	0.0127942	0.0117372	0.00799363	0.00413317	0.00550975	0.00364761	0.0032395	0.00140006	0.00263794	0.00151681	0.00182754	0.00191098	0.0023225	0.00341739	0.00386984	0.00496903	0.00582685	0.0079194	0.00357893	0.00577624	0.0060457
les	0.117705	0.0465321	0.0151632	0.0328977	0.0339292	0.0242047	0.0289608	0.0228617	0.0194769	0.0227927	0.0247406	0.0213804	0.0250544	0.0278905	0.0246346	0.033227	0.0223551	0.0314627	0.0180968	0.0199924	0.0221696	0.0177053	0.0257431	0.0253944	0.0174178	0.0152358	0.0127769	0.0118064	0.0121524	0.0169532	0.0137259	0.0182614	0.0114606	0.00973775	0.0093919	0.00852909	0.00554069	0.00755459	0.00507416	0.00554238	0.00276225	0.00749453	0.00249601	0.00205977	0.00324408	0.00472224	0.00761002	0.00716688	0.0112785	0.0111872	0.0128181	0.0120287	0.012224	0.0173753
femmes	0.0105908	0.00624262	0.00538078	0.00565575	0.00448696	0.004096	0.00435325	0.00390068	0.00401984	0.00579734	0.00637881	0.00428849	0.0085532	0.0120693	0.0225809	0.0284646	0.0261318	0.0238725	0.0218143	0.0243571	0.0515528	0.0348034	0.0262941	0.0887434	0.076899	0.0831147	0.0616034	0.0428019	0.0278418	0.0249941	0.0216446	0.0158071	0.0263605	0.0205204	0.0252582	0.025627	0.0183698	0.0155762	0.011481	0.00962121	0.00509353	0.00560323	0.00389457	0.00386751	0.00176495	0.00229207	0.00239463	0.00596119	0.00402051	0.00597408	0.00307799	0.00432972	0.00365483	0.00612162
d'	0.0144919	0.00666212	0.00494289	0.00497302	0.00389231	0.00264381	0.0026909	0.00370401	0.00402518	0.00477563	0.00610045	0.00514166	0.0093655	0.0222086	0.0309431	0.0746788	0.0500014	0.0964888	0.0658662	0.0482842	0.0646902	0.0688988	0.0389568	0.0951119	0.0349961	0.0414429	0.0284465	0.0276206	0.0200883	0.0168834	0.00940758	0.0114684	0.00867621	0.00594245	0.00708971	0.00657659	0.00335748	0.00309984	0.0024861	0.00229001	0.00155364	0.00261379	0.00205291	0.00153615	0.000952723	0.00199229	0.00153136	0.00318083	0.00705602	0.00234095	0.00428906	0.00326186	0.00246004	0.00576806
ongondza	0.00917786	0.00354698	0.00219924	0.00301749	0.00337677	0.00273105	0.00323335	0.00381767	0.00378958	0.00527837	0.00823633	0.00613623	0.0132167	0.0223213	0.0214948	0.0499512	0.0362369	0.0577855	0.0648501	0.045805	0.0574858	0.059028	0.0323377	0.0796806	0.0455675	0.051224	0.0446111	0.0454657	0.0366367	0.0301466	0.0186638	0.0209228	0.0134324	0.00991743	0.00853016	0.00589594	0.00348733	0.00515829	0.00326844	0.00353723	0.00342466	0.00428477	0.00297847	0.00231204	0.00198699	0.00224224	0.00299602	0.00650883	0.00623229	0.0048881	0.00655738	0.0052909	0.00430607	0.00479126
sont	0.03242	0.010261	0.00723792	0.00658833	0.0043428	0.00786254	0.00654343	0.00716966	0.00671298	0.00786565	0.0111728	0.00808502	0.0122896	0.0271631	0.025011	0.035218	0.0273212	0.0483598	0.0732634	0.0634493	0.0601844	0.0733835	0.0249315	0.0730181	0.0345996	0.0338936	0.0182045	0.0206538	0.00811834	0.00834898	0.00436156	0.0048008	0.00312978	0.00257717	0.00455054	0.00678436	0.00280018	0.00369665	0.00344667	0.0045571	0.00395466	0.00763251	0.00643524	0.00593599	0.00432349	0.00962378	0.00954562	0.0170397	0.023337	0.013504	0.0225286	0.0165653	0.0170776	0.0181179
en	0.0135362	0.00674876	0.00382865	0.00297835	0.00281556	0.0034318	0.00266813	0.0030937	0.00457416	0.00715608	0.0074555	0.00565183	0.0142977	0.00993922	0.0183648	0.0194051	0.0179313	0.0198797	0.04021	0.028759	0.0417857	0.0349185	0.0240539	0.0439837	0.0423012	0.0430415	0.0337712	0.0385528	0.0212805	0.0230242	0.0176745	0.0142699	0.013212	0.0136886	0.0204156	0.0203995	0.0166114	0.0175997	0.0176889	0.0164187	0.0149057	0.0159718	0.00989457	0.00801969	0.00404684	0.00772424	0.0090888	0.0266497	0.0152462	0.0185356	0.0287887	0.0302299	0.0258868	0.037594
train	0.0104191	0.00679848	0.00393545	0.00395269	0.00402924	0.00385109	0.00344733	0.00482998	0.0051679	0.00802652	0.00762633	0.00524577	0.0126891	0.0102037	0.0158205	0.0146732	0.015373	0.0226261	0.0386431	0.0190764	0.0318923	0.0450431	0.0260721	0.0447596	0.0406822	0.053842	0.0444936	0.0437272	0.0261091	0.0335963	0.0289216	0.0310047	0.0237755	0.0255857	0.0251195	0.0202529	0.0151299	0.0247455	0.0186529	0.0166608	0.0130865	0.0115661	0.00973228	0.00457974	0.00336385	0.00492946	0.00616216	0.0148041	0.0115943	0.0171442	0.0188671	0.0163786	0.0200341	0.0112561
