 	a23	a87	a23	a87	a23	a30	a53	a20	a69	a58	a15	a56	a96	a93	a90	a4	a13	a61	a31	a61	a62	a83	a9	a83	a54	a85	a21	a61	a70	a98	a44	a98	a85	a5	a47	a75	a12	a61	a47	a93	a69	a58	a82	a87	a23	a87	</S>
sa	0.0122172	0.0201681	0.0151792	0.0184755	0.0174332	0.020954	0.0421328	0.045195	0.0281502	0.0349037	0.0669217	0.0608519	0.0690563	0.0807792	0.0484369	0.0347435	0.0313316	0.0215543	0.0108479	0.00834379	0.00878024	0.00791464	0.00697773	0.00710816	0.00509481	0.00453995	0.00334875	0.0031617	0.00381508	0.00495659	0.00501788	0.00396029	0.0038491	0.00334875	0.00341238	0.00565821	0.00908017	0.0185584	0.0259393	0.0253775	0.0323939	0.0320277	0.0196007	0.0180852	0.0180647	0.0111909	0.0210611
joue	0.00229382	0.00487956	0.00600529	0.00583739	0.00576496	0.020151	0.0398291	0.0349387	0.0570804	0.150749	0.0781183	0.102295	0.102484	0.0577716	0.0841418	0.031004	0.019837	0.0076364	0.0132517	0.0103842	0.016797	0.00602531	0.00925355	0.00677445	0.00405461	0.00552091	0.00418792	0.00936893	0.00943612	0.006692	0.00764172	0.00609616	0.00785081	0.00714048	0.00828426	0.00524846	0.00441246	0.00482167	0.00304097	0.00197705	0.00447184	0.00539291	0.00261343	0.004512	0.00578906	0.00667231	0.00147077
s'	0.00940948	0.0133338	0.0153072	0.0341661	0.0192488	0.0316354	0.0379214	0.0425189	0.0383626	0.0569329	0.0162873	0.0109675	0.0182556	0.0222788	0.0216384	0.0309417	0.0207146	0.0271145	0.029653	0.0490467	0.0666686	0.0619109	0.05695	0.0729809	0.0392657	0.0262391	0.0144317	0.0166814	0.0140397	0.0102821	0.0133715	0.00692482	0.00421908	0.00383506	0.00359601	0.00326088	0.00273474	0.00355372	0.00338079	0.00308077	0.00366514	0.00335982	0.0032365	0.00503289	0.00407	0.00493605	0.00255743
est	0.0172678	0.00963454	0.0092885	0.0127979	0.00919664	0.0102812	0.00768878	0.0152105	0.0269274	0.0161253	0.0109077	0.0112994	0.0130666	0.00963612	0.0074078	0.00975782	0.00683786	0.0232069	0.0309926	0.0402093	0.0469536	0.0575775	0.0509934	0.0851105	0.0422538	0.0396503	0.0426332	0.0255913	0.0187154	0.0131564	0.0196175	0.0144956	0.00820638	0.0125404	0.0130912	0.0166514	0.021425	0.0200051	0.0147976	0.0166523	0.0145071	0.0159415	0.0178778	0.0152421	0.0140185	0.0150356	0.0295189
contusionnée	0.00905968	0.0130467	0.0166024	0.0314927	0.0383576	0.0253654	0.0219767	0.0415125	0.07006	0.10205	0.0694704	0.0653363	0.0323014	0.0277003	0.0227191	0.0215251	0.0238563	0.0227168	0.0243834	0.0284702	0.0132084	0.0292442	0.0171208	0.0111338	0.0139524	0.00672799	0.00575658	0.00309247	0.00348073	0.00762416	0.00783092	0.0210946	0.019281	0.0131705	0.0131288	0.0102387	0.00900771	0.00964571	0.00777071	0.00717287	0.00885436	0.0113186	0.00918686	0.00925134	0.00974739	0.00888987	0.00506577
suite	0.0185021	0.0131618	0.0105302	0.00616367	0.00912238	0.00486537	0.00435946	0.00595907	0.0167258	0.021014	0.0207368	0.026093	0.0297333	0.022584	0.0155822	0.0300367	0.0255297	0.0285896	0.0264157	0.0348614	0.0207711	0.0219871	0.0215384	0.0120541	0.011411	0.0115762	0.00905276	0.00416724	0.00439384	0.0122107	0.00761008	0.0101585	0.0113476	0.00912006	0.0116053	0.0154079	0.0170368	0.0318394	0.0351501	0.0448859	0.0324616	0.0527055	0.0382253	0.0509413	0.0421537	0.042126	0.0474964
à	0.034382	0.0210705	0.0152693	0.0134541	0.0187405	0.0121975	0.0174908	0.0149348	0.0172943	0.025848	0.016207	0.0193854	0.0162998	0.0235763	0.0150064	0.0111787	0.0115087	0.0121435	0.0139969	0.0153892	0.0116312	0.0158346	0.012555	0.0115733	0.00952847	0.00776078	0.00966684	0.00547279	0.00541713	0.0102731	0.00763408	0.00599958	0.00526201	0.00632594	0.00861978	0.0157885	0.0146258	0.0223886	0.0272885	0.0506391	0.0365388	0.0414055	0.0415472	0.0725465	0.0587563	0.0556432	0.083904
la	0.0201474	0.01862	0.0113127	0.0102369	0.0104633	0.0110768	0.0182094	0.0135279	0.0146566	0.0143161	0.00521703	0.00816539	0.0143523	0.0200079	0.0278743	0.0302772	0.0235339	0.0268422	0.0228444	0.0242868	0.0225335	0.0240581	0.0173225	0.0218374	0.0147636	0.0139949	0.0156902	0.0141956	0.0164796	0.015969	0.0269921	0.0141037	0.011218	0.0106138	0.0172885	0.0184623	0.0234558	0.026803	0.0286839	0.0421266	0.0303809	0.0306978	0.0291872	0.0476175	0.0321796	0.0358295	0.051547
giffle	0.0214173	0.0330598	0.0146801	0.0102971	0.00957421	0.00818533	0.01443	0.0161402	0.010415	0.0130467	0.00758091	0.00702031	0.0100933	0.00722639	0.00723459	0.0128139	0.0103737	0.0181418	0.0261008	0.0200049	0.0184165	0.0131822	0.0101907	0.016577	0.0126336	0.0128982	0.0151759	0.0169058	0.0210341	0.0307708	0.030773	0.0260145	0.0259652	0.0173496	0.0293624	0.016868	0.0225009	0.0193255	0.0181218	0.0240923	0.0250133	0.0445327	0.0507479	0.0523744	0.0652264	0.0441494	0.0419616
qu'	0.0222427	0.0266662	0.0142841	0.00785408	0.00760526	0.00309495	0.0058075	0.00387131	0.0062873	0.00582985	0.00226234	0.00534147	0.0110218	0.0118683	0.00717829	0.0172468	0.0133743	0.0224839	0.0145741	0.0147956	0.0105015	0.00924633	0.00894251	0.00850985	0.00692815	0.00588637	0.00672751	0.00536578	0.00548358	0.0137898	0.0116877	0.0121708	0.0116505	0.011066	0.0175822	0.0179804	0.0207259	0.0361462	0.0409514	0.0384656	0.0425237	0.0720144	0.0742745	0.0707552	0.0704242	0.0750988	0.0714112
il	0.0389668	0.0436121	0.0281953	0.0236012	0.0203197	0.010468	0.00926939	0.00649119	0.00846276	0.00700312	0.0051466	0.00921832	0.0180574	0.0130542	0.0109155	0.0153116	0.0104448	0.0187792	0.00671097	0.00812095	0.00589358	0.00486502	0.00554654	0.00465666	0.00245415	0.00304224	0.00359182	0.00200303	0.00327381	0.00682369	0.00604772	0.00515896	0.00502556	0.00801121	0.00954536	0.0169169	0.0401874	0.0527648	0.0608011	0.0484412	0.0505846	0.0570886	0.0452436	0.0501777	0.0508193	0.0579074	0.080979
a	0.020989	0.0141502	0.0118675	0.00788782	0.00622318	0.00270457	0.00249578	0.00273662	0.00325672	0.00514192	0.00300766	0.00405465	0.00423794	0.00655317	0.00560047	0.00663979	0.00730087	0.0164528	0.00763855	0.0157952	0.00998102	0.0128734	0.00905689	0.00992745	0.0073882	0.0057104	0.00754726	0.00478708	0.00445435	0.0068327	0.00678548	0.00669963	0.00650817	0.0104653	0.0141965	0.0396235	0.0496513	0.0604021	0.064675	0.0618565	0.0556799	0.0635168	0.0556179	0.0646483	0.06276	0.0636172	0.0800032
