 	a66	a87	a23	a94	a98	a85	a98	a85	a37	a61	a88	a71	a9	a53	a25	a56	a43	a75	a43	a75	a85	a36	a26	a40	a47	a36	a2	a57	a10	a53	a15	a41	a37	a5	a44	a53	a90	a94	a13	a82	a10	a87	a97	a99	a97	</S>
cet	0.0164213	0.0181888	0.0264557	0.0183576	0.0263994	0.0319476	0.0545381	0.0556893	0.0504016	0.0311878	0.0317237	0.0358584	0.0570979	0.0478206	0.0421644	0.0475341	0.0392537	0.0432543	0.0308021	0.024375	0.0174531	0.0152278	0.0212671	0.0214402	0.014388	0.0146876	0.0123593	0.0119195	0.0124003	0.00837031	0.00436365	0.0025275	0.00338717	0.00297069	0.00269531	0.00363711	0.00631444	0.00435724	0.00642397	0.0109653	0.00929699	0.00941394	0.0084223	0.0115895	0.00933195	0.0253184
enfant	0.00509842	0.00777275	0.0221747	0.0376565	0.0834889	0.0931459	0.211671	0.139542	0.0648358	0.048214	0.0343441	0.0161625	0.0159135	0.0277225	0.0207999	0.0119556	0.0104082	0.00821559	0.00674454	0.00699883	0.00759049	0.00615325	0.00421418	0.00605816	0.00269126	0.00337232	0.00786049	0.00833292	0.0164752	0.0116587	0.011702	0.00639121	0.00794717	0.00733757	0.0037008	0.00251664	0.00173638	0.000643606	0.000793281	0.000499346	0.000523362	0.000765752	0.00108883	0.00157619	0.00200539	0.00350021
ne	0.0316526	0.0126529	0.0168687	0.0291382	0.020639	0.0319058	0.0472653	0.0743271	0.0478451	0.0291255	0.0270033	0.0365689	0.0403754	0.0545784	0.0415457	0.0487662	0.0346992	0.0277971	0.035718	0.0392647	0.0285375	0.0148927	0.0228087	0.0211526	0.0170788	0.0266121	0.0275647	0.0127087	0.0091775	0.00694316	0.00676408	0.00476126	0.0062997	0.00307581	0.00532064	0.00397621	0.00380294	0.00280468	0.00358775	0.00174339	0.0030434	0.00490905	0.00411186	0.00471239	0.0156377	0.0102351
veut	0.0123669	0.00625077	0.00451172	0.00733443	0.00770466	0.00730072	0.0097589	0.0180208	0.0174988	0.0150857	0.013675	0.0101323	0.0196358	0.0371902	0.0215727	0.0335743	0.0355428	0.0264817	0.0306066	0.0504274	0.0473987	0.0352952	0.0332421	0.0305233	0.0314159	0.0397301	0.0407035	0.0400467	0.0309919	0.0304574	0.0263001	0.0211252	0.0204846	0.0128276	0.0099347	0.00236327	0.00303021	0.00343971	0.00439539	0.0061932	0.0136393	0.0293	0.021484	0.0213092	0.0229268	0.0367696
pas	0.0426229	0.0384616	0.0233042	0.0262556	0.0149712	0.0156231	0.0106682	0.0122052	0.0252323	0.014784	0.0207786	0.0191131	0.0254462	0.037765	0.0317822	0.0326324	0.0463996	0.0400342	0.0350437	0.0339856	0.0376773	0.0483069	0.0329692	0.0392927	0.0319742	0.023961	0.0157102	0.0219511	0.00702522	0.022026	0.014517	0.016601	0.0186681	0.0207487	0.022847	0.00939726	0.0064091	0.00440909	0.00435104	0.00498219	0.00633019	0.00517426	0.0120289	0.00491977	0.00822106	0.0123926
travailler	0.011705	0.00524908	0.00372491	0.00417015	0.00229251	0.0033316	0.00398573	0.00843639	0.0179096	0.0130373	0.0121839	0.0144803	0.0212006	0.0352844	0.0265342	0.0408573	0.0458381	0.065223	0.0733929	0.0740148	0.0809644	0.07602	0.0608507	0.0634395	0.0410761	0.0330681	0.0275554	0.0168493	0.00915145	0.00557813	0.00583302	0.00611448	0.00745614	0.00497326	0.00772681	0.00692748	0.00727361	0.00829501	0.00736886	0.0061168	0.00489093	0.0051265	0.00772071	0.00437776	0.00591588	0.00647799
c'	0.0216139	0.00768598	0.00755382	0.0101388	0.00753154	0.0101145	0.0127912	0.0138159	0.0223085	0.012757	0.0136937	0.0120759	0.0165754	0.0236859	0.0246445	0.0237233	0.0403102	0.0298563	0.0403921	0.0506106	0.0546538	0.0620243	0.0511547	0.0540861	0.0554635	0.0418047	0.0409894	0.0304262	0.0134686	0.0125501	0.0104301	0.0111065	0.00998395	0.00624257	0.0101153	0.00743177	0.00914984	0.0145122	0.00922412	0.0076622	0.011062	0.0130947	0.013051	0.0120138	0.0149625	0.021457
est	0.0493748	0.0296102	0.0369558	0.0347768	0.0252802	0.0346868	0.0309466	0.0174597	0.0131507	0.0110762	0.0143413	0.0155447	0.0257201	0.0248828	0.0253316	0.0298156	0.0383988	0.0382791	0.0444567	0.0582384	0.0546134	0.0360657	0.0475213	0.0436189	0.0225752	0.0292008	0.0198024	0.0112731	0.0123917	0.0100578	0.0046925	0.00399671	0.00291308	0.00162513	0.00181957	0.00354745	0.00540392	0.00769871	0.00866544	0.0063405	0.00962686	0.00977575	0.0114513	0.00977627	0.0188003	0.00841919
un	0.042594	0.0299965	0.0210876	0.0195071	0.0115908	0.00851663	0.00552322	0.00670081	0.00738174	0.00618928	0.00437878	0.00497953	0.00899266	0.0165592	0.0106245	0.0251614	0.0274782	0.0282099	0.0331858	0.0429192	0.0387774	0.0387945	0.0311399	0.0357592	0.0328216	0.0310415	0.027859	0.0331202	0.0379837	0.0231772	0.0210513	0.0208536	0.0128331	0.020322	0.0105823	0.0141571	0.0122931	0.0165511	0.0154597	0.0135858	0.00987362	0.0216845	0.0285336	0.0225772	0.0384509	0.02914
paresseux	0.0274732	0.0239476	0.0108785	0.00859867	0.00514678	0.00441758	0.00409468	0.00566511	0.0183928	0.0162066	0.0139969	0.0141352	0.0226643	0.0416515	0.0294926	0.0343533	0.0361269	0.035044	0.0295775	0.0391475	0.029887	0.0335289	0.0246099	0.0282174	0.0287397	0.0194696	0.0216032	0.0355651	0.0309034	0.0234114	0.0227724	0.0205384	0.0142519	0.0183125	0.00886813	0.00805369	0.00855081	0.0143819	0.00664491	0.00540702	0.00657055	0.0169225	0.0411021	0.0244183	0.044693	0.0415647
</S>	0.0207156	0.0163672	0.0127197	0.0105395	0.00891188	0.0100982	0.0118555	0.00669933	0.00879742	0.00274613	0.00261029	0.00408651	0.0103598	0.0180057	0.0150419	0.027069	0.0290421	0.0353821	0.0291421	0.0294836	0.0339638	0.0313475	0.0372664	0.0503952	0.0423539	0.0395828	0.0340096	0.0284504	0.0305872	0.010913	0.0125344	0.010559	0.00947595	0.00635034	0.00794776	0.00656808	0.0102902	0.0124702	0.0102019	0.0101596	0.018265	0.027834	0.0391053	0.036574	0.0435283	0.0895928
