 	a66	a87	a23	a53	a54	a37	a6	a92	a90	a98	a47	a92	a37	a44	a75	a6	a36	a85	a6	a0	a75	a5	a37	a5	a36	a27	a53	a90	a79	a44	a58	a82	a87	a23	a87	</S>
cet	0.03263	0.0603024	0.0467713	0.0405803	0.0711229	0.0412291	0.0189454	0.0198258	0.0320351	0.0294349	0.01863	0.0130014	0.0113829	0.00453681	0.00515537	0.00590335	0.00965147	0.0112093	0.0260991	0.0233806	0.0209371	0.0328093	0.0125819	0.0119059	0.0098113	0.0204377	0.026883	0.0441146	0.0377915	0.0295598	0.0454035	0.0389363	0.0348111	0.0278643	0.0193686	0.0649567
enfant	0.00128014	0.00360958	0.00677235	0.0113667	0.0370832	0.169054	0.11551	0.106968	0.0923719	0.0547244	0.0381574	0.0574968	0.0411464	0.0562531	0.0250202	0.0370423	0.0194635	0.0310894	0.0148155	0.0069797	0.00636096	0.00825588	0.00823323	0.0083378	0.0131557	0.0100602	0.00449157	0.00463316	0.00219929	0.000913725	0.000573233	0.00118759	0.000482388	0.000798368	0.0018276	0.00228483
prend	0.0113508	0.0096094	0.010303	0.0156161	0.0324019	0.107934	0.129485	0.121728	0.1085	0.0904353	0.0453112	0.0185186	0.0180596	0.0120028	0.0143069	0.0126702	0.0127327	0.00906667	0.0053325	0.00406471	0.00310082	0.00264261	0.00218562	0.00497968	0.00672126	0.00962196	0.00405516	0.00369007	0.00462404	0.00508059	0.00301397	0.0128235	0.00869737	0.0116977	0.0494939	0.0781426
bien	0.0349402	0.0140578	0.0170865	0.0152169	0.00801954	0.0143267	0.0184914	0.0374452	0.0337905	0.0252818	0.0223359	0.0132705	0.0326852	0.0430242	0.0504738	0.0591956	0.0568699	0.0352544	0.0175278	0.00811057	0.0171175	0.0156475	0.0185929	0.0297411	0.0266603	0.0356251	0.0209577	0.0240733	0.019915	0.0253618	0.024752	0.0247008	0.0241072	0.03359	0.0286872	0.0730662
soin	0.0308542	0.0383306	0.0458826	0.0572786	0.0280902	0.0167928	0.0161884	0.0194921	0.0185322	0.0186125	0.0209042	0.0205473	0.0349337	0.0354803	0.0476359	0.0649558	0.0350531	0.0541978	0.0349994	0.0490331	0.0490685	0.0502953	0.0417761	0.0346374	0.0204397	0.0207135	0.0133343	0.0147673	0.00991756	0.00747279	0.00867976	0.00684679	0.00609662	0.00950326	0.00755399	0.0111027
de	0.0159739	0.0104875	0.0115461	0.0133705	0.0470347	0.0615347	0.0894765	0.108708	0.12704	0.131191	0.0822981	0.041463	0.0222212	0.014015	0.0181262	0.0120022	0.0204017	0.0146026	0.0151903	0.00738437	0.00687994	0.0080697	0.0050295	0.00355918	0.0039051	0.00596622	0.00611715	0.00751543	0.013102	0.0104733	0.014639	0.0128142	0.0104402	0.0103283	0.0104776	0.00661529
ses	0.0268453	0.0112525	0.0124748	0.0121099	0.0132783	0.0123344	0.0158588	0.0285975	0.0340611	0.0425146	0.0468518	0.0455893	0.0402929	0.0347459	0.0554736	0.0502987	0.0472072	0.0410657	0.0259977	0.0196153	0.0148507	0.0126214	0.023024	0.0201395	0.0269141	0.0379603	0.0272541	0.0361904	0.0335262	0.0252187	0.0276318	0.0204105	0.0199336	0.0175089	0.0224843	0.0178662
cahiers	0.0574145	0.0326279	0.0321893	0.0391498	0.0293579	0.0191198	0.0265828	0.0325856	0.0409154	0.0515874	0.0546573	0.0326855	0.01655	0.0115178	0.0169263	0.0148477	0.0195729	0.0176639	0.0178727	0.0212358	0.0225633	0.0210784	0.0413622	0.036379	0.0267869	0.0381925	0.023754	0.0236066	0.0361207	0.0309713	0.0325453	0.0221357	0.0156984	0.0120338	0.0175411	0.0141708
scolaires	0.059657	0.0642837	0.0430671	0.0501129	0.0442397	0.0295118	0.0179601	0.0308488	0.0251279	0.022425	0.0207665	0.0210697	0.0170472	0.0208046	0.0173296	0.0323022	0.0253427	0.0325211	0.027358	0.0187887	0.0176776	0.025271	0.0198556	0.0416687	0.0476706	0.0399243	0.0176557	0.0182455	0.0172363	0.0166463	0.0136589	0.0301673	0.00924881	0.0106034	0.0279375	0.0259685
</S>	0.0424703	0.0594836	0.0386026	0.0623002	0.0759214	0.0362584	0.0215733	0.0290515	0.0484634	0.0525778	0.0619769	0.0381263	0.017966	0.00786121	0.00972432	0.0104826	0.0114533	0.0126082	0.0210271	0.0161953	0.0140302	0.0109963	0.0118312	0.0145308	0.00746551	0.0102339	0.00731598	0.0146108	0.0209594	0.0126943	0.0301063	0.0268839	0.027799	0.0268429	0.02854	0.0610356
