 	a66	a10	a82	a10	a87	a10	a87	a23	a83	a18	a70	a53	a90	a25	a79	a96	a62	a88	a62	a12	a96	a98	a15	a44	a53	a15	a69	a7	a84	a87	a38	a70	a4	a57	a4	a13	a57	a3	a87	</S>
cette	0.0177434	0.0182159	0.0192663	0.0224605	0.0210893	0.0149968	0.0120421	0.0133292	0.011607	0.0158056	0.0170039	0.0230281	0.0258777	0.0224578	0.0207674	0.0504524	0.0720396	0.0394647	0.048968	0.0255653	0.0173554	0.028866	0.0430265	0.0226086	0.0448819	0.037652	0.0381552	0.0217989	0.0395074	0.0267227	0.0287617	0.0264654	0.0175895	0.0139307	0.0159767	0.0210981	0.0126031	0.0106411	0.00854626	0.0116319
affaire	0.001628	0.00139306	0.00436339	0.0141047	0.0237012	0.0322053	0.0402497	0.0425148	0.0450745	0.0479297	0.0950147	0.0540419	0.0712303	0.0364796	0.0304584	0.0407466	0.0753147	0.0449894	0.0257508	0.0288817	0.0201335	0.0279004	0.0359208	0.0293012	0.0292837	0.0220238	0.0146193	0.0123834	0.0144025	0.00772657	0.00673564	0.00586398	0.00139638	0.000909565	0.00177351	0.00141015	0.00235287	0.00294799	0.00431056	0.0025319
exige	0.0739289	0.0375771	0.0364446	0.0430355	0.0296394	0.0383722	0.0209165	0.026863	0.0296198	0.0290271	0.0325796	0.0344696	0.0404075	0.0345478	0.0361571	0.021733	0.0165171	0.0182616	0.0187597	0.0276054	0.0150723	0.00951331	0.00506638	0.012915	0.00808988	0.00546304	0.00895433	0.0182213	0.0113234	0.00997123	0.00835635	0.0117015	0.0101805	0.0142944	0.0111264	0.0160631	0.0320112	0.0318238	0.0455352	0.0678547
la	0.0641932	0.0547253	0.0420889	0.0236863	0.0233302	0.0279812	0.0101738	0.0102576	0.00895229	0.00889394	0.00870276	0.0146427	0.0140116	0.0125487	0.0184732	0.0175827	0.0188818	0.0209923	0.0395022	0.0650416	0.0440945	0.0405092	0.0307781	0.050425	0.0248094	0.0382842	0.041904	0.0381087	0.0271614	0.016468	0.01236	0.00901023	0.00698642	0.00753074	0.00693155	0.00803106	0.0114221	0.0190021	0.0204016	0.0411194
présence	0.0360245	0.0381542	0.0303264	0.0241414	0.0191008	0.0306517	0.0192922	0.0185119	0.0127641	0.0212966	0.0447087	0.00925245	0.0146002	0.0222196	0.0388047	0.05348	0.0474698	0.0496509	0.0624023	0.0791366	0.0428285	0.0575832	0.0288455	0.027059	0.0208753	0.0195992	0.0191568	0.029585	0.0175757	0.00891408	0.00989466	0.00530867	0.00440408	0.00391932	0.00246821	0.00281181	0.00512647	0.00499082	0.00727645	0.00978835
de	0.0403407	0.0358512	0.0330186	0.0301807	0.0130411	0.0175393	0.00805794	0.0105542	0.00918357	0.0141682	0.0150889	0.0173533	0.0175891	0.0334882	0.0176172	0.0372692	0.0339938	0.0473699	0.072985	0.0581048	0.029972	0.0173882	0.0151931	0.00821493	0.0109917	0.0122055	0.0199485	0.0240395	0.0123416	0.0108345	0.00652505	0.00852373	0.0109501	0.0179037	0.0129393	0.0279436	0.0318713	0.0365393	0.0396841	0.0831953
ses	0.0264209	0.0189072	0.0197852	0.0216725	0.0124882	0.0214847	0.00756628	0.00689862	0.00611761	0.00842296	0.00940605	0.00647461	0.00652628	0.00770324	0.00797841	0.0167102	0.0274865	0.0362584	0.039709	0.0535004	0.0350112	0.0263579	0.0234859	0.0132221	0.016612	0.0159995	0.021442	0.0282226	0.022905	0.0181409	0.0153477	0.0132687	0.0228733	0.0309246	0.0350296	0.0405996	0.052597	0.0575784	0.0782243	0.0706408
mères	0.0174042	0.0147459	0.0220079	0.0325857	0.0225415	0.0283612	0.0147072	0.0142065	0.0105828	0.0133024	0.0122651	0.00986875	0.0113012	0.00929576	0.00728366	0.0237123	0.0434527	0.0360194	0.0387816	0.0285589	0.0172096	0.0208039	0.0237752	0.011999	0.0151244	0.0140228	0.0123957	0.0133376	0.0153642	0.0133295	0.0158156	0.012895	0.033221	0.0346403	0.0411634	0.0622613	0.0579274	0.0558754	0.0637128	0.0541413
donc	0.026693	0.0237774	0.0294591	0.026157	0.00718341	0.00797562	0.00270538	0.00399157	0.00638421	0.0112778	0.00418313	0.0162384	0.0178202	0.0269361	0.0168386	0.0494875	0.0567347	0.0309429	0.0382398	0.0182193	0.0100349	0.00965151	0.00274932	0.00619862	0.00950022	0.00862294	0.0125449	0.0160605	0.0173274	0.0197726	0.0242634	0.0200279	0.0419858	0.0504982	0.0307097	0.0662804	0.0516936	0.0476275	0.0505269	0.0826787
ses	0.0239535	0.0192221	0.0198167	0.0197101	0.0158257	0.0151497	0.0116952	0.0120643	0.0126757	0.0131577	0.00648553	0.0141081	0.0117628	0.0130638	0.0117882	0.0229366	0.0186994	0.0305052	0.0223984	0.0300131	0.0171929	0.0276207	0.0220962	0.0216282	0.0201828	0.0177269	0.0100631	0.0154426	0.0128201	0.0198603	0.0304087	0.0187758	0.0235699	0.0258579	0.0241955	0.037857	0.0587857	0.0576084	0.0615791	0.131696
parents	0.0514939	0.0495157	0.0367351	0.040953	0.0262842	0.0309933	0.0197922	0.0240671	0.0218466	0.0219598	0.0171063	0.0204437	0.0178009	0.0185223	0.0175656	0.0185349	0.0127382	0.0274378	0.0220399	0.0338253	0.0239709	0.0255742	0.0204564	0.0202758	0.0217745	0.0251533	0.0138211	0.0237468	0.0114401	0.0124359	0.0111575	0.00783745	0.0130552	0.0124801	0.00927748	0.0306207	0.028123	0.0313514	0.0322171	0.0955751
maternels	0.0452412	0.0397656	0.0359277	0.0303436	0.0144194	0.0191255	0.00840696	0.00994879	0.0138509	0.0238251	0.0113819	0.0343203	0.0256763	0.0335188	0.0307962	0.027774	0.0226925	0.0248432	0.0251588	0.0158647	0.0150248	0.0139062	0.0117334	0.0119152	0.0172057	0.0174797	0.0161738	0.0236024	0.0195601	0.0144227	0.0171382	0.0142411	0.0183657	0.028892	0.0128377	0.0359337	0.0323655	0.0347046	0.0321825	0.119434
</S>	0.0602305	0.0398422	0.0248105	0.019955	0.0206547	0.0145943	0.00926398	0.00848311	0.00769876	0.00743294	0.00465373	0.0148424	0.014242	0.0147542	0.01363	0.0249754	0.0232209	0.0281845	0.0344784	0.0276061	0.0258038	0.0301275	0.0291515	0.0194416	0.0230889	0.0209045	0.0169158	0.0422774	0.0322764	0.0129368	0.0230293	0.0163581	0.0242933	0.020813	0.0193991	0.0373297	0.0502863	0.0381301	0.0418865	0.0619968
