 	a66	a87	a10	a57	a30	a10	a87	a79	a62	a88	a31	a43	a31	a24	a21	a47	a62	a31	a62	a31	a43	a75	a25	a98	a47	a21	a85	a36	a2	a57	a87	a57	a83	a75	a47	a85	a92	a56	a44	a11	a62	a43	a25	a69	a54	a98	a79	a25	a79	a25	a69	a53	a69	a4	a58	a84	a57	a87	a23	a97	a87	</S>
avec	0.0491965	0.0712339	0.0646217	0.0571282	0.0199145	0.00635888	0.00532667	0.0101577	0.0235155	0.0240372	0.0234441	0.0250209	0.0232904	0.051087	0.0633831	0.0262069	0.0392207	0.0252532	0.024097	0.029675	0.0204415	0.0316595	0.0248808	0.0220507	0.0168756	0.00614088	0.00650521	0.00881101	0.0145341	0.0104036	0.0194171	0.00864296	0.00693918	0.00824564	0.00537739	0.00725792	0.00386854	0.00536368	0.00321848	0.00390277	0.00183055	0.00321214	0.00363618	0.00421838	0.00420056	0.00601232	0.00761045	0.00250915	0.000933195	0.00165896	0.00121967	0.00115467	0.00155048	0.00243601	0.00267699	0.00527618	0.00854747	0.00513363	0.00605689	0.00940887	0.00727683	0.0167349
la	0.00272122	0.00373396	0.0033522	0.00234028	0.00385811	0.00800778	0.00962716	0.0071647	0.00722413	0.0127952	0.0161851	0.0134807	0.022122	0.0201067	0.0127854	0.0132645	0.0185084	0.0239717	0.0228751	0.0161129	0.00936417	0.0147754	0.0141087	0.0176557	0.0142783	0.0224788	0.0175683	0.0120883	0.00758838	0.0122461	0.0106697	0.0137969	0.0225284	0.0135329	0.0183928	0.0135868	0.0146207	0.00644939	0.0114583	0.00549849	0.0096616	0.0117414	0.00972746	0.0102034	0.00898106	0.0147702	0.0110016	0.0111291	0.0131065	0.0127876	0.0164131	0.011112	0.0296478	0.0378997	0.0426856	0.0626647	0.0332103	0.0341438	0.0231131	0.0275264	0.0323647	0.023185
manière	0.00446957	0.00339837	0.00193264	0.00483115	0.00867122	0.0183146	0.0290205	0.02135	0.0164317	0.0116604	0.0147926	0.0160681	0.0174256	0.0293254	0.0135543	0.00928234	0.0094674	0.0105317	0.015641	0.0284555	0.0183475	0.0307236	0.0134205	0.0217338	0.0192326	0.0221435	0.0246964	0.0140658	0.0138639	0.00862981	0.0124576	0.0127867	0.0270437	0.0216891	0.0264223	0.0412517	0.0415898	0.0723422	0.0454749	0.0430838	0.0384056	0.0148889	0.0165886	0.0131915	0.0068257	0.00940328	0.00220391	0.00324378	0.00170255	0.00211702	0.00183228	0.00203181	0.00226181	0.00313934	0.00381553	0.00493094	0.00453576	0.00595676	0.00798276	0.0083484	0.0205527	0.0104175
dont	0.0952693	0.0468589	0.0181983	0.00987597	0.0116919	0.0177372	0.0161039	0.0155228	0.00540221	0.00361314	0.00330936	0.00400152	0.00527215	0.00711629	0.00457043	0.00576618	0.0127706	0.014677	0.0182072	0.0302294	0.0226839	0.0317144	0.01566	0.0136033	0.0134024	0.0107276	0.0229659	0.0122009	0.0242058	0.0113714	0.0185094	0.00984072	0.0187829	0.00714284	0.0159678	0.0139022	0.0203485	0.0166234	0.0142105	0.0448744	0.0456045	0.0266754	0.0367076	0.0448746	0.0147206	0.0338429	0.0108236	0.021523	0.00198843	0.00279855	0.00292908	0.00501153	0.00371331	0.00473381	0.00316997	0.0021142	0.00266252	0.00607183	0.00611643	0.00494092	0.00801086	0.0060347
il	0.0234815	0.0165261	0.00853272	0.00389041	0.00349651	0.00346978	0.00310048	0.00224317	0.00134836	0.00148429	0.00190591	0.00364282	0.00395792	0.0036529	0.00398588	0.00452092	0.0103743	0.0203583	0.019014	0.0253806	0.0228974	0.0159372	0.0110403	0.017219	0.0198919	0.025193	0.0279561	0.0247809	0.0378036	0.0229678	0.031599	0.0289612	0.0470964	0.0193046	0.0285711	0.0204238	0.0151182	0.0134448	0.0115377	0.0219592	0.0215801	0.0208288	0.0215429	0.0485003	0.0200419	0.0435628	0.0158222	0.0139177	0.00214011	0.00307254	0.00457348	0.00560864	0.00817306	0.00752327	0.00841138	0.0089352	0.00882695	0.0121586	0.0174639	0.0169342	0.0407317	0.0215804
remblaie	0.0093869	0.00304567	0.00147803	0.00140592	0.0016613	0.00305978	0.00334641	0.0016503	0.000690535	0.00060805	0.000925353	0.00108758	0.0018109	0.00200288	0.00230025	0.00436058	0.0104718	0.00798642	0.0128736	0.0223958	0.0183298	0.0381764	0.0429214	0.0384368	0.034818	0.0288595	0.0356029	0.0334922	0.0206656	0.0425999	0.0346986	0.0619649	0.0573997	0.0367669	0.0439451	0.0432381	0.0274354	0.0453752	0.0367953	0.0277557	0.0303611	0.02414	0.0231381	0.0251015	0.0102756	0.00890665	0.00478264	0.00702681	0.000976383	0.000736009	0.000784968	0.00077254	0.000859705	0.00104721	0.000827365	0.000924416	0.00182158	0.00214133	0.00316078	0.00410943	0.0031219	0.00315851
les	0.0272618	0.011792	0.00489593	0.00255335	0.00184	0.00166846	0.00145677	0.00269406	0.00377397	0.00193813	0.00286187	0.00287386	0.00449896	0.00452266	0.00698891	0.00860762	0.0147774	0.0230483	0.0259662	0.0454702	0.0441341	0.051953	0.0298134	0.0260045	0.0287982	0.0278926	0.0305495	0.0262615	0.0427495	0.0397748	0.0602285	0.0591928	0.0765511	0.0228565	0.0439522	0.0269383	0.0230555	0.0146456	0.0130765	0.00834585	0.00794179	0.0073903	0.00683649	0.00808337	0.00356851	0.00774517	0.00248102	0.00231606	0.000586355	0.00123282	0.0016764	0.0026464	0.00396823	0.00388757	0.00392951	0.00374816	0.00401185	0.0045602	0.00743048	0.00430444	0.00721618	0.00817462
trous	0.0268197	0.00767267	0.00304108	0.00134122	0.00148342	0.0015456	0.00184208	0.00511576	0.00400331	0.00428392	0.00400233	0.00533695	0.00795184	0.00630711	0.00932783	0.00570654	0.0163871	0.0148683	0.0152385	0.0240566	0.0250433	0.0160898	0.0127599	0.0107356	0.012183	0.0184994	0.0147786	0.0146295	0.0243524	0.0332806	0.0384767	0.035187	0.0435157	0.0171779	0.0241926	0.0181391	0.0238526	0.0103881	0.0122011	0.0125698	0.00976346	0.00808513	0.00868207	0.0164822	0.00725317	0.0174728	0.0099883	0.0182864	0.00443282	0.0164612	0.0146831	0.0113863	0.0181452	0.0246225	0.0168145	0.0269634	0.0316304	0.0284151	0.04039	0.0285184	0.0273213	0.0298179
il	0.0345685	0.0148451	0.0121435	0.00737288	0.00407226	0.00308063	0.00314287	0.00604819	0.00366141	0.00406096	0.00342011	0.00332794	0.00311784	0.00586494	0.0110729	0.00597727	0.00573005	0.0137807	0.0112159	0.0165393	0.0193852	0.00802744	0.00927094	0.0097067	0.0152895	0.0173526	0.0144227	0.0187993	0.0240333	0.032031	0.0251479	0.0218165	0.0262698	0.0196828	0.0214555	0.0182239	0.026662	0.014429	0.0181108	0.0158083	0.0102043	0.0110941	0.0121574	0.0164371	0.0112807	0.0251448	0.0158965	0.0384216	0.0067057	0.00936972	0.0125904	0.0182648	0.0134669	0.0146846	0.0116529	0.0135816	0.0219582	0.0259128	0.0436685	0.0275448	0.0465144	0.0444799
peut	0.055953	0.03168	0.0224922	0.0168264	0.0110248	0.00797579	0.0102568	0.0154918	0.00955934	0.00687478	0.00537151	0.0035458	0.00373167	0.00816257	0.00840444	0.00878223	0.00654092	0.016306	0.0122459	0.0157492	0.0161234	0.00932512	0.00987059	0.0131949	0.0137453	0.0132748	0.0112819	0.0150513	0.0201212	0.023713	0.0191816	0.0206015	0.0229108	0.0155901	0.0199983	0.015193	0.020556	0.0129595	0.0156547	0.0163727	0.0165333	0.014931	0.0159966	0.0156938	0.012991	0.0191101	0.0142605	0.0377809	0.0069642	0.00812549	0.0110142	0.0115195	0.0138992	0.0159456	0.0119634	0.0107105	0.0167531	0.0157262	0.0272634	0.0206728	0.0394263	0.0410238
en	0.0223186	0.0124768	0.00756228	0.00274771	0.000958037	0.00095635	0.00155684	0.00314157	0.0032269	0.0063654	0.0056953	0.0075751	0.0102833	0.0155467	0.0185608	0.0158236	0.0164643	0.0328411	0.0258014	0.0378582	0.026402	0.0166875	0.0176082	0.0161278	0.0190127	0.020099	0.0235545	0.0283098	0.040542	0.0409011	0.0383834	0.0346203	0.0404406	0.0179994	0.0262222	0.0191449	0.0277901	0.0154353	0.0187215	0.0202339	0.0137269	0.01216	0.0143914	0.0134009	0.00937586	0.0147286	0.0102901	0.00690957	0.00307488	0.00431945	0.00393623	0.00446465	0.00637604	0.00715927	0.00415228	0.00735255	0.0136575	0.0139288	0.0164094	0.0191005	0.0201148	0.0249736
remplir	0.00518695	0.0023855	0.00182683	0.00163754	0.00174568	0.00191023	0.00329312	0.00688988	0.00441688	0.00348688	0.00289651	0.0022836	0.00277648	0.00455755	0.00575796	0.00527997	0.00462684	0.0146961	0.00930255	0.014642	0.023285	0.00801544	0.0122496	0.00545411	0.0097345	0.0288088	0.0262472	0.028635	0.0223291	0.0427468	0.0390364	0.0285926	0.0334352	0.0197086	0.0205026	0.0216596	0.0269485	0.0150182	0.0262562	0.0251552	0.0280214	0.0295964	0.0301847	0.0248164	0.023552	0.0261878	0.0200922	0.0183109	0.00380197	0.00308278	0.00378015	0.00570204	0.00954997	0.00984975	0.00736756	0.0116048	0.026651	0.0257808	0.0307804	0.0335388	0.0364033	0.0279271
cent	0.00813317	0.00454293	0.00276915	0.0029012	0.00300891	0.00351305	0.00560215	0.00912604	0.00780605	0.00520419	0.00574221	0.00505463	0.00659694	0.0113422	0.0142132	0.0152801	0.0180436	0.0371844	0.0239413	0.0399225	0.0361971	0.0207198	0.0256908	0.00936069	0.0198218	0.0157195	0.0202772	0.0220328	0.0385522	0.0261411	0.0343268	0.0211937	0.0238468	0.0122477	0.0181739	0.0178819	0.025525	0.0123885	0.0162326	0.0211542	0.0210365	0.0178764	0.0210176	0.0185184	0.0193642	0.0193973	0.0155751	0.0113395	0.00666707	0.00511465	0.00529622	0.00429729	0.00682148	0.0107746	0.0103625	0.0167061	0.0201821	0.0163613	0.0199245	0.0216453	0.0219918	0.0223181
par	0.00579444	0.00348839	0.00265419	0.00239257	0.00213584	0.00245602	0.00354328	0.00850227	0.00688633	0.00481431	0.0048084	0.00351558	0.00502655	0.010461	0.0126663	0.00992415	0.010998	0.0281715	0.0199292	0.0273327	0.0369231	0.015791	0.0218512	0.0064061	0.0180083	0.0214506	0.0221787	0.0272544	0.0283242	0.0273817	0.0302946	0.0178849	0.0219568	0.013918	0.0143471	0.0166454	0.0183076	0.0125771	0.0171452	0.0175417	0.0186046	0.0200837	0.0210607	0.0180479	0.0206902	0.0222183	0.0194542	0.0142632	0.00704978	0.00587735	0.00756391	0.00979778	0.012322	0.0200498	0.0212364	0.0288856	0.0330576	0.0225584	0.0214954	0.0242721	0.0268676	0.0228546
jour	0.0143023	0.00594787	0.00444843	0.00267864	0.00228042	0.00278602	0.00401058	0.00845163	0.00993189	0.00999466	0.00890276	0.011913	0.0169486	0.0262598	0.0205484	0.0203489	0.0246874	0.0379523	0.0288669	0.0344495	0.0304324	0.0298344	0.0297662	0.0114522	0.0207518	0.0158417	0.0168708	0.0204961	0.0292056	0.025254	0.030295	0.0186634	0.0192002	0.0121915	0.0140742	0.0148321	0.0128566	0.011605	0.00944958	0.0147132	0.0105421	0.0114335	0.0132815	0.0126265	0.0129453	0.0142146	0.0141334	0.0089975	0.00521211	0.00522838	0.0059019	0.00826586	0.00893482	0.00887301	0.0110085	0.0173738	0.0245464	0.0206589	0.021042	0.0275033	0.0272293	0.0265514
</S>	0.0100947	0.00823832	0.00832307	0.00735317	0.00661867	0.00715431	0.0100686	0.0158236	0.0245637	0.014137	0.0128509	0.0134693	0.0152652	0.0240965	0.022449	0.0157487	0.0192645	0.0349838	0.0335917	0.0475558	0.026762	0.0215491	0.0132061	0.00738654	0.00983403	0.00715247	0.0106717	0.0141938	0.02776	0.0182879	0.02614	0.0231447	0.0262741	0.0138888	0.0241632	0.022471	0.0325241	0.0148764	0.0135057	0.0259275	0.0131607	0.0108024	0.0155994	0.0162547	0.0163515	0.0225275	0.0166597	0.00803115	0.00304127	0.00455765	0.00515713	0.0105295	0.0103418	0.0114735	0.0116882	0.012167	0.0125261	0.0112571	0.0120286	0.0139331	0.0153139	0.0152289
