 	a66	a87	a23	a87	a23	a30	a93	a90	a5	a98	a85	a92	a75	a85	a47	a21	a12	a21	a12	a21	a12	a18	a25	a10	a97	a87	a23	a87	a23	a99	a38	a26	</S>
le	0.0221762	0.0302946	0.0324268	0.038633	0.03871	0.0190726	0.039263	0.0359322	0.0203766	0.0140429	0.02499	0.0352185	0.0375111	0.0408727	0.0446853	0.0599538	0.0226853	0.0205736	0.0172611	0.0152894	0.014147	0.0177007	0.0344787	0.0458333	0.0268393	0.0385653	0.0319166	0.0262199	0.0280943	0.0207771	0.0332756	0.0251088	0.0470749
ruisseau	0.0129481	0.0227099	0.049854	0.0890565	0.0575978	0.0640904	0.0668556	0.107005	0.0526614	0.0357668	0.0852408	0.120256	0.0649985	0.105937	0.0128418	0.0134079	0.0157143	0.00297045	0.00563199	0.002464	0.00340826	0.000878622	0.000920613	0.000496583	0.000925784	0.000441986	0.000508061	0.000581978	0.000351976	0.000390621	0.000454679	0.00170231	0.000930551
vouma	0.0166968	0.0120706	0.0154939	0.0188453	0.0201648	0.0312168	0.0266573	0.10594	0.0875565	0.119202	0.117139	0.173496	0.104375	0.071725	0.0169112	0.0222006	0.0176676	0.00664497	0.00439143	0.00197551	0.00350968	0.000273587	0.000527949	0.000287229	0.00083816	0.000220807	0.000461643	0.000330425	0.000258045	0.000286755	0.000408926	0.0018123	0.00041433
a	0.0335385	0.0194751	0.0191648	0.022225	0.025882	0.0410485	0.0202597	0.0336299	0.0310214	0.0354096	0.0440488	0.0801287	0.0762878	0.0641397	0.0642808	0.0440243	0.0315049	0.0425899	0.0312039	0.0184885	0.0172156	0.0151562	0.0170621	0.00791943	0.00928653	0.0105772	0.0166359	0.0143562	0.0240094	0.0153826	0.0170346	0.0214399	0.0355724
beaucoup	0.0745036	0.0772135	0.054361	0.0436518	0.03295	0.0403956	0.0540721	0.0486664	0.0793325	0.0702442	0.0635702	0.0528009	0.0368402	0.0251339	0.031409	0.0334382	0.0276369	0.022596	0.0130569	0.0113644	0.0111335	0.00420597	0.00854762	0.00485808	0.00746966	0.00885031	0.00452291	0.00596115	0.00599496	0.00420256	0.00746954	0.00861978	0.0249266
de	0.0410758	0.0334905	0.0254546	0.0230221	0.0166772	0.0213532	0.0310572	0.0202007	0.0298598	0.0257157	0.0301406	0.024318	0.0175105	0.0264624	0.0383418	0.0305795	0.0236396	0.031977	0.0249687	0.023401	0.0224785	0.0270222	0.0338611	0.0383362	0.0441233	0.0455116	0.0373238	0.0372587	0.0317083	0.0235323	0.0428795	0.0301665	0.0465522
poissons	0.0278381	0.0263654	0.0250006	0.0266798	0.0238658	0.0234891	0.0272655	0.0297131	0.0274405	0.0195584	0.0165951	0.0134201	0.0110752	0.0123354	0.0253239	0.0354138	0.024747	0.0258565	0.032519	0.0204554	0.0362852	0.0318821	0.0239811	0.0381689	0.0410263	0.0438624	0.0499929	0.0559018	0.0489264	0.0408918	0.0390927	0.0348326	0.0401981
blancs	0.0252608	0.0237077	0.0227702	0.0340823	0.0283367	0.0296115	0.0277648	0.0443927	0.041953	0.0418101	0.0247403	0.0260624	0.0215399	0.0206447	0.0311935	0.0353418	0.0245177	0.0204181	0.022855	0.0137113	0.0397298	0.0228804	0.0225451	0.040233	0.0321113	0.0323099	0.0563277	0.0507888	0.033567	0.0306719	0.0271918	0.0207978	0.0301312
abhélélé	0.0314302	0.0287008	0.0218782	0.0265289	0.0164439	0.0111084	0.0149308	0.0265217	0.0168719	0.0196219	0.0214585	0.0171562	0.0139796	0.0166211	0.0166228	0.0208585	0.00924371	0.0189251	0.00923731	0.0215142	0.0207619	0.00842	0.0269093	0.0278039	0.0304456	0.0539657	0.0590411	0.0662301	0.0609632	0.0338044	0.0597845	0.0669184	0.105298
</S>	0.015615	0.0134555	0.0128991	0.0143317	0.00870794	0.00552894	0.00760201	0.0126926	0.00785977	0.00927413	0.0130138	0.0128157	0.0107387	0.013623	0.0174178	0.0221334	0.0130045	0.0204839	0.0155366	0.017988	0.0202058	0.0137341	0.0388685	0.0363225	0.0377988	0.0606025	0.0677593	0.0714855	0.0913897	0.0534125	0.0659241	0.0597739	0.118001
