 	a23	a87	a23	a79	a37	a96	a83	a90	a25	a56	a61	a98	a47	a7	a26	a94	a20	a7	a84	a53	a15	a69	a90	a93	a70	a83	a62	a83	a75	a92	a56	a96	a83	a62	a83	a36	a27	a10	a87	a10	a87	</S>
après	0.01757	0.0393316	0.0357888	0.03511	0.046619	0.0360729	0.0752955	0.0496633	0.0564005	0.0272776	0.0154183	0.0314845	0.0261929	0.032938	0.0400432	0.0152772	0.0245511	0.0225993	0.0214675	0.0148116	0.016164	0.011188	0.0128929	0.0200293	0.0286811	0.010835	0.0105793	0.00575178	0.00555937	0.00359275	0.00453517	0.00746537	0.0116524	0.0149087	0.0178088	0.0117734	0.0169954	0.0134552	0.0170858	0.0195082	0.013132	0.0624931
la	0.00791866	0.00770363	0.00850814	0.0143874	0.0162884	0.0215407	0.0188364	0.0151812	0.022049	0.0291406	0.0207179	0.0286388	0.0209679	0.0228195	0.0360328	0.0313408	0.0376698	0.0666667	0.0621163	0.0507408	0.0371341	0.0462486	0.0228581	0.0141192	0.0159905	0.0228017	0.0454978	0.0366526	0.0258782	0.0255999	0.0188204	0.00861641	0.0132084	0.0104018	0.0116565	0.0136621	0.0148676	0.0153122	0.0179467	0.0137024	0.0177705	0.0119887
pluie	0.0436586	0.0210506	0.0127866	0.0076491	0.00617361	0.0106174	0.00879044	0.0158618	0.0194027	0.0204778	0.0238357	0.0317729	0.0256713	0.0278696	0.0266574	0.0251191	0.0216895	0.0365583	0.0485791	0.0510552	0.0801947	0.110325	0.0944729	0.0634683	0.0471021	0.0178527	0.0333971	0.00817986	0.00728315	0.00374176	0.00294642	0.0020166	0.00185991	0.00534563	0.00407947	0.00250415	0.00733545	0.00313673	0.00512262	0.00299949	0.00775901	0.00360033
le	0.105674	0.0348649	0.0214896	0.00878068	0.0057503	0.00777151	0.00864734	0.0111598	0.00960957	0.0111839	0.0159726	0.0228552	0.0276784	0.0242803	0.0196205	0.0288642	0.0303804	0.0421667	0.0385255	0.0179238	0.0384999	0.0416624	0.0233182	0.0411144	0.0395168	0.0198286	0.0320218	0.0268695	0.0112283	0.0156644	0.0113862	0.0159027	0.0109433	0.0162004	0.013627	0.0215438	0.0164104	0.020857	0.0204588	0.0184701	0.0170579	0.0342186
chemin	0.064238	0.0275286	0.0266712	0.0194774	0.0166848	0.0135244	0.0134997	0.0294644	0.0197088	0.0207073	0.0315314	0.0231781	0.0274666	0.040099	0.0292579	0.0431293	0.0232155	0.0114156	0.0167645	0.0098326	0.0140463	0.0111479	0.0177811	0.0139037	0.0177648	0.0266979	0.0417089	0.0532252	0.0501707	0.0552352	0.0147344	0.0115885	0.00756429	0.0182089	0.0141542	0.0163668	0.0193397	0.0126805	0.0171852	0.0166068	0.0186131	0.0238807
n'	0.0529318	0.0486631	0.0338164	0.0119523	0.00711359	0.0117561	0.0142934	0.0239484	0.0140207	0.0196489	0.022943	0.0239698	0.0203723	0.0475511	0.0218972	0.0287148	0.0339889	0.0292275	0.0284637	0.016478	0.020211	0.0176293	0.0133578	0.010233	0.0121418	0.0111688	0.00964428	0.00424113	0.00361915	0.00372916	0.00560736	0.00782323	0.0101348	0.0190363	0.0177125	0.0433922	0.0478435	0.0507597	0.0540153	0.0395216	0.048319	0.0381078
était	0.0130266	0.0148475	0.015418	0.0109902	0.0091377	0.0145003	0.0126883	0.0219127	0.0155084	0.0125117	0.016285	0.0114407	0.00970493	0.0169937	0.0097891	0.0139373	0.017809	0.0223126	0.0289219	0.0307194	0.0525579	0.0568058	0.0545827	0.0446091	0.0504798	0.0524323	0.0414906	0.0146631	0.0153414	0.00956269	0.0133146	0.0103392	0.0192345	0.0220571	0.0250423	0.0336131	0.0335171	0.0313868	0.0327188	0.02548	0.0238972	0.0184187
qu'	0.0249595	0.019405	0.0203205	0.0125551	0.0118512	0.0145502	0.0153178	0.0216818	0.0204282	0.0173219	0.0215873	0.022357	0.0249712	0.0286381	0.0204879	0.0217533	0.0175599	0.0269021	0.0238507	0.0239362	0.0260809	0.0293534	0.0399008	0.0247121	0.0256596	0.01437	0.0163068	0.0190614	0.0176255	0.0162268	0.0283448	0.0153566	0.0360116	0.0280797	0.0330696	0.0400464	0.0320909	0.0374356	0.0324124	0.0302632	0.0264034	0.0207537
une	0.029755	0.0280847	0.0182581	0.0122851	0.00977861	0.00971461	0.0131238	0.00542084	0.00231178	0.00463866	0.00378837	0.00339536	0.00530057	0.00798067	0.00824098	0.00668241	0.00682247	0.00645182	0.00854472	0.00423223	0.00820026	0.00683246	0.00600777	0.012257	0.0195581	0.00742703	0.00432214	0.00328252	0.00447413	0.00304154	0.0113991	0.013291	0.0325233	0.0413853	0.0550383	0.0792612	0.0838507	0.0867046	0.0875471	0.0680585	0.0801437	0.0905835
mare	0.0173913	0.0216323	0.024054	0.0149482	0.0123388	0.0110593	0.0107598	0.0144771	0.0129575	0.010977	0.0151489	0.0175464	0.0277766	0.0562741	0.0311193	0.031824	0.0298992	0.0470293	0.0406668	0.0309504	0.0447067	0.0302308	0.0377177	0.0403976	0.0479298	0.0255276	0.0316661	0.021777	0.0189557	0.0107131	0.00787268	0.00485751	0.00755138	0.0103128	0.0147995	0.0155592	0.0254367	0.0183936	0.0349406	0.0225483	0.0347063	0.0145689
de	0.0351957	0.0532716	0.0481592	0.0356124	0.0322483	0.0292408	0.0235315	0.0176171	0.0137525	0.011676	0.00522977	0.00435933	0.00546643	0.00564245	0.00444792	0.00488498	0.00492057	0.00580452	0.00641091	0.00418451	0.00695313	0.00615707	0.00636729	0.00796105	0.010275	0.00644759	0.00348558	0.00387462	0.00675738	0.00593056	0.0209891	0.0145275	0.0270953	0.0239753	0.0409572	0.0395235	0.0613346	0.0527601	0.0779672	0.0633275	0.0639968	0.0976802
boue	0.0335875	0.0264121	0.0276975	0.0144843	0.014418	0.0139379	0.0096944	0.00811912	0.00509424	0.00432541	0.00353828	0.00346892	0.00418235	0.00702371	0.00424397	0.00490841	0.00502242	0.00813773	0.00557372	0.00393576	0.00605521	0.00504208	0.00554917	0.00669986	0.00794406	0.0104376	0.00729876	0.00531617	0.00900687	0.0108717	0.0293843	0.0245508	0.0348683	0.0372039	0.0589356	0.0612817	0.078969	0.067018	0.0864399	0.0825981	0.0750651	0.0816581
</S>	0.0388511	0.0421693	0.0408046	0.0341469	0.03948	0.029043	0.0239049	0.0134475	0.00757929	0.00670973	0.00479425	0.00285148	0.00460126	0.00383935	0.00503426	0.00387016	0.00378424	0.00409141	0.00631567	0.00379087	0.00535138	0.00592927	0.00877225	0.0106522	0.0130128	0.0112309	0.00861841	0.00702114	0.0105389	0.00758658	0.0214166	0.023407	0.0349515	0.0371071	0.0490169	0.0505088	0.0615491	0.048946	0.0646074	0.0574746	0.0617113	0.0814805
