 	a66	a87	a97	a10	a99	a54	a56	a70	a54	a41	a56	a96	a93	a56	a75	a73	a69	a93	a56	a94	a43	a75	a56	a96	a75	a79	a44	a7	a84	a57	a87	a23	a87	</S>
les	0.0321907	0.0388879	0.0370299	0.0352211	0.0417598	0.0378551	0.0439911	0.0488776	0.032061	0.0311423	0.0247091	0.0237401	0.0346573	0.0253759	0.0258265	0.0373393	0.0170992	0.0126843	0.0129149	0.0130039	0.0121243	0.024804	0.011913	0.0312759	0.0224819	0.0452213	0.0473449	0.0326211	0.028722	0.0279341	0.0247438	0.0256643	0.0235037	0.0352787
gens	0.00245429	0.00497119	0.00605655	0.0147181	0.0473269	0.0369121	0.0425984	0.0432601	0.0418799	0.0489598	0.0403046	0.034443	0.0480279	0.0385525	0.0360807	0.0283433	0.0715936	0.0762865	0.119236	0.0821895	0.0587997	0.0186742	0.0088754	0.00586573	0.00224393	0.00370443	0.00408864	0.00575673	0.00288205	0.00324697	0.0042737	0.00592408	0.00681908	0.00465022
l'	0.0370638	0.0387135	0.060737	0.0452292	0.0555421	0.0435344	0.0359893	0.0263418	0.0200692	0.0220112	0.0298807	0.0307841	0.0352313	0.0362219	0.0359929	0.0302752	0.0413234	0.0448396	0.0360897	0.0329441	0.0154447	0.0166295	0.0112814	0.00886566	0.00534344	0.0119741	0.0171841	0.0289398	0.026066	0.0325605	0.0211926	0.0231652	0.024421	0.0181179
apprécient	0.0173796	0.0101465	0.0143901	0.0149661	0.0235495	0.0224369	0.014077	0.023059	0.0261218	0.0223544	0.0196124	0.0257328	0.0241866	0.0569711	0.123753	0.075924	0.107843	0.0909563	0.10247	0.0599365	0.0272869	0.0139107	0.00777866	0.00786232	0.00419262	0.0066928	0.00659093	0.0114067	0.0068507	0.00696267	0.00748709	0.00673753	0.0048878	0.0054858
pour	0.0442273	0.0428574	0.0402016	0.0336888	0.041971	0.0471966	0.032705	0.0325193	0.0201604	0.0256019	0.0268148	0.0339039	0.0234513	0.0306305	0.0464534	0.0593365	0.0350652	0.033796	0.0328879	0.0270284	0.0363301	0.0228102	0.0221324	0.0164465	0.0146341	0.0190365	0.0128	0.0169455	0.0217282	0.0170391	0.0159866	0.0133606	0.0137448	0.0465082
sa	0.044463	0.0348748	0.0348116	0.0317753	0.0265461	0.0299251	0.0259	0.0233829	0.0233827	0.0225084	0.0209496	0.0238867	0.020764	0.0227078	0.0171771	0.0322931	0.0195281	0.018773	0.0234411	0.0133173	0.0205471	0.0215251	0.0217662	0.0370251	0.0327499	0.0417599	0.0399942	0.036382	0.0368059	0.0500537	0.0412497	0.0351745	0.033027	0.041532
façon	0.0375465	0.0342259	0.0327256	0.0295761	0.0305242	0.0297615	0.0275285	0.0291375	0.0249639	0.022012	0.0257037	0.0279277	0.0285812	0.0265246	0.0237537	0.023692	0.0170562	0.017065	0.0168652	0.0141727	0.0189332	0.0205226	0.0168792	0.0242115	0.0226879	0.0291572	0.0318052	0.037441	0.0309642	0.0519781	0.0525049	0.0466519	0.0507855	0.0461338
de	0.0969413	0.0659301	0.0394496	0.0158987	0.00742674	0.00483883	0.00597472	0.00585339	0.00273386	0.00518368	0.00659525	0.0106442	0.0114157	0.00831017	0.00549159	0.0101424	0.00735281	0.00787097	0.010011	0.00847767	0.00616294	0.0122976	0.0113868	0.0234987	0.0186381	0.0440694	0.0406054	0.0495241	0.0520205	0.076064	0.0859	0.0775389	0.101197	0.064554
travailler	0.0407759	0.0337614	0.0255575	0.0112527	0.0040118	0.00508698	0.00350485	0.00384994	0.00205751	0.00317147	0.00554691	0.0100442	0.0106315	0.00875997	0.00651475	0.0121934	0.00824209	0.00883153	0.0165157	0.0186366	0.0107931	0.0134015	0.00940987	0.0176948	0.0133908	0.053142	0.0551965	0.0871383	0.0588656	0.0723284	0.0905467	0.0885198	0.085045	0.105581
</S>	0.037274	0.0268403	0.0202813	0.010693	0.00342823	0.00364424	0.00239465	0.00249942	0.000989982	0.00163722	0.00300103	0.00496121	0.00506297	0.00451711	0.00426964	0.00647092	0.00416437	0.00437141	0.00551961	0.00524791	0.006626	0.0128887	0.00992198	0.0193164	0.0309115	0.104142	0.0876594	0.10159	0.0750697	0.0770506	0.0632958	0.0619623	0.0574028	0.134894
