 	a87	a23	a70	a75	a85	a47	a73	a2	a57	a4	a93	a47	a88	a9	a75	a85	a96	a62	a32	a0	a11	a34	a70	a61	a62	a83	a0	a34	a93	a13	a99	a87	a23	a87	a23	a87	a10	a87	a10	a87	</S>
hier	0.0342521	0.038156	0.0678823	0.0579553	0.0846142	0.124539	0.11477	0.108981	0.0311568	0.0216688	0.0141063	0.0141409	0.0173716	0.012346	0.0169969	0.013198	0.0118753	0.0069463	0.00693003	0.00957831	0.00768769	0.0105122	0.0146894	0.00828241	0.00809793	0.00737863	0.0104761	0.00973409	0.00739383	0.00940929	0.00835648	0.00789471	0.00693478	0.00424382	0.00498147	0.00831382	0.00487555	0.00599574	0.00705386	0.00985752	0.0303651
je	0.01637	0.0191251	0.0196385	0.0221204	0.0194619	0.0352092	0.0273483	0.0218787	0.0123282	0.01483	0.0262229	0.0310358	0.0200354	0.0262542	0.0180288	0.0166524	0.0211954	0.016301	0.0190563	0.0150712	0.0142728	0.00907313	0.0117962	0.0108045	0.01803	0.0242659	0.0232434	0.0233308	0.0428565	0.0454155	0.029369	0.0328095	0.0410863	0.0424769	0.0324424	0.0258133	0.0258076	0.0328441	0.0271417	0.0421996	0.026757
n'	0.0463919	0.0364528	0.0233696	0.0236788	0.0231479	0.0161006	0.0106777	0.011502	0.0199446	0.0187669	0.0590728	0.146366	0.0516153	0.0368806	0.0224135	0.0196544	0.0339219	0.0419978	0.0214503	0.0217533	0.0171676	0.00951857	0.0079462	0.00998175	0.00780827	0.00523081	0.00535038	0.00714632	0.0161597	0.0188803	0.0158648	0.0209104	0.0222922	0.0150519	0.0146544	0.0101651	0.0136408	0.0181923	0.0200605	0.0365741	0.0222448
ai	0.0141652	0.00844333	0.00746845	0.00812342	0.00788079	0.0107216	0.0133774	0.0140665	0.023851	0.0393612	0.0423747	0.0479086	0.0468197	0.0403376	0.0258596	0.0380018	0.0480649	0.041992	0.0386043	0.0406553	0.0382226	0.0261126	0.0241151	0.0257604	0.0132493	0.00852791	0.00631073	0.00435892	0.00745626	0.013915	0.0082432	0.00787168	0.0162879	0.0133134	0.0161902	0.0163699	0.024468	0.0404579	0.0232602	0.0260566	0.0813746
pas	0.0728443	0.066632	0.0657053	0.0699895	0.0545305	0.0427571	0.0536887	0.0361366	0.0208756	0.030253	0.0188347	0.0120465	0.0146077	0.0145542	0.0157594	0.0162849	0.0176323	0.0108553	0.0206972	0.0182677	0.0229258	0.0196826	0.0357059	0.0266581	0.023046	0.0146922	0.0117468	0.00973663	0.00639222	0.00917861	0.00718228	0.0068965	0.0143463	0.00566945	0.0104073	0.0143353	0.0141588	0.0143954	0.0149739	0.0243205	0.0205969
pu	0.0392703	0.0219529	0.0168969	0.0124492	0.0155419	0.0184547	0.0318167	0.0228111	0.0215269	0.0289529	0.0255425	0.0235212	0.0352222	0.0400186	0.0421152	0.0426401	0.0386258	0.0215584	0.0180274	0.020273	0.0235853	0.0195521	0.026219	0.026029	0.0178136	0.015743	0.0157762	0.0163127	0.0155911	0.0222035	0.0220608	0.0164835	0.0242371	0.0191015	0.0177484	0.0168384	0.0231631	0.0293615	0.0240102	0.0271019	0.0438503
dormir	0.036437	0.0244858	0.0201769	0.0170739	0.0225261	0.0159725	0.0182726	0.0098352	0.0135444	0.0142329	0.0181594	0.0179647	0.0139365	0.0194553	0.0210636	0.0223884	0.0302237	0.0221073	0.0193762	0.0217526	0.0218252	0.0183423	0.0203895	0.0296886	0.0243582	0.0208953	0.0224019	0.0246124	0.0293577	0.0349444	0.0374821	0.0254113	0.0317119	0.0315655	0.0282581	0.024731	0.0321277	0.0363492	0.0314406	0.0358925	0.0392296
à	0.0195178	0.0111287	0.00597353	0.00492882	0.00523083	0.0043924	0.00528782	0.00313967	0.00338652	0.00328902	0.0081152	0.0084165	0.00851783	0.0139995	0.0149761	0.0205417	0.0269615	0.0240332	0.0221471	0.0250321	0.0332622	0.0163487	0.0237662	0.0291935	0.0312243	0.0330085	0.0426793	0.0466874	0.0472492	0.0537714	0.0595995	0.036333	0.0460839	0.0423827	0.0469633	0.0313401	0.0320526	0.0410019	0.0296775	0.0285072	0.00985176
cause	0.0439777	0.0196637	0.00949557	0.00747408	0.00748292	0.00782102	0.00612937	0.00390945	0.00747274	0.00831119	0.0142404	0.0157846	0.0154053	0.0158856	0.0166713	0.0121418	0.0145604	0.0146287	0.0151342	0.0194944	0.0150667	0.0168324	0.0229905	0.0270564	0.022102	0.0225677	0.0217718	0.0327105	0.0234534	0.03786	0.0359606	0.0366247	0.0438673	0.037166	0.0418291	0.033805	0.0389899	0.0522239	0.0605239	0.0601763	0.0407375
des	0.0559977	0.0334265	0.0267572	0.0234881	0.0161269	0.0141414	0.0129135	0.00863689	0.0128259	0.0105355	0.010683	0.0166068	0.0146918	0.0117119	0.0111545	0.0102245	0.0120652	0.00918707	0.00886161	0.0133153	0.0110765	0.0110965	0.0136464	0.0179366	0.0135354	0.0116733	0.0117445	0.0147756	0.0130553	0.0210315	0.0152585	0.0185318	0.0275613	0.02011	0.0347484	0.026916	0.032447	0.0627948	0.0679692	0.0732759	0.147464
