 	a23	a3	a38	a30	a35	a76	a35	a12	a24	a25	a38	a75	a41	a35	a75	a35	a43	a0	a47	a35	a75	a73	a57	a87	a79	a76	a35	a66	a76	a90	a57	a10	a62	a75	a41	a61	a83	a94	a25	a87	a23	a87	</S>
la	0.0405245	0.0351641	0.0367501	0.0949539	0.0730482	0.106705	0.05711	0.023111	0.0207235	0.0192873	0.0175894	0.0136486	0.0140886	0.0131903	0.00797892	0.0121471	0.010545	0.0103794	0.00619982	0.00779465	0.00958643	0.00834905	0.00748439	0.0088578	0.00881707	0.00853952	0.00705639	0.00600787	0.00480673	0.00312021	0.00328836	0.0039201	0.00562698	0.012528	0.0169662	0.0270819	0.0279809	0.0311185	0.0366417	0.0228773	0.029965	0.0250351	0.0634048
pirogue	0.00258102	0.0175086	0.0245542	0.0530775	0.0477908	0.104038	0.0450348	0.0279801	0.0199635	0.0143457	0.0128951	0.00982183	0.0222864	0.0340513	0.0533367	0.0297328	0.0501925	0.086639	0.0282565	0.062734	0.0690504	0.059283	0.0438569	0.0167421	0.0195639	0.0123302	0.00843938	0.00629403	0.00270566	0.00262816	0.000997831	0.00109878	0.000693943	0.000596636	0.000338868	0.000302683	0.000554106	0.000558228	0.000642913	0.000659131	0.00104723	0.0021989	0.00259687
a	0.0371109	0.0585124	0.0523408	0.0742071	0.0658574	0.0613161	0.0465243	0.0514944	0.0404451	0.0209929	0.0154147	0.0172696	0.0159139	0.020119	0.0199522	0.0157075	0.0151057	0.0274891	0.0159817	0.0141221	0.056797	0.0160802	0.018718	0.0215527	0.0244633	0.022278	0.0276423	0.0152705	0.0214009	0.0146247	0.00925536	0.00691977	0.00262284	0.00121613	0.000691483	0.000688449	0.00249256	0.00510872	0.00623875	0.00649472	0.00973644	0.0122419	0.0115881
cassé	0.0132811	0.0131127	0.0282908	0.0192974	0.0445408	0.0342288	0.031532	0.0507018	0.0606925	0.0354252	0.0337757	0.0345755	0.0326953	0.0328449	0.0399946	0.0213821	0.026267	0.0450999	0.0292407	0.0253847	0.0414704	0.0500658	0.0375479	0.031272	0.0385153	0.0322569	0.0248123	0.0286161	0.0154092	0.010444	0.00736849	0.00648824	0.00343855	0.00204949	0.00125286	0.00111947	0.00218472	0.00176749	0.0012205	0.00209602	0.00260013	0.00331112	0.00232968
ses	0.0491956	0.0426825	0.0461242	0.0385575	0.0468517	0.046859	0.0470526	0.053884	0.042103	0.031622	0.0353398	0.0345407	0.046353	0.0241121	0.0355905	0.0277516	0.0269141	0.0155469	0.0234452	0.0119777	0.01328	0.0214019	0.00811651	0.0113908	0.0136617	0.0104085	0.00710509	0.0046177	0.00529173	0.00355896	0.00541562	0.0118303	0.00811236	0.0115125	0.00958429	0.0153695	0.0192894	0.0207679	0.0123331	0.0147731	0.0175557	0.0123451	0.0157743
amarres	0.0486692	0.026868	0.0322671	0.0257397	0.0292368	0.0314081	0.0284809	0.0295781	0.0543349	0.0546361	0.0476431	0.0475837	0.0419279	0.0270022	0.029951	0.0371517	0.0304694	0.0307272	0.029427	0.0145393	0.0269858	0.0188593	0.0087035	0.0063913	0.00747667	0.00654046	0.0044128	0.00594574	0.00603567	0.00676765	0.00726888	0.00945955	0.00834537	0.0131191	0.00682546	0.0105593	0.0203675	0.0194167	0.0184888	0.0210722	0.0291495	0.0197126	0.0204547
et	0.0330465	0.0214615	0.0227655	0.0214738	0.0156284	0.0122577	0.0154004	0.0140915	0.0217382	0.0211798	0.0125266	0.0134237	0.0105983	0.0104574	0.013413	0.0106129	0.0110985	0.0113357	0.0157251	0.0138531	0.0135232	0.0168979	0.0105782	0.00823394	0.0109158	0.0105169	0.00810962	0.0102686	0.00995162	0.00809342	0.00829351	0.00778929	0.0142531	0.0280042	0.0273548	0.0504407	0.0964106	0.0666064	0.0497739	0.0717923	0.0588836	0.0492622	0.0419584
part	0.0817413	0.0644964	0.0549547	0.0568719	0.042387	0.0301571	0.054983	0.0387712	0.0249615	0.0173551	0.0154665	0.0195235	0.0206092	0.015089	0.0126634	0.0103826	0.0114893	0.00952946	0.0150991	0.0116013	0.015024	0.0189913	0.0138122	0.0115152	0.0102609	0.0110308	0.00601179	0.0071456	0.00706128	0.00455963	0.00569033	0.0074257	0.00879502	0.0104032	0.0125085	0.0204481	0.0279199	0.0213758	0.0284772	0.0293998	0.042003	0.0332748	0.0387334
à	0.0448902	0.0348768	0.0232995	0.0278779	0.0274754	0.0217562	0.0436723	0.0368581	0.0285168	0.0238382	0.0205994	0.0245489	0.0169412	0.0149258	0.0158363	0.0159695	0.012771	0.00925069	0.0114692	0.0128773	0.0111233	0.0132008	0.0116555	0.0128793	0.00984558	0.0079517	0.00647759	0.00753906	0.00573718	0.00573599	0.00422772	0.0061707	0.00696352	0.0117713	0.0194851	0.037876	0.0492352	0.0369537	0.0477954	0.0593052	0.0493027	0.041845	0.0686718
la	0.0391843	0.0482347	0.040927	0.0468756	0.0340191	0.02668	0.0396161	0.0291535	0.0209652	0.0170912	0.0162071	0.0199835	0.0159827	0.0150407	0.0146883	0.0160068	0.0152703	0.0151129	0.0161906	0.0218134	0.0200945	0.0200206	0.0146008	0.0171497	0.0135716	0.0131016	0.00803456	0.00958457	0.0079103	0.00712335	0.00498975	0.00687898	0.00771381	0.00892357	0.0126676	0.0227067	0.0237011	0.0185336	0.0314982	0.0325037	0.0406475	0.0482415	0.100759
dérive	0.0388809	0.0277049	0.0275796	0.0268896	0.0269328	0.0259373	0.0374781	0.0299113	0.0425168	0.0317567	0.0345503	0.0426035	0.0305839	0.0237836	0.0233177	0.0339566	0.0300756	0.0236435	0.0298567	0.0319612	0.0242139	0.0218114	0.0145746	0.0143294	0.0150196	0.0102481	0.00540263	0.00791018	0.00744782	0.00683289	0.00719762	0.00986771	0.010883	0.0116188	0.013513	0.0163443	0.0217107	0.0204104	0.0270841	0.0273369	0.0265692	0.0297817	0.0299712
