 	a23	a20	a41	a2	a38	a41	a18	a24	a41	a18	a41	a27	a75	a41	a94	a54	a73	a84	a57	a87	a23	a87	</S>
les	0.156251	0.195335	0.0983107	0.0801574	0.0408955	0.0505343	0.0208979	0.0181444	0.0142762	0.0126075	0.012952	0.00977411	0.0255299	0.0214567	0.0200268	0.0201181	0.0344466	0.0259077	0.0251448	0.0424164	0.0318136	0.016627	0.0263767
gens	0.0179367	0.0196004	0.054642	0.132996	0.0783204	0.068602	0.0799522	0.0760157	0.0768414	0.0654259	0.0362746	0.0271683	0.0401101	0.0213549	0.0117401	0.00718347	0.01451	0.0173636	0.0216606	0.0351004	0.0167218	0.0356432	0.0448364
se	0.0310818	0.0953124	0.0652879	0.0852466	0.105549	0.127302	0.0183602	0.0239868	0.017361	0.0106348	0.00833021	0.0053023	0.0123792	0.0245905	0.00966482	0.0102658	0.0142246	0.0634259	0.0580601	0.0381693	0.0574206	0.0657131	0.0523312
sont	0.00313631	0.00999514	0.0121414	0.0388023	0.0560052	0.0828278	0.0538159	0.0723286	0.0844793	0.0756264	0.0586845	0.0608341	0.143457	0.0955375	0.0303999	0.0392085	0.010566	0.0150761	0.00941493	0.0110397	0.0119274	0.01169	0.013006
assemblé	0.016155	0.0164406	0.0271868	0.0217841	0.0363434	0.0373393	0.0227334	0.0454508	0.0387467	0.0291646	0.0179714	0.0110846	0.0229958	0.0263043	0.0326386	0.0473699	0.0569411	0.070565	0.0643077	0.0997185	0.077573	0.0929165	0.0882688
à	0.150655	0.0997719	0.0599494	0.0384054	0.0491753	0.0454292	0.0347976	0.0256031	0.0171654	0.00591957	0.00379515	0.00450183	0.0109811	0.0247661	0.0151509	0.039025	0.0481307	0.0530042	0.0581176	0.0478217	0.0419186	0.0342428	0.0916722
la	0.0913396	0.0843126	0.0811241	0.0813651	0.0881702	0.0620653	0.0448412	0.0545471	0.0439668	0.0232686	0.0165125	0.00937873	0.00901047	0.00954648	0.00909421	0.0117796	0.0197077	0.0188496	0.0240823	0.0519641	0.0528844	0.0418736	0.0703155
place	0.0338033	0.033808	0.0392476	0.0308437	0.0449601	0.0513302	0.0241538	0.0289462	0.028857	0.0124748	0.0127105	0.00547077	0.0177641	0.0494694	0.0353224	0.0398936	0.0595071	0.062385	0.0727134	0.0838638	0.072317	0.0936486	0.0665096
mortuaire	0.024553	0.0266435	0.0224676	0.0134977	0.0124429	0.0124444	0.00619543	0.00555025	0.00334179	0.00268835	0.00237652	0.00272118	0.00583269	0.0189854	0.0179627	0.0326914	0.0676151	0.0703304	0.0792672	0.154874	0.125653	0.150081	0.141785
</S>	0.0251333	0.0120077	0.0157188	0.00822188	0.00703289	0.00493982	0.00334984	0.00341592	0.00384574	0.00240328	0.00172246	0.00136359	0.00336549	0.0199651	0.0286814	0.0488319	0.076041	0.0568385	0.0744511	0.168939	0.126913	0.158509	0.14831
