 	a66	a87	a23	a40	a2	a11	a56	a44	a70	a88	a61	a5	a6	a54	a47	a37	a90	a15	a79	a44	a4	a13	a71	a9	a87	a23	a87	</S>
ceux	0.0642324	0.0777163	0.0639779	0.053408	0.0632994	0.129656	0.0817707	0.0711236	0.0382058	0.0260856	0.0267499	0.0277955	0.024422	0.0162881	0.0142175	0.0161139	0.0180644	0.00996346	0.00522734	0.00703166	0.00466698	0.00807309	0.0161639	0.0244442	0.020089	0.0220234	0.0265887	0.0426014
qui	0.0469565	0.0610734	0.0666908	0.0930371	0.0656804	0.0704621	0.0464032	0.0213995	0.0352991	0.0303436	0.0349114	0.0330545	0.0228674	0.0118902	0.0159618	0.0267815	0.0293475	0.0256681	0.0280991	0.00773165	0.00446164	0.00725861	0.0124841	0.016121	0.0388304	0.0373849	0.0754777	0.0343225
sont	0.0798238	0.0662514	0.0620246	0.0474187	0.0447992	0.0610221	0.041328	0.0215022	0.0132096	0.0107149	0.0102198	0.010781	0.00922179	0.00864716	0.00582109	0.010827	0.00761106	0.0158448	0.0227088	0.015567	0.0147447	0.0270043	0.0321992	0.0421684	0.0776057	0.0735474	0.10821	0.0591763
venus	0.0191671	0.0166399	0.0206315	0.014753	0.019072	0.0135277	0.00991599	0.0118276	0.0276569	0.0205406	0.0334072	0.0416275	0.038409	0.0589346	0.0524843	0.0459187	0.0429658	0.0157034	0.0232309	0.0242736	0.0475377	0.0405068	0.0571153	0.071248	0.0516164	0.0571184	0.0589092	0.0652607
acheter	0.115736	0.0488793	0.0410307	0.0246077	0.0145838	0.017356	0.0150504	0.0342773	0.0119766	0.0125656	0.0148624	0.0459136	0.035028	0.0603642	0.0312187	0.0502936	0.0374782	0.0184463	0.0235115	0.0253638	0.0338518	0.0293193	0.0392033	0.0306385	0.0371795	0.0450612	0.0409763	0.0652268
la	0.082844	0.0413347	0.0335968	0.0448122	0.036731	0.0531375	0.0575827	0.0798724	0.0350382	0.0316767	0.0317004	0.0511835	0.0424434	0.0761482	0.0520091	0.0484455	0.0283026	0.0117193	0.00692522	0.00770347	0.00808365	0.0146444	0.0188147	0.0156993	0.0192823	0.0177422	0.0226947	0.0298319
viande	0.0793018	0.0331313	0.02022	0.0115469	0.0120729	0.0170552	0.0282297	0.0464345	0.0292526	0.0261026	0.0362551	0.0346804	0.022731	0.0266246	0.0195967	0.0143602	0.0113392	0.00526221	0.00478627	0.00608749	0.015553	0.0194135	0.0373453	0.0686564	0.105373	0.0989644	0.0874107	0.0822134
se	0.164577	0.0809965	0.031809	0.00632581	0.00585449	0.00609696	0.00487825	0.00771579	0.004216	0.00292926	0.00238003	0.00720971	0.00824835	0.0157649	0.0105343	0.0110546	0.0106007	0.00927409	0.0109662	0.0125959	0.0145977	0.0214879	0.0312838	0.0401797	0.133161	0.120327	0.149201	0.0757343
sont	0.0788688	0.0309286	0.0159991	0.00481394	0.00294434	0.00465054	0.00413616	0.00973814	0.00451823	0.00363482	0.00371521	0.00919529	0.00851982	0.0111971	0.00858041	0.00698353	0.0081091	0.00772813	0.0129456	0.0204034	0.0193863	0.0341767	0.0520766	0.0638318	0.106591	0.116767	0.164908	0.184652
mis	0.0937026	0.0399926	0.029421	0.0144619	0.013476	0.0163472	0.0132382	0.021304	0.00985767	0.0100091	0.00815695	0.0120883	0.0116237	0.0139252	0.0134303	0.0145139	0.0137405	0.0099759	0.0108234	0.0157398	0.0300305	0.0487103	0.0509482	0.0461565	0.0694743	0.0856728	0.103757	0.179423
en	0.0669456	0.0359225	0.0209668	0.0051454	0.00259858	0.00528482	0.00519369	0.00747819	0.00406418	0.00307744	0.00286834	0.00358549	0.00431866	0.00582245	0.00445027	0.0083417	0.00822404	0.00907934	0.0151301	0.0290764	0.0263496	0.0322591	0.0549559	0.0681031	0.0697994	0.0825964	0.140286	0.278076
rang	0.0847793	0.0348297	0.0242727	0.0123419	0.00896451	0.0121431	0.0137238	0.0196079	0.010538	0.00784949	0.00965051	0.0177603	0.0197083	0.0254502	0.0160073	0.0192918	0.0184982	0.0112187	0.0121515	0.0154862	0.0142289	0.0217997	0.0410582	0.0493153	0.064655	0.0681736	0.1453	0.201196
</S>	0.154146	0.0742859	0.0430602	0.0131284	0.0106074	0.0159124	0.0167408	0.0207116	0.00864951	0.00646034	0.00732724	0.0142823	0.0120542	0.012442	0.0088131	0.019707	0.0161878	0.0168903	0.0169344	0.0217827	0.0181294	0.0293394	0.0572661	0.0574296	0.0495717	0.0613138	0.0947329	0.122094
