 	a66	a87	a23	a40	a92	a61	a34	a70	a93	a53	a20	a98	a6	a36	a21	a47	a62	a47	a75	a92	a56	a34	a96	a66	a61	a21	a56	a98	a79	a7	a93	a70	a13	a9	a99	a97	a87	a23	a99	a97	</S>
les	0.0497541	0.0531928	0.0598929	0.0601033	0.107577	0.130004	0.100647	0.0653265	0.0474677	0.02244	0.0165966	0.013902	0.0198042	0.0133892	0.0103035	0.00931424	0.00553285	0.00920588	0.00752319	0.00856922	0.00767475	0.0125917	0.0143647	0.0129999	0.0184143	0.0141085	0.0156135	0.012501	0.0141719	0.00961205	0.00603007	0.00434045	0.00547576	0.0062341	0.00427325	0.00389686	0.00392948	0.00642406	0.00432387	0.00401543	0.00845859
femmes	0.00257189	0.00222013	0.00471996	0.00442248	0.0327274	0.0165529	0.0338055	0.0812322	0.140304	0.111954	0.0738682	0.0448527	0.0731519	0.0485643	0.0740267	0.0831081	0.0460551	0.0276327	0.0219775	0.0198889	0.0139661	0.00936145	0.00424546	0.00493897	0.00333776	0.002221	0.00197526	0.00199556	0.00288109	0.001243	0.00157476	0.00124179	0.000944273	0.00108539	0.000532899	0.00079759	0.000764668	0.00116949	0.000458839	0.000835022	0.000793288
sont	0.0294097	0.0313146	0.0210295	0.0523654	0.0613329	0.0292503	0.022075	0.045073	0.0578104	0.0423108	0.060228	0.0452857	0.0422447	0.0336655	0.0461067	0.0455237	0.0325172	0.0353969	0.0272097	0.0235618	0.0188895	0.0212943	0.0113542	0.0186228	0.0157211	0.0177062	0.014357	0.0161348	0.00472652	0.00613354	0.00211243	0.00392746	0.00717535	0.00570819	0.00863861	0.00606446	0.00448554	0.00731943	0.00680849	0.0145714	0.00453707
en	0.0149898	0.00964868	0.00539792	0.00635725	0.0143468	0.0179197	0.0148456	0.0132469	0.0157874	0.0184778	0.0222446	0.0112033	0.021642	0.0135915	0.0236917	0.0325837	0.0371678	0.0479792	0.0603859	0.0754291	0.0527603	0.0387603	0.0386356	0.0229217	0.0203254	0.021346	0.0117069	0.0127761	0.0134172	0.0149884	0.0206774	0.0201818	0.0233857	0.0329986	0.0321558	0.0266868	0.0535982	0.0199192	0.023447	0.0142521	0.00812302
train	0.0288089	0.0282134	0.0305158	0.0231965	0.0223142	0.0182998	0.0170096	0.0196527	0.024438	0.0267752	0.0266988	0.0243375	0.0149952	0.0119307	0.019142	0.0200733	0.0215791	0.0260901	0.0300094	0.0334658	0.0372207	0.0701619	0.0758554	0.0696646	0.0546271	0.043754	0.0357501	0.0353752	0.0172763	0.0110213	0.00901665	0.00852819	0.00709577	0.0133901	0.00913884	0.00674509	0.00698167	0.00563676	0.00543816	0.00512172	0.00465451
de	0.0493772	0.0364811	0.0387252	0.0531758	0.0270718	0.0474545	0.0248857	0.0330688	0.0301383	0.0503757	0.0450086	0.0554926	0.0728886	0.0554977	0.0673649	0.0554069	0.04106	0.0320178	0.030298	0.0233861	0.0202696	0.0133987	0.00682348	0.00830543	0.00842089	0.00569765	0.00318527	0.00289853	0.00300491	0.00642731	0.00704762	0.00445287	0.00209054	0.00299753	0.00369125	0.00327602	0.00531003	0.00463702	0.00479518	0.00696558	0.00712936
couper	0.0358479	0.0219956	0.0164684	0.0201208	0.00985669	0.0220186	0.0222165	0.0154131	0.0213978	0.0438269	0.092563	0.0409796	0.0375239	0.0287471	0.0362675	0.0345397	0.037233	0.0526052	0.0589318	0.059366	0.0697392	0.0537698	0.0352856	0.0386452	0.0210492	0.0155212	0.00927	0.00737621	0.00474299	0.00475927	0.00453216	0.00282968	0.0024052	0.00309438	0.00249747	0.00187257	0.00225981	0.00210405	0.00351795	0.00236202	0.00444672
les	0.0527696	0.0306515	0.0202054	0.0238823	0.0138839	0.0196461	0.0180873	0.0164576	0.0262178	0.059364	0.0698128	0.0435504	0.0441107	0.0330985	0.0520737	0.04463	0.0411782	0.0400949	0.0259196	0.0249564	0.021803	0.0232046	0.0191975	0.0178325	0.0148172	0.0156345	0.0114776	0.0119691	0.010934	0.0104586	0.0144024	0.00821726	0.00889007	0.0144985	0.00842203	0.0118836	0.00953815	0.01488	0.0138497	0.014867	0.0226319
arbres	0.0223569	0.00988086	0.00748836	0.010287	0.010942	0.0142327	0.0151391	0.0144561	0.0281699	0.0695894	0.0795471	0.0433214	0.0410936	0.0231731	0.0543533	0.047739	0.0621744	0.049401	0.025832	0.0203171	0.0221642	0.0273828	0.0210496	0.0265846	0.0179418	0.0206011	0.0171616	0.0140625	0.00974372	0.00649041	0.0166835	0.00955642	0.0114627	0.0243856	0.0113901	0.0191516	0.015541	0.018159	0.0148055	0.0123656	0.0138221
de	0.0258028	0.0149361	0.0125621	0.0122331	0.00851176	0.00782049	0.00838667	0.010464	0.0244502	0.0420698	0.048321	0.0581247	0.0460532	0.0294159	0.0473943	0.0538453	0.0426128	0.0275689	0.0211536	0.0158188	0.0142371	0.0166699	0.0117483	0.0152881	0.0154007	0.0115355	0.0128357	0.011507	0.019524	0.017989	0.0321606	0.0155211	0.017738	0.0335449	0.0155488	0.0355278	0.0315071	0.0331169	0.0296879	0.0217817	0.0295845
