 	a23	a87	a10	a87	a99	a57	a62	a26	a35	a75	a35	a30	a2	a57	a53	a90	a9	a38	a75	a76	a94	a76	a94	a35	a14	a35	a38	a35	a41	a35	a76	a44	a38	a61	a24	a35	a75	a14	a35	a41	a35	a66	a76	a94	a98	a25	a87	a23	a87	a10	a87	a23	a87	</S>
retire	0.0697478	0.0568505	0.0487173	0.0313841	0.0191173	0.0171464	0.0120192	0.00829468	0.0143482	0.0141806	0.0153982	0.00833341	0.00947106	0.00682115	0.00802439	0.00941809	0.0111174	0.0085916	0.00643167	0.00894318	0.00878245	0.00527837	0.00530663	0.00505819	0.00566308	0.00657772	0.00604769	0.00861933	0.00818842	0.00925378	0.00957046	0.0123859	0.0095172	0.00661602	0.00478181	0.00430466	0.00373713	0.00390426	0.00492363	0.00826875	0.018718	0.0327746	0.0210407	0.0265068	0.0344995	0.0252687	0.0299372	0.0461142	0.0543606	0.0382608	0.0481862	0.0337605	0.0337372	0.0356934
l'	0.00331317	0.00385508	0.00553877	0.0124292	0.0108313	0.00836002	0.0205389	0.0248581	0.0148197	0.0181598	0.0111185	0.0256199	0.0196557	0.0225633	0.0409245	0.0349457	0.0378186	0.0304797	0.033404	0.0260848	0.044535	0.0476346	0.0328253	0.0405294	0.0268814	0.0453807	0.0366378	0.0231071	0.02127	0.00977884	0.00667703	0.00766987	0.00770531	0.00611501	0.00773454	0.00426955	0.00730622	0.00948785	0.00837683	0.0111194	0.0100301	0.0113427	0.00815083	0.0107602	0.0130444	0.0186256	0.00732467	0.017731	0.0151662	0.0138731	0.0140643	0.0168846	0.0207547	0.0118872
aiguillon	0.025991	0.0121496	0.00852096	0.013807	0.0326202	0.037674	0.0314063	0.0519913	0.0319995	0.0303298	0.029124	0.0357682	0.0181734	0.0217423	0.0162334	0.0260082	0.0271023	0.0246579	0.021463	0.0180072	0.0192597	0.0199877	0.0105511	0.0147023	0.0122296	0.0145065	0.0106267	0.0126117	0.0104827	0.00490133	0.00458412	0.00511116	0.00342261	0.00248466	0.00244512	0.00257409	0.00244093	0.00415464	0.00463192	0.00561088	0.00751519	0.00927678	0.0120387	0.0111155	0.00895825	0.0109869	0.0113507	0.0202503	0.0245312	0.034655	0.0531945	0.0366908	0.0378487	0.0394987
de	0.031936	0.0276555	0.029437	0.023016	0.0214102	0.0264219	0.0161749	0.0111817	0.0155703	0.0108851	0.0163614	0.0119159	0.00948836	0.00855527	0.00897883	0.0102499	0.0156799	0.0113075	0.00689745	0.00864901	0.0147662	0.00937792	0.0103538	0.00685948	0.00598883	0.00964543	0.00626123	0.00930629	0.00842302	0.00598396	0.00666604	0.00618897	0.00527534	0.0039369	0.00435601	0.00703668	0.00543715	0.00681431	0.0119119	0.0188514	0.0338901	0.0347075	0.0608903	0.0476234	0.0415342	0.0276818	0.0384772	0.0365185	0.0340403	0.032959	0.0320582	0.0257915	0.023063	0.0455523
l'	0.0101304	0.0125168	0.0103547	0.0088044	0.00966121	0.00996805	0.0108066	0.00985746	0.00981521	0.00821271	0.0124828	0.0227936	0.0127308	0.00771223	0.0154047	0.0168693	0.0236041	0.0278725	0.0154217	0.020601	0.0302586	0.0315393	0.0262228	0.0255874	0.0294915	0.0348478	0.0418285	0.0435271	0.0372892	0.0626458	0.0322521	0.031869	0.045025	0.0311516	0.0241687	0.0230894	0.0156149	0.00888402	0.0101537	0.00769286	0.00793141	0.0102916	0.010392	0.00823364	0.00537585	0.00617776	0.00595763	0.00613099	0.00942038	0.0108386	0.0136359	0.0103307	0.0147321	0.0117918
abeille	0.0372048	0.0362403	0.0329188	0.0394663	0.0350677	0.0293264	0.0152187	0.0127899	0.0178312	0.0125422	0.0150031	0.0233984	0.0184071	0.0134874	0.0162926	0.0282179	0.0309947	0.0328814	0.0227078	0.0324303	0.0392517	0.0469813	0.033993	0.0232893	0.0219074	0.0402919	0.023274	0.0232507	0.0137546	0.0154455	0.0102396	0.00842575	0.0179754	0.0124995	0.0064455	0.00763005	0.00504486	0.00326983	0.00538206	0.00817599	0.00765761	0.00938774	0.0100391	0.0118991	0.0067038	0.010189	0.00878435	0.00822851	0.00990726	0.00815551	0.00904281	0.0098241	0.0099007	0.0113255
qui	0.0488449	0.044081	0.0485072	0.0414002	0.0328213	0.0262336	0.0186932	0.0133034	0.0224978	0.0126078	0.0198624	0.0151884	0.00986337	0.00821769	0.0105935	0.0153336	0.0269821	0.0248645	0.0103353	0.02515	0.0363508	0.0205525	0.0192202	0.0171438	0.0121863	0.0228814	0.0116086	0.0236966	0.0158029	0.0112311	0.00858867	0.0105717	0.0157379	0.00703467	0.00329872	0.00780121	0.00318442	0.00266921	0.00525426	0.00595756	0.0067145	0.0114606	0.0092145	0.00777337	0.00657075	0.0122555	0.0114578	0.0149318	0.0182109	0.0237865	0.0386871	0.0256082	0.0229997	0.0541754
est	0.0868732	0.0548392	0.0302108	0.0318997	0.012855	0.0109127	0.00727344	0.00447999	0.00540586	0.00311144	0.00516342	0.00344744	0.00239346	0.00266413	0.00405507	0.00309495	0.00653329	0.00491682	0.00248176	0.00586454	0.00682363	0.00495357	0.003797	0.0045872	0.00332827	0.00610324	0.00494553	0.00721187	0.00585079	0.00726137	0.00406515	0.0070411	0.0107707	0.00989722	0.00848816	0.0105915	0.0067104	0.00520534	0.0105046	0.02084	0.0225832	0.0262949	0.0241158	0.0169711	0.0232232	0.0242923	0.0298314	0.0408458	0.0398003	0.0539141	0.0530349	0.0545142	0.0453867	0.107739
enfoncé	0.0503912	0.0379666	0.0377325	0.0338066	0.0351906	0.026189	0.0275294	0.0271622	0.0267566	0.016786	0.0215252	0.0183617	0.0107395	0.010398	0.0165328	0.0205879	0.0242968	0.0221776	0.0180419	0.020896	0.0295881	0.0228289	0.0173331	0.0144973	0.0107101	0.0198919	0.0156922	0.0137179	0.0116053	0.0125154	0.00630486	0.0110086	0.0160969	0.0128369	0.00539142	0.0130945	0.00887024	0.00667322	0.0102395	0.0118016	0.0128153	0.0161696	0.0144307	0.0136226	0.0104783	0.013509	0.0122604	0.0141901	0.0157829	0.014117	0.019558	0.0164053	0.0149749	0.0379201
dans	0.0696276	0.0254712	0.0198106	0.0152343	0.0105536	0.00751787	0.00714639	0.00602676	0.00540339	0.00450753	0.00427136	0.00591195	0.00456877	0.00399696	0.00543009	0.00596337	0.00967681	0.00825309	0.00626595	0.00572306	0.00830937	0.00548851	0.00532472	0.00484157	0.00426986	0.00667519	0.00505529	0.00522732	0.0038047	0.00275942	0.00236251	0.00376849	0.00550026	0.00418409	0.00266205	0.00447076	0.00425722	0.00713928	0.0134176	0.0197253	0.0294371	0.039398	0.041749	0.0460187	0.0519502	0.0439311	0.0417538	0.0559071	0.0553555	0.0476505	0.0544644	0.0435565	0.0424905	0.0557336
mon	0.030959	0.00953211	0.00593703	0.00354398	0.00276412	0.00233047	0.0025234	0.0028905	0.00197531	0.00262632	0.00190467	0.00415601	0.00373102	0.00253689	0.00344171	0.00377246	0.00452427	0.00471822	0.00570766	0.00529048	0.00689869	0.00725916	0.00765627	0.00764003	0.00749165	0.00790828	0.00706318	0.00672006	0.00678927	0.00421462	0.00446015	0.00521105	0.00548967	0.00535284	0.00493313	0.00525341	0.004332	0.00589829	0.00860922	0.0142252	0.0310859	0.037718	0.0427215	0.048985	0.0634224	0.0665693	0.0523626	0.0682485	0.0648191	0.0654613	0.0659697	0.0604593	0.0591835	0.0347222
