 	a66	a53	a4	a13	a93	a11	a98	a92	a56	a92	a37	a92	a37	a21	a47	a61	a62	a47	a96	a88	a94	a90	a98	a15	a36	a2	a84	a57	a10	a87	a23	a87	</S>
il	0.0414801	0.140306	0.109054	0.0665773	0.0516777	0.0261396	0.0195166	0.0153602	0.0164174	0.01617	0.0189341	0.02087	0.0242952	0.0150685	0.0151919	0.0117998	0.0106796	0.013066	0.0150867	0.0242607	0.0345297	0.0424448	0.025393	0.0210942	0.0285474	0.0365669	0.0193622	0.0128759	0.0206578	0.0183904	0.0206313	0.014994	0.0325614
y	0.0181885	0.0174703	0.0284859	0.0340761	0.0296335	0.0414384	0.0267712	0.0442699	0.0404224	0.0332122	0.0412394	0.019133	0.0333083	0.0324477	0.0499874	0.0381489	0.0358746	0.0359321	0.0260832	0.0174548	0.0249521	0.0334423	0.0330848	0.0259689	0.0275039	0.020086	0.0378534	0.0243504	0.0292675	0.0271551	0.0275242	0.0273181	0.0179155
a	0.0159353	0.0174858	0.017335	0.0215015	0.0243237	0.0438925	0.0442359	0.0910959	0.0715562	0.0603201	0.0471044	0.0176984	0.0168881	0.0192861	0.0143629	0.0109825	0.0112879	0.012448	0.013278	0.00748194	0.0208419	0.0204753	0.0159813	0.01616	0.0242142	0.0222047	0.0377524	0.0244751	0.0372777	0.0538554	0.03629	0.0553211	0.0566508
un	0.0782224	0.0834422	0.0737521	0.0534577	0.0200708	0.0144807	0.0113975	0.0153568	0.0130917	0.0154535	0.0272885	0.0385031	0.0408683	0.0474356	0.0481608	0.0416021	0.0431137	0.0285315	0.0318685	0.0348635	0.0229444	0.0109605	0.00910873	0.0156558	0.0173389	0.0116799	0.0149225	0.020982	0.0234749	0.0201052	0.0183825	0.0223917	0.0310917
endroit	0.0412517	0.0265815	0.0314768	0.0375048	0.0418051	0.0636926	0.0768935	0.0663119	0.0436914	0.0402976	0.047384	0.0412736	0.0396318	0.0337788	0.0317027	0.0397792	0.0542886	0.0410847	0.0489811	0.0225308	0.0241199	0.0124888	0.0132966	0.00620096	0.0114054	0.00497661	0.00665022	0.0041128	0.00611948	0.00783379	0.00959595	0.0109883	0.012269
diffìcile	0.0364461	0.0433694	0.054108	0.0703896	0.0481809	0.0884425	0.0678015	0.0623485	0.0310717	0.0215149	0.0079204	0.00507658	0.00263514	0.00444282	0.00360598	0.00295589	0.00408746	0.00428154	0.00714691	0.013573	0.023263	0.0193171	0.025723	0.019722	0.0235728	0.0240312	0.034577	0.034322	0.0524146	0.0490306	0.0335901	0.034815	0.0462228
à	0.0716516	0.0466244	0.0327212	0.0325173	0.0288755	0.0371037	0.0375291	0.0258612	0.0313502	0.0212175	0.0145152	0.0161127	0.0148733	0.01795	0.0183703	0.0199299	0.0309033	0.0140268	0.0226377	0.0217063	0.0474125	0.0457997	0.0666058	0.0393493	0.0516427	0.0194795	0.0478308	0.0418513	0.0225083	0.018093	0.0144099	0.0159434	0.0125967
pénétrer	0.0242829	0.0136842	0.0118397	0.0133614	0.0154285	0.0202754	0.0186579	0.0151575	0.0170589	0.00794812	0.00555655	0.00573113	0.00654991	0.0144806	0.013306	0.0190334	0.0232718	0.0225232	0.021242	0.0268217	0.0723069	0.0653149	0.0571864	0.0491591	0.0645711	0.0306828	0.102842	0.0862882	0.0463557	0.0403435	0.0273278	0.0244471	0.0169636
devant	0.0332333	0.0276275	0.0167884	0.0134153	0.00749599	0.0091958	0.00682129	0.00515671	0.00531714	0.00411329	0.0030362	0.00357717	0.00313543	0.00439862	0.00379186	0.00523349	0.00758142	0.00484614	0.00311327	0.0049327	0.0180781	0.0208945	0.027673	0.0351803	0.0633943	0.0568178	0.126726	0.108768	0.0768983	0.10163	0.075046	0.0729323	0.0431498
mon	0.0482449	0.0414575	0.0364754	0.0396909	0.0254968	0.0359637	0.0233691	0.0176934	0.0156923	0.0144387	0.00749067	0.00600959	0.00311529	0.00263982	0.00390087	0.00221409	0.0043459	0.00218563	0.00240746	0.00684021	0.0192373	0.0205111	0.0210261	0.0251392	0.027351	0.0389351	0.0556823	0.0840093	0.071356	0.0832874	0.0647213	0.0633187	0.085753
