 	a66	a87	a23	a83	a0	a32	a62	a21	a5	a12	a47	a12	a18	a88	a98	a15	a92	a37	a12	a43	a75	a85	a5	a47	a21	a12	a18	a25	a87	a23	a99	a97	</S>
ce	0.0575592	0.0507371	0.0695224	0.0440247	0.04432	0.016364	0.0133092	0.013703	0.0112883	0.0188283	0.0116265	0.0179166	0.0197236	0.0157415	0.0205701	0.0205667	0.0304072	0.0227153	0.0329277	0.0235373	0.0276091	0.0233069	0.0357666	0.0333489	0.0305009	0.0367226	0.0319075	0.0327982	0.0428986	0.0290392	0.0319684	0.0293631	0.059381
masque	0.0117204	0.0139648	0.0153757	0.00979534	0.00846741	0.0185499	0.0193868	0.0262411	0.020483	0.037401	0.0199828	0.0302652	0.0469416	0.0372218	0.0612459	0.0428263	0.0863798	0.0541871	0.0752319	0.0514946	0.0490945	0.0262655	0.0182488	0.0100555	0.00596282	0.00946825	0.0198063	0.0195954	0.0223742	0.0351159	0.0307697	0.0477298	0.0183508
qu'	0.0767274	0.0783536	0.0978533	0.0666852	0.0715216	0.0595395	0.0297113	0.0308361	0.0271702	0.0420758	0.0414837	0.0387572	0.0346583	0.0139974	0.0149388	0.013528	0.00993773	0.0118349	0.00844757	0.0107812	0.00976219	0.0112396	0.0142687	0.0108983	0.0161993	0.0154588	0.0151091	0.0176084	0.0197489	0.0256359	0.023899	0.0243829	0.0169499
il	0.0706681	0.0443023	0.039372	0.0421434	0.0260265	0.0211427	0.0432918	0.0167922	0.0143113	0.0119556	0.0113874	0.00718296	0.00607974	0.00980145	0.0122752	0.012216	0.012631	0.0145756	0.007654	0.0114322	0.0148006	0.0126612	0.0187065	0.0287552	0.0295873	0.039913	0.0425712	0.0480771	0.0447294	0.0528602	0.067427	0.0688022	0.0958676
est	0.0254779	0.0189989	0.0159705	0.0173053	0.0220966	0.0307439	0.0372563	0.0678293	0.0504404	0.0590571	0.0325638	0.037369	0.0283286	0.0346886	0.0511869	0.0539447	0.0273701	0.0176057	0.00717032	0.0143515	0.0135793	0.0154074	0.0110189	0.00973558	0.0144171	0.0150543	0.0182479	0.0228723	0.0494602	0.044629	0.0706472	0.0323556	0.0328197
en	0.0342505	0.0262369	0.020729	0.0162112	0.0155764	0.018224	0.0222589	0.0209625	0.0255658	0.0178254	0.0231452	0.0278125	0.0310466	0.0564375	0.0531678	0.0625931	0.0311261	0.0344166	0.0206134	0.0206347	0.0314052	0.029989	0.0265519	0.0244521	0.0359993	0.0274036	0.0390385	0.0332966	0.033648	0.0291786	0.0464486	0.0314352	0.0323195
train	0.0398954	0.0293003	0.0243525	0.0163643	0.0196328	0.0204655	0.0247184	0.0150552	0.0235452	0.0140291	0.0212572	0.0277372	0.02633	0.017113	0.0228103	0.0235218	0.0153568	0.0228105	0.0370023	0.0407563	0.0535381	0.0595706	0.0351317	0.0346628	0.0406509	0.0410538	0.0317193	0.0324969	0.0427794	0.0471725	0.0363244	0.032327	0.0305185
de	0.0341842	0.0232337	0.0221056	0.0249638	0.0283267	0.0226958	0.0188257	0.0120446	0.00981436	0.0110168	0.00826896	0.0207012	0.0162431	0.0107742	0.00847221	0.00815697	0.00234285	0.013493	0.00596501	0.0200505	0.034375	0.0549535	0.058358	0.0341698	0.0643133	0.0460942	0.0314346	0.0552243	0.0562594	0.0880463	0.0675613	0.0598204	0.0277109
tailler	0.0206863	0.0210002	0.0226961	0.0205329	0.0238782	0.023331	0.0253528	0.0209724	0.0296387	0.0305658	0.0270645	0.0336516	0.0339681	0.0243794	0.0281004	0.0333143	0.0154668	0.0244869	0.016746	0.0241541	0.0341675	0.0486197	0.0334576	0.0407261	0.0458961	0.0428005	0.0309389	0.0251491	0.0360004	0.0402562	0.0425583	0.0458405	0.0336028
présente	0.0226039	0.015345	0.016359	0.0157709	0.0169642	0.0100443	0.0115249	0.00517638	0.00595867	0.00435538	0.00349422	0.00571868	0.00433899	0.00230942	0.0031071	0.0051	0.00455839	0.0106583	0.00737373	0.0113612	0.0265418	0.0450296	0.0411396	0.0459539	0.0461641	0.0619767	0.0496324	0.0601779	0.076494	0.0957113	0.10703	0.11154	0.0504864
