 	a66	a87	a23	a38	a36	a26	a18	a71	a9	a38	a94	a0	a11	a66	a83	a25	a79	a21	a47	a75	a90	a56	a34	a21	a5	a61	a43	a0	a38	a9	a10	a87	</S>
j'	0.0744796	0.10243	0.0810935	0.088552	0.0885944	0.0468077	0.037456	0.0151329	0.0169472	0.0206181	0.019119	0.0195077	0.0152113	0.0160697	0.0120378	0.0140712	0.0156133	0.0141101	0.0108126	0.0205225	0.0175966	0.0199796	0.0207918	0.0143776	0.0194109	0.0152445	0.0216984	0.01925	0.0243318	0.0164326	0.0270318	0.0192354	0.0354324
ai	0.0250731	0.0314181	0.0254824	0.0294208	0.0230672	0.031731	0.0293807	0.0236319	0.026071	0.0239762	0.030246	0.0378432	0.0400325	0.0336268	0.0298724	0.0278646	0.0332052	0.0264947	0.0233488	0.0239067	0.0303858	0.0326322	0.0505894	0.0427566	0.0461226	0.0691183	0.0244999	0.0178137	0.0217974	0.0280451	0.0188004	0.022473	0.0192722
cueilli	0.0181585	0.0336856	0.016998	0.0195014	0.0203138	0.0200684	0.0250675	0.0399009	0.0322173	0.0254282	0.0334447	0.0323998	0.0256488	0.0216831	0.0321732	0.0246563	0.0446255	0.0373908	0.0163747	0.0185111	0.0130972	0.0177583	0.0317928	0.0285413	0.0407884	0.0436039	0.0438517	0.0413907	0.0375914	0.0426061	0.0311719	0.0542871	0.0352716
une	0.0940066	0.0472672	0.0229657	0.0204271	0.0183707	0.0168831	0.0249285	0.0200025	0.0172104	0.0176513	0.0222395	0.0259534	0.0386454	0.0368247	0.0399831	0.0381679	0.0558923	0.0583539	0.0549479	0.0390433	0.034062	0.0407281	0.0300981	0.0301216	0.0315169	0.0180563	0.0182714	0.0185434	0.0181205	0.0114653	0.0125937	0.0116776	0.0149807
mangue	0.0558719	0.0263117	0.023934	0.0147972	0.021192	0.0170533	0.0235673	0.036962	0.0397359	0.0390526	0.036988	0.035295	0.0238261	0.0154553	0.0125483	0.0150785	0.0238996	0.0295852	0.0294443	0.0374494	0.024415	0.039246	0.028675	0.0384912	0.0269017	0.0251229	0.0430319	0.0503852	0.0337477	0.0361022	0.0404033	0.024863	0.0305674
qui	0.0748857	0.0634223	0.0522843	0.0542215	0.0471955	0.0449589	0.0288659	0.0187368	0.0110307	0.0121697	0.00856389	0.00771138	0.00559323	0.00377709	0.00421569	0.00286448	0.00470175	0.00506133	0.00649271	0.0117056	0.0107633	0.0264788	0.0185899	0.0376969	0.0383407	0.0275259	0.0343712	0.0473984	0.0383559	0.0558997	0.0626293	0.0612348	0.0722566
commence	0.0728409	0.0662229	0.0456843	0.0517104	0.0469038	0.0384107	0.0226585	0.0178461	0.0130377	0.00975194	0.00814584	0.0122507	0.00917221	0.00691094	0.00826014	0.0067864	0.0124904	0.0119546	0.0152104	0.0203514	0.0151472	0.0208568	0.0222601	0.0313818	0.0200627	0.0225257	0.0322728	0.0384386	0.0424324	0.0705384	0.0807446	0.0728635	0.0338751
à	0.0779842	0.0663757	0.0507489	0.0499379	0.0417402	0.0218876	0.0201175	0.0182863	0.01568	0.0131947	0.0126012	0.0143722	0.0141123	0.010234	0.0140984	0.0131185	0.0233612	0.0233138	0.0135064	0.0226966	0.0221562	0.0409039	0.0230636	0.0299403	0.0318783	0.0293358	0.0253599	0.0303459	0.0380985	0.0505333	0.0489475	0.0437375	0.0483314
mûrir	0.0333678	0.023771	0.0194017	0.0120956	0.0149485	0.0108381	0.0139134	0.0192138	0.0172536	0.0186841	0.0202484	0.0240361	0.0239006	0.0216035	0.023715	0.019397	0.0244221	0.0233185	0.0172575	0.0209852	0.0200642	0.052897	0.0373562	0.064187	0.0498621	0.034994	0.0384856	0.0408914	0.0380698	0.0546063	0.0420803	0.0492423	0.0748921
</S>	0.0325225	0.0140442	0.00918866	0.00708142	0.00808312	0.00723555	0.00732533	0.00808569	0.00663044	0.0105051	0.0113141	0.0152656	0.0165581	0.0136323	0.015752	0.00869398	0.0138339	0.014126	0.013076	0.0198817	0.0227275	0.0530213	0.0504629	0.0689477	0.0498203	0.0510438	0.0543764	0.055662	0.0494427	0.0760398	0.0600605	0.074764	0.0807952
